,measure_number,beat_number,pid1263b-01,pid52932-16,pid610003b-05,pid9048b-05,pid9049b-01,pid9050b-01,pid9054b-01,pid9055b-01,pid9056-10,pid9058b-01,pid9059b-05,pid9060-30,pid9061-30,pid9062b-04,pid9063b-05,pid9064-12,pid9066b-01,pid9069-01,pid9070b-13,pid9072b-05,pid9073b-05,pid9074g-01,pid9075b-01,pid9085-03,pid9088-17,pid9093b-07,pid9094b-01,pid9099b-05,pid9101b-12,pid9104b-01,pid9111b-03,pid9112-09,pid9117-05,pid9118b-05,pid9120-09,pid9121-09,pid9134-07,pid9138b-01,pid9139b-01,pid9153b-01,pid9166j-01,pid9170b-01,pid9174b-01,pid917509-08,pid9192b-01
10,4,1,5.393061,4.511531,6.613061,5.293061,4.373061,4.633061,7.233061,5.193061,3.593061,5.453061,4.353061,3.853061,4.613061,5.113061,4.633061,4.113061,6.153061,5.873061,3.953061,4.093061,5.393061,7.573061,5.0530610000000005,4.653061,3.573061,4.673061,5.513061,4.353061,4.473061,8.093061,3.673061,3.473061,4.613061,5.511531,3.973061,4.033061,4.073061,3.7930610000000002,5.073061,4.193061,4.753061,5.5530610000000005,3.693061,4.513061,4.233061
11,4,2,5.825714,4.925714,7.045714,5.785714,4.785714,5.065714,7.685714,5.625714,4.025714,5.679643,4.805714,4.265714,5.125714,5.665714,5.065714,4.585714,6.585714,6.845714,4.385714,4.505714,5.825714,8.285714,5.485714,5.065714,4.005714,5.285714,5.945714,4.865714,4.905714,8.645714,4.065714,3.905714,5.065714,5.925714,4.405714,4.465714,4.605714,4.225714,5.561429,4.685714,5.185714,5.948571,4.125714,4.945714,4.553929
12,5,0,6.202041,5.3220410000000005,7.462041,6.202041,5.102041000000001,5.482041000000001,8.102041,6.102041000000001,4.302041,5.982041000000001,5.242041,4.502041,5.542041,6.082041,5.4020410000000005,5.022041000000001,7.102041000000001,7.262041,4.662041,4.8620410000000005,6.242041,8.702041,5.9020410000000005,5.4020410000000005,4.414014,5.702041,6.3620410000000005,5.282041,5.3220410000000005,9.062041,4.482041000000001,4.042041,5.642041000000001,6.3220410000000005,4.742041,4.782041,5.022041000000001,4.442041000000001,6.002041,5.102041000000001,5.4020410000000005,6.3220410000000005,4.502041,5.3220410000000005,4.922041
13,5,1,6.586531,5.826531,7.866531,6.626531,5.488844,5.886531,8.518265,6.506531,4.658265,6.286531,5.666531,4.906531,5.966531,6.626531,5.766531,5.366531,7.706531,7.886531,5.006531,5.186531,6.626531,9.126531,6.326531,5.786531,4.786531,6.186531,6.786531,5.698265,5.766531,9.566531,4.8882650000000005,4.326531,6.1465309999999995,6.666531,5.126531,5.186531,5.446530999999999,4.866531,6.486530999999999,5.526530999999999,5.806531,6.746531,4.946530999999999,5.746531,5.326531
14,5,2,6.824082000000001,6.124082,8.137041,6.904082000000001,5.764082,6.1280269999999994,8.844082,6.744082000000001,4.924082,6.484082,6.004082,5.164082,6.284082,7.024082000000001,6.044082,5.5840819999999995,7.984082000000001,8.272245,5.264082,5.458163,6.887041,9.444082,6.604082000000001,6.064082,5.00352,6.464082,7.184082000000001,5.9781629999999994,6.044082,9.824082,5.157041,4.564082,6.384082,6.944082000000001,5.307041000000001,5.444082,5.724082,5.104082,6.784082000000001,5.784082,6.044082,7.024082000000001,5.224082,6.024082,5.587041
15,6,0,7.121633,6.381633,8.381633,7.105272,5.961633,6.385816,9.121633000000001,7.0216330000000005,5.181633000000001,6.707211,6.301633,5.401633,6.581633,7.321633,6.321633,5.815816000000001,8.201633000000001,8.561633,5.501633,5.721633,7.161633,9.721633,6.881633,6.361633,5.261633,6.641633000000001,7.407908,6.301633,6.321633,10.081633,5.421633,4.801633,6.661633,7.221633,5.541633,5.621633,6.033265,5.361633,7.0616330000000005,6.041633,6.321633,7.341633,5.408327,6.341633,5.861633
16,6,1,7.546122,6.766122,8.782245,7.506122,6.366122,6.806122,9.506122,7.426122,5.526122,6.986122,6.766122,5.806122,7.026122,7.846122,6.706122,6.206122,8.766122,9.102245,5.906122,6.146122,7.562245,10.146122,7.306122,6.826122,5.588061,7.0861220000000005,7.806122,6.766122,6.686122,10.526122,5.846122,5.1261220000000005,7.1261220000000005,7.726122,5.926122,5.986122,6.486122,5.706122,7.506122,6.486122,6.706122,7.862245,5.766122,6.766122,6.266122
17,6,2,7.915816,7.141633000000001,9.201633000000001,7.921633,6.741633,7.181633000000001,9.881633,7.801633,5.901633,7.235736999999999,7.221633,6.081633,7.401633,8.341633,7.0616330000000005,6.581633,9.141633,9.721633,6.281633,6.5216330000000005,7.981633,10.541633000000001,7.681633000000001,7.201633,5.961633,7.441633,8.181633,7.181633000000001,7.0616330000000005,10.901633,6.122908,5.366848,7.461633,8.101633,6.242908,6.361633,6.861633,6.081633,7.881633,6.861633,7.1016330000000005,8.241633,6.107211,7.141633000000001,6.633878
18,7,0,8.177143,7.485714,9.573571000000001,8.417143,6.977142999999999,7.6171429999999996,10.183571,8.177143,6.163571,7.4971429999999994,7.597142999999999,6.343571,7.616786,8.737143,7.323571,6.763571000000001,9.537142999999999,10.097142999999999,6.637142999999999,6.777143,8.357142999999999,10.957142999999999,8.057143,7.457142999999999,6.097143,7.783571,8.497143,7.583571000000001,7.317143,11.257143,6.417143,5.617143,7.757142999999999,8.477143,6.5123809999999995,6.637142999999999,7.177142999999999,6.216786,8.263571,7.163571000000001,7.417142999999999,8.557143,6.323571,7.397142999999999,6.883571000000001
19,7,1,8.561633,7.895816,9.961633,8.761633,7.421633,7.981633,10.541633000000001,8.435816,6.481633,7.761633,8.021633,6.721633,7.961633,9.141633,7.701633,7.081633,9.941633,10.561633,6.981633,7.1016330000000005,8.741633,11.381633,8.481633,7.881633,6.401633,8.181633,8.841633,7.941633,7.741633,11.641633,6.921633,5.900544,8.175816000000001,8.881633,6.805816,6.901633,7.481633,6.541633,8.641633,7.501633,7.841633,9.021633,6.641633000000001,7.781633,7.261633
20,7,2,8.88,8.28,10.28,9.075,7.74,8.3,10.88,8.74,6.86,8.02,8.4,7.16,8.3,9.54,8.02,7.4,10.3,10.94,7.3,7.42,9.06,11.96,8.8,8.4,6.72,8.52,9.16,8.34,8.08,11.96,7.3,6.2,8.46,9.22,7.1,7.22,7.78,6.84,9.02,7.82,8.16,9.48,6.96,8.18,7.66
21,8,0,9.142857000000001,8.622857000000002,10.582857,9.382857000000001,8.062857000000001,8.602857,11.202857,9.042857000000001,7.162857000000001,8.282857,8.742857,7.4628570000000005,8.642857000000001,9.922857,8.342857,7.706428999999999,10.782857,11.282857,7.642857000000001,7.742857000000001,9.362857,12.362857,9.142857000000001,8.742857,6.982857000000001,8.882857000000001,9.602857,8.682857,8.422857,12.302857000000001,7.642857000000001,6.422857,8.782857,9.542857000000001,7.386429,7.522857000000001,8.122857000000002,7.142857000000001,9.402857000000001,8.120952,8.462857000000001,9.822857,7.302857,8.582857,7.966429
22,8,1,9.611837,9.071837,11.051836999999999,9.731836999999999,8.491837,9.073673,11.591837,9.511837,7.5718369999999995,8.640918,9.211837,7.851837,9.051836999999999,10.431837,8.751837,8.000917999999999,11.511837,11.711837,8.011837,8.111837,9.831837,12.811836999999999,9.591837,9.271837,7.350612,9.371837,10.031837,9.091837,8.831837,12.791837,7.991836999999999,6.720917999999999,9.151836999999999,9.931837,7.791836999999999,7.931837,8.571837,7.5318369999999994,9.851837,8.411837,8.891836999999999,10.391836999999999,7.6118369999999995,9.091837,8.411837
23,8,2,9.987347,9.467347,11.467347,10.107347,8.867347,9.527347,11.947347,9.887347,7.947347,8.987347,9.587347,8.127347,9.427347,10.847347000000001,9.127347,8.281469,11.887347,12.087347,8.338673,8.427347,10.207347,13.207347,9.967347,9.647347,7.687347,9.747347,10.387347,9.467347,9.207347,13.147347,8.299337,7.067347,9.527347,10.248673,8.122449000000001,8.287347,8.947347,7.907347,10.227347,8.787347,9.267347000000001,10.747347,7.967347,9.427347,8.747347
24,9,0,10.46,9.94,11.94,10.6,9.39,9.96,12.3,10.2,8.36,9.16,10.14,8.46,9.84,11.4,9.46,8.64,12.6,12.72,8.74,8.8,10.72,13.64,10.4,9.98,8.1,10.26,10.68,9.96,9.64,13.59,8.6,7.26,10.06,10.64,8.48,8.72,9.38,8.14,10.7,9.2,9.54,11.18,8.4,9.86,9.08
25,9,1,10.86,10.34,12.34,10.975,9.8,10.36,12.66,10.56,8.72,9.415,10.59,8.86,10.3,11.94,9.82,8.935,13.08,13.26,9.04,9.22,11.12,14.22,10.8,10.38,8.44,10.74,11.06,10.44,10.11,14.04,8.92,7.5475,10.61,11.06,8.86,9.12,9.78,8.525,11.2,9.62,9.99,11.58,8.86,10.28,9.48
26,9,2,11.153878,10.633878,12.633878,11.253878,10.073878,10.653878,12.953878,10.873878,8.993878,9.673878,11.093878,9.153878,10.713878,12.393877999999999,10.113878,9.213878,13.373878,13.677755,9.333878,9.533878,11.411939,14.613878,11.093878,10.673878,8.673878,11.033878,11.433878,10.793878,10.413878,14.473878,9.233878,7.813878,10.893877999999999,11.353878,9.113878,9.413878,10.073878,8.801938999999999,11.533878,9.953878,10.313878,11.873878,9.193878,10.593878,9.773878
27,10,0,11.415102000000001,10.875102,12.895102,11.495102000000001,10.295102,10.835102000000001,13.195101999999999,11.135102,9.255102,9.895102,11.355102,9.355102,10.995102000000001,12.675102,10.375102,9.435102,13.595101999999999,13.965306,9.552551,9.815102,11.615102,14.895102,11.355102,10.955102,8.935102,11.235102000000001,11.675102,11.155102000000001,10.675102,14.735102,9.500204,8.055102,11.135102,11.615102,9.335102000000001,9.615102,10.400203999999999,9.035102,11.815102,10.175102,10.575102000000001,12.175102,9.395102,10.855102,10.016276
28,10,1,11.788816,11.264082,13.264082,11.824082,10.744082,11.284082000000001,13.584082,11.584082,9.604082,10.184082,11.797041,9.764082,11.444082,13.204082000000001,10.764082,9.824082,14.084082,14.444082,9.964082000000001,10.164082,12.044082000000001,15.344082,11.804082000000001,11.404082,9.204082000000001,11.644082000000001,12.084082,11.584082,11.044082000000001,15.204082000000001,9.944082,8.364082000000002,11.584082,12.084082,9.724082000000001,10.004082,10.898163,9.424082,12.284082000000001,10.604082,11.024082,12.644082000000001,9.744082,11.304082000000001,10.404082
29,10,2,12.190374,11.672245,13.612245000000001,12.232244999999999,11.152244999999999,11.692245,13.912245,11.975561,10.012245,10.436327,12.190561,10.132245,11.852245,13.832245,11.153707,10.23016,14.492245,14.892245,10.372245,10.572245,12.412245,15.772245000000002,12.212245,11.812244999999999,9.53514,12.052245,12.492245,11.992245,11.472245,15.612245000000001,10.331711,8.73016,11.972245,12.432245,10.112245,10.412245,11.312244999999999,9.83014,12.692245,11.012245,11.352245,13.072245,10.152244999999999,11.712245,10.752245
30,11,0,12.492245,11.892244999999999,14.012245000000002,12.591122,11.332245,12.052245,14.232245,12.291122,10.241122,10.652244999999999,12.512245,10.312244999999999,11.992245,14.221122,11.372245,10.372245,14.737414999999999,15.412245,10.632245,10.797414999999999,12.792245,16.172245,12.612245,12.072245,9.712245,12.361122,12.732244999999999,12.352245,11.672245,15.992245,10.501122,8.872245,12.272245,12.812244999999999,10.332245,10.652244999999999,11.613707000000002,9.921122,13.072245,11.297414999999999,11.732244999999999,13.312245,10.292245,11.932245,11.032245
31,11,1,12.865714,12.285714,14.485714000000002,12.965714,11.805714,12.425714,14.565714000000002,12.545714,10.605714,10.925714,12.965714,10.665714,12.345714,14.565714000000002,11.725714,10.705714,15.165714000000001,15.905714000000001,10.985714,11.125714,13.201429000000001,16.645714,13.085714,12.505714,9.945714,12.745714,13.125714000000002,12.765714,12.085714,16.425714000000003,10.865714,9.205714,12.725714,13.225714000000002,10.645714,10.985714,11.885714,10.265714,13.465714000000002,11.665714,12.125714,13.765714000000001,10.645714,12.365714,11.367857
32,11,2,13.211429,12.611429,14.871429000000001,13.331429,12.131428999999999,12.891428999999999,14.851429000000001,12.831429,10.911429,11.151428999999998,13.291429,11.011429,12.671429,14.891429,12.011429,10.911429,15.491429,16.311429,11.271429,11.512857,13.651429,17.051429000000002,13.371429000000001,12.891428999999999,10.231428999999999,13.031429,13.391429,13.051428999999999,12.471428999999999,16.771429,11.251429,9.411429,12.951429,13.531429000000001,10.871429,11.271429,12.231428999999999,10.551428999999999,13.811429,11.931429,12.431429,14.131429,10.951429,12.651428999999998,11.631428999999999
33,12,0,13.745714000000001,13.325714000000001,15.345714000000001,13.825714000000001,12.685714,13.365714,15.265714000000001,13.425714000000001,11.745714,11.745714,13.805714000000002,11.525714,13.245714000000001,15.525714,12.625714,11.205714,15.885714000000002,16.985714,11.925714,12.145714,14.105714,17.845714,13.885714000000002,13.585714000000001,10.805714,13.665714000000001,13.985714000000002,13.605714,13.105714,17.505714,11.985714,9.785714,13.765714000000001,14.185714,11.265714,11.785714,12.905714,11.165714,14.685714,12.465714,12.945714,14.785714000000002,11.545714,13.205714000000002,12.105714
34,12,1,14.243673000000001,13.823673000000001,15.843673,14.323673000000001,13.183673,13.863673,15.763673,13.923673,12.243673,12.183672999999999,14.317347,11.903673,13.743673000000001,16.023673000000002,13.123673000000002,11.703673,16.383673,17.563673,12.297863000000001,12.663673,14.603673,18.643673,14.383673000000002,14.183673,11.303673,14.163673000000001,14.363367000000002,14.103673,14.123673000000002,18.063673,12.483673,10.243673,14.383673000000002,14.683673,11.763672999999999,12.025203999999999,13.663673000000001,11.663673,15.243673000000001,12.883673,13.443673,15.523673,12.043673,13.691367000000001,12.603672999999999
35,12,2,14.734285999999999,14.334285999999999,16.194285999999998,14.654285999999999,13.734285999999999,14.214285999999998,16.054285999999998,14.434285999999998,12.594286,12.414286,14.954285999999998,12.254286,13.958095000000002,16.542143,13.294285999999998,11.834286,16.634048,18.114286,12.614286,13.194285999999998,14.954285999999998,19.174286,14.914285999999999,14.714285999999998,11.834286,14.614285999999998,14.654285999999999,14.634286,14.654285999999999,18.594286,13.354285999999998,10.752697999999999,14.914285999999999,15.094285999999999,12.074286,12.454286,14.194285999999998,12.114286,15.774285999999998,13.314286,13.834285999999999,16.054285999999998,12.554286,14.014285999999998,12.914286
36,13,0,15.248570999999998,14.768571,16.508571,15.208571,14.108571,14.528571,16.568571,14.888570999999999,13.088571,12.708571000000001,15.448571,12.608571000000001,14.308570999999999,17.048571,13.668571,12.148571,16.999285999999998,18.868571,12.968571,13.708571,15.288571,19.928570999999998,15.428571,15.248570999999998,12.488571,15.208571,15.128570999999999,15.308570999999999,15.408570999999998,19.368571,14.048570999999999,10.848571000000002,15.548570999999999,15.708571,12.619286,12.748571,14.748570999999998,12.568571,16.319285999999998,13.768571,14.308570999999999,16.608570999999998,12.988571,14.396189999999999,13.248570999999998
37,13,1,15.625714000000002,15.185714,16.885714,15.745714000000001,14.565714000000002,14.905714000000001,17.005714,15.325714000000001,13.445714,12.957857,15.885714000000002,13.025714,14.665714000000001,17.465714000000002,14.005714000000001,12.525714,17.425714000000003,19.345714,13.305714000000002,14.105714,15.665714000000001,20.545714,15.885714000000002,15.785714000000002,12.965714,15.765714000000001,15.525714,15.785714000000002,15.885714000000002,19.965714000000002,14.505714000000001,11.205714,16.005714,16.045714,12.965714,13.145714000000002,15.125714000000002,13.005714,16.745714000000003,14.205714000000002,14.705714000000002,17.117143,13.365714,14.805714000000002,13.705714000000002
38,13,2,15.955917999999999,15.655918,17.275918,16.195918,14.895918,15.295917999999999,17.395917999999998,15.935918,13.795917999999999,13.235918,16.255917999999998,13.555918,15.035917999999999,17.895917999999998,14.415918,12.875917999999999,17.835918,19.755917999999998,13.635917999999998,14.455917999999999,16.055918,21.095918,16.195918,16.261837,13.275917999999999,16.195918,15.855917999999999,16.095918,16.295918,20.355918,14.855917999999999,11.475918,16.375918,16.355918,13.275917999999999,13.515918,15.455917999999999,13.355917999999999,17.155918,14.575918,15.055918,17.561837,13.675918,15.215917999999999,14.115917999999999
39,14,0,16.315102,16.035102,17.635102,16.615102,15.255101999999999,15.675101999999999,17.755101999999997,16.255101999999997,14.155102,13.518367000000001,16.615102,13.915102,15.395102,18.295102,14.775101999999999,13.235102,18.195102,20.155102,13.995102,14.815102,16.475102,21.535102,16.555101999999998,16.655102,13.595101999999999,16.555101999999998,16.195102,16.435102,16.655102,20.675102,15.215101999999998,11.755102,16.755101999999997,16.695102,13.575102,13.875101999999998,15.855101999999999,13.715101999999998,17.515102,14.960204000000001,15.415102,17.955102,14.035101999999998,15.615101999999998,14.615101999999998
40,14,1,16.633469,16.373469,18.033469,17.073469,15.613469,16.053469,18.093469,16.693469,14.513469,13.813469,17.033469,14.273469,15.753469,18.633469,15.153469,13.553469,18.553469,20.613469,14.313469,15.153469,16.813469,21.933469,16.873469,17.173469,13.933469,16.873469,16.553469,16.773469,17.033469,21.293469,15.553469,12.073469000000001,17.113469,17.113469,13.853469,14.191735000000001,16.293469,14.093469,17.933469,15.333469000000001,15.793469,18.453469000000002,14.393469,15.973469,15.013469
41,14,2,16.992653,16.852653,18.432653,17.552653,16.012653,16.452653,18.472653,17.292653,14.892653,14.092653,17.372653,14.792653,16.112652999999998,19.072653,15.512653,13.912653,19.252653,21.032653,14.652652999999999,15.512653,17.192653,22.672653,17.232653,17.772653,14.272653,17.272653,16.912653,17.132653,17.412653,21.792653,16.032653,12.372653,17.532653,17.432653,14.192653,14.512653,16.652653,14.452653,18.392653,15.732652999999999,16.272653,18.912653,14.892653,16.412653,15.552653
42,15,0,17.286837,17.283673,18.783673,17.923673,16.363673000000002,16.803673,18.783673,17.803673,15.263673,14.323673000000001,17.683673000000002,15.143673000000001,16.403673,19.423673,15.816837,14.203673,19.566837,21.443673,15.034557999999999,15.843673,17.563673,23.103673,17.583673,18.163673,14.643673000000001,17.603673,17.183673000000002,17.403673,17.843673000000003,22.143673,16.383673,12.643673,18.063673,17.763673,14.403673000000001,14.803673000000002,17.143673,14.863673,18.816837,16.136837,16.643673,19.303673,15.223673000000002,16.763673,15.983673000000001
43,15,1,17.67551,17.67551,19.17551,18.33551,16.83551,17.195510000000002,19.15551,18.13551,15.655510000000001,14.632755,18.09551,15.53551,16.75551,19.79551,16.195510000000002,14.55551,19.97551,21.89551,15.415510000000001,16.195510000000002,18.035510000000002,23.55551,17.97551,18.65551,15.03551,18.035510000000002,17.51551,17.75551,18.25551,22.59551,16.695510000000002,12.918503,18.482754999999997,18.15551,14.735510000000001,15.155510000000001,17.535510000000002,15.29551,19.31551,16.51551,17.035510000000002,19.81551,15.53551,17.13551,16.43551
44,15,2,17.933878,18.113878,19.553878,18.773878,17.153878,17.573878,19.473878,18.681632999999998,16.033878,14.913878,18.453878,16.053878,17.113878,20.213878,16.553878,14.953878,20.333878,22.333878,15.733878,16.573878,18.373878,23.993878,18.293878,19.133878,15.493878,18.453878,17.813878,18.093878,18.673878,22.933878,17.113878,13.213878,18.881632999999997,18.533878,15.053878,15.493878,17.893878,15.673878,19.733878,16.853877999999998,17.393878,20.257755,15.893877999999999,17.573878,16.933878
45,16,0,18.252245000000002,18.612245,19.992245,19.092245000000002,17.492245,18.012245,19.812245,19.272245,16.472245,15.215561,18.872245,16.392245000000003,17.512245,20.572245000000002,16.872245,15.412245,20.752245000000002,22.772245,16.072245000000002,16.952245,18.752245000000002,24.452245,18.612245,19.572245000000002,15.892245,18.772245,18.152245,18.432245,19.132245,23.332245,17.512245,13.532245000000001,19.252245000000002,18.952245,15.392245,15.852245000000002,18.332245,16.092245000000002,20.172245,17.232245000000002,17.732245000000002,20.692245,16.372245,17.932245,17.372245
46,16,1,18.712245000000003,19.092245000000002,20.532245,19.572245000000002,17.912245000000002,18.572245000000002,20.172245,19.872245,16.932245,15.512245000000002,19.352245,16.752245000000002,17.952245,20.992245,17.252245000000002,15.992245,21.192245,23.252245000000002,16.392245000000003,17.432245,19.332245,24.952245,19.012245,20.172245,16.372245,19.172245,18.552245000000003,18.832245,19.672245,24.032245,17.932245,13.932245000000002,19.752245000000002,19.452245,15.912245,16.272245,18.852245,16.632245,20.652245,17.632245,18.252245000000002,21.312245,16.832245,18.312245,18.052245000000003
47,16,2,19.192449,19.621223999999998,21.021224,20.141223999999998,18.421224,19.021224,20.481223999999997,20.941224,17.481223999999997,15.930863,19.821224,17.201224,18.361224,21.601224,17.681224,16.501224,22.061224,23.841224,16.801223999999998,17.981223999999997,19.821224,25.761224,19.461223999999998,21.041224,16.981223999999997,19.681224,18.985612,19.361224,20.361224,24.681224,18.761224,14.441223999999998,20.401224,20.061224,16.501224,16.941224,19.561224,17.161224,21.361224,18.101224,18.701224,22.061224,17.521224,18.761224,18.861224
48,17,0,19.712653,20.321327,21.672653,20.832653,18.912653,19.692653,20.821327,21.972653,18.052653,16.252653,20.412653,17.581326999999998,18.792653,22.192653,18.292653,17.192653,22.812653,24.612652999999998,17.261326999999998,18.712653,20.452653,26.812653000000005,20.032653,21.992653,17.932653,20.192653,19.632653,19.932653,21.212653,25.712653,19.632653,15.091327,21.272653,20.852653,17.132653,17.992653,20.332653,17.932653,22.152653,18.572653,19.272653,22.892653,18.172653,19.172653,19.832653
49,17,1,20.303673,20.983673,22.363673000000002,21.565714,19.523673000000002,20.383673,21.183673000000002,22.743673,18.603673,16.823673,21.103673,18.203673000000002,19.383673,22.943673,19.143673,17.843673000000003,23.743673,25.123673,17.723673,19.203673000000002,21.143673,27.483673,20.783673,22.777347,18.523673000000002,20.903673,20.503673000000003,20.563673,22.023673000000002,26.543673,20.443673,15.643673000000001,22.163673,21.603673,17.943673,18.683673000000002,21.103673,18.763673,22.863673000000002,19.183673000000002,19.803673,23.637347000000002,18.703673000000002,19.663673,20.752041000000002
