,measure_number,beat_number,pid1263-28,pid610003b-04,pid9048b-04,pid9049-29,pid9050-29,pid9054-29,pid9055-28,pid9058-29,pid9059b-04,pid9060-29,pid9061-29,pid9062b-03,pid9063b-04,pid9066-29,pid9070b-12,pid9072b-04,pid9073b-04,pid9074f-29,pid9093b-03,pid9094-28,pid9097-19,pid9098-08,pid9099b-04,pid9101b-11,pid9104-29,pid9118b-04,pid9130-03,pid9138-29,pid9139-28,pid9153-28,pid9170-28,pid9174-29,pid9192-29
10,5,0,5.116735,4.416735,6.516735,6.196734999999999,4.476735,5.716735,5.096735,4.096735,5.156735,4.756735,7.576735,4.556735,6.876735000000001,6.216735,3.756735,5.476735,5.176735,5.036735,4.416735,4.972245,4.716735,5.976735,4.976735,4.796735,4.456735,6.516735,6.916735000000001,4.416735,4.956735,4.416735,5.136735,4.296735,5.136735
11,5,1,5.473878,4.753878,6.871939,6.633878,4.793878,5.953878,5.351293,4.353878,5.613878,5.111293,7.933878,4.8738779999999995,7.213878,6.533878,3.9587760000000003,5.831293,5.513878,5.493878,4.653878,5.233878,5.033878,6.291939,5.293878,5.093878,4.731939,6.8738779999999995,7.393878,4.6747760000000005,5.273878,4.713878,5.433878,4.573878,5.433878
12,5,2,5.966122,5.1261220000000005,7.486122,7.106122,5.1661220000000005,6.426122,5.726122,4.786122,6.0861220000000005,5.646122,8.426122,5.366122,7.6661220000000005,6.952303,4.308707,6.386122,5.886122,6.106122,5.008061,5.646122,5.366122,6.886122,5.786122,5.5861220000000005,5.1261220000000005,7.366122,8.086122,5.046122,5.706122,5.206122,6.146122,4.946122,6.146122
13,6,0,6.496735,5.636735,7.996735,7.616735,5.676735,6.8567350000000005,6.296735,5.356735,6.776735,6.216735,8.956735,5.896735,8.236735000000001,7.376735000000001,4.696734999999999,6.956735000000001,6.416735,6.636735000000001,5.496735,5.996735,5.756735,7.416735000000001,6.376735,6.096735,5.576735,7.8967350000000005,8.796735,5.396735,6.176735,5.836735,6.776735,5.336735,6.616735
14,6,1,6.859592,5.999592,8.339592,8.059592,6.059591999999999,7.279592,6.6795919999999995,5.739592,7.299592,6.619592,9.439592,6.239592,8.699591999999999,7.839592,4.979592,7.339592,6.779592,6.979592,5.839592,6.299592,6.0995919999999995,7.799592,6.879592,6.439592,5.899592,8.239592,9.319592,5.699592,6.479592,6.199592,7.219592,5.6795919999999995,7.019591999999999
15,6,2,7.217142999999999,6.357143,8.697142999999999,8.397143,6.397143,7.6171429999999996,6.977142999999999,6.037143,7.777143,6.9971429999999994,9.844286,6.5771429999999995,9.097142999999999,8.238571,5.257143,7.717142999999999,7.097142999999999,7.257142999999999,6.137143,6.6171429999999996,6.477143,8.251429,7.257142999999999,6.817143,6.177143,8.537142999999999,9.844286,5.957143,6.897142999999999,6.497143,7.677142999999999,5.977143,7.377142999999999
16,7,0,7.602857000000001,6.655714,9.062857000000001,8.742857,6.682857,7.942857000000001,7.322857000000001,6.382857,8.182857,7.342857,10.222857000000001,6.9228570000000005,9.482857000000001,8.682857,5.502857,8.122857000000002,7.395714,7.542857000000001,6.422857,6.9228570000000005,6.802857,8.662857,7.662857000000001,7.142857000000001,6.522857,8.862857,10.382857000000001,6.222857,7.182857,6.782857000000001,8.075714,6.282857,7.762857
17,7,1,7.993878,7.033878,9.453878,9.193878,7.073878,8.213878,7.813878,6.793878,8.633878,7.8738779999999995,10.613878,7.4138779999999995,9.973878,9.193878,5.8338779999999995,8.493878,7.773878,7.893878,6.693878,7.3738779999999995,7.133878,9.073878,8.213878,7.493878,6.933878,9.173878,10.933878,6.573878,7.533878,7.093878,8.493878,6.593878,8.233878
18,7,2,8.406531,7.426531,9.906531,9.586530999999999,7.486530999999999,8.646531,8.206531,7.226531,9.106531,8.406531,11.146531,7.846531,10.426530999999999,9.626531,6.266531,8.946531,8.166530999999999,8.326531,7.0665309999999995,7.746531,7.506531,9.646531,8.706531,8.006530999999999,7.326531,9.706531,11.726531,6.906531,7.986530999999999,7.5665309999999995,9.006530999999999,6.986530999999999,8.806531
19,8,0,8.809388,7.829388000000001,10.509388000000001,10.049388,7.889388,8.989388,8.809388,7.549388,9.549388,8.749388,11.549388,8.369388,10.889388,9.949388,6.649388,9.649388,8.569388,8.669388,7.389388,8.069388,7.769388,10.089388,9.089388,8.469388,7.6693880000000005,10.169388,12.549388,7.249388000000001,8.489388,8.109388000000001,9.389388,7.329388000000001,9.249388
20,8,1,9.215011,8.315011,10.895011,10.580022999999999,8.375011,9.395011,9.195011000000001,7.855011,10.035011,9.215011,11.975011,8.735011,11.455011,10.275011,7.095011,10.075011,9.035011,8.995011,7.735011,8.395011,8.175011,10.535011,9.615011,8.915011,8.035011,10.515011,13.235010999999998,7.635011,8.875011,8.475011,9.840023,7.615011,9.775011
21,8,2,9.5239,8.6639,11.2239,10.9639,8.7239,9.8639,9.5239,8.1839,10.4439,9.5639,12.4039,9.0639,11.8639,10.6439,7.3439,10.4439,9.3839,9.3039,8.0439,8.7039,8.4839,10.9239,10.0039,9.2778,8.3239,10.8239,13.7039,7.9978,9.2639,8.7839,10.1839,7.9239,10.1039
22,9,0,9.845305999999999,8.985306,11.605306,11.385306,9.027652999999999,10.225306,9.925305999999999,8.660612,10.865306,9.905306,12.825306,9.445306,12.255918,11.287755,7.589061,10.865306,9.705306,9.665306,8.385306,9.065306,8.808435000000001,11.380612,10.385306,9.665306,8.645306,11.185306,14.200612,8.395918,9.567653,9.065306,10.585306,8.228827,10.485306
23,9,1,10.340408,9.480408,12.053469,12.000408,9.520408,10.540408,10.420408,9.160408,11.460408000000001,10.380408000000001,13.400407999999999,10.080408,12.840408,12.020408,8.000408,11.380408000000001,10.200408,10.220408,8.740408,9.600408,9.260408,12.000408,10.980408,10.160408,9.100408,11.560408,14.780408,8.960408000000001,10.080408,9.440408,11.080408,8.575204,11.020408
24,9,2,10.972796,9.917959,12.497959,12.477959,9.957958999999999,11.057959,11.057959,9.617958999999999,12.017959,10.777959,13.857959,10.626439999999999,13.397959,12.857959,8.397959,11.957958999999999,10.637959,10.897959,9.197958999999999,9.94398,9.537958999999999,12.517959,11.477959,10.757959,9.417959,12.057959,15.497959,9.377958999999999,10.477959,9.857959,11.737959,8.937959,11.617958999999999
25,10,0,11.311354,10.457449,13.044898,13.099796000000001,10.487449,11.604898,11.604898,10.164897999999999,12.699796000000001,11.284898,14.344898,11.064898,14.044898000000002,13.444898,8.864898,12.824898,11.167449000000001,11.444898,9.688724,10.344897999999999,9.844897999999999,13.004897999999999,12.024898,11.344897999999999,9.784898,12.584897999999999,16.144898,9.844897999999999,11.044898,10.344897999999999,12.384898,9.344897999999999,12.204898
26,10,1,11.657143,10.877142999999998,13.457142999999999,13.713571,10.933571,12.077143,12.077143,10.537142999999999,13.317143,11.817143,14.837143,11.397143,14.737143,13.937142999999999,9.217143,13.377142999999998,11.577143,12.057143,10.037142999999999,10.817143,10.397143,13.617142999999999,12.617142999999999,11.737143,10.077143,13.017142999999999,16.737143,10.237143,11.457142999999999,10.657143,12.917143,9.817143,12.693571
27,10,2,12.001633,11.301633,13.861633,14.001632999999998,11.341633,12.461633,12.421633,10.841633,14.021633,12.161633,15.281633,11.721633,15.241632999999998,14.281633,9.501633,13.781633,12.001633,12.481633,10.301633,11.101633,10.841633,14.041633,13.041633000000001,12.101633,10.401633,13.361633,17.261633,10.561633,11.841633,10.961633,13.381632999999999,10.221633,13.071939
28,11,0,12.340816,11.660816,14.220816000000001,14.340816,11.700816,12.800816000000001,12.720816000000001,11.200816,14.480816,12.520816,15.660816,12.080816,15.600816,14.620816,9.820816,14.200816,12.360816,12.840816,10.580816,11.440816,11.260816,14.431632999999998,13.440816,12.420816,10.720816000000001,13.680816,17.791632999999997,10.840816,12.200816,11.300816000000001,13.780816,10.600816,13.340816
29,11,1,12.688163000000001,12.068163,14.588163,14.708163,12.128163,13.068163,13.028163000000001,11.448163000000001,14.888163,12.888163,16.028163,12.428163,15.888163,14.968163,10.048163,14.588163,12.768163000000001,13.208163,10.808163,11.728163,11.628163,14.808163,13.788163,12.748163,10.988163,13.988163,18.248163,11.088163,12.508163,11.548163,14.108163000000001,10.928163,13.688163000000001
30,11,2,13.123673000000002,12.463673,15.083673000000001,15.103673,12.503673,13.503673000000001,13.483673000000001,11.863673,15.383673000000002,13.423673,16.543673000000002,12.918367,16.323673,15.363673,10.403673,15.063673000000001,13.143673000000001,13.583673000000001,11.163673,12.083673,12.003673,15.323673000000001,14.277347,13.183673,11.383673,14.363673,18.923673,11.503673,12.923672999999999,12.063673,14.603673,11.463673,14.163673000000001
31,12,0,13.618367000000001,12.818367,15.638367,15.378367,12.858367,13.858367000000001,13.878367,12.278367,15.818367000000002,13.978367,17.038367,13.378367,16.798367000000002,15.718367,10.738367,15.698367000000001,13.498367000000002,13.918367000000002,11.478367,12.399455999999999,12.378366999999999,15.718367,14.658367000000002,13.538367000000001,11.718367,14.718367,19.498367000000002,11.818367,13.338367000000002,12.718367,14.978367,11.774184,14.598367000000001
32,12,1,13.996735000000001,13.243469000000001,15.963469,15.816735000000001,13.283469,14.236735000000001,14.196735,12.556735,16.283469,14.503469,17.436735000000002,13.696735,17.336735,16.076735,11.016735,16.196735,13.916735000000001,14.236735000000001,11.756735,12.636735,12.736735000000001,16.216735,15.123469,13.856735,11.996735000000001,14.976735000000001,20.016735,12.076735000000001,13.696735,13.063469,15.356735,12.076735000000001,14.956735
33,12,2,14.326939000000001,13.566939000000001,16.326939000000003,16.126939,13.606939,14.566939000000001,14.506939000000001,12.846939,16.726939,14.886939000000002,17.826939000000003,14.046939000000002,17.706939000000002,16.378469,11.326939,16.546939000000002,14.226939000000002,14.546939000000002,12.046939,12.918469,13.086939,16.586939,15.506939000000001,14.186939,12.306939,15.366939000000002,20.546939000000002,12.346939,14.066939000000001,13.386939000000002,15.726939000000002,12.406939,15.306939000000002
34,13,0,14.675305999999999,13.915306,16.675306,16.455306,13.955306,14.895306,14.775306,13.115306,17.115306,15.215306,18.215305999999998,14.391326999999999,18.015306,16.715305999999998,11.552653,17.055305999999998,14.575306,14.895306,12.295306,13.235306,13.435306,16.955306,15.900611999999999,14.495306,12.595305999999999,15.595305999999999,21.055305999999998,12.635306,14.415306,13.695306,16.095306,12.755306,15.615306
35,13,1,15.019966,14.249796,17.029795999999997,16.749796,14.289795999999999,15.169796,15.043265,13.389795999999999,17.589796,15.549795999999999,18.609796,14.729795999999999,18.369796,17.049796,11.769796000000001,17.569796,14.909796,15.289795999999999,12.509796000000001,13.529796,13.743265,17.329795999999998,16.329795999999998,14.809795999999999,12.869796000000001,15.989795999999998,21.529795999999997,12.809796,14.729795999999999,14.009796,16.409796,13.069796,15.949796
36,13,2,15.504898,14.624898000000002,17.484898,17.244898000000003,14.664898,15.574966,15.561632999999999,13.824898000000001,18.124898,16.099795999999998,19.064898,15.224898000000001,18.864898,17.473724,12.184898,18.064898,15.284898000000002,15.844898,12.884898,13.964898000000002,14.084898,17.924898000000002,16.784898000000002,15.257449,13.264898,16.484898,22.224898,13.224898000000001,15.124898000000002,14.577449,17.084898000000003,13.404898000000001,16.544898
37,14,0,15.986531,15.146531,18.046530999999998,17.726531,15.166530999999999,15.963060999999998,16.043060999999998,14.326531,18.726531,16.666531,19.526531,15.726531,19.366531,17.906531,12.626531,18.806531,15.806531,16.326531,13.406531,14.326531,14.466531,18.426531,17.386531,15.686531,13.746531,16.966531,23.146531,13.578265,15.566531,15.226531,17.686531,13.726531,17.063060999999998
38,14,1,16.331429,15.511429000000001,18.391429000000002,18.131429,15.551429,16.311429,16.391429000000002,14.691429000000001,19.231429000000002,17.091429,19.971429,16.111429,19.751429,18.351429,12.911429,19.291429,16.171429,16.671429,13.691429000000001,14.631429,14.811429,18.811429,17.851429,16.031429,14.011429000000001,17.291429,23.811429,13.851429000000001,15.891429,15.591429000000002,18.131429,14.071429,17.451429
39,14,2,16.706939000000002,15.846939,18.766939,18.506939000000003,15.886939000000002,16.706939000000002,16.666939000000003,14.986939000000001,19.706939000000002,17.446939,20.346939000000003,16.386939,20.106939,18.726939,13.186939,19.666939000000003,16.506939000000003,16.946939,13.966939000000002,14.906939000000001,15.146939000000001,19.346939000000003,18.266939,16.346939000000003,14.286939000000002,17.546939000000002,24.346939000000003,14.126939000000002,16.286939,15.946939000000002,18.606939,14.426939,17.806939
40,15,0,17.092653,16.232653,19.132653,18.952653,16.272653,17.052653,17.012653,15.392653,20.172653,17.872653,20.732653,16.792653,20.532653,19.332653,13.472653,20.152653,16.892653,17.232653,14.212653,15.312653,15.492653,19.772653,18.692653,16.712653,14.652652999999999,17.912653,24.912653,14.432653,16.592653,16.315306,19.012653,14.692653,18.192653
41,15,1,17.540816,16.740816,19.580816,19.500816,16.780816,17.393604999999997,17.580816,15.855407999999999,20.660816,18.420816000000002,21.173605,17.340816,20.995407999999998,19.780816,13.913604999999999,20.660816,17.375408,17.640816,14.520816,15.795407999999998,15.893604999999999,20.333605,19.340816,17.075408,15.080816,18.280816,25.560816,14.835408,17.013605,16.740816,19.500816,15.075408,18.715408
42,15,2,17.883673,17.083673,19.983673,19.763673,17.123673,17.683673000000002,17.803673,16.203673000000002,21.003673000000003,18.723673,21.463673,17.663673,21.363673000000002,20.083673,14.203673,21.003673000000003,17.703673000000002,17.983673,14.823673000000001,16.023673000000002,16.123673,20.623673,19.603673,17.283673,15.323673000000001,18.623673,25.923673,15.163673000000001,17.263673,17.183673000000002,19.963673,15.303673000000002,19.023673000000002
43,16,0,18.218367,17.478367000000002,20.578367,20.298367000000002,17.518367,18.098367,18.578367,16.538367,21.518367,19.278367000000003,22.078367,18.158367000000002,21.858367,20.438367,14.638367,21.438367,18.118367000000003,18.318367000000002,15.158367000000002,16.398367,16.458367000000003,21.318367000000002,20.138367000000002,17.898367,15.658367000000002,19.018367,27.038366999999997,15.578367000000002,17.918367,17.778367000000003,20.338367,15.678367000000001,19.678367
44,16,1,18.604898000000002,17.964898,20.944898000000002,20.724898,18.004898,18.524898,19.024898,16.844898,22.044898,19.724898,22.484898,18.519796,22.464898,20.784898000000002,15.004898,21.884898,18.604898000000002,18.644898,15.504898,16.724898,16.844898,21.744898000000003,20.679796,18.284898000000002,16.004898,19.364898,27.664897999999997,15.944898,18.304898,18.124898,20.784898000000002,16.004898,20.144898
45,16,2,18.910612,18.310612,21.270612,21.170612,18.330612,18.970612,19.490612,17.150612,22.490612,20.070612,22.910612,18.850611999999998,22.830612,21.090612,15.290612,22.270612,18.930612,18.930612,15.810611999999999,17.010612,17.170612,22.150612,21.010612,18.650612,16.290612,19.630612,28.130612,16.290612,18.690611999999998,18.410612,21.150612,16.310612,20.450612
46,17,0,19.290612,18.670612,21.690611999999998,21.670612,18.730612,19.390612,20.050612,17.670612,23.030611999999998,20.430612,23.350611999999998,19.330612,23.290612,21.490612,15.590612,22.830612,19.310612,19.330612,16.110612,17.410612,17.550612,22.710612,21.470612,19.090612,16.730612,20.030611999999998,28.650612,16.810612,19.150612,18.750612,21.590612,16.695153,20.850611999999998
47,17,1,19.673776,19.177551,22.137551000000002,22.223776,19.217551,19.717551,20.577551,18.237551,23.617551000000002,20.864592000000002,23.837551,19.897551,23.877551,22.277551000000003,15.997551000000001,23.437551000000003,19.797551000000002,19.877551,16.397551,17.937551000000003,17.897551,23.597551,22.017551,19.617551000000002,17.197551,20.377551,29.137551000000002,17.377551,19.617551000000002,19.077551,22.037551,16.957551000000002,21.297551000000002
48,17,2,20.032245,19.632245,22.792245,22.652245,19.672245,20.252245000000002,21.072245000000002,18.672245,24.232245000000002,21.372245,24.332245,20.392245000000003,24.372245,23.132245,16.412245000000002,24.012245,20.232245000000002,20.612245,16.892245000000003,18.452245,18.252245000000002,24.192245,22.61449,20.172245,17.592245000000002,20.852245,29.872245,17.772245,20.072245000000002,19.592245000000002,22.732245000000002,17.492245,21.932245
49,18,0,20.637143,20.177143,23.617143,23.377143,20.237143,20.877143,21.737143,19.317142999999998,24.957143,21.977142999999998,24.837142999999998,21.157142999999998,25.057143,23.637143,16.817142999999998,24.957143,20.797143,21.257143,17.657142999999998,18.977142999999998,18.537143,24.797143,23.377143,20.757143,18.157142999999998,21.437143,30.517143,18.277143,20.777143,20.157142999999998,23.357143,18.157142999999998,22.637143
50,18,1,21.24771,20.82771,24.08771,23.96771,20.918854999999997,21.60771,22.387710000000002,19.98771,25.48771,22.48771,25.36771,21.678855,25.727710000000002,24.34771,17.313428,25.62771,21.48771,21.78771,18.18771,19.418854999999997,18.94771,25.32771,24.047710000000002,21.333542,18.68771,21.836285,31.167709999999996,18.727710000000002,21.36771,20.64771,23.86771,18.698855,23.26771
51,18,2,21.653515,21.273515,24.573515,24.493515,21.293515,22.053515,22.933515,20.473515,25.973515,23.213515,25.917029,22.073515,26.193514999999998,24.693514999999998,17.573515,26.073515,21.953515,22.273515,18.673515,19.793515,19.333515,25.793515,24.513514999999998,21.733515,19.073515,22.153515,31.733515,19.113515,21.773515,21.073515,24.373515,19.073515,23.733515
52,19,0,22.129184,21.714898,25.324285999999997,24.814898,21.714898,22.474898,23.354898000000002,20.994898000000003,26.434490000000004,23.654898,26.399796000000002,22.454898,26.634898,24.994898000000003,17.974898,26.514898,22.374898,22.714898,18.954898,20.264286,19.674898000000002,26.194898000000002,24.959796,22.139796,19.499388,22.594898,32.209184,19.544286,22.214898,21.594898,24.784694000000002,19.514898000000002,24.174898000000002
53,19,1,22.655692000000002,22.227075,25.761224,25.301223999999998,22.253741,22.861224,23.801223999999998,21.307075,26.861224,24.081224,26.781223999999998,22.781223999999998,27.101224,25.441224,18.282806,26.941224,22.781223999999998,23.061224,19.281223999999998,20.901224,20.041224,26.541224,25.501224,22.561224,19.848245000000002,22.863032,32.761224,20.001224,22.661224,22.121223999999998,25.301223999999998,19.861224,24.621223999999998
54,19,2,22.904898,22.584898000000003,26.264898,25.704898,22.604898000000002,23.279795999999997,24.184898,21.664898,27.284898,24.764898000000002,27.264898,23.064898,27.544898,26.124898,18.684898,27.404898,23.164898,23.444898000000002,19.584898000000003,21.324898,20.324898,27.104898,25.984898,22.944898000000002,20.224898,23.204898,33.204898,20.304898,23.044898,22.504898,25.784898000000002,20.384898,24.924898000000002
55,20,0,23.49449,23.052245000000003,26.712245000000003,26.112245,23.052245000000003,23.736735,24.652245,22.092245000000002,27.772245,25.132245,27.738979999999998,23.412245000000002,28.052245000000003,26.572245000000002,18.992245,27.852245,23.612245,23.812245,19.932245,21.69449,20.692245,27.552245000000003,26.35898,23.31449,20.652245,23.532245,33.716735,20.692245,23.49898,22.952245,26.272245,20.952245,25.312245
56,20,1,23.895101999999998,23.395101999999998,27.115102,26.615102,23.435102,24.160204,25.055101999999998,22.455102,28.240204,25.695102,28.175102000000003,23.755101999999997,28.475102000000003,27.360204,19.295102,28.255102,23.975102,24.155102,20.235101999999998,22.135102,20.995102,28.095102,26.895102,23.695102,20.995102,23.855102,34.220203999999995,21.020204,23.915101999999997,23.315102,26.815102000000003,21.335102,25.675102
57,20,2,24.326122,23.746122,27.466122,27.046121999999997,23.786122,24.666122,25.486122,22.886122,28.746121999999996,26.086122,28.626122,24.126122,28.886121999999997,27.762245,19.646122000000002,28.606121999999996,24.326122,24.506122,20.542041,22.426122,21.346122,28.486121999999998,27.302245000000003,24.086122,21.426122,24.186122,34.706122,21.406122,24.286122,23.686122,27.306122,21.706122,26.086122
58,21,0,24.672653,24.160612,27.892653000000003,27.415306,24.177959,25.032653,25.892653,23.352653,29.252653000000002,26.572653000000003,28.992653000000004,24.552653,29.412653000000002,28.132653,19.972653,29.072653000000003,24.715305999999998,24.832653,20.835306,22.952653,21.652653,28.852653000000004,27.772653000000002,24.552653,21.892653,24.577959,35.135306,21.752653,24.692653,24.012653,27.832653000000004,22.092653,26.492653000000004
59,21,1,24.947405,24.640918,28.351837,27.911837,24.660918,25.475459,26.320918,23.731837,29.611837,26.999093,29.420918,24.991837,29.891837,28.651837,20.351837,29.511837,25.191837,25.191837,21.271836999999998,23.33523,21.970918,29.211837,28.351837,24.871837,22.251837,25.103946,35.611837,22.031837,24.94523,24.391837,28.331837,22.291837,26.951837
60,21,2,25.396507999999997,25.096508,28.876508,28.296508000000003,25.116508,25.916508,26.756508,24.076508,30.316508000000002,27.396508,29.936508,25.316508,30.296508000000003,29.436508,20.796508,30.156508000000002,25.636508,25.736507999999997,21.576508,23.696507999999998,22.276508,29.936508,28.716508,25.436508,22.776508,25.516507999999998,36.116508,22.576508,25.496508,24.756508,28.816508000000002,22.936508,27.576508
61,22,0,25.984082,25.564082,29.624082,28.824082,25.604082000000002,26.438163,27.244082000000002,24.524082,30.824082,28.024082,30.584082000000002,25.824082,30.824082,29.964082,21.164082,30.824082,26.144082,26.204082,22.004082,24.084082000000002,22.644082,30.544082,29.204082,25.844082,23.184082,26.084082000000002,36.684082000000004,22.984082,25.924082000000002,25.224082,29.344082,23.404082,28.404082
62,22,1,26.569388,26.052770000000002,30.029388,29.269388,26.069388,26.969388000000002,27.749388,24.909388,31.289388,28.469388000000002,31.129388,26.429388,31.368776,30.629388,21.509388,31.429388,26.609388,26.669388,22.449694,24.429388,22.989388,31.069388,29.689388,26.276463,23.689388,26.436463,37.368776000000004,23.389388,26.349388,25.589694,29.829388,23.989388,29.019694
63,22,2,27.059184000000002,26.359728000000004,30.499728,29.659728,26.379728000000004,27.359728000000004,28.179184000000003,25.279728,31.729456,29.219728000000003,31.639728,26.839728000000004,31.779728000000002,30.979728,21.839728,31.879728000000004,26.899728000000003,27.059728000000003,22.779728,24.869456,23.359728,31.499184000000003,30.128912,26.659728,24.009456,26.779728000000002,37.908367,23.759728,26.779728000000002,25.979728,30.279728000000002,24.409456,29.479184000000004
64,23,0,27.440408,26.720408000000003,31.060408000000002,30.020408000000003,26.740408000000002,27.715203999999996,28.680408,25.640407999999997,32.100408,29.600408,32.080408,27.220408000000003,32.241224,31.340408,22.200408,32.240408,27.260408,27.420408000000002,23.120407999999998,25.270816,23.720408,31.900408000000002,30.520408000000003,27.020408000000003,24.380408,27.140408,38.320408,24.150816,27.190815999999998,26.540408000000003,30.670816,24.820408,30.020408000000003
65,23,1,27.906939,27.166939000000003,31.386939,30.386939,27.186939000000002,28.026939000000002,29.106939,25.946939,32.606939000000004,30.046939000000002,32.406939,27.526939000000002,32.726939,31.748469,22.508469,32.608469,27.706939000000002,27.746939,23.415646,25.926939,24.086939,32.266939,30.946939,27.446939,24.706939000000002,27.446939,38.866939,24.588469,27.626939,26.848469,31.206939000000002,25.166939000000003,30.346939000000003
66,23,2,28.237959000000004,27.537959000000004,31.817959000000002,31.017959,27.577959000000003,28.597959000000003,29.597959000000003,26.297959000000002,33.037959,30.757959000000003,33.017959000000005,27.877959000000004,33.197959000000004,32.177959,22.857959,33.057959000000004,28.077959000000003,28.097959000000003,23.737959,26.297959000000002,24.357959,32.677959,31.657959,27.857959,25.117959,27.837959,39.537959,24.897959,28.005917999999998,27.237959000000004,31.677959,25.517959,30.745918
