,measure_number,beat_number,pid1263-25,pid50848-12,pid51495-05,pid5667230-13,pid5667269b-39,pid6100022-10,pid610003-27,pid9048-25,pid9049-25,pid9050-25,pid9054-25,pid9055-25,pid9057f-02,pid9057j-04,pid9058-25,pid9059-25,pid9060-25,pid9061-25,pid9062-25,pid9063-25,pid9065-19,pid9066-25,pid9067-24,pid9068-15,pid9070b-08,pid9071b-04,pid9072-25,pid9073-27,pid9074f-25,pid9075-25,pid9080-08,pid9089-09,pid9090-12,pid9092-12,pid9093-25,pid9094-25,pid9097-02,pid9098-09,pid9099-25,pid9101b-07,pid9103-13,pid9104-25,pid9105b-08,pid9111-25,pid9113-13,pid9118-25,pid9125-13,pid9127-08,pid9129-19,pid9133-14,pid9138-25,pid9139-25,pid9153-25,pid9165-05,pid9166g-04,pid9170-25,pid9174-25,pid917509-02,pid917813-04,pid9181-05,pid918726-08,pid918904-09,pid9192-25
10,5,0,6.879500999999999,5.279501,5.499501,6.279501,7.299500999999999,5.779501,9.739500999999999,7.599500999999999,6.519501,5.5395010000000005,6.479501,6.359501,5.879501,6.1195010000000005,5.319501,5.759501,4.379501,6.359501,4.819501,7.639500999999999,5.959501,6.019501,7.099500999999999,5.759501,4.3847510000000005,6.9995009999999995,6.399501,6.299501,6.499501,4.6195010000000005,6.659501,7.019500999999999,5.679501,8.759501,6.299501,6.9995009999999995,6.579501,6.359501,5.0395010000000005,6.099501,5.434751,6.479501,8.219501,7.079501,6.059501,8.139501,6.0947510000000005,6.399501,6.239501000000001,6.219501,6.859501,6.1195010000000005,5.0395010000000005,4.259501,6.359501,6.574750999999999,5.439501,6.219501,5.6195010000000005,7.059500999999999,6.819501,5.139501,5.659501000000001
11,5,1,7.625125,5.749391,5.925125,6.635041999999999,7.945125,6.373025,10.425125,8.325125,7.005125,6.205125,7.069025,6.909186999999999,6.885125,6.733781,5.789391,6.505125,4.805125,6.885125,5.4107199999999995,8.285125,6.615042,6.645125,7.825125,6.485125,4.925125,7.705125,7.105125,7.025125,6.925125,5.045125,7.505125,7.645125,6.045125,9.491891,6.849391000000001,8.085125,7.065125,7.075042,5.985125,6.625125,6.097562,7.065125,9.525125,7.569675,6.685125,8.685125,6.631375,6.965125,6.965125,7.085125,7.285125,6.585125,5.555042,4.745125,6.745125,7.185125,6.305125,6.985125,6.065125,7.785125,7.432521,5.891375,6.185125
12,5,2,8.217279,6.137279,6.397279,7.017278999999999,8.357279,6.65682,10.837278999999999,8.897279,7.5972789999999994,6.617278999999999,7.477278999999999,7.197278999999999,7.214546,7.0972789999999994,6.177279,7.077278999999999,5.217279,7.317278999999999,5.437279,8.817279,6.917279,7.057278999999999,8.237279,6.937278999999999,5.272273,8.099093,7.517278999999999,7.437278999999999,7.417279,5.457279,7.77682,8.057279,6.517279,9.763639,7.537278999999999,8.497278999999999,7.577278999999999,7.457279,6.397279,7.317278999999999,6.497279,7.477278999999999,9.937279,8.097278999999999,7.0972789999999994,9.097278999999999,6.857278999999999,7.424558,7.2789399999999995,7.497278999999999,7.777278999999999,7.077278999999999,5.879093,5.2572790000000005,7.257279,7.779116,6.7172789999999996,7.187025,6.477279,8.197279,7.757279,5.977279,6.697278999999999
13,6,0,8.951383,6.491383,6.851383,7.371383,8.711383,6.971383,11.291383,9.331383,8.011383,7.071383,7.931383,7.551383,7.491383,7.451383,6.531383,7.591383,5.571383,7.751383000000001,5.791383000000001,9.411383,7.391383,7.391383,8.591383,7.511383,5.431383,8.431383,7.931383,7.831383,7.911383,5.811383,8.071383,8.431383,6.871383,10.111383,7.912766,8.911383,7.931383,7.831383,6.751383000000001,7.971383,6.971383,7.831383,10.351383,8.591383,7.451383,9.472766,7.2113830000000005,7.951383,7.511383,7.851383,8.131383,7.7113830000000005,6.2113830000000005,5.6713830000000005,7.831383,8.311383,7.071383,7.511383,6.911383,9.011383,8.131383,6.391383,7.011383
14,6,1,9.772018,6.928002,7.671009,7.772017999999999,9.312018,7.492017999999999,11.912018,9.932018,8.424006,7.712018,8.512018,8.432018,8.032017999999999,8.392017999999998,7.024574,8.147003,6.092018,8.312018,6.212018,10.092018,8.012018,7.852017999999999,9.172018,8.032017999999999,5.912018,8.912018,8.592018,8.492018,8.532017999999999,6.277339,8.592018,9.052017999999999,7.326403999999999,10.592018,8.692018,9.532017999999999,8.852018,8.544006,7.452017999999999,8.540505,7.522403999999999,8.841009,11.192018,9.072018,8.072018,10.132017999999999,7.5920179999999995,8.601009,8.092018,8.712017999999999,8.545505,8.432018,6.672018,6.472018,8.352018,9.032017999999999,7.5920179999999995,8.170672999999999,7.372018,9.852018,8.632017999999999,6.852017999999999,7.572017999999999
15,6,2,10.129206,7.209206,8.029206,8.129206,9.689206,7.829206,12.389206,10.369206,8.729206,8.169205999999999,8.929206,8.729206,8.569206,8.889206,7.249206,8.509205999999999,6.489205999999999,8.709206,6.589206,10.509205999999999,8.309841,8.109206,9.549206,8.409206,6.069603,9.289206,8.929206,8.949206,9.049206,6.489205999999999,9.209206,9.429206,7.6892059999999995,10.989206,8.889206,9.889206,9.109206,8.909206,7.869206,8.869206,7.869206,9.049206,11.729206,9.709206,8.469206,10.489206,7.969206,8.969206,8.469206,9.089205999999999,8.889206,8.829206,6.999603,6.6492059999999995,8.729206,9.469206,7.949205999999999,8.489206,7.7096029999999995,10.229206,9.049206,7.1492059999999995,8.008413000000001
16,7,0,10.64458,7.62458,8.42458,8.484580000000001,10.14458,8.244580000000001,12.824580000000001,10.84458,9.06458,8.60458,9.34458,9.16458,9.20458,9.30458,7.66458,8.904580000000001,6.82458,9.18458,6.964580000000001,11.08458,8.66729,8.46458,9.984580000000001,8.904580000000001,6.36458,9.66729,9.50458,9.38458,9.72458,6.8445800000000006,9.64458,9.70458,8.12458,11.324580000000001,9.28458,10.38458,9.484580000000001,9.30458,8.30458,9.393741,8.404580000000001,9.44458,12.324580000000001,10.14458,9.00458,10.904580000000001,8.404580000000001,9.42458,8.86458,9.60458,9.27486,9.38458,7.384580000000001,7.004580000000001,9.18458,9.904580000000001,8.28458,9.08458,8.02458,10.88458,9.60458,7.467289999999999,8.44458
17,7,1,11.474103999999999,8.059345,8.834104,9.094104,10.754104,8.894103999999999,13.454104000000001,11.494104,9.554103999999999,9.234103999999999,9.794103999999999,10.114104,9.934104,9.874103999999999,8.106026,9.494104,7.174103999999999,9.894103999999999,7.454103999999999,11.914104,9.112052,9.834104,10.594104,9.834104,6.654103999999999,10.114104,10.354104,10.174104,10.274104,7.234103999999999,10.258035000000001,10.374103999999999,8.674104,11.814103999999999,9.854104,11.174104,9.994104,10.054103999999999,9.174104,10.174104,9.054103999999999,10.514104,13.154104,10.834104,9.894103999999999,11.554103999999999,9.034104,10.254104,9.754104,10.394103999999999,9.834104,10.254104,7.8541039999999995,7.514104,9.854104,10.590522,8.934104,9.694104,8.478821,11.534104,10.274104,7.994103999999999,9.118209
18,7,2,12.272698,8.432698,9.272698,9.612698,11.232698,9.392698,14.315397,12.212698,10.012698,10.095397,10.252697999999999,10.672698,10.972698,10.592698,8.472698,9.952698,7.6326979999999995,10.532698,7.912698,12.752697999999999,9.412697999999999,10.552698,11.052698,10.512698,6.932697999999999,10.572697999999999,10.972698,10.912697999999999,11.212698,7.692698,10.692698,10.912697999999999,9.292698,12.272698,10.432698,11.792698,10.672698,10.532698,9.852698,11.052698,9.472698,11.052698,14.412698,11.772698,10.575397,12.352698,9.592698,10.732698,10.092698,11.372698,10.292698,10.972698,8.252697999999999,7.832698,10.352698,11.252697999999999,9.592698,10.792698,8.832697999999999,12.672698,10.852698,8.432698,9.712698
19,8,0,12.816463,8.876463000000001,9.716463000000001,10.036463000000001,11.656463,9.776463,14.996463,12.676463,10.393231,10.536463000000001,10.676463,11.316463,11.736463,11.296463000000001,8.896463,10.442925,7.976463000000001,10.996463,8.332154,13.296463000000001,10.776463,10.897385,11.476463,11.236463,7.296463,10.996463,11.716463000000001,11.376463000000001,11.636463000000001,8.023292999999999,11.116463000000001,11.316463,9.796463000000001,12.696463,11.296463000000001,12.216463000000001,11.136463000000001,11.056463,10.276463,11.736463,9.876463000000001,11.496463,15.056463,12.256463,11.156463,12.776463,9.956463000000001,11.276463,10.796463000000001,11.882925,10.716463000000001,11.516463,8.613230999999999,8.276463,10.876463000000001,11.776463,10.076463,11.216463000000001,9.236463,13.096463,11.276463,8.799495,10.176463
20,8,1,13.510476,9.410476,10.370476,10.510475999999999,12.430475999999999,10.330475999999999,16.070476,13.450476,10.850475999999999,11.850475999999999,11.210476,12.110476,12.510475999999999,11.870476,9.450476,11.010475999999999,8.490476,11.650476,8.870476,13.970476000000001,11.570476,11.230476,12.190476,11.950476,7.8104759999999995,11.790476,12.370476,12.630476,12.206746,8.460952,12.130476,11.890476,10.530476,13.550476000000002,11.950476,13.330476,11.790476,11.910476,10.990476,12.330475999999999,10.370476,12.250475999999999,15.890476000000001,13.410951999999998,12.350475999999999,13.570476000000001,10.510475999999999,12.290476,11.490476,13.050476,11.390476,12.230476,9.090475999999999,9.090475999999999,11.450476,13.090475999999999,10.683386,11.930475999999999,9.660119,14.190476,11.850475999999999,9.138095,10.690476
21,8,2,13.922629999999998,9.714210000000001,10.782630000000001,10.76263,12.94263,10.80263,16.54263,13.86263,11.16263,12.32263,11.60263,12.48263,13.04263,12.282630000000001,9.756314999999999,11.42263,8.90263,12.02263,9.282630000000001,14.422629999999998,11.84263,11.54263,12.60263,12.30263,8.202630000000001,12.122630000000001,12.782630000000001,13.10263,12.60263,8.68263,12.56263,12.30263,10.90263,13.922629999999998,12.38263,13.742629999999998,12.14263,12.34263,11.40263,12.74263,10.702630000000001,12.60263,16.462629999999997,14.242629999999998,12.88263,13.962629999999999,10.76263,12.60263,11.82263,13.462629999999999,11.782630000000001,12.64263,9.40263,9.44263,11.862630000000001,13.582629999999998,10.96263,12.54263,10.00263,14.70263,12.26263,9.42263,11.04263
22,9,0,14.451564999999999,10.031564999999999,11.171565,11.151565,13.411565,11.191564999999999,17.011565,14.331565,11.550782,12.791565,12.091565,12.931564999999999,13.631565,12.751565,10.071565,11.811565,9.263855,12.431564999999999,9.611564999999999,14.911565,12.231565,11.891565,12.991565,12.851564999999999,8.611564999999999,12.611564999999999,13.211565,13.551565,13.031564999999999,9.010782,13.011565,12.691564999999999,11.331565,14.371564999999999,12.771564999999999,14.171565,12.591565,12.871564999999999,11.791565,13.171565,11.011565,13.011565,17.131565,14.731565,13.291565,14.350782,11.151565,12.991565,12.211565,13.951564999999999,12.251565,13.051565,9.811565,9.891565,12.271564999999999,14.051565,11.311565,13.011565,10.343855,15.273129,12.771564999999999,9.731565,11.431564999999999
23,9,1,15.115964000000002,10.422982000000001,11.615964,11.635964,14.135964000000001,11.735964,17.835964,15.155964,11.995964,13.615964000000002,12.695964,13.615964000000002,14.295964000000001,13.395964000000001,10.472982,12.355964,9.655963999999999,12.915964,10.135964,15.535964000000002,12.475964,12.515964,13.455964000000002,13.495964,9.115964,13.355964000000002,13.675964000000002,14.415964,13.495964,9.455964,13.735964000000001,13.175964000000002,11.915964,15.015964000000002,13.275964000000002,14.755964,13.195964000000002,13.455964000000002,12.255964,13.815964000000001,11.475964,13.475964000000001,18.095964000000002,15.435964000000002,13.755964,14.795964000000001,11.595964,13.455964000000002,12.715964,14.675964000000002,12.835964,13.775964000000002,10.375964,10.555964,12.735964,14.755964,11.775964,13.755964,10.855964,15.955964000000002,13.455964000000002,10.135964,11.975964
24,9,2,15.742901999999999,10.87658,12.102902,12.082902,14.762901999999999,12.162902,18.462902,15.982902,12.622902,14.282901999999998,13.282901999999998,14.122901999999998,14.922901999999999,13.982902,10.915484,12.842902,10.038685000000001,13.402902,10.702902,16.102902,13.102902,13.082902,14.082901999999999,14.122901999999998,9.722902000000001,13.982902,14.202901999999998,15.222902,13.802902,10.002902,14.362901999999998,13.742901999999999,12.502902,15.622901999999998,13.902902,15.382902,13.742901999999999,14.062902,12.811843,14.302902,12.102902,14.002901999999999,18.842902,16.202901999999998,14.382902,15.422901999999999,12.060806,14.142902,13.302902,15.302902,13.402902,14.382902,11.255805,11.102902,13.302902,15.322902,12.402902000000001,14.382902,11.204767,16.482902,13.982902,10.422902,12.622902
25,10,0,16.588526,11.188526,12.548525999999999,12.748526,15.568526,12.888525999999999,19.608526,16.828526,13.088526,15.368526000000001,13.888526,14.748526000000002,16.068526000000002,14.968526,11.228525999999999,13.388526,10.368526,13.668526000000002,10.948526,16.688526,14.628526,13.828526,14.808526,15.148526,10.448526,15.348526000000001,14.588526000000002,16.148526,14.388526,10.508526,15.148526,14.088526000000002,13.168526000000002,16.688526,14.508526000000002,16.128526,14.268526000000001,14.508526000000002,13.408526,15.028526000000001,12.708525999999999,14.728526,19.588526,16.968526,15.328526,16.148526,12.648525999999999,14.628526,13.768526000000001,16.148526,14.128526,15.128526,12.128525999999999,12.047052,13.988526,16.068526000000002,13.088526,15.108526000000001,11.569263000000001,17.227052,14.708526,10.808525999999999,13.348526000000001
26,10,1,17.223264999999998,11.527755,12.943265,13.143265,16.043264999999998,13.323265,20.003265,17.283265,13.483265,15.783265,14.343264999999999,15.356632999999999,16.623265,15.443265,11.567755,13.843264999999999,10.703265,14.163264999999999,11.323265,17.183265,15.063265,14.449796,15.203265,15.643265,10.843264999999999,15.903265,14.983265,16.543264999999998,14.823265,10.876633,15.823265,14.503264999999999,13.563265,17.303265,14.863265,16.723264999999998,14.783265,14.896633,13.863265,15.463265,13.096633,15.463265,20.243265,17.863265,15.883265,16.543264999999998,13.063265,15.003264999999999,14.143265,16.843265,14.523264999999999,15.578316000000001,12.523264999999999,12.723265,14.583264999999999,16.563264999999998,13.823265,15.583264999999999,11.903265,17.783265,15.163264999999999,11.183264999999999,13.903265
27,10,2,17.699388,11.851564999999999,13.311565,13.491565,16.411565,13.631565,20.351565,17.733129,13.833129000000001,16.131565,14.711565,15.611564999999999,17.013129,15.811565,11.911565,14.251565,11.051565,14.513129000000001,11.671565,17.553129000000002,15.331565,14.811565,15.551565,16.077823000000002,11.131565,16.291565,15.331565,16.891565,15.191564999999999,11.191564999999999,16.394694,14.831565,13.911565,17.711565,15.151565,17.071565,15.133129,15.231565,14.211565,15.811565,13.351564999999999,15.834694,20.777823,18.271565,16.231565,16.891565,13.411565,15.353129000000001,14.531564999999999,17.211565,14.931564999999999,15.891565,12.810522,13.131565,15.033129,16.991564999999998,14.171565,15.971565,12.251565,18.314694,15.511565,11.531564999999999,14.191564999999999
28,11,0,18.206304,12.126304,13.686304000000002,13.866304000000001,16.806304,13.926304,20.606304,18.146304,14.197261,16.366304,15.106304000000002,15.966304000000001,17.446304,16.246304000000002,12.166304,14.626304000000001,11.426304,14.926304,12.026304,18.006304,15.546304000000001,15.106304000000002,15.946304000000001,16.586304000000002,11.466304,16.726304000000003,15.726304,17.216051,15.586304,11.506304,16.826304,15.226304,14.306304,18.106304,15.485260999999998,17.346304,15.497260999999998,15.746304,14.606304000000002,16.206304,13.626304000000001,16.306304,21.366304,18.666304,16.586304000000002,17.246304000000002,13.826304,15.766304000000002,14.886304,17.566304000000002,15.286304000000001,16.188152,13.077261,13.526304000000001,15.428151999999999,17.366304,14.546304000000001,16.328152,12.566303999999999,18.766304,15.846304,11.846304,14.566304
29,11,1,18.618458,12.538458,14.094229,14.278457999999999,17.278457999999997,14.338458,20.958458,18.643832,14.583832000000001,16.758457999999997,15.518457999999999,16.378458,17.878458,16.658458,12.574228999999999,15.038457999999999,11.838458000000001,15.338458,12.438458,18.418457999999998,15.958457999999998,15.494229,16.358458,17.058457999999998,11.858458,17.178458,16.198458,17.558457999999998,16.075374,11.818458,17.238457999999998,15.743832000000001,14.775374,18.498458,15.915374,17.858458,15.774229,16.158458,15.055373999999999,16.675373999999998,14.038457999999999,16.718458,22.358458,19.103832,17.018458,17.598457999999997,14.298457999999998,16.158458,15.378457999999998,17.998458,15.658458,16.666916,13.383692000000002,13.958457999999998,15.912289999999999,17.798458,14.938457999999999,16.718458,13.038458,19.672992999999998,16.438457999999997,12.218458,15.038457999999999
30,11,2,19.173787,12.866757000000002,14.426757,14.626757000000001,17.663515,14.686757,21.298379,19.100272,14.966757000000001,17.106757,15.886757000000001,16.806757,18.286757,17.343515,12.906757,15.386757000000001,12.346757,15.686757,12.806757000000001,18.926757000000002,16.306757,15.826757,16.706757,17.540272,12.117351,17.526757,16.697029,17.906757,16.466757,12.166757,17.637029000000002,16.186757,15.146757000000001,18.846757,16.286757,18.206757,16.026757,16.478379,15.523515,17.046757,14.426757,17.046757,23.204059,19.566757,17.366757,17.946757,14.646757000000001,16.466757,15.726757000000001,18.346757,16.006757,17.046757,13.706757000000001,14.466757000000001,16.326757,18.206757,15.404059,17.106757,13.386757000000001,20.286757,16.806757,12.546757000000001,15.446757
31,12,0,19.523447,13.163447,14.763447,14.956723,18.023447,15.023447,21.603447,19.483447,15.283447,17.326723,16.263447,17.163447,18.643447000000002,17.783447,13.203447,15.723447,12.666723,16.023447,13.143447,19.303447,16.643447000000002,16.163447,17.043447,17.923447,12.347816,17.863447,17.063447,18.123447,16.803447,12.463447,17.966723,16.523447,15.483447,19.163447,16.623447,18.543447,16.283447,16.723447,15.923447,17.383447,14.863447,17.323447,23.963447,20.003447,17.743447,18.263447,14.983447,16.803447,16.063447,18.703447,16.323447,17.383447,13.986723000000001,14.803447,16.663447,18.543447,15.763447,17.386723,13.783447,20.643447000000002,17.143447000000002,12.883447,15.803447
32,12,1,19.989161,13.729160999999998,15.209160999999998,15.229160999999998,18.489161,15.389160999999998,22.009161,20.089160999999997,15.649161,17.689161,16.769160999999997,17.529161,19.149161,18.409160999999997,13.749160999999999,16.269160999999997,13.029161,16.588322,13.569161,19.749160999999997,17.029161,16.529161,17.409160999999997,18.409160999999997,12.709161,18.189161,17.429160999999997,18.489161,17.429160999999997,12.809161,18.329161,16.949161,15.849160999999999,19.529161,16.949161,19.149161,16.449161,17.069160999999998,16.349161,17.749160999999997,15.169160999999999,17.689161,24.589160999999997,20.369161,18.109161,18.629161,15.329161,17.189161,16.529161,19.349161,16.649161,17.749160999999997,14.349160999999999,15.429160999999999,17.149161,18.949161,16.249160999999997,17.729160999999998,14.289160999999998,21.089160999999997,17.629161,13.269160999999999,16.249160999999997
33,12,2,20.71746,14.09746,15.55746,15.49746,19.03746,15.73746,22.292496,20.51746,15.957460000000001,17.88373,17.21746,17.87746,19.59746,18.924920999999998,14.13746,16.61746,13.33746,16.93746,13.957460000000001,20.237460000000002,17.352288,16.87746,17.757460000000002,18.79746,13.037460000000001,18.515492000000002,17.89746,18.794746,17.79746,13.117460000000001,18.93746,17.29746,16.19746,19.917460000000002,17.29746,19.51746,16.757460000000002,17.417460000000002,16.724921,18.09746,15.57746,18.03746,25.232381,20.79746,18.417460000000002,18.97746,15.57746,17.627302,16.81746,19.69746,16.99746,18.09746,14.65746,16.01746,17.61746,19.35746,16.67746,18.077460000000002,14.63746,21.59746,18.03746,13.65746,16.59746
