,measure_number,beat_number,pid1263b-04,pid52932-19,pid9048b-08,pid9049b-04,pid9054b-04,pid9055b-04,pid9058b-04,pid9059b-08,pid9060b-02,pid9062b-07,pid9063b-08,pid9064-15,pid9066b-04,pid9069-04,pid9070b-16,pid9072b-08,pid9074g-04,pid9075b-04,pid9076-14,pid9077-02,pid9093b-10,pid9094b-04,pid9099b-08,pid9101b-15,pid9104b-04,pid9111b-06,pid9118b-08,pid9119-09,pid9139b-04,pid9158-10,pid9166k-05,pid9170b-04,pid9174b-04,pid9192b-04
30,11,0,18.597143,16.964285999999998,21.257143,14.337143,15.317143,22.217143,14.497143,15.657143,14.897143,19.617143,12.917143,18.224286,20.877143,19.457143,13.117142999999999,17.977142999999998,17.157142999999998,14.577143,18.717143,18.477142999999998,18.357143,19.177143,16.597143,16.737143,16.797143,20.317142999999998,17.257143,14.417143,19.984285999999997,14.177143,14.237143,20.237143,12.197142999999999,19.345714
31,11,1,19.125306,17.425306,21.745306,14.705306,15.665306,22.665306,14.845305999999999,16.065306,15.405306,20.045306,13.265305999999999,18.785306,21.385306,20.105306,13.525306,18.385306,17.565306,14.945306,19.125306,18.885306,18.737652999999998,19.625306,17.005306,17.165306,17.345306,20.685306,17.625306,14.765305999999999,20.425306,14.505306,14.645306,20.765306,12.465306,19.920612
32,11,2,19.609796,17.809796,22.169795999999998,14.989795999999998,15.989795999999998,23.049796,15.179898000000001,16.489796,15.809898,20.469796,13.609796,19.209796,21.709898000000003,20.689795999999998,13.809795999999999,18.809796,17.969898,15.259898000000002,19.489898,19.249898,19.089796,19.969796,17.389796,17.569796,17.809796,21.049796,17.989796,15.029796,20.869796,14.809795999999999,15.069795999999998,21.269796,12.779898,20.389796
33,12,0,20.122449,18.242449,22.602449,15.322448999999999,16.362448999999998,23.442449,15.562448999999999,16.922449,16.242449,21.032245,14.042449,19.674898000000002,22.142449,21.494898000000003,14.242448999999999,19.262449,18.382448999999998,15.562448999999999,19.862448999999998,19.622449,19.462449,20.439795999999998,17.822449,17.962449,18.314898,21.482449,18.402449,15.442449,21.302449,15.142449,15.442449,21.722448999999997,13.102449,20.894898
34,12,1,20.668571,18.708571,23.168571,15.648570999999999,16.828571,23.868571,15.968570999999999,17.428570999999998,16.708571,21.648571,14.408570999999998,20.108570999999998,22.668571,22.208571,14.608571,19.668571,18.768570999999998,15.988570999999999,20.288570999999997,20.048571,19.928570999999998,20.999285999999998,18.348571,18.488571,18.868571,21.848571,18.908571,15.848571,21.748571,15.508571,15.948571,22.328571,13.448571,21.508571
35,12,2,21.197754999999997,19.133878,23.713878,16.013878,17.293878,24.393878,16.433878,17.893878,17.133878,22.393878,14.813878,20.593878,23.113878,22.813878,15.093878,20.073878,19.353877999999998,16.433878,20.681939,20.441939,20.373878,21.433878,18.793878,18.973878,19.293878,22.213878,19.433878,16.213878,22.333878,15.873878,16.393878,22.893878,13.833979999999999,21.973878
36,13,0,21.892653,19.612652999999998,24.252653,16.412653,17.792653,25.072653,16.871326999999997,18.432653,17.572653,23.232653,15.251326999999998,21.152653,23.512653,23.532653,15.632653,20.532653,19.892653,16.911327,21.232653,21.012653,20.912653,21.992653,19.392653,19.531326999999997,19.912653,22.672653,20.052653,16.732653,23.012653,16.372653,16.912653,23.552653,14.132653,22.352653
37,13,1,22.496735,20.276735000000002,25.036735,16.936735000000002,18.376735,25.676735,17.356735,19.036735,18.016735,23.996735,15.693367000000002,21.776735000000002,24.436735000000002,24.376735,16.256735,20.943367000000002,20.416735,17.376735,21.636735,21.416735,21.516735,22.916735,20.056735,20.056735,20.656735,23.316735,20.656735,17.336735,23.796735,16.956735000000002,17.516735,24.396735,14.596735,23.116735000000002
38,13,2,22.954805,20.676639,25.462857,17.442857,18.721524,26.04881,17.862857,19.542857,18.342857000000002,24.442857,15.889451000000001,22.270989,24.828979999999998,24.882857,16.508060999999998,21.414694,20.82026,17.882857,21.962857,21.721825,21.762857,23.382857,20.458681,20.531169000000002,21.100571,23.757285999999997,20.942857,17.689206,24.127285999999998,17.279184,17.942857,24.867619,15.00881,23.498857
39,14,0,23.466122,21.086122,26.106122,17.786122,19.106122,26.686121999999997,18.386122,20.106122,18.886122,25.126122,16.406122,22.826122,25.506122,25.586122,17.066122,21.786122,21.286122,18.446122,22.406122,22.146122000000002,22.386122,24.006122,20.886122,21.066122,21.626122,24.286122,21.466122,18.026122,24.686122,17.626122,18.486122,25.446122,15.566122,23.966122
40,14,1,23.983265,21.543264999999998,26.823265000000003,18.203265,19.443265,27.263265000000004,18.743265,20.563264999999998,19.343265,25.729796,16.803265,23.603265,26.243265,26.203265,17.543264999999998,22.183265,21.663265,18.903265,22.783265,22.543264999999998,22.863265,24.523265,21.323265,21.656531,22.123265,24.843265,21.903265,18.483265,25.163265,18.003265,18.903265,25.963265,15.923264999999999,24.563264999999998
41,14,2,24.466939,21.966939,27.443878,18.526939000000002,19.806939,27.666939000000003,19.186939000000002,20.946939,19.926939,26.166939000000003,17.226939,24.106939,26.746939,26.906939,17.946939,22.626939,22.126939,19.206939000000002,23.146939,22.926939,23.246939,25.006939000000003,21.786939,22.066939,22.606939,25.186939000000002,22.306939,18.866939000000002,25.706939000000002,18.326939000000003,19.366939000000002,26.466939,16.346939000000003,25.106939
42,15,0,25.014286,22.334286,27.914285999999997,18.854286,20.134286,28.054285999999998,19.534285999999998,21.314286,20.334286,26.574285999999997,17.594286,24.534285999999998,27.114286,27.614286,18.314286,22.994286,22.494286,19.514286,23.494286,23.254285999999997,23.614286,25.374285999999998,22.174286,22.434286,22.974286,25.554285999999998,22.674286,19.174286,26.114286,18.654286,19.754285999999997,26.914285999999997,16.682143,25.534285999999998
43,15,1,25.526939000000002,22.786939,28.486939000000003,19.238469,20.486939000000003,28.486939000000003,19.906939,21.746939,20.786939,27.026939000000002,17.946939,24.946939,27.803878000000005,28.246939,18.746939,23.386939,22.906939,19.946939,23.848469,23.608469,24.006939000000003,25.766939,22.606939,22.866939000000002,23.426939,25.966939,23.066939,19.526939000000002,26.583878000000002,19.006939000000003,20.166939000000003,27.406939,17.006939000000003,26.106939
44,15,2,26.010612,23.190611999999998,28.950612,19.570612,20.810612,28.870612,20.290612,22.130612,21.291224,27.550612,18.290612,25.350611999999998,28.190611999999998,28.770612,19.130612,23.830612,23.290612,20.290612,24.230612,23.990612,24.390612,26.150612,23.070612,23.290612,23.870612,26.290612,23.430612,19.910612,27.110612,19.330612,20.550612,27.890612,17.350611999999998,26.550612
45,16,0,26.658776,23.598776,29.438776,19.978776,21.198776000000002,29.218776000000002,20.638776,22.538776000000002,21.738776,28.078776,18.678776,25.898776,28.558776,29.498776,19.578776,24.318776,23.678776,20.658776,24.658776,24.418776,24.858776000000002,26.578776,23.518776000000003,23.747551,24.298776,26.718776000000002,23.798776,20.258776,27.678776,19.758776,20.938776,28.358776000000002,17.758776,26.998776
46,16,1,27.633878000000003,24.173878,30.273878000000003,20.533878,21.813878,29.933878000000004,21.193878,23.093878,22.341632999999998,28.833878000000002,19.217959,26.593878000000004,29.213878,30.337754999999998,20.333878,24.953878,24.233878,21.113878,25.293878,25.053878,25.533878,27.197754999999997,24.333878,24.413878,24.933878,27.513878000000002,24.553878,20.813878,28.333878000000002,20.293878,21.473878,29.113878000000003,18.453878,27.773878000000003
47,16,2,28.004082,24.484082,30.704082,20.844082,22.304082,30.464082,21.584082000000002,23.404082,23.004082,29.364082,19.504082,26.964082,29.624082,30.884082,20.804082,25.284082,24.564082,21.424082000000002,25.664082,25.444082,25.864082,27.644082,24.664082,24.764082000000002,25.304082,28.084082000000002,24.964082,21.084082000000002,28.884082,20.604082000000002,21.784082,29.664082,18.844082,28.304082
48,17,0,28.552857,24.871429,31.191429,21.211429000000003,22.671429,31.051429,21.971429,23.771429,23.471429,29.891429,19.871429,27.451428999999997,30.034285999999998,31.532857,21.291429,25.751429,24.991429,21.831429,26.031429,25.811429,26.312857,28.071429,25.131429,25.211429000000003,25.731429000000002,28.551429,25.431429,21.431429,29.411429,20.951429,22.171429,30.254285999999997,19.231429000000002,28.892857
49,17,1,29.084898,25.324898,31.704897999999996,21.604898000000002,23.064898,31.504897999999997,22.324898,24.244898000000003,23.924898000000002,30.444898,20.264898000000002,27.944898,30.624897999999998,32.084897999999995,21.764898000000002,26.124898,25.419795999999998,22.224898,26.444898,26.204898,26.804897999999998,28.704897999999996,25.544898,25.704898,26.204898,29.049591999999997,25.824898,21.784898000000002,29.884898,21.284898000000002,22.604898000000002,30.864897999999997,19.644898,29.539796000000003
50,17,2,29.609184000000003,25.719592000000002,32.199591999999996,21.979592,23.439592,32.109184,22.739592000000002,24.579592,24.479592,30.859592,20.679592,28.539592,31.199592,32.939592,22.139592,26.539592,25.899592000000002,22.519592000000003,26.899592,26.679592,27.239592,29.079591999999998,25.989183999999998,26.099592,26.619591999999997,29.599591999999998,26.239592,22.119592,30.319592,21.619592,23.019592000000003,31.419591999999998,19.979592,30.099591999999998
51,18,0,30.122449,26.122449,32.822449,22.322449,23.762449,32.562449,23.062448999999997,24.922449,24.942449,31.382448999999998,21.022448999999998,28.902449,31.602449,33.562449,22.582449,26.942449,26.222448999999997,22.862448999999998,27.242449,27.022448999999998,27.622449,29.422449,26.422449,26.502449,27.042448999999998,30.142449,26.622449,22.482449,30.742449,21.922449,23.442449,31.862448999999998,20.322449,30.602449
52,18,1,30.700408000000003,26.560408000000002,33.320408,22.700408,24.180408,33.020408,23.440407999999998,25.420408,25.440407999999998,32.020408,21.400408,29.400408000000002,32.220408,34.200408,23.060408,27.340408,26.680408,23.275204000000002,27.680408,27.440408,28.060408000000002,29.920408000000002,26.880408000000003,27.040408000000003,27.500408,30.920408000000002,27.040408000000003,22.953469000000002,31.220408000000003,22.320408,24.020408,32.560408,20.680408,31.300408
53,18,2,31.132245,27.092245000000002,33.812245000000004,23.032245,24.592245000000002,33.592245,23.772245,25.812245,25.872245,32.712245,21.772245,29.852245,32.932245,35.052245,23.512245,27.772245,27.112245,23.612245,28.092245000000002,27.872245,28.412245000000002,30.272245,27.272245,27.472245,27.892245000000003,31.392245000000003,27.412245000000002,23.292245,31.672245,22.652245,24.392245000000003,33.072245,21.052245000000003,31.932245
54,19,0,31.692449,27.541224,34.301224,23.361224,24.961223999999998,34.081224,24.121223999999998,26.261224,26.321224,33.281224,22.181224,30.361224,33.381223999999996,35.901224,23.981223999999997,28.241224,27.581224,23.961223999999998,28.581224,28.341224,28.821224,30.721224,27.761224,28.063672999999998,28.341224,32.132449,27.861224,23.701224,32.241224,23.061224,24.761224,33.661224,21.501224,32.561223999999996
55,19,1,32.366122,28.126122,34.986121999999995,24.006122,25.486122,34.886122,24.566122,26.906121999999996,26.906121999999996,33.966122,22.666122,30.986121999999998,34.106122,36.846121999999994,24.433502,28.746121999999996,28.286122,24.506122,29.166121999999998,28.926121999999996,29.386121999999997,31.458060999999997,28.506121999999998,28.886121999999997,29.006121999999998,33.586121999999996,28.486121999999998,24.426122,33.126121999999995,23.546122,25.246122,34.566122,22.026122,33.486121999999995
56,19,2,32.896735,28.576735,35.516735,24.536735,25.876735,35.456734999999995,24.921671,27.436735,27.293367,34.496735,23.171347,31.356734999999997,34.596734999999995,37.376735,24.442977,29.276735,28.656734999999998,24.916735,29.541521000000003,29.304672999999998,29.916735,31.970374,28.943341999999998,29.416735,29.530962,34.116735,28.994456,24.859703,33.542673,24.076735,25.567228,35.236734999999996,22.551347,34.036735
57,20,0,33.376327,29.236327000000003,36.096327,24.823163,26.516327,36.476327000000005,25.296326999999998,28.016327,27.836327,35.156327000000005,23.456326999999998,31.936327000000002,35.356327,38.596327,24.519666,29.656327,29.456327,25.476326999999998,30.036327000000004,29.796327,30.356327,32.442653,29.456327,30.596327000000002,30.076327000000003,35.396327,29.416327000000003,25.296326999999998,34.036327,24.416327,26.156326999999997,36.076327,22.956326999999998,34.616327000000005
58,20,1,34.154286,29.914285999999997,37.014286,25.274286,27.054285999999998,37.634285999999996,25.614286,28.514286,28.314286,36.134285999999996,23.878095000000002,32.454285999999996,36.154286,40.014286,24.774286,30.154286,30.214285999999998,25.914285999999997,30.534285999999998,30.314286,31.054285999999998,33.054286,30.194285999999998,31.714285999999998,31.194285999999998,37.174285999999995,30.254285999999997,25.814286,34.694286,24.994286,26.814286,36.934286,23.594286,35.694286
59,20,2,34.554286,30.318571000000002,37.594286,25.594286,27.494286,38.094286,26.014286,28.914285999999997,28.754285999999997,36.574286,24.214285999999998,32.794286,37.054286,40.654286,25.041099,30.794286,30.634286,26.272143,30.974286,30.734285999999997,31.674286,33.574286,30.594286,32.134285999999996,31.694285999999998,37.594286,30.654286,26.214285999999998,35.154286,25.334286,27.174286,37.534286,23.954286,36.194286
60,21,0,34.997959,30.777959000000003,38.017959000000005,25.917959,27.897959000000004,38.477959000000006,26.337959,29.297959000000002,29.177959,37.057959000000004,24.53398,33.217959,37.545918,41.317959,25.119320000000002,31.197959,30.957959000000002,26.577959000000003,31.297959000000002,31.057959000000004,32.057959000000004,33.937959,30.977959000000002,32.557959000000004,32.097959,38.157959000000005,31.077959000000003,26.777959000000003,35.517959000000005,25.677959,27.757959000000003,38.057959000000004,24.277959,36.677959
61,21,1,35.643265,31.303265000000003,38.603265,26.323265000000003,28.323265000000003,39.143265,26.703265000000002,29.763265000000004,29.723265,37.823265,24.943265,33.823265,38.423265,42.183265000000006,25.357609,31.683265000000002,31.423265,27.023265000000002,31.763265000000004,31.523265000000002,32.703265,34.403265000000005,31.523265000000002,33.183265000000006,32.763265000000004,39.003265,31.743265,27.323265000000003,36.003265,26.063264999999998,28.223265,38.863265000000006,24.743265,37.643265
62,21,2,36.106939000000004,31.726939,39.046939,26.706939000000002,28.786939,39.526939,27.086939,30.146939,30.186939000000002,38.486939,25.346939000000003,34.326939,38.906939,43.086939,25.666939000000003,32.106939000000004,31.826939000000003,27.406939,32.186939,31.946939,33.086939,34.926939000000004,31.966939,33.646939,33.146939,39.386939,32.088469,27.706939000000002,36.586939,26.446939,28.586939,39.546939,25.086939,38.026939
63,22,0,36.789705,32.489115999999996,39.66941,27.049705,29.389409999999998,40.189705,27.609409999999997,30.609704999999998,30.729705,39.629705,25.829705,34.90941,39.409704999999995,43.809705,26.009705,32.669705,32.289705,27.909705,32.70941,32.469409999999996,33.569705,35.44941,32.589705,34.329705,33.84941,40.089705,32.629705,28.369115999999998,37.34941,26.909705,29.069705,40.409704999999995,25.389705,38.769705
64,22,1,37.831837,33.362449,40.502449,27.642449,30.122449,41.302448999999996,28.302449,31.242449,31.442449,40.662449,26.382448999999998,35.627347,40.722449,44.842449,26.822449,33.447347,32.862449,28.556224,33.422449,33.182449,34.542449,36.362449,33.474897999999996,35.359796,34.862449,41.142449,33.542449,29.242449,38.202449,27.562448999999997,29.582449,41.522449,25.922449,39.842449
