,measure_number,beat_number,pid1263b-16,pid5667250b-05,pid5667269b-33,pid9048b-29,pid9050b-18,pid9054b-18,pid9055b-16,pid9058b-16,pid9059b-20,pid9061b-13,pid9062b-19,pid9063b-22,pid9066b-16,pid9068-22,pid9069-16,pid9072b-20,pid9074g-16,pid9075b-16,pid9085-09,pid9085-17,pid9086-12,pid9094b-21,pid9097-25,pid9099b-22,pid9103-22,pid9104b-16,pid9114-26,pid9116-05,pid9118b-22,pid9124-16,pid9127-01,pid9130-12,pid9139b-18,pid9153b-18,pid9166l-15,pid9170b-18,pid9173-02,pid9174b-16,pid9185-06,pid918812-16,pid918904-13,pid9192b-18
10,5,0,6.8444899999999995,5.367245,7.024489999999999,7.3444899999999995,5.677245,6.8044899999999995,6.62449,5.12449,5.02449,6.06449,5.44449,7.8044899999999995,8.12449,6.0044900000000005,6.4244900000000005,5.9244900000000005,6.02449,4.30449,5.16449,5.36449,4.86449,7.984489999999999,8.004489999999999,5.10449,5.4244900000000005,6.16449,5.60449,6.637245,7.944489999999999,7.564489999999999,6.70449,7.904489999999999,4.88449,5.72449,7.404489999999999,5.16449,6.044490000000001,3.94449,4.774830000000001,7.54449,5.14449,5.38449
11,5,1,7.211836999999999,5.631837,7.391837,7.711836999999999,6.011837,7.1518369999999996,6.991836999999999,5.411837,5.360918,6.371837,5.711837,8.140918,8.591837,6.371837,6.891837,6.311837000000001,6.371837,4.631837,5.551837,5.710367,5.211837,8.571837,8.411837,5.471837,5.7718370000000006,6.480918,5.911837,6.911836999999999,8.251837,8.091837,7.091837,8.371837,5.2318370000000005,6.091837,7.760917999999999,5.551837,6.431837000000001,4.2718370000000006,5.031837,8.071837,5.391837000000001,5.7318370000000005
12,5,2,7.846939,6.126939,7.809388,8.158469,6.566939,7.566939,7.546939,5.758469,5.906939,6.846939,6.406939,8.686939,9.012823,6.886939,7.526939,6.866939,6.826939,4.9784690000000005,6.106939,6.186939,5.726939,9.286939,8.966939,5.906939,6.606939,6.986939,6.382313,7.306939,8.686939,8.746939,7.526939,8.986939,5.637388,6.666939,8.286939,6.106939,7.020816,4.706156,5.546939,8.706939,5.866939,6.218469
13,6,0,8.529388,6.5093879999999995,8.274847,8.809388,7.0893880000000005,8.129388,8.069388,6.173878,6.429387999999999,7.349388,6.729388,9.209388,9.449388,7.469388,8.109388000000001,7.549388,7.329388000000001,5.3048470000000005,6.789388000000001,6.619694,6.216565,9.929388000000001,9.649388,6.429387999999999,7.1293880000000005,7.549388,6.793231,7.649388,9.159694,9.469388,8.129388,9.509388000000001,6.069388,7.109388,8.829388,6.769388,7.6293880000000005,5.109388,6.069388,9.429388000000001,6.229388,6.709388000000001
14,6,1,9.251429,6.991428999999999,8.751429,9.331429,7.590476,8.551428999999999,8.771429,6.672762,7.111428999999999,7.899496000000001,7.3514289999999995,9.911429,10.271429,8.091429,8.631428999999999,8.171429,8.015714,5.742707,7.331428999999999,7.091429,6.650475999999999,10.771429,10.351429,6.951428999999999,7.8514289999999995,8.251429,7.291428999999999,8.251429,9.671429,10.691429,8.751429,10.212857000000001,6.711428999999999,7.551429,9.291428999999999,7.3514289999999995,8.451429,5.611429,6.671428999999999,10.651428999999998,6.531429,7.134603
15,6,2,9.727857,7.345714,9.405714,9.905714,7.947857000000001,8.865714,9.285714,6.905714,7.665714,8.185714,7.8019050000000005,10.425714,10.885714,8.545714,9.125714,8.825714,8.825714,6.125714,7.885714,7.441905,7.045714,11.465714,10.845714,7.525714,8.365714,8.805714,7.625714,8.765714,10.305714,11.445714,9.305714,10.785714,7.225714,7.945714,9.945714,7.885714,9.065714,5.947857,7.105714,11.405714,6.961905000000001,7.525714
16,7,0,10.097551,7.677550999999999,9.797551,10.297551,8.337551,9.183776,9.677551,7.197551,8.077551,8.497551,8.137551,10.837551,11.377550999999999,8.937551,9.545102,9.317551,9.317551,6.453776,8.257551,7.773776,7.437550999999999,12.017551,11.297551,7.917551,8.717551,9.16585,7.957551,9.097551,10.651888,11.977551,9.677551,11.297551,7.657551,8.317551,10.377550999999999,8.273776,9.472517,6.293776,7.497551,11.937551,7.217550999999999,7.857550999999999
17,7,1,10.476735000000001,7.996735,10.156735000000001,10.676735,8.676735,9.483367,10.036735,7.476735000000001,8.476735000000001,8.836735000000001,8.443367,11.183367,11.703367,9.336735000000001,9.956735,9.736735000000001,9.676735,6.756735000000001,8.596735,8.053367,7.756735000000001,12.676735,11.676735,8.256735,9.076735000000001,9.496735000000001,8.233367,9.376735,10.956735,12.516735,9.996735000000001,11.776735,7.983366999999999,8.696735,10.816735000000001,8.603367,9.796735,6.576735,7.8567350000000005,12.496735000000001,7.516735000000001,8.156735000000001
18,7,2,10.901224000000001,8.461224000000001,10.621224,11.181224,9.161224,9.861224,10.461224000000001,7.841224,9.121224,9.261224,8.961224000000001,11.581224,12.132449000000001,9.841224,10.401224000000001,10.261224,10.141224000000001,7.221224,8.981224000000001,8.441224,8.201224,13.561224,12.161224,8.741224,9.621224,9.952449,8.601224,10.001224,11.441224,13.201224,10.381224000000001,12.281224,8.381224000000001,9.221224000000001,11.281224,8.981224000000001,10.252449,6.9212240000000005,8.441224,13.181223999999998,7.861224000000001,8.601224
19,8,0,11.389388,8.969388,11.229388,11.709388,9.669388,10.349388000000001,10.869388,8.194847,9.929388000000001,9.829388,9.489388,11.989388,12.669388,10.329388,10.889388,10.749388,10.749388,7.6293880000000005,9.349388000000001,8.819694,8.569388,14.089388,12.629388,9.269388000000001,10.249388,10.489388,8.959694,10.309388,11.909388,13.889388,10.769388000000001,12.829388,8.789388,9.829388,11.969388,9.349694,10.729388,7.309388,9.089388,13.869388,8.209388,8.989388
20,8,1,11.731428999999999,9.251429,11.671429,12.151428999999998,10.051428999999999,10.671429,11.171429,8.411429,10.331429,10.131428999999999,9.811428999999999,12.351429,13.011429,10.671429,11.331429,11.191429,11.271429,7.951428999999999,9.671429,9.111429,8.871429,14.531429000000001,13.071429,9.591429,10.571429,10.851429,9.251429,10.631428999999999,12.331429,14.331429,11.191429,13.351429000000001,9.131428999999999,10.211428999999999,12.391428999999999,9.691429,11.051428999999999,7.611428999999999,9.431429,14.311429,8.491429,9.291428999999999
21,8,2,12.287755,9.767755000000001,12.187755000000001,12.627755,10.707755,11.167755,11.587755,8.787755,10.907755,10.547755,10.287755,12.867755,13.827754999999998,11.267755000000001,11.787755,11.707755,11.847755000000001,8.427755,10.207755,9.567755,9.347755000000001,15.027754999999999,13.707754999999999,10.047755,11.307755,11.367755,9.727755,11.087755,12.94551,14.987754999999998,11.787755,14.027754999999999,9.707755,10.747755,12.867755,10.207755,11.467755,8.027755,10.087755,14.967754999999999,8.987755,9.727755
22,9,0,12.785714,10.185714,12.765714,13.245714000000001,11.265714,11.605714,12.085714,9.227857,11.545714,11.085714,10.825714,13.405714000000001,14.285714000000002,11.965714,12.285714,12.385714,12.505714,8.945714,10.765714,10.065714,9.798929,15.685714,14.265714000000001,10.525714,11.905714,11.985714,10.205714,11.725714,13.585714000000001,15.545714000000002,12.345714,14.785714000000002,10.187857000000001,11.325714,13.325714000000001,10.765714,11.985714,8.445714,10.577857,15.525714,9.487857,10.185714
23,9,1,13.396327,10.656327000000001,13.436326999999999,13.776326999999998,12.036327,12.176327,12.616327,9.576327000000001,12.196327,11.736327000000001,11.436327,14.016326999999999,14.916326999999999,12.536327,12.816327000000001,13.156327,13.196326999999998,9.476327000000001,11.416327,10.596327,10.272109,16.356327,15.096326999999999,11.296327,12.536327,12.776327,10.796327,12.256327,14.316327,16.076327,13.176326999999999,15.736327,10.676327,12.056327,13.756326999999999,11.456327,12.476327000000001,8.976327000000001,11.056327,16.036327,10.056327,10.576327000000001
24,9,2,13.902448999999999,11.242449,14.102448999999998,14.262448999999998,12.542449000000001,12.802449000000001,13.122449,9.966224,12.842449,12.602449,11.962449000000001,14.642449,15.862449,13.302449,13.362449,13.942449,13.862449,10.022449,12.102449,11.202449,10.706224,17.202448999999998,15.602448999999998,12.002449,13.142449,13.442449,11.246224,13.102449,15.202449,16.466224,13.682448999999998,16.942449,11.182449,12.582449,14.246224,12.122449000000001,13.022449,9.482449,11.822449,16.426223999999998,10.642449000000001,11.022449
25,10,0,14.565306,11.885306,14.705306,14.865306,13.285306,13.545306,13.865306,10.505306,13.565306,13.485306,12.605306,15.305306,16.305305999999998,14.145306,13.905306,14.585306,14.665306,10.645306,12.685306,11.805306,11.205306,18.045306,16.165306,12.785306,14.085306,14.305306,11.925305999999999,13.845305999999999,15.985306,17.165306,14.425305999999999,18.265306,11.765305999999999,13.285306,14.865306,12.685306,13.925305999999999,10.225306,12.531177,17.125306,11.225306,11.585306
26,10,1,15.191020000000002,12.491019999999999,15.291020000000001,15.451020000000002,14.131020000000001,14.471020000000001,14.551020000000001,11.01102,14.231020000000001,14.211020000000001,13.17102,16.37102,16.953060999999998,14.99102,14.57051,15.291020000000001,15.41102,11.23102,13.271020000000002,12.43102,11.71102,18.79102,17.011020000000002,13.511020000000002,14.731020000000001,15.09102,12.53102,14.59102,16.87102,17.75017,15.17102,19.351020000000002,12.571019999999999,13.791020000000001,15.431020000000002,13.271020000000002,14.67102,11.13102,12.991019999999999,17.73017,11.75102,12.27102
27,10,2,15.534932000000001,12.876199,15.839592000000001,15.901198999999998,14.628264999999999,15.459592,15.179592000000001,11.358639,14.739592000000002,14.858699,13.683698999999999,17.059942000000003,17.919592,15.503699,15.062398000000002,15.847918,16.006531,11.704399,13.819592000000002,12.819955,12.039973,19.339955,17.508699,14.179592000000001,15.301599,15.699592,13.597085,15.077085,17.454227,18.158959,15.681598999999999,19.999592,13.082398,14.299918,16.034932,13.757085,15.239592000000002,11.636399,13.482398000000002,18.139963,12.271599,12.831199
28,11,0,16.022857000000002,13.242857,16.362857,16.402857,15.182857,15.982857000000001,15.742857,11.682857,15.302857000000001,15.322857,14.182857,17.522857000000002,18.622857,15.962857000000001,15.562857000000001,16.342857000000002,16.522857000000002,12.136429,14.182857,13.262857,12.422857,19.842857000000002,18.042857,14.622857000000002,15.662857,16.122857,14.015714000000001,15.482857000000001,17.842857000000002,18.622857,16.162857000000002,20.602857,13.562857000000001,14.802857000000001,16.522857000000002,14.182857,15.722857000000001,12.022857,14.022857,18.602857,12.702857,13.202857
29,11,1,16.362041,13.562041,16.722041,16.782041,15.582041,16.322041,16.102041,12.002041,15.722041,15.682041,14.522041,17.914082,19.022041,16.366122,15.982041,16.762041,16.882041,12.482041,14.542041000000001,13.622041000000001,12.782041,20.322041,18.462041,15.022041,16.022041,16.462041,14.382041000000001,15.842041,18.222041,19.002041000000002,16.522041,21.074082,13.922041,15.142041,17.062041,14.542041000000001,16.062041,12.382041000000001,14.382041000000001,18.982041,13.022041,13.562041
30,11,2,16.845533,14.005532999999998,17.205533,17.265532999999998,16.125532999999997,16.705533,16.545533,12.345533,16.265532999999998,16.205533,14.965532999999999,18.425532999999998,19.445532999999998,16.825533,16.425532999999998,17.265532999999998,17.345533,12.905533,15.005532999999998,14.085532999999998,13.285533,20.805532999999997,19.025533,15.425532999999998,16.725533,16.865533,14.845532999999998,16.285532999999997,18.645533,19.585532999999998,16.945532999999998,21.805532999999997,14.365533,15.585532999999998,17.645533,15.005532999999998,16.465532999999997,12.905533,14.825532999999998,19.565533,13.445533,14.065532999999999
31,12,0,17.54585,14.34585,17.66585,17.92585,16.54585,17.10585,17.12585,12.74585,16.76585,16.717925,15.44585,18.96585,19.88585,17.44585,16.90585,17.78585,17.78585,13.28585,15.42585,14.497925,13.70585,21.26585,19.60585,15.94585,17.26585,17.38585,15.20585,16.80585,19.16585,20.16585,17.42585,22.32585,14.757925,16.12585,18.20585,15.42585,17.00585,13.32585,15.40585,20.127925,13.90585,14.58585
32,12,1,18.094184,14.778367000000001,18.258367,18.378367,17.138367000000002,17.438367,17.718367,13.198367000000001,17.318367000000002,17.298367000000002,15.838367000000002,19.778367000000003,20.503469,18.038367,17.538367,18.238367,18.278367000000003,13.698367000000001,15.778367000000001,14.888836999999999,14.142951,21.738367,20.478367000000002,16.378367,17.918367,17.898367,15.618367000000001,17.398367,19.638367000000002,20.646122000000002,18.026735000000002,22.978367000000002,15.198367000000001,16.498367000000002,18.778367000000003,15.778367000000001,17.578367,13.798367,15.878367,20.638367000000002,14.438367000000001,15.028707
33,12,2,18.53949,15.08898,18.80898,18.80898,17.688979999999997,17.828979999999998,18.24898,13.708979999999999,17.848979999999997,17.62898,16.22898,20.20898,21.44898,18.46898,18.04898,18.72898,18.60898,14.188979999999999,16.148979999999998,15.288979999999999,14.448979999999999,22.22898,20.96898,16.78898,18.488979999999998,18.42898,15.92898,17.839489999999998,20.12898,21.168979999999998,18.54898,23.56898,15.648979999999998,16.988979999999998,19.20898,16.148979999999998,18.10898,14.08898,16.30898,21.148979999999998,14.948979999999999,15.42898
34,13,0,18.83551,15.35551,19.23551,19.23551,18.05551,18.15551,18.57551,14.041020000000001,18.241020000000002,17.91551,16.535510000000002,20.646531,21.99551,18.81551,18.41551,19.09551,18.99551,14.53551,16.54102,15.59551,14.81551,22.67551,21.39551,17.13551,18.83551,18.77551,16.212754999999998,18.07551,20.49551,21.57551,18.97551,24.035510000000002,15.95551,17.33551,19.695510000000002,16.54102,18.45551,14.415510000000001,16.67551,21.535510000000002,15.311836999999999,15.77551
35,13,1,19.202041,15.666020000000001,19.560679999999998,19.622041,18.382041,18.502041000000002,18.902041,14.35356,18.642041,18.202041,16.842041000000002,21.022041,22.46602,19.15602,18.742041,19.44068,19.422041,14.862041,16.882041,15.906020000000002,15.162041,23.122041,21.762041,17.462041,19.202041,19.05801,16.502041000000002,18.35602,20.76602,22.082041,19.502041000000002,24.482041,16.30602,17.682041,20.102041,16.902041,18.962041,14.726020000000002,17.002041000000002,22.062041,15.56068,16.12602
36,13,2,19.74,16.1,20.04,20.12,18.9,19.02,19.4,14.72,19.14,18.64,17.36,21.56,22.895,19.58,19.24,19.9,20.0,15.206667000000001,17.4,16.34,15.66,23.72,22.28,17.9,19.9,19.52,16.94,18.64,21.14,22.68,20.14,25.1,16.695,18.18,20.58,17.4,19.64,15.18,17.46,22.66,16.025,16.64
37,14,0,20.395101999999998,16.465034,20.535102,20.835102,19.415101999999997,19.595102,19.955102,15.295020000000001,19.695102,19.195102,17.891276,22.135102,23.435102,20.191701000000002,19.855102,20.512551000000002,20.515102,15.615101999999998,17.975102,16.79102,16.125034,24.295102,22.875102,18.495102,20.455102,20.075101999999998,17.29502,19.035102,21.535102,23.655102,20.59902,25.775102,17.15502,18.755101999999997,21.415101999999997,17.975102,20.375102,15.615101999999998,17.975102,23.635102,16.535102,17.195102
38,14,1,20.917551,16.837551,20.897551,21.392653,19.997551,20.117551000000002,20.477551000000002,15.757551000000001,20.297551000000002,19.657551,18.457551000000002,22.972653,24.237551,20.677551,20.377551,20.917551,20.997551,16.097551,18.497551,17.197551,16.597551,25.005101999999997,23.597551,18.977551000000002,21.057551,20.737551,17.697551,19.517551,22.057551,24.390407999999997,21.077551,26.557551,17.705102,19.257551,21.897551,18.497551,21.177551,16.057551,18.477551000000002,24.297551000000002,17.037551,17.613444
39,14,2,21.45102,17.19102,21.29102,22.19102,20.55102,20.53102,20.95102,16.13102,20.91102,20.05102,18.93102,23.71102,24.991020000000002,21.151020000000003,20.93102,21.651020000000003,21.71102,16.57102,19.03102,17.58051,17.03102,25.671020000000002,24.11102,19.671020000000002,21.63102,21.331020000000002,18.011020000000002,19.991020000000002,22.63102,25.151020000000003,21.61102,27.311020000000003,18.21102,19.69102,22.592041000000002,19.03102,21.93102,16.45102,18.971020000000003,25.11102,17.75102,17.971020000000003
40,15,0,21.871837,17.511837,21.793673000000002,22.573673,21.031837,20.871837,21.391837,16.431836999999998,21.411837,20.413673,19.354367,24.231837,25.511837,21.571837,21.531837,22.251837,22.311837,17.051837,19.411837,17.937279,17.471837,26.131837,24.511837,20.191837,22.071837,21.871837,18.380917999999998,20.391837,23.051837,25.711837,22.271836999999998,27.951837,18.691837,20.051837,23.153673,19.411837,22.431836999999998,16.991837,19.411837,25.691837,18.151837,18.291837
41,15,1,22.238367,17.798367000000002,22.398367,22.958367000000003,21.398367,21.192789,21.718367,16.758367,21.878367,20.838367,19.618367000000003,24.638367000000002,25.838367,21.998367000000002,21.958367000000003,22.938367,22.858367,17.478367000000002,19.724184,18.218367,17.818367000000002,26.618367,24.978367000000002,20.638367000000002,22.318367000000002,22.358367,18.658367000000002,20.678367,23.538367,26.558366999999997,22.658367000000002,28.498367,19.018367,20.478367000000002,23.618367000000003,19.732789,22.758367,17.518367,19.838367,26.538366999999997,18.518367,18.618367000000003
42,15,2,22.613878,18.153878,22.773878,23.353877999999998,21.773878,21.513878,22.093878,17.013878,22.313878,21.273878,20.073878,25.033878,26.193878,22.453878,22.333878,23.373878,23.393878,17.833878,20.033878,18.513878,18.201939000000003,27.073878000000004,25.413878,21.073878,22.733878,22.733878,18.953878,21.053878,23.833878,27.093878000000004,22.993878,28.993878000000002,19.381939000000003,21.013878,24.153878,20.053878,23.173878,17.853877999999998,20.193878,27.053878000000005,18.851939,18.973878
43,16,0,23.009093,18.489546,23.129093,23.701819,22.10987,21.829093,22.549093,17.289092999999998,22.889093,21.769092999999998,20.549773000000002,25.449092999999998,26.445455,22.889819,22.729093,23.709093,23.889773,18.149093,20.359909,18.799007999999997,18.529698,27.549093,25.809093,21.549093,23.249093,23.189093,19.249819,21.588186,24.063233,27.629093,23.309819,29.489093,19.729698000000003,21.669093,24.529093,20.369819,23.629093,18.127387,20.549849,27.609092999999998,19.169093,19.269092999999998
44,16,1,23.472653,18.932653,23.612652999999998,24.175306,22.552653,22.332653,23.032653,17.632653,23.535306,22.455306,20.972653,25.992653,26.955306,23.395306,23.332653,24.232653,24.432653,18.692653,20.752653,19.152653,18.952653,28.192653000000004,26.372653000000003,22.112652999999998,23.772653,23.852653,19.652653,22.435306,24.412653,28.132653,23.732653,30.032653000000003,20.152653,22.212653,25.012653,20.772653,24.372653,18.512653,20.972653,28.132653,19.612652999999998,19.672653
45,16,2,23.89551,19.27551,24.026531,24.61551,22.91551,22.695510000000002,23.375510000000002,17.95551,23.91551,22.84102,21.29551,26.475509999999996,27.37551,23.85551,23.695510000000002,24.761020000000002,24.83551,19.13551,21.09551,19.43551,19.33551,28.615509999999997,26.815509999999996,22.50102,24.17551,24.195510000000002,19.97551,22.81551,24.715510000000002,28.53551,24.17551,30.67551,20.49551,22.47551,25.39551,21.11551,24.85551,18.875510000000002,21.33551,28.495509999999996,20.01551,19.99551
46,17,0,24.33551,19.695510000000002,24.772041,25.09551,23.43551,23.09551,23.77551,18.33551,24.51551,23.59551,21.695510000000002,27.135509999999996,28.155509999999996,24.45551,24.17551,25.57551,25.39551,19.535510000000002,21.535510000000002,19.83551,19.81551,29.395509999999998,27.395509999999998,23.17551,24.83551,24.89551,20.41551,23.41551,25.07551,29.03551,24.761020000000002,31.635509999999996,20.91551,22.81551,25.875510000000002,21.55551,25.47551,19.29551,22.11551,28.995509999999996,20.65551,20.49551
47,17,1,24.972245,20.164082,25.332245,25.612245,24.052245000000003,23.592245000000002,24.412245000000002,18.724082,25.132245,24.372245,22.272245,27.952245,28.872245,25.132245,24.692245,26.312245,26.092245000000002,20.092245000000002,22.172245,20.392245000000003,20.452245,30.112245,28.112245,23.992245,25.512245,25.552245000000003,21.052245000000003,24.072245000000002,25.452245,29.572245000000002,25.552245000000003,32.652245,21.392245000000003,23.192472,26.312245,22.172245,26.252245000000002,19.892245000000003,22.752245000000002,29.552245000000003,21.332245,21.072245000000002
48,17,2,25.636463,20.676463000000002,25.876463,26.056463,24.796463,24.136463,25.156463000000002,19.196463,25.996463000000002,25.256463,22.756463,28.736463,29.816463,25.976463,25.336463000000002,27.356463,27.116463,20.936463,22.876463,21.156463000000002,21.136463,30.956463,28.796463,24.856463,26.256463,26.396463,21.636463,24.916463,26.076463,30.416463,26.136463,33.816463,21.876463,23.596463,26.776463,22.876463,27.176463000000002,20.863231,23.576463,30.396463,22.176463000000002,21.656463000000002
49,18,0,26.434263,21.223807,26.414263000000002,26.614263,25.314263,24.694263,25.834263,19.751066,26.494263,26.014263,23.226853,29.362132,30.151065999999997,26.771065999999998,26.014263,27.834263,27.662038,21.503807000000002,23.334263,21.587377,21.522426,31.556065999999998,29.437377,25.654263,27.054263,26.914263000000002,22.234263000000002,25.451066,26.540533,31.094263,26.714263,34.794263,22.294853,24.094263,27.454263,23.334263,28.194263,21.434263,24.314263,31.074263000000002,22.771066,21.994263
50,18,1,27.130975,21.810975,27.07195,27.110975,25.710975,25.510975,26.470975,20.410975,27.190975,26.910975,23.810975,30.210975,30.690975,27.690975,26.670975,28.650975,28.250975,22.090975,23.830975,22.090089000000003,21.950975,32.170975,30.350975,26.410975,27.730975,27.530975,23.030975,26.11195,27.050163,31.870975,27.470975,35.790975,22.950975,24.290244,28.010975,23.830975,28.910975,22.030975,25.030975,31.850975,23.310975,22.290975
51,18,2,27.532653000000003,22.252653,27.692653000000004,27.552653000000003,26.232653000000003,25.998265,27.032653000000003,20.812653,27.732653000000003,27.452653,24.252653,30.732653000000003,31.292653,28.204218,27.212653000000003,29.131327000000002,28.752653000000002,22.612652999999998,24.161327,22.352653,22.412653,32.752653,31.032653000000003,26.892653000000003,28.272653000000002,27.946531,23.592653,26.692653000000004,27.364218,32.292653,27.932653000000002,36.412653000000006,23.332653,24.507109,28.592653000000002,24.165663000000002,29.752653000000002,22.432653,25.612652999999998,32.272653000000005,23.692653,22.584265
52,19,0,28.088163,22.668163,28.168163,27.968163,26.568163000000002,26.268163,27.408163000000002,21.186327,28.108163,27.746327,24.588163,31.306327000000003,32.148163000000004,28.686327000000002,27.608163,29.546327,29.166327000000003,22.848163,24.546326999999998,22.686327,22.668163,33.208163,31.708163,27.388163,28.708163,28.328163,24.028163,27.108163,27.702721,32.748163,28.308163,37.108163,23.766327,24.808163,29.15898,24.528163,30.128163,22.808163,26.208163,32.708163,24.068163000000002,22.908163000000002
