,measure_number,beat_number,pid1263b-12,pid52932-24,pid5667249-22,pid5667271-05,pid5667274b-06,pid58917-06,pid9048b-16,pid9049b-12,pid9050b-12,pid9054b-12,pid9055b-12,pid9056-07,pid9058b-12,pid9059b-16,pid9060b-10,pid9061b-09,pid9062b-15,pid9063b-16,pid9064-21,pid9066b-12,pid9068-20,pid9069-12,pid9070b-24,pid9072b-16,pid9074g-12,pid9075b-12,pid9085-16,pid9086-13,pid9088-22,pid9089-07,pid9090-21,pid9093b-18,pid9094b-12,pid9097-24,pid9099b-16,pid9101c-06,pid9102-07,pid9103-20,pid9104b-12,pid9111b-14,pid9116-20,pid9118b-16,pid9119-14,pid9121-07,pid9124-13,pid9127-06,pid9129-17,pid9130-11,pid9138b-12,pid9139b-12,pid9153b-12,pid915412b-21,pid9166l-10,pid9170b-12,pid9172-10,pid9174b-12,pid918713-20,pid918805-02,pid918812-13,pid918904-12,pid9190-09,pid9192b-12
10,5,0,6.115873000000001,5.9958730000000005,6.5358730000000005,6.150734,8.115872999999999,6.715872999999999,6.775873,7.035873,6.335873,6.775873,6.4958730000000005,5.462937,5.802937,5.835873,5.562937000000001,8.955873,5.9958730000000005,6.815873,6.735873,8.295873,5.211958,5.795873,4.475873,5.415873,7.615873,5.335873,6.675872999999999,5.9958730000000005,5.791175,6.415873,7.235873,6.855873,6.375873,5.815873000000001,5.355873,6.4958730000000005,5.115873000000001,6.095873,6.052937,6.342937,6.575873,7.075873,4.775873000000001,6.635872999999999,6.4958730000000005,7.035873,6.595872999999999,7.595872999999999,6.775873,5.795873,6.135873,6.375873,5.0758730000000005,5.335873,6.195873000000001,5.615873000000001,6.515873,6.515873,6.455873,6.0358730000000005,6.0358730000000005,6.095873
11,5,1,6.606395,6.446395,7.0063949999999995,6.446395,8.626395,7.186395,7.166395,7.526395,6.726395,7.146395,6.886394999999999,5.946395,6.286395,6.346394999999999,5.9663949999999994,9.646395,6.426394999999999,7.286395,7.186395,9.206395,5.686395,6.266394999999999,4.826395,5.946395,8.166395,5.786395,7.326395,6.486395,6.146395,6.886394999999999,7.706395,7.406395,6.906395,6.146395,5.846394999999999,6.946395,5.386394999999999,6.526395,6.446395,6.806394999999999,7.0063949999999995,7.5863949999999996,5.226395,7.106395,6.986395,7.406395,7.126395,8.066395,7.246395,6.266394999999999,6.5863949999999996,6.786395,5.426394999999999,5.846394999999999,6.646395,6.0063949999999995,6.926394999999999,6.946395,6.9663949999999994,6.526395,6.4663949999999994,6.646395
12,5,2,7.052245,6.812245,7.452245,6.792244999999999,9.112245,7.792244999999999,7.652245,8.032245,7.352245,7.572245,7.512245,6.392245,6.752244999999999,6.8722449999999995,6.4122449999999995,10.412245,6.932245,7.732245,8.092245,9.752245,6.132244999999999,6.732245,5.200374,6.4122449999999995,8.652244999999999,6.252244999999999,7.952245,7.092245,6.692245,7.232245,8.232244999999999,8.072245,7.492245,6.812245,6.4122449999999995,7.432245,5.772245,7.052245,6.952245,7.3722449999999995,7.4122449999999995,8.132245,5.632244999999999,7.632244999999999,7.432245,7.9122449999999995,7.772245,8.632245,7.692245,6.752244999999999,6.992245,7.312245,5.792244999999999,6.244082,7.072245,6.492245,7.572245,7.552245,7.4122449999999995,7.172244999999999,6.9122449999999995,7.292244999999999
13,6,0,7.585033999999999,7.225034,7.878759,7.1575169999999995,9.425034,8.265034,8.165034,8.465034,7.925033999999999,7.945034,7.965033999999999,6.865034,7.225034,7.365034,6.765034,10.905033999999999,7.405034,8.185034,8.532506,10.185034,6.545033999999999,7.2050339999999995,5.605034,7.025034,9.105034,6.6650339999999995,8.395011,7.605034,7.105034,7.645034,8.665034,8.585034,7.945034,7.2050339999999995,6.945034,7.945034,6.225034,7.485034,7.365034,7.825034,7.838759,8.585034,5.965033999999999,8.155102000000001,7.885033999999999,8.345034,8.300068,9.165034,8.125034,7.225034,7.445034,7.7450339999999995,6.1650339999999995,6.6650339999999995,7.425007000000001,6.917007000000001,8.075011,7.985034,7.865034,7.605034,7.247517,7.7450339999999995
14,6,1,8.166349,7.886349000000001,8.266349,7.526349000000001,10.066349,8.926349,8.806349,8.966349000000001,8.406349,8.406349,8.586349,7.4063490000000005,7.706349,7.926349,7.226349000000001,11.746349,7.9463490000000006,8.806349,8.966349000000001,10.606349,7.006349,7.8663490000000005,6.126348999999999,7.606349000000001,9.626349000000001,7.246349,8.986349,8.206349000000001,7.746349,8.146349,9.186349,9.446349,8.466349000000001,7.806349000000001,7.586349,8.506349,6.8263490000000004,7.926349,7.8663490000000005,8.419048,8.266349,9.206349000000001,6.406349,8.866349000000001,8.326349,8.886349000000001,9.126349000000001,10.006349,8.906349,7.686349000000001,7.8663490000000005,8.366349000000001,6.626349,7.186349000000001,7.766349000000001,7.3263490000000004,8.666349,8.486349,8.306349,8.126349000000001,7.706349,8.326349
15,6,2,8.701349,8.320794,8.700794,8.060794,10.640794,9.560794,9.180794,9.580794000000001,9.040794,9.060265,9.360794,8.080794000000001,8.380794,8.580794000000001,7.780794,12.460794,8.640794,9.480794,9.680794,11.280794,7.520794,8.400794,6.502971,8.000794,10.340794,7.940794,9.600794,8.840794,8.360794,8.560794,9.806931,10.480794,9.240794000000001,8.220794,8.180794,9.140794,7.720794000000001,8.860794,8.660794000000001,9.060794,8.720794,10.080794000000001,6.840794,9.540794,8.778466,9.360794,9.720794,10.880794,9.880794,8.280794,8.531349,8.906755,7.000794,7.820794,8.420794,7.860794,9.320794,8.980794,8.775132000000001,8.693849,8.200794,8.860794
16,7,0,9.340771,8.860771000000002,9.200771000000001,8.500771,11.140771,10.080771,9.640771,10.120771000000001,9.560771,9.560771,9.920771,8.640771,9.040771000000001,9.100771,8.240771,13.020771,9.220771000000001,9.980771,10.200771000000001,11.840771,7.940771000000001,8.900771,6.920771,8.500771,10.900771,8.440771,10.060771,9.360771000000002,8.780771000000001,9.000771,10.300771000000001,11.120771000000001,9.740771,8.720771000000001,8.760771,9.520771,8.220771000000001,9.460771000000001,9.160771,9.480771,9.320771,10.525385,7.180771000000001,9.840771,9.340771,10.020771,10.280771000000001,11.600771,10.380771000000001,8.800771000000001,8.900771,9.500771,7.440771000000001,8.320771,8.980771,8.300771000000001,9.920771,9.480771,9.300771000000001,9.100771,8.600771,9.340771
17,7,1,9.837914,9.317914,9.697914,8.941978,11.677914,10.537914,10.077914,10.657914,9.943957000000001,9.957914,10.417914,9.177914,9.657914,9.583957,8.657914,13.577914000000002,9.706978,10.457914,10.657914,12.677914,8.317914,9.557914,7.220989,8.917914,11.497914,8.917914,10.697914,9.837914,9.197914,9.457914,10.791978,11.737914,10.257914,9.177914,9.277913999999999,9.997914,8.637914,9.923957000000001,9.597914,9.925828,9.837914,10.977914,7.637914,10.297914,9.753957000000002,10.517914,11.117914,12.097914,11.197914,9.293957,9.417914,9.957914,7.835324000000001,8.917914,9.597914,8.737914,10.457914,10.037914,9.737914,9.617914,9.037914,9.837914
18,7,2,10.395057000000001,9.755057,10.175057,9.455057,12.095057,11.075057000000001,10.455057,11.195057,10.475057000000001,10.235057000000001,10.935057,9.659294000000001,10.195057,10.115057,9.195057,14.115057,10.195057,10.995057000000001,11.055057000000001,13.495057000000001,8.825019000000001,10.015057,7.695057,9.282528,12.015057,9.385019,11.235057000000001,10.335057,9.722528,9.815057000000001,11.175057,12.355057,10.695057,9.655057000000001,9.735057000000001,10.495057000000001,9.095057,10.275057,9.995057000000001,10.475057000000001,10.315057000000001,11.415057000000001,8.015057,10.675057,10.175057,10.911264,11.675057,12.635057000000002,11.755057,9.755057,9.915057000000001,10.495057000000001,8.255057,9.395057000000001,10.115057,9.068755,10.990632000000002,10.575057000000001,10.135057000000002,10.135057000000002,9.375057,10.335057
19,8,0,10.775872999999999,10.095873,10.615872999999999,9.975873,12.595873,11.555873,10.875873,11.615872999999999,10.975873,10.615872999999999,11.375873,9.995873,10.715873,10.575873,9.615872999999999,14.595873000000001,10.595873,11.435872999999999,11.555873,13.935873,9.235873,10.435872999999999,8.112936999999999,9.635873,12.415873,9.755873,11.735873,10.775872999999999,10.115872999999999,10.255873,11.635873,12.775872999999999,11.195872999999999,10.051468,10.175873,10.995873,9.435872999999999,10.735873,10.355872999999999,10.955873,10.675873,11.855872999999999,8.395873,11.095873,10.715873,11.355872999999999,12.155873,13.195873,12.295873,10.135873,10.295873,10.915873,8.695872999999999,9.812937,10.595873,9.455873,11.295873,11.115872999999999,10.675873,10.615872999999999,9.795873,10.795873
20,8,1,11.526485000000001,10.586485,11.166485,10.506485000000001,13.226485,12.206485,11.266485000000001,12.106485000000001,11.626485,11.046485,11.846485000000001,10.446485000000001,11.286485,11.126485,10.066485,15.206485,11.066485,12.066485,12.186485000000001,14.428243,9.706485,10.946485000000001,8.706485,10.006485000000001,12.846485000000001,10.346485000000001,12.386485,11.386485,10.626485,10.866485,12.086485,13.226485,11.666485,10.508242999999998,10.706485,11.686485000000001,9.826485,11.366485,10.806485,11.426485000000001,11.206485,12.406485,8.884121,11.629121000000001,11.426485000000001,11.966485,12.826485,13.806485,12.886485,10.606485000000001,10.766485000000001,11.586485,9.105297,10.346485000000001,11.146485,9.866485,11.741649,11.626485,11.406485,11.246485,10.226485,11.406485
21,8,2,12.141791,10.981791000000001,11.761791,10.932948,13.781791,12.781791,11.780358,12.761791,12.261791,11.481791000000001,12.341791,10.941791,11.901791000000001,11.821791000000001,10.621791,15.821791000000001,11.541791,12.621791,12.853583,15.141791,10.201791,11.441791,9.201791,10.381791,13.561791,10.921791,13.161791000000001,12.001791,11.285374000000001,11.241964999999999,12.761791,13.781791,12.181791,11.021791,11.361791,12.421791,10.441791,11.921791,11.221791,12.201791,11.621791,12.981791000000001,9.301791,12.181791,12.321791000000001,12.741791000000001,13.961791,14.517166,13.441791,11.141791,11.321791000000001,12.141791,9.641791,10.821791000000001,11.621791,10.221791,12.221791,12.081791,12.281791,11.901791000000001,10.781791,12.021791
22,9,0,12.597914,11.357914,12.137914,11.217914,14.197914,13.397914000000002,12.066978,13.237914000000002,12.717914,11.799305,12.817914,11.337914,12.457914,12.217914,10.997914,16.337914,12.037914,13.037914,13.257914000000001,15.557914000000002,10.557914,11.917914,9.517914,10.837914,13.957914,11.317914,13.617914,12.417914,11.647583000000001,11.597914,13.177914000000001,14.217914000000002,12.537914,11.357914,11.777913999999999,12.817914,10.797914,12.217914,11.637914,12.617914,11.997914,13.377914,9.677914,12.577914,12.869569,13.213311,14.417482999999999,15.037914,13.837914000000001,11.517914,11.737914,12.617914,10.037914,11.197914,11.997914,10.557914,12.637914,12.517914,12.841655000000001,12.497914,11.197914,12.537914
23,9,1,13.031519,11.731519,12.56076,11.531519,14.931519,13.931519,12.511519,13.791519000000001,13.211519000000001,12.211519000000001,13.231519,11.891519,13.031519,12.691519,11.331519,16.891519,12.491519,13.471519,13.711519000000001,16.051519,10.931519,12.431519,9.88076,11.311519,14.36076,11.731519,14.251519,12.931519,12.151519,11.98076,13.590506,14.631519,13.031519,11.771519,12.211519000000001,13.260760000000001,11.191519,12.551519,12.051519,13.051519,12.38076,13.811519,10.131519,13.071519,13.471519,13.971519,15.091519,15.751519,14.291519000000001,11.931519,12.251519,13.051519,10.451519000000001,11.671519,12.471519,10.931519,13.171519,13.011519,13.431519,13.131519,11.631519,13.131519
24,9,2,13.52449,12.141497,13.052992999999999,11.881497,15.661497,14.501497,12.981497000000001,14.28449,13.901497,12.601497,13.932993,12.472992999999999,13.584489999999999,13.301497,11.761497,17.36449,13.241497,13.961497,14.221497,16.841497,11.421497,13.081497,10.301497,11.701497,14.785748000000002,12.212992999999999,14.841497,13.492992999999998,12.901497,12.421497,14.041497,15.172993,13.721497,12.281497,12.721497,13.741497,11.621497,13.201497,12.621497,13.561497,12.801497,14.46449,10.661497,13.621497,14.181497,14.461497,15.861497,16.48449,14.801497,12.475748,12.881497,13.621497,10.921497,12.121497,12.972992999999999,11.261497,13.881497,13.572992999999999,14.161497,13.721497,12.201497,13.68449
25,10,0,14.071202,12.631202,13.500601000000001,12.251202000000001,16.411202,15.131201999999998,13.471201999999998,14.911202,14.411202,12.971202,14.451201999999999,13.171202,14.131201999999998,13.931201999999999,12.151202,17.871202,13.651202,14.431201999999999,14.811202,17.431202,11.951202,13.791201999999998,10.631202,12.311202,15.211201999999998,12.771202,15.371201999999998,13.991202,13.371201999999998,12.891202,14.471201999999998,15.751202,14.351201999999999,12.711202,13.151202,14.171202,11.891202,13.671202,13.011202,14.131201999999998,13.251202,15.111201999999999,11.271202,14.112404000000002,14.651202,15.311202,16.451202,17.191202,15.211201999999998,12.931202,13.612404000000002,14.111201999999999,11.351202,12.731202,13.551201999999998,11.671202000000001,14.371201999999998,14.211201999999998,14.611201999999999,14.271201999999999,12.771202,14.291201999999998
26,10,1,14.666893,13.206892999999999,13.946893,12.766893,16.986893,15.666893,14.146892999999999,15.586893,14.966892999999999,13.506893,15.126892999999999,13.706892999999999,14.586893,14.666893,12.746893,18.646893,14.246893,15.026893,15.466892999999999,18.126893,12.546892999999999,14.546892999999999,11.206892999999999,12.966892999999999,15.666893,13.386892999999999,16.026892999999998,14.526893,13.886892999999999,13.526893,14.966892999999999,16.566893,15.006893,13.286893,13.786893,14.726892999999999,12.226892999999999,14.206892999999999,13.546892999999999,14.766893,13.846893,15.846893,11.786893,14.746893,15.098127999999999,15.926893,17.126893,18.046893,15.846893,13.406893,14.306892999999999,14.766893,11.786893,13.266893,14.206892999999999,12.146892999999999,15.066892999999999,14.866893,15.054223,14.906893,13.426893,15.006893
27,10,2,15.24381,13.64381,14.348761999999999,13.103810000000001,17.40381,16.24381,14.569312,16.143810000000002,15.48381,13.885635,15.82381,14.22381,15.12381,15.183810000000001,13.30381,19.18381,14.82381,15.603810000000001,16.04381,18.70381,12.98381,15.06381,11.603810000000001,13.368762,16.10381,13.843810000000001,16.52381,15.016905,14.46381,14.003810000000001,15.428451999999998,17.16381,15.449226000000001,13.70381,14.228451999999999,15.12381,12.469656,14.78381,14.06381,15.296904999999999,14.343810000000001,16.26381,12.16381,15.103810000000001,15.603810000000001,16.388451999999997,17.643810000000002,18.78381,16.28381,13.88381,14.66381,15.343810000000001,12.205801,13.62381,14.684762,12.66381,15.64381,15.423810000000001,15.58381,15.423810000000001,13.869226000000001,15.48381
28,11,0,15.713016,14.113016,14.793016,13.453016,17.893016,16.773016000000002,15.016032000000001,16.636032,15.913016,14.253016,16.336032,14.633016,15.553016,15.633016,13.693016,19.853016,15.333016,16.073016,16.616032,19.353016,13.373016,15.556032,12.033016,13.853016,16.533016,14.293016,16.973016,15.473016000000001,15.233016000000001,14.453016,15.773016,17.676032,15.973016000000001,14.173016,14.673016,15.553016,12.733016000000001,15.233016000000001,14.553016,15.716032,14.833016,16.716032000000002,12.553016,15.533016,16.133016,16.773016000000002,18.213016,19.613016000000002,16.793016,14.353016,15.133016,15.853016,12.553016,14.053016,15.136032,13.133016,16.021507999999997,15.873016,16.113016000000002,15.853016,14.293016,15.893016000000001
29,11,1,16.117778,14.437778,15.277778,13.797778,18.357778,17.265556,15.457778,17.317778,16.357778,14.557777999999999,16.797778,15.077778,16.037778,16.177778,14.117778,20.337778,15.737778,16.497778,17.157778,19.817778,13.777778,15.977778,12.377778,14.457778,16.937778,14.743889000000001,17.557778,15.937778,15.777778,14.897778,16.197778,18.197778,16.437778,14.637777999999999,15.097778,15.977778,13.017778,15.637777999999999,14.977778,16.177778,15.257778,17.185556,13.052593,15.937778,16.897778,17.197778,18.697778,20.221110999999997,17.197778,14.757778,15.537778,16.277778,12.997778,14.517778,15.597778,13.577778,16.437778,16.417778,16.857778,16.277778,14.737778,16.377778
30,11,2,16.617007,14.817007,15.777007000000001,14.225669,18.797007,17.857007,15.937007000000001,17.817007,17.017007,14.977834,17.297007,15.517007000000001,16.457007,16.737007000000002,14.677007000000001,20.997007,16.237007000000002,16.997007,17.657007,20.297007,14.257007000000002,16.457007,12.736752000000001,14.917007,17.377007,15.223503,18.057007000000002,16.537007,16.277007,15.337007,16.697007,18.697007,16.937007,15.197007000000001,15.517007000000001,16.477007,13.377007,16.137007,15.457007,16.744014,15.717007,17.717007000000002,13.485669,16.397007000000002,17.257007,17.797007,19.237007000000002,20.757007,17.657007,15.257007000000002,16.037007,16.804014000000002,13.357007000000001,14.977007,16.017007,14.097007000000001,16.977007,16.917007,17.237007000000002,16.797007,15.257007000000002,16.997007
31,12,0,16.997249,15.171745999999999,16.140873000000003,14.420086999999999,19.151746,18.391745999999998,16.391745999999998,18.211745999999998,17.431746,15.310437,17.791746,15.910873,16.880873,17.191746,15.071746,21.391745999999998,16.670582,17.391745999999998,18.531746,20.674349,14.630582,16.851746,13.071746000000001,15.350218,17.751746,15.611745999999998,18.591746,17.011746,16.820873000000002,15.660873,17.075437,19.051745999999998,17.431746,15.591745999999999,15.911745999999999,16.971746,13.630582,16.591746,15.871746,17.160873000000002,16.071745999999997,18.100873,13.871746,16.777248999999998,18.071745999999997,18.191746,19.651746,21.271746,18.011746,15.710873000000001,16.473107000000002,17.213624,13.771745999999998,15.331745999999999,16.431746,14.437249,17.371745999999998,17.311746,18.040873,17.171746,15.651746,17.391745999999998
32,12,1,17.448118,15.728117999999998,16.508118,14.708117999999999,19.728118,18.948118,16.888118,18.648118,17.928117999999998,15.699059,18.328118,16.328118,17.288118,17.688118,15.528118,21.888118,17.128118,17.928117999999998,19.068118,21.108118,15.048117999999999,17.368118,13.548117999999999,15.728117999999998,18.288118,16.068118,19.168118,17.588117999999998,17.279059,16.088117999999998,17.568118,19.408117999999998,17.919059,16.148118,16.388118,17.548118,13.908118,17.168118,16.348118,17.568118,16.568118,18.488118,14.248118,17.208118,18.428117999999998,18.688118,20.188118,21.868118,18.459059,16.108118,16.908117999999998,17.628118,14.148117999999998,15.748118,16.768117999999998,14.788117999999999,17.848118,17.739059,18.408117999999998,17.628118,16.168118,17.908117999999998
33,12,2,17.952607999999998,16.132607999999998,16.912608,14.992607999999999,20.092608,19.592608,17.312607999999997,19.192608,18.432608,16.100652,18.852608,16.812607999999997,17.732608,18.192608,16.072608,22.552608,17.612607999999998,18.432608,19.832608,21.612607999999998,15.532607999999998,18.012608,13.846522,16.112607999999998,18.892608,16.572608,19.692608,18.112607999999998,17.672608,16.492607999999997,18.001304,19.892608,18.352608,16.652607999999997,16.872608,17.992607999999997,14.200652,17.592608,16.872608,18.112607999999998,16.971304,18.932608,14.632608,17.652607999999997,18.892608,19.092608,20.712608,22.412608,18.832608,16.592608,17.372608,18.152607999999997,14.592607999999998,16.212608,17.252608,15.232607999999999,18.301304000000002,18.232608,18.872608,18.112607999999998,16.712608,18.412608
34,13,0,18.360135999999997,16.540135999999997,17.320135999999998,15.280135999999999,20.560136,20.080136,17.720136,19.600136,18.880136,16.400136,19.420136,17.220136,18.160135999999998,18.640136,16.480135999999998,23.090272,18.020135999999997,18.840135999999998,20.260136,22.060136,15.853379,18.480135999999998,14.240135999999998,16.500135999999998,19.300136,17.000135999999998,20.180135999999997,18.560136,17.992534,16.880136,18.400136,20.295068,18.720136,17.060136,17.320135999999998,18.420136,14.412026999999998,18.100136,17.260136,18.460136,17.320135999999998,19.320135999999998,15.040135999999999,18.000135999999998,19.380136,19.620136,21.140136,22.940136,19.280136,16.960136,17.800136,18.560136,15.020135999999999,16.640136,17.700135999999997,15.633379000000001,18.700135999999997,18.660135999999998,19.340135999999998,18.560136,17.100136,18.860135999999997
