,measure_number,beat_number,pid1263b-06,pid52932-21,pid53576-04,pid610003b-10,pid9048b-10,pid9049b-06,pid9049b-24,pid9050b-06,pid9052b-11,pid9054b-06,pid9055b-06,pid9058b-06,pid9059b-10,pid9060b-04,pid9061b-03,pid9062b-09,pid9063b-10,pid9064-17,pid9065-22,pid9066b-06,pid9069-06,pid9070b-18,pid9072b-10,pid9073b-10,pid9074g-06,pid9075b-06,pid9076-16,pid9077-04,pid9085-20,pid9089-13,pid9090-17,pid9093b-12,pid9094b-06,pid9099b-10,pid9104b-06,pid9111b-08,pid9115-10,pid9116-12,pid9118b-10,pid9119-10,pid9137-18,pid9138b-06,pid9139b-06,pid9153b-06,pid9158-03,pid9166k-07,pid9170b-06,pid9174b-06,pid9179-08,pid9182-06,pid9192b-06
10,5,0,6.384109,5.623373,6.296983999999999,8.296984,6.896984,7.0766979999999995,7.6169839999999995,5.342845,7.556984,7.595219999999999,8.156984,5.836983999999999,6.5369839999999995,5.603362000000001,7.596984,6.739397,7.996983999999999,6.456983999999999,6.8758729999999995,8.816984,6.756983999999999,7.0769839999999995,7.956983999999999,5.956983999999999,7.251927,6.1169839999999995,8.036984,8.016983999999999,5.299397,7.496983999999999,6.108373,7.094271000000001,7.936984,6.196984,7.776984,9.456984,8.216984,5.928935,8.016983999999999,4.985964,7.976984,5.911173000000001,6.741746000000001,7.396984,5.716984,6.6338550000000005,7.636984,5.990368,6.216984,6.0769839999999995,7.856984
11,5,1,6.6326529999999995,6.192653,7.1326529999999995,9.132653,7.621327000000001,7.572653,8.512653,6.092653,8.150530999999999,8.052653,8.992653,6.032653,6.992653,5.852653,7.815306,6.972653,8.832653,6.992653,7.252653,9.652652999999999,7.552653,7.912653,8.792653,6.592653,7.470884,6.552653,8.872653,8.872653,6.081327,8.132653,6.532653,7.772653,8.817959,6.992653,8.470884,11.060611999999999,8.872653,6.572653,8.632653,5.372653,9.097959,6.072653,7.312653,8.272653,6.211327,7.032653,8.497959,6.327832,7.052653,6.532653,8.417959
12,5,2,7.016735000000001,6.596735000000001,7.716735000000001,9.856735,8.056735,8.056735,8.936735,6.516735,8.576735000000001,8.456735,9.676735,6.637142999999999,7.516735000000001,6.256735,8.416735000000001,7.496735,9.436735,7.3967350000000005,7.8567350000000005,10.476735000000001,8.076735000000001,8.476735000000001,9.356735,7.036735,8.036735,7.056735000000001,9.436735,9.436735,6.636735000000001,8.676735,6.976735000000001,8.256735,9.596735,7.616735,9.016735,12.036735,9.656735000000001,6.996735,9.073367,5.7767349999999995,9.743469000000001,6.556735000000001,7.876735000000001,8.896735000000001,6.676735000000001,7.516735000000001,9.176735,6.8567350000000005,7.656735,6.996735,9.056735
13,6,0,7.457551,6.957551,8.297551,10.337551,8.517551,8.357550999999999,9.277550999999999,6.857550999999999,8.957550999999999,8.857550999999999,10.297551,7.217550999999999,7.957551,6.737551,8.937551,7.8775509999999995,9.877550999999999,7.817551,8.337551,10.917551,8.597551,8.917551,10.017551,7.437550999999999,8.457550999999999,7.457551,9.997551,9.997551,7.073776,9.077551,7.317551,8.737551,10.197550999999999,8.197550999999999,9.517551,12.737551,10.337551,7.3375509999999995,9.38585,6.157551,10.317551,6.917551,8.377550999999999,9.617550999999999,7.057550999999999,8.037550999999999,9.837551,7.2975509999999995,8.157551,7.617551,9.777550999999999
14,6,1,8.090766,7.443447,8.996893,10.976892999999999,9.236892999999998,8.963787,9.853447000000001,7.443447,9.316892999999999,9.276893,11.236892999999998,7.693447,8.556892999999999,7.286722999999999,9.396892999999999,8.476892999999999,10.476892999999999,8.273447,8.956892999999999,11.616893,9.196893,9.536893,10.636892999999999,7.963447,8.936893,8.236892999999998,10.603786999999999,10.603786999999999,7.416892999999999,9.596893,7.910689,9.696893,10.876892999999999,8.896892999999999,10.256893,13.456892999999999,11.016893,7.753447,9.976892999999999,6.5717229999999995,11.563787,7.4368929999999995,8.836893,10.423786999999999,7.656892999999999,8.656893,10.616893,7.916892999999999,8.836893,8.116893,10.416893
15,6,2,8.325306,7.805306,9.385306,11.505306,9.625306,9.385306,10.225306,7.745305999999999,9.625306,9.685306,11.715917999999999,8.065306,9.145306,7.695917999999999,9.875917999999999,8.905306,10.865306,8.525306,9.465306,12.465306,9.665306,10.005306,11.105306,8.245306,9.445306,8.665306,11.005306,11.005306,7.885306,10.020612,8.125306,10.285306,11.445306,9.505306,10.665306,13.985306,11.765305999999999,8.045306,10.365306,6.825305999999999,12.055918,7.765306,9.225306,10.915918,8.065306,9.085306,11.125306,8.320611999999999,9.325306,8.605306,10.885306
16,7,0,8.746327,8.088163,9.748163,11.968163,9.968163,9.728163,10.588163,8.088163,9.928163,10.028163000000001,12.126327,8.488163,9.568163,8.108163000000001,10.468163,9.328163,11.208163,8.948163000000001,9.988163,13.028163000000001,10.186327,10.408163,11.648163,8.588163,9.848163000000001,9.008163,11.488163,11.468163,8.268163000000001,10.428163,8.428163,10.708163,11.946327,10.028163000000001,11.228163,14.468163,12.308163,8.348163000000001,10.828163,7.188163,12.648163,8.068163,9.608163000000001,11.368163000000001,8.466327,9.568163,11.608163000000001,8.708163,9.788163,9.14449,11.388163
17,7,1,9.240816,8.465408,10.180816,12.480816,10.400816,10.260816,11.040816,8.540816,10.300816000000001,10.520816,12.640816000000001,8.940816,10.080816,8.600816,11.020816,9.860816,11.640816000000001,9.340816,10.480816,13.780816,10.700816,10.880816000000001,12.220816000000001,9.060816,10.360816,9.440816,11.980816,11.980816,8.685408,10.880816000000001,8.860816,11.120816,12.520816,10.500816,11.920816,14.980816,12.880816000000001,8.720816000000001,11.320816,7.600816,13.220816000000001,8.462703999999999,10.140816000000001,11.880816000000001,8.820816,10.000816,12.160816,9.280816,10.300816000000001,9.660816,12.120816
18,7,2,9.721633,8.875816,10.561633,12.901633,10.805816,10.581633,11.385816,8.921633,10.675816000000001,10.945816,13.161632999999998,9.345816000000001,10.521633,9.161633,11.515816000000001,10.541633000000001,12.081633,9.753878,10.921633,14.261632999999998,11.321633,11.441633,12.721633,9.421633,10.821633,9.881633,12.441633,12.421633,9.061633,11.315816,9.221633,11.535816,12.935816,10.941633,12.341633,15.721632999999999,13.341632999999998,9.053878,11.735816,8.013878,13.681632999999998,8.855816,10.601633,12.321633,9.147211,10.395816,12.681633,9.801633,10.721633,10.101633,12.761633
19,8,0,10.146939,9.326939,10.968469,13.306939000000002,11.209235000000001,10.929563,11.729388,9.26898,11.088469,11.426938999999999,13.646939000000001,9.806939,10.986939,9.646939,12.026939,11.046939,12.546939,10.108469,11.354104,14.686939,11.946939,11.946939,13.186939,9.766939,11.286939,10.28898,12.848469,12.848469,9.497388,11.766939,9.591882,11.908469,13.386939000000002,11.406939,12.755646,16.12898,13.806939000000002,9.406939,12.226939,8.388469,14.306939000000002,9.206939,11.009235,12.826939,9.566939,10.826939,13.128469,10.206939,11.128469,10.606939,13.266939
20,8,1,10.644898,9.744898,11.464898,13.844898,11.684898,11.444898,12.184898,9.784898,11.504897999999999,11.924897999999999,14.184898,10.244898,11.504897999999999,10.084897999999999,12.664897999999999,11.544898,13.044898,10.524898,11.724898,15.244898000000001,12.504897999999999,12.424897999999999,13.804898000000001,10.304898,11.764897999999999,10.784898,13.424898,13.404898000000001,9.964898,12.264897999999999,9.944898,12.364898,13.979795999999999,11.864898,13.424898,16.584898000000003,14.404898000000001,9.744898,12.764897999999999,8.824898,14.884898000000002,9.607449,11.544898,13.324898000000001,10.024898,11.264897999999999,13.784898000000002,10.644898,11.664897999999999,11.104898,13.964898000000002
21,8,2,11.217551,10.197550999999999,11.977551,14.417551000000001,12.177551,11.817551,12.577551,10.177551,12.037550999999999,12.417551,14.777551,10.677551,12.037550999999999,10.557551,13.377551,12.285102,13.477551,11.137551,12.217551,15.837551000000001,13.097551,13.117551,14.497551000000001,10.677551,12.257551,11.217551,14.037551,14.037551,10.477551,12.797551,10.377550999999999,12.825102000000001,14.477551,12.377550999999999,14.057551,17.697551,15.037551,10.157551,13.317551000000002,9.297551,15.517551000000001,9.977551,12.057551,13.877551,10.317551,11.697550999999999,14.597551000000001,11.197550999999999,12.237551,11.697550999999999,14.657551000000002
22,9,0,12.100408,10.920408,12.780408,15.140407999999999,12.860408,12.340408,13.130694,10.800408000000001,12.940408,13.170816,15.620408,11.490816,12.640408,11.120408,14.220407999999999,13.121224,14.220407999999999,11.960408000000001,12.960408000000001,16.500408,13.960408,13.900407999999999,15.420407999999998,11.320408,12.940408,11.760408,15.080407999999998,15.080407999999998,11.220408,13.580407999999998,10.860408,13.640407999999999,15.500407999999998,13.180407999999998,15.120408,18.840408,15.900407999999999,10.800408000000001,14.240407999999999,9.800408000000001,16.540408,10.482602,12.900408,14.660407999999999,11.060408,12.220408,15.400407999999999,11.940408,12.960408000000001,12.580408,15.540408
23,9,1,12.588163,11.348163000000001,13.068163,15.728163,13.448163000000001,12.728163,13.448163000000001,11.308163,13.528163000000001,13.768163000000001,16.208163,12.088163,13.228163,11.488163,14.808163,13.888163,14.808163,12.548163,13.548163,17.088163,14.548163,14.488163,16.008163,11.848163000000001,13.368163000000001,12.348163000000001,15.908163,15.908163,11.808163,14.128163,11.448163000000001,14.228163,16.088163,13.768163000000001,15.988163,19.428163,16.608163,11.368163000000001,14.828163,10.203211,17.128163,10.848163000000001,13.488163,15.328163,11.631008999999999,12.808163,15.988163,12.314541,13.548163,13.168163,16.128163
24,9,2,13.092245,11.841122,13.552245000000001,16.332245,14.072245,13.312245,14.012245000000002,11.912245,14.192245000000002,14.672245000000002,17.092245000000002,12.552245,13.832245,12.092245,15.452245000000001,14.492245,15.412245,13.132245000000001,14.072245,18.132245,15.312245,15.032245000000001,16.712245000000003,12.412245,13.972245000000001,12.912245,16.512245,16.512245,12.412245,14.672245000000002,12.041122,14.832245,16.952245,14.392245,16.592245000000002,20.332245,17.312245,11.772245,15.732245,10.672245,17.892245000000003,11.432245,14.072245,16.252245000000002,11.912245,13.232245,16.892245000000003,12.852245,14.152245,13.772245000000002,16.812245
25,10,0,13.762551,12.395102,14.235102,17.095102,14.820204,13.855101999999999,14.575102,12.495102000000001,14.715101999999998,15.595101999999999,17.885306,13.195101999999999,14.475102,12.595102,16.135102,15.192551000000002,16.155102,13.715101999999998,14.615101999999998,18.795102,16.075101999999998,15.835102,17.615102,13.015102,14.475102,13.595101999999999,17.315102,17.315102,13.155102,15.275101999999999,12.622551,15.415102,17.735101999999998,15.135102,17.355102,21.300204,18.475102,12.355102,16.475102,11.175102,18.655102,12.055102,14.815102,16.935102,12.535102,13.775101999999999,17.655102,13.355101999999999,14.915102,14.435101999999999,17.555101999999998
26,10,1,14.570739999999999,13.035917999999999,15.035917999999999,18.055918,15.815918,14.475918,15.235918,13.245306,15.162958999999999,16.315918,18.895917999999998,13.775917999999999,15.175918,13.355917999999999,16.875918,15.975918,16.995918,14.155918,15.295917999999999,19.775918,16.935918,16.535918,18.803265,13.775917999999999,15.055918,14.275917999999999,17.975918,17.955918,13.935918,15.795917999999999,13.115917999999999,16.261837,18.587754999999998,15.935918,18.507755,22.215918,19.315918,13.055918,17.315918,11.715917999999999,19.495918,12.535917999999999,15.695917999999999,17.695918,13.135917999999998,14.275917999999999,18.415917999999998,14.075918,15.855917999999999,15.275917999999999,18.275918
27,10,2,14.852245000000002,13.412245,15.452245000000001,18.692245,16.192245,14.912245,15.632245000000001,13.612245000000001,15.472245000000001,16.732245000000002,19.492245,14.196735,15.752245000000002,13.812245,17.43449,16.63449,17.412245000000002,14.552245000000001,15.792245000000001,20.412245000000002,17.516735,17.092245000000002,19.412245000000002,14.132245000000001,15.572245,14.692245000000002,18.532245,18.532245,14.352245000000002,16.232245000000002,13.492245,16.732245000000002,19.132245,16.512245,19.032245,23.012245,20.152245,13.272245000000002,17.592245000000002,11.932245,20.11449,12.892244999999999,16.132245,18.232245000000002,13.572245,14.73449,18.872245,14.494489999999999,16.492245,15.69449,18.736735
28,11,0,15.195101999999999,13.695101999999999,15.815102,19.155102,16.555101999999998,15.255101999999999,15.975102,13.915102,15.782551000000002,17.095102,19.975102,14.595101999999999,16.095102,14.235102,17.895101999999998,17.095102,17.755101999999997,14.975102,16.195102,20.915101999999997,17.955102,17.475102,19.895101999999998,14.415102,15.995102,15.015101999999999,18.915101999999997,18.915101999999997,14.695101999999999,16.615102,13.815102,17.095102,19.675102,16.975102,19.575101999999998,23.515102,20.720204000000003,13.595101999999999,17.995102,12.315102,20.575101999999998,13.195101999999999,16.495102,18.675102,13.935101999999999,15.155102,19.295102,14.875101999999998,16.975102,16.155102,19.195102
29,11,1,15.624456,14.076735000000001,16.356735,19.776735000000002,17.016735,15.776735,16.536735,14.356735,16.116735000000002,17.576735,20.476735,14.996735000000001,16.596735,14.756735,18.556735,17.576735,18.236735,15.356735,16.736735,21.596735,18.516735,17.956735000000002,20.456735000000002,14.823367000000001,16.456735000000002,15.536735,19.376735,19.376735,15.076735000000001,17.036735,14.293367000000002,17.476735,20.416735,17.556735,20.296735,23.976735,21.296735,13.896735000000001,18.496735,12.716735,21.036735,13.596735,16.996735,19.176735,14.376735,15.616735,19.816735,15.396735000000001,17.596735,16.636735,19.916735
30,11,2,16.070204,14.510102,16.830204000000002,20.290204,17.400102,16.130204,16.960102,14.770204000000001,16.550204,18.010204,20.950204,15.470204,17.110204,15.250204,19.050204,18.110204,18.710204,15.750204,17.290204,22.010204,19.130204,18.550204,21.030204,15.270204000000001,16.930101999999998,15.930204000000002,19.810204000000002,19.790204,15.510204000000002,17.450204,14.630204,17.930204,20.870204,18.010204,20.750204,24.690204,21.770204,14.250204,18.890102,13.170204,21.630204,13.950204000000001,17.450204,19.710204,14.810204,16.050102,20.290204,15.930204000000002,18.110204,17.130204,20.550407999999997
31,12,0,16.531837,14.971836999999999,17.211837,20.711837,17.810918,16.540917999999998,17.280918,15.091837,16.951837,18.451837,21.451837,15.831837,17.591836999999998,15.731836999999999,19.511837,18.691837,19.191837,16.191837,17.630917999999998,22.431836999999998,19.651837,19.090918,21.551837,15.611837,17.371837,16.291837,20.251837,20.231837,15.840917999999999,17.871837,14.971836999999999,18.290917999999998,21.331837,18.390918,21.091836999999998,25.091836999999998,22.311837,14.571837,19.371837,13.600918,22.131837,14.340917999999999,17.891837,20.160918,15.04773,16.471837,20.731837,16.311837,18.530918,17.631837,21.111837
32,12,1,17.037551,15.377551,17.797551000000002,21.337551,18.297551000000002,17.217551,17.857551,15.657551000000002,17.397551,18.977551000000002,22.137551000000002,16.317551,18.177551,16.217551,20.217551,19.357551,19.877551,16.797551000000002,18.097551,22.945102,20.217551,19.657551,22.257551,16.297551000000002,17.797551000000002,16.857551,20.777551000000003,20.777551000000003,16.377551,18.357551,15.419184,18.757551,22.037551,18.897551,21.777551000000003,25.617551000000002,22.997551,15.017551000000001,19.937551000000003,14.137551,22.737551,14.757551000000001,18.437551000000003,20.777551000000003,15.477551,16.977551000000002,21.357551,16.877551,19.357551,18.157551,21.837551
33,12,2,17.651070999999998,15.994285999999999,18.434286,22.194285999999998,18.894285999999997,17.854286,18.452143,16.254285999999997,18.051429000000002,19.594286,22.954286,17.094286,18.754285999999997,16.774286,21.054285999999998,20.294286,20.514286,17.494286,18.754285999999997,23.974286,20.954286,20.434286,23.074285999999997,16.854286,18.594286,17.434286,21.474286,21.454286,16.992143,19.034285999999998,15.914285999999999,19.334286,22.714285999999998,19.534285999999998,22.554285999999998,26.594286,23.874285999999998,15.674285999999999,20.638571,14.851429000000001,23.534285999999998,15.154285999999999,19.024762,21.574285999999997,15.978095000000001,17.614286,22.274286,17.494286,19.994286,18.854286,22.754285999999997
34,13,0,18.093061,16.513060999999997,19.033061,22.733061,19.433061,18.333060999999997,18.973060999999998,16.793060999999998,18.373844000000002,20.110612,23.493060999999997,17.573294,19.293060999999998,17.294612,21.593061,20.833060999999997,21.053061,17.821531,19.293060999999998,24.513060999999997,21.493060999999997,20.973060999999998,23.613061,17.393061,19.113061,17.973060999999998,22.013060999999997,21.993060999999997,17.313060999999998,19.573061,16.356441,19.833060999999997,23.253061,20.013060999999997,23.093061,27.133060999999998,24.413061,16.093061,21.193061,15.153061,24.153060999999997,15.386837,19.533061,22.113061,16.235765,18.013060999999997,22.753061,18.033061,20.533061,19.393061,23.313060999999998
35,13,1,18.66449,17.24449,19.86449,23.48449,20.38449,18.90449,19.624489999999998,17.48449,19.00449,20.66449,24.82449,18.14449,19.86449,17.88449,22.124489999999998,21.58449,21.624489999999998,18.38449,20.20449,25.52449,22.24449,21.90449,24.804489999999998,18.00449,19.624489999999998,18.64449,22.64449,22.637245,17.98449,20.32449,16.72449,20.56449,25.10449,20.60449,24.00449,29.524490000000004,25.624489999999998,16.70449,22.34449,15.764489999999999,25.36449,15.90449,20.22449,23.16449,16.804489999999998,18.64449,23.42449,18.68449,21.304489999999998,20.16449,24.22449
36,13,2,19.118776,17.658776,20.347551,24.238776,20.878776000000002,19.378776000000002,20.078776,17.838776,19.358776000000002,21.118776,25.298776,18.678776,20.338776,18.378776000000002,22.698776000000002,22.218776000000002,22.138776,18.758776,20.798776,26.238776,22.718776000000002,22.358776000000002,25.367551000000002,18.318776,20.127551,18.998776,23.098776,23.098776,18.438776,20.798776,17.138776,21.078776,25.678776,21.218776000000002,24.438776,30.278776,26.218776000000002,17.218776000000002,22.778776,16.178776,25.918776,16.218776000000002,20.678776,23.758776,17.238776,19.178776,23.918776,19.098776,22.058776,20.698776000000002,24.758776
37,14,0,19.534285999999998,18.014286,20.854286,24.678570999999998,21.278571,19.734285999999997,20.394285999999997,18.194285999999998,19.634286,21.494286,25.834286,19.114286,20.834286,18.794286,23.174286,22.638571,22.514286,19.114286,21.234285999999997,26.614286,23.214285999999998,22.834286,25.854286,18.694285999999998,20.534285999999998,19.394285999999997,23.454286,23.454286,18.754285999999997,21.218571,17.514286,21.514286,26.174286,21.594286,24.874285999999998,30.814286,26.814286,17.434286,23.154286,16.534285999999998,26.674286,16.514286,21.154286,24.174286,17.634286,19.614286,24.334286,19.494286,22.498571,21.194285999999998,25.318571
38,14,1,19.929796,18.349795999999998,21.409796,25.269388,21.709796,20.109796,20.709796,18.589796,19.909796,21.929796,26.709184000000004,19.549796,21.449796,19.249388,23.729796,23.089388,22.889796,19.409796,21.789796,27.429796000000003,23.829795999999998,23.349592,26.489796000000002,19.129796,20.949592000000003,19.869592,23.789796,23.789796,19.129796,21.629796,17.929796,22.009388,26.869184000000004,22.089388,25.289796,31.329796,27.509591999999998,17.769796,23.549796,16.889796,27.369796,16.849795999999998,21.649796,24.689592,18.149796,20.069796,24.749796,19.909796,23.069796,21.669592,25.909388
39,14,2,20.328163,18.629082,21.868163,25.628163,22.048163,20.408163000000002,20.959694,18.888163,20.149541,22.248163,27.028163,19.868163,21.848163,19.608163,24.208163,23.446327,23.208163,19.688163,22.168163,27.848163,24.268163,23.728163000000002,26.908163000000002,19.389082000000002,21.388163,20.188163,24.049388,24.049388,19.448163,21.948163,18.248163,22.388163,27.228163000000002,22.528163,25.608163,31.828163,27.988163,18.048163,23.868163,17.188163,27.828163,17.088163,22.008163,25.108163,18.468163,20.428163,25.068163000000002,20.228163000000002,23.428163,22.068163000000002,26.288163
40,15,0,20.751837,18.931836999999998,22.291837,26.031837,22.451837,20.711837,21.251837,19.211837,20.390918,22.631837,27.411837,20.271836999999998,22.251837,20.011837,24.711837,23.991837,23.591836999999998,20.071837,22.551837,28.331837,24.771836999999998,24.211837,27.411837,19.711837,21.871837,20.491837,24.431836999999998,24.431836999999998,19.830918,22.271836999999998,18.631837,22.771836999999998,27.611837,23.111837,25.971837,32.331837,28.471837,18.351837,24.251837,17.511837,28.271836999999998,17.371837,22.391837,25.591836999999998,18.851837,20.831837,25.451837,20.611837,23.851837,22.631837,26.691837
41,15,1,21.398367,19.378367,22.978367000000002,26.644184000000003,23.158367000000002,21.298367000000002,21.747092000000002,19.698367,20.818367000000002,23.118367000000003,27.958367,20.738367,22.894184,20.538367,25.398367,24.684184,24.318367000000002,20.694184,23.158367000000002,29.618367,25.358367,24.738367,27.958367,20.238367,22.438367,21.078367,24.944184,24.927673000000002,20.378367,22.798367000000002,19.218367,23.358367,28.298367,23.918367,26.664184000000002,33.218367,29.238366999999997,18.906122,24.838367,17.944184,28.918367,17.854184,23.038367,26.286122,19.378367,21.278367000000003,26.118367000000003,21.178367,24.458367000000003,23.178367,27.538366999999997
