,measure_number,beat_number,pid1263-21,pid50848-05,pid51495-04,pid5667249-16,pid5667291-17,pid9048-21,pid9049-21,pid9050-21,pid9054-21,pid9055-21,pid9058-21,pid9059-21,pid9060-21,pid9061-21,pid9062-21,pid9063-21,pid9064-11,pid9065-16,pid9066-21,pid9070b-04,pid9072-21,pid9074f-21,pid9075-21,pid9081-12,pid9088-16,pid9089-16,pid9093-21,pid9094-21,pid9099-21,pid9100b-21,pid9101b-03,pid9103-11,pid9104-21,pid9105b-04,pid9111-21,pid9113-17,pid9114b-11,pid9116-09,pid9118-21,pid9122-05,pid9123-04,pid9129-16,pid9130-05,pid9138-21,pid9139-21,pid9153-21,pid915411-09,pid9158-12,pid9166f-18,pid9170-21,pid9174-21,pid9185-10,pid9186c-21,pid918904-06,pid9192-21
10,4,1,6.908776,7.188776,8.028775999999999,9.348775999999999,8.008776,8.128776,7.408776,8.448775999999999,8.228776,8.168776,7.348775999999999,6.068776000000001,5.9887760000000005,9.668776,7.568776,7.949388000000001,6.4087760000000005,7.908776,7.068776,7.168775999999999,6.648776,7.308775999999999,6.7887759999999995,6.888775999999999,7.308775999999999,7.548775999999999,6.928775999999999,7.568776,6.228776,8.048776,6.168776,7.188776,7.668775999999999,8.008776,7.8287759999999995,7.148776,5.388776,6.588775999999999,7.248775999999999,7.228776,6.668775999999999,6.428776,7.968775999999999,6.368776,6.249388,6.768776,5.708776,5.128776,6.908776,6.988776,5.848776,6.928775999999999,6.228776,5.9887760000000005,6.8063270000000005
11,4,2,7.816122,8.236122,9.236122,10.416122,8.596122,8.956122,8.136122,9.516122,9.296122,9.156122,8.396122,6.8361220000000005,6.8361220000000005,10.756122,8.636122,9.016122,7.256122,8.796122,7.976122,7.956122,7.496122,8.056122,7.556122,7.8761220000000005,8.096122,8.516122,7.596122,8.416122,7.036122,8.956122,7.036122,8.156122,8.536122,8.776122,9.076122,7.8761220000000005,6.096122,7.396122,7.976122,8.076122,7.3361220000000005,7.196122,8.816122,7.116122,6.956122,7.616122,6.456122,5.676122,7.536122,8.076122,6.556122,8.096122,6.956122,6.9161220000000005,7.656122
12,5,0,9.133673,9.553673,10.733673,11.613673,9.073673,9.813673,8.833673,11.013672999999999,10.213673,10.233673,9.673672999999999,7.7445580000000005,7.633673,11.593672999999999,9.513672999999999,9.893673,8.233673,9.613673,8.413673,8.993673,8.493673,8.833673,8.633673,9.513672999999999,9.061836999999999,9.477347,8.453673,9.433672999999999,8.013672999999999,9.773672999999999,7.853673,9.433672999999999,9.653673,9.893673,10.373673,8.773672999999999,7.073672999999999,8.493673,8.971224000000001,9.093672999999999,8.273672999999999,8.233673,9.613673,8.093672999999999,7.773673,8.753673,6.933673,6.353673000000001,8.413673,9.033673,7.373672999999999,9.413673,7.553673,7.813673,8.553673
13,5,1,9.777755,10.177755,11.237755,12.257755,9.677755,10.337755,9.317755,11.457755,10.657755,10.897755,10.317755,8.397755,8.677755,12.397755,10.197755,10.417755,8.797755,10.317755,8.997755,9.757755,9.157755,9.477755,9.237755,10.197755,9.677755,10.297755,9.117755,10.237755,8.637755,10.477755,8.357755000000001,10.177755,10.357755000000001,10.437755000000001,11.357755000000001,9.377755,7.537755000000001,9.197755,9.577755,9.937755000000001,8.797755,8.917755,10.317755,8.857755000000001,8.337755,9.417755,7.437755,7.017755,8.997755,9.717755,7.9177550000000005,10.177755,7.997755000000001,8.377755,9.177755
14,5,2,10.303061,10.703061,11.763061,12.836122,10.175305999999999,10.963061,9.703061,11.883061,11.209184,11.603061,10.863061,8.883061,9.443061,13.129184,10.723061,10.883061,9.143061,10.823061000000001,9.388612,10.303061,9.703061,10.083061,9.703061,10.983061,10.063061,10.956122,9.743061,10.763061,9.203061,11.003061,8.849184,10.643061,10.962245,10.942245,12.123061,9.869183999999999,7.963061,9.783061,10.123061,10.603061,9.363061,9.623061,10.989184,9.463061,8.883061,10.002245,7.823061,7.423061,9.583061,10.256122,8.383061,10.723061,8.423061,9.016122,9.703061
15,6,0,10.718571,11.058571,12.258571,13.238570999999999,10.578571,11.558571,10.078571,12.214286,11.598571000000002,11.978571,11.198571000000001,9.254286,9.898571,13.518571,11.158571,11.258571,9.458571000000001,11.238571,9.758571,10.718571,10.078571,10.558571,10.078571,11.478571,10.418571,11.458571000000001,10.238571,11.138571,9.638571,11.398571,9.238571,11.078571,11.378571,11.458571000000001,12.558571,10.258571,8.358571000000001,10.238571,10.658571,10.998571,9.738571,10.078571,11.498571,9.858571000000001,9.278571000000001,10.418571,8.178571,7.798571000000001,9.958571000000001,10.678571,8.698571000000001,11.098571000000002,8.818571,9.398571,10.118571000000001
16,6,1,11.106735,11.446735,12.666735000000001,13.586735000000001,10.986735000000001,11.986735000000001,10.406735000000001,12.646735000000001,12.006735,12.366735,11.586735000000001,9.626735,10.706735,13.906735000000001,11.586735000000001,11.666735000000001,9.826735000000001,11.646735000000001,10.546735,11.146735000000001,10.526735,10.966735,10.486735000000001,12.006735,10.826735000000001,11.906735000000001,10.646735000000001,11.486735000000001,10.066735000000001,11.826735000000001,9.626735,11.660204,11.886735,11.926735,13.086735000000001,10.666735000000001,8.686735,10.746735000000001,11.066735000000001,11.486735000000001,10.186735,10.606735,11.946735,10.286735,9.666735000000001,10.806735,8.506735,8.146735000000001,10.326735000000001,11.106735,9.066735000000001,11.506735,9.186735,9.786735,10.626735
17,6,2,11.631224000000001,11.991224,13.091224,14.051224,11.431224,12.431224,10.760612,13.131224,12.431224,13.011224,12.131224000000001,10.071224,11.231224000000001,14.431223999999998,11.974245,12.091224,10.251224,12.211224000000001,11.031224,11.651224000000001,11.071224,11.551224000000001,10.911224,12.611224,11.290612,12.711224000000001,11.071224,11.871224,10.612449,12.391224000000001,10.051224000000001,12.352449,12.451224,12.451224,13.531224,11.111224,9.071224,11.431224,11.651224000000001,11.871224,10.610408,11.131224000000001,12.511224,10.711224000000001,10.091224,11.391224000000001,8.931224,8.551224000000001,10.811224000000001,11.571224,9.571224,12.091224,9.571224,10.231224000000001,11.091224
18,7,0,12.135351,12.415351,13.495351000000001,14.515351,11.895351,12.935350999999999,11.122676,13.575351000000001,12.822676,13.420703,12.555351,10.515350999999999,11.775350999999999,14.855351,12.335351,12.475351,10.595350999999999,12.695350999999999,11.495351,12.195350999999999,11.515350999999999,12.035351,11.355350999999999,13.095350999999999,11.655351,13.335351000000001,11.495351,12.335351,11.195350999999999,12.875351,10.515350999999999,12.980703,12.875351,13.015350999999999,13.975351000000002,11.575351,9.515350999999999,11.935350999999999,12.135351,12.295351,10.975351,11.675351,12.940703,11.135351,10.495351,11.895351,9.295351,8.900703,11.255351,11.975351,9.922676,12.695350999999999,9.942675999999999,10.615350999999999,11.535351
19,7,1,12.540249000000001,12.860249000000001,13.920248999999998,14.920248999999998,12.340249,13.500248999999998,11.525125,13.980248999999999,13.240248999999999,13.960249,13.000249,10.940249,12.620249000000001,15.340248999999998,12.800249,12.880249000000001,10.960249000000001,13.280249,12.080249,12.720249,12.040249000000001,12.560249,11.800249,13.600249,12.120249000000001,13.840248999999998,12.000249,12.900249,11.740249,13.440249,11.000249,13.520249,13.420248999999998,13.500248999999998,14.740248999999999,12.040249000000001,9.900249,12.500249,12.720249,12.960249000000001,11.440249,12.220249,13.440249,11.640249,10.960249000000001,12.340249,9.740249,9.360249000000001,11.760249,12.500249,10.360249000000001,13.160248999999999,10.380249000000001,11.120249000000001,12.080249
20,7,2,12.875714,13.155714000000001,14.295714000000002,15.235714000000002,12.715714,13.875714000000002,11.822857,14.395714000000002,13.615714,14.515714000000001,13.305238000000001,11.295714,13.135714000000002,15.975714000000002,13.175714000000001,13.215714000000002,11.255714,13.655714000000001,12.455714,13.115714,12.455714,13.035714,12.135714,13.955714000000002,12.455714,14.175714000000001,12.435714,13.195714,12.235714,13.815714000000002,11.435714,13.955714000000002,13.815714000000002,14.015714000000001,15.095714000000001,12.415714,10.235714,12.935714,13.175714000000001,13.475714000000002,11.822857,12.715714,13.875714000000002,11.995714,11.395714,12.755714,10.035714,9.695714,12.155714,12.895714,10.695714,13.452857,10.695714,11.475714,12.475714
21,8,0,13.287551,13.507551000000001,14.727551,15.627551,13.107551,14.467551,12.167551,14.787551,14.047551,14.907551000000002,13.647551000000002,11.647551,13.607551,16.387551000000002,13.587551000000001,13.627551,11.542517,14.067551000000002,12.847551,13.487551000000002,12.887551,13.647551000000002,12.527550999999999,14.507551000000001,12.847551,14.587551000000001,12.887551,13.707551,12.667551,14.227551,11.847551,14.407551000000002,14.227551,14.527551,15.547551,12.787550999999999,10.627550999999999,13.427551000000001,13.727551,13.987551000000002,12.207550999999999,13.227551,14.347551000000001,12.387551,11.787550999999999,13.147551000000002,10.407551,10.067551,12.627550999999999,13.267551000000001,11.087551,13.787551,11.047551,11.847551,12.987551
22,8,1,13.666735000000001,13.846735,15.106735,15.966735,13.466735,14.926735,12.526735,15.266735,14.466735,15.366735,14.006735,12.006735,14.226735000000001,16.806735,13.946735,14.006735,11.886735,14.486735000000001,13.266735,13.940204000000001,13.286735,14.066735000000001,12.886735,14.986735000000001,13.226735000000001,15.106735,13.266735,14.066735000000001,13.106735,14.646735000000001,12.226735000000001,15.086735000000001,14.706735,15.026735,16.106735,13.166735000000001,10.926735,13.806735,14.106735,14.666735000000001,12.646735000000001,13.746735000000001,14.806735,12.726735000000001,12.146735000000001,13.526735,10.766735,10.446735,13.020204,13.726735000000001,11.426735,14.166735000000001,11.406735000000001,12.266735,13.486735000000001
23,8,2,14.237891000000001,14.325782,15.557891,16.537891000000002,13.857891,15.365782000000001,12.857891,15.813673000000001,14.937891,15.877891,14.525782000000001,12.397891,14.757891,17.401564999999998,14.357891,14.417891000000001,12.177891,15.057891,13.637891,14.373673000000002,13.777891,14.557891,13.297891,15.477891,13.597891,15.805782,13.697891,14.377891,13.613673,15.237891000000001,12.697891,15.853673,15.157891000000001,15.617891,16.501565,13.537891,11.297891,14.325782,14.577891000000001,15.037891,13.037891,14.253673000000001,15.333673000000001,13.137891,12.565782,13.997891000000001,11.177891,10.857891,13.457891,14.337891,11.877891,14.637891,11.777891,12.721565,13.917891000000001
24,9,0,14.760204000000002,14.940204000000001,16.120204,17.100204,14.240204,15.840204,13.200204000000001,16.500204,15.325102,16.380204,15.100204000000002,12.835102000000001,15.220204,17.940204,14.725102,14.880204,12.560203999999999,15.860204000000001,13.945101999999999,14.860204000000001,14.240204,15.000204,13.760204000000002,16.000204,14.060204,16.480204,14.140204,14.735102,14.200204000000001,16.020204,13.160204,16.400204000000002,15.600204000000002,16.140204,17.000204,13.920204,11.640203999999999,15.000204,15.000204,15.440204000000001,13.420204,14.760204000000002,16.000204,13.520204000000001,13.040204,14.460204000000001,11.520204,11.300068,13.896041,14.800204,12.560203999999999,15.100204000000002,12.155102000000001,13.260204000000002,14.380204
25,9,1,15.240611999999999,15.520612,16.680612,17.940611999999998,14.740611999999999,16.340612,13.700612,17.220612,15.860612,16.980612,15.660612,13.440612,15.900611999999999,18.780611999999998,15.200612,15.580612,12.880612,16.840612,14.460612,15.380612,14.960612,15.560611999999999,14.380612,16.700612,14.720612,16.960612,14.700612,15.240611999999999,14.960612,17.020612,14.000612,17.220612,16.540612,16.740612,17.820612,14.420612,12.120612,15.740611999999999,15.600612,16.120612,13.920612,15.280612,16.620612,14.160612,13.600612,15.040612,12.040612,11.800612,14.320611999999999,15.460612,13.371224,15.880612,12.640611999999999,14.060611999999999,15.011223999999999
26,9,2,15.624285999999998,15.904285999999999,17.024286,18.604286,15.624285999999998,16.944285999999998,13.984285999999999,17.698570999999998,16.344286,17.824285999999997,16.044286,13.804286,16.584286,19.244286,15.584285999999999,16.004285999999997,13.244285999999999,17.224286,15.024285999999998,15.744285999999999,15.444285999999998,15.944285999999998,14.764285999999998,17.244286,15.124285999999998,17.264286,15.064286,15.624285999999998,15.424285999999999,17.404286,14.644286,17.604286,16.958571,17.404286,18.584286,15.324285999999999,12.744286,16.244286,16.044286,16.744286,14.284285999999998,15.804286,17.084286,14.724286,13.984285999999999,15.684285999999998,12.404286,12.324286,14.824285999999999,16.084286,13.764285999999998,16.304285999999998,12.864286,14.524285999999998,15.544285999999998
27,10,0,16.042245,16.316122,17.636122,19.016122,16.036122,17.396122000000002,14.336122,18.176122,16.776122,18.296122,16.436122,14.236122,16.996122,19.756122,16.056122,16.436122,13.656122,17.756122,15.596122,16.316122,15.856122000000001,16.536122,15.156122,17.816122,15.576122,17.896122000000002,15.616122,16.176122,15.976122,17.916122,15.036122,18.336122,17.396122000000002,17.876122,19.176122,15.716122,13.113060999999998,16.796122,16.534489999999998,17.476122,14.736122,16.396122000000002,17.656122,15.196122,14.496122,16.136122,12.816122,12.716122,15.496122,16.656122,14.296122,16.696122,13.256122,14.928367000000001,16.116122
28,10,1,16.407142999999998,16.704286,18.067142999999998,19.387143,16.387143,17.787143,14.727143,18.627143,17.387143,18.647143,16.847143,14.687142999999999,17.607143,20.127143,16.547143,16.847143,13.987143,18.127143,16.107143,16.707143,16.247142999999998,16.947143,15.507143,18.167143,15.967143,18.267143,16.027143,16.527143,16.347143,18.287143,15.547143,18.747142999999998,17.787143,18.384286,19.527143,16.067142999999998,13.467143,17.327143,16.967143,17.927143,15.207142999999999,16.787143,18.127143,15.547143,14.847142999999999,16.487143,13.187142999999999,13.067143,15.867142999999999,17.067142999999998,14.647143,17.047143,13.627142999999998,15.407143,16.587142999999998
29,10,2,16.874489999999998,17.09449,18.487959,19.872449,16.783469,18.214489999999998,15.03449,19.147959,17.83449,19.143469,17.23449,15.05449,18.19898,20.656939,17.01449,17.23449,14.35449,18.714489999999998,16.47449,17.07449,16.627959,17.43449,15.87449,18.73449,16.35449,18.883469,16.43449,16.81449,16.883469,18.87898,15.97449,19.23449,18.27449,18.97898,19.91449,16.47898,13.85449,17.77449,17.45449,18.33449,15.594489999999999,17.33898,18.67449,15.958979999999999,15.25898,17.043469,13.574489999999999,13.45449,16.374489999999998,17.67449,15.15898,17.61449,13.994489999999999,15.79449,17.023469
30,11,0,17.310816,17.510816000000002,19.230816,20.570816,17.230816,18.610816,15.390816000000001,19.750816,18.210816,19.650816,17.650816,15.570816,18.670816000000002,21.210816,17.571633,17.710816,14.790816,19.530816,16.870816,17.470816,17.170816000000002,17.890816,16.290816,19.490816,16.950816,19.410816,16.930816,17.130816,17.490816,19.710816,16.510816000000002,20.070816,18.690816,19.430816,20.390816,16.910816,14.310816,18.330816,18.050816,18.750816,15.970816000000001,17.810816,19.430816,16.410816,15.710816000000001,17.550816,14.010816,13.840407999999998,16.810816,18.310816,15.690816,18.270816,14.430816,16.230816,17.490816
31,11,1,17.77585,18.027551000000003,20.107551,21.387551000000002,17.987551,19.147551,15.887551,20.607551,18.667551,20.427551,18.167551,16.267551,19.267551,22.107551,18.287551,18.427551,15.227551,20.627551,17.407551,17.927551,17.947551,18.887551000000002,16.927551,20.247551,17.560204000000002,19.907551,17.527551000000003,17.607551,18.147551,20.787551,17.527551000000003,20.947551,19.407551,20.067551,21.587551,17.727551000000002,15.347551000000001,19.260204,18.827551,19.527551000000003,16.765102,18.367551000000002,20.127551,17.207551000000002,16.347551,18.287551,14.507551000000001,14.327551000000001,17.367551000000002,18.887551000000002,16.347551,18.807551,15.007551000000001,16.787551,18.167551
32,11,2,18.156122,18.476122,21.076122,22.396122000000002,19.836122,19.576122,16.413061,21.376122,19.116122,21.056122,18.636122,16.956122,19.676122,22.876122,18.936122,19.056122,15.576122,21.136122,18.176122,18.296122,18.796122,19.636122,17.556122,20.836122,18.196122,20.316122,18.116122,18.156122,18.736122,21.316122,18.616122,21.536122,19.896122000000002,20.896122000000002,22.676122,19.496122,17.336122,19.962245000000003,19.556122,20.016122,17.396122000000002,18.876122,20.716122,18.136122,16.756122,18.936122,14.896122,14.925374,17.996122,19.353061,16.756122,19.139569,15.296122,17.296122,18.756122
33,12,0,18.651224,18.970612,21.871223999999998,22.891223999999998,20.430408,20.351224,16.891223999999998,22.071224,19.731223999999997,21.591224,19.111224,17.451224,20.211223999999998,23.651224,19.931224,19.611224,16.130612,21.791224,18.551223999999998,18.891223999999998,19.371223999999998,20.251224,18.111224,21.291224,18.591224,20.991224,18.620612,18.811224,19.270612,21.951224,19.251224,22.011224,20.291224,21.451224,23.231223999999997,20.111224,17.851224,20.531223999999998,20.131224,20.891223999999998,17.891223999999998,19.351224,21.531223999999998,18.731223999999997,17.230612,19.491224,15.471224,15.371224,18.671224,19.811224,17.431224,19.571224,15.791224,17.931224,19.471224
34,12,1,19.241429,19.621429,22.621429,23.521429,21.081429,20.961429000000003,17.461429000000003,22.741429,20.501429,22.361429,19.761429,17.941429,20.721429,24.241429,20.681429,20.161429000000002,16.801429000000002,22.381429,19.201429,19.301429000000002,20.021429,20.821429000000002,18.821429000000002,21.785714000000002,19.021429,21.601429,19.201429,19.301429000000002,19.801429000000002,22.541429,19.801429000000002,22.661429000000002,20.761429,21.955714,23.681429,20.761429,18.541429,21.061429,20.641429000000002,21.341429,18.421429,19.901429,22.101429,19.241429,17.841429,19.961429000000003,15.941429000000001,15.801429,19.141429000000002,20.381429,17.961429000000003,20.241429,16.341429,18.721429,20.001429
35,12,2,20.184694,20.752428,23.884694,24.524694,22.504694,22.124694,18.424694,23.704694,21.524694,23.824694,20.913683,18.764694,22.084694,25.164694,22.284694000000002,21.044694,17.904694,23.404694,20.444694000000002,20.244694,21.033931,21.704694,20.184694,22.464694,20.021176,22.584694,20.024694,20.004694,20.644694,23.544694,20.744694,23.381577,21.388382,22.998382,25.104694,22.164694,19.144694,22.084694,22.530407999999998,22.164694,19.104694,20.944694000000002,23.764694,20.224694,18.844694,21.204694,16.404694,16.736705999999998,19.944694000000002,21.084694,18.864694,21.184694,17.204694,19.409848,21.314898
36,13,0,21.639388,21.528776,25.128776000000002,25.737755,23.968776000000002,22.988776,19.788776000000002,25.108776000000002,22.728776,25.308776,21.668776,19.968776000000002,23.448776000000002,26.209388,24.008776,22.068776,18.939388,24.808776,21.748776,21.448776000000002,22.048776,22.748776,21.588776,23.848776,21.008776,23.748776,20.988776,21.088776,21.908776,24.948776000000002,22.228776,24.668776,22.828776,24.108776000000002,27.348776,23.628776000000002,20.348776,23.228776,24.508776,23.487551,20.408776,22.268776000000003,25.508776,21.448776000000002,20.348776,22.809388000000002,17.228776,17.228776,21.148776,22.408776,20.248776,22.448776000000002,18.348776,20.588776,22.548776
37,13,1,22.07,22.15,25.71,26.29,24.51,23.49,20.25,25.55,23.13,25.99,22.29,20.53,24.29,26.81,24.63,22.51,19.35,25.43,22.37,22.05,22.61,23.39,22.25,24.41,21.67,24.45,21.57,21.67,22.53,25.57,22.91,25.43,23.43,24.69,28.15,24.19,20.81,23.93,25.09,24.47,20.91,22.95,26.15,22.05,20.83,23.43,17.67,17.79,21.81,23.05,20.75,22.93,18.81,21.11,23.23
38,13,2,22.523469,22.623469,26.183469,26.803469,24.983469,23.963469,20.616735000000002,26.023469,23.623469,26.643469,22.763469,20.983469,24.903469,27.343469,25.163469,22.963469,19.683469,26.083469,22.780496,22.523469,23.076939000000003,23.983469,22.723469,25.063469,22.103469,24.983469,22.043469,22.143469,23.023469,26.223469,23.463469,25.843469,23.923469,25.163469,28.723469,24.643469,21.263469,24.463469,25.643469,25.023469,21.423469,23.483469,26.736939000000003,22.523469,21.343469,23.883469,18.097638,18.183469,22.283469,23.603469,21.158367000000002,23.347823,19.163469,21.763469,23.743469
39,14,0,22.907142999999998,22.967143,26.587142999999998,27.167143,25.427143,24.627143,20.927143,26.367143,24.027143,27.007143,23.107143,21.367143,25.407142999999998,27.727142999999998,25.707143,23.327143,19.987143,26.487143,23.107143,22.927143,23.535714000000002,24.447143,23.107143,25.547143,22.467143,25.547143,22.487143,22.467143,23.507143,26.627143,23.967143,26.307143,24.387143,25.647143,29.187143,25.088570999999998,21.687143,24.887143,26.107143,25.467143,21.847143,24.067142999999998,27.227142999999998,22.967143,21.707143,24.267143,18.407142999999998,18.547143,22.707143,24.067142999999998,21.487143,23.707143,19.527143,22.187143,24.227142999999998
