,measure_number,beat_number,pid1263-19,pid50848-03,pid5667269b-38,pid5667291-15,pid9048-19,pid9049-19,pid9050-19,pid9054-19,pid9055-19,pid9058-19,pid9059-19,pid9060-19,pid9061-19,pid9062-19,pid9063-19,pid9065-14,pid9066-19,pid9067-19,pid9070b-02,pid9072-19,pid9074f-19,pid9075-19,pid9081-10,pid9088-14,pid9093-19,pid9094-19,pid9097-04,pid9099-19,pid9100b-19,pid9101b-01,pid9103-10,pid9104-19,pid9105b-02,pid9111-19,pid9113-15,pid9118-19,pid9122-03,pid9123-02,pid9124-11,pid9129-20,pid9137-11,pid9138-19,pid9139-19,pid9153-19,pid9166f-16,pid9170-19,pid9174-19,pid9186c-19,pid918812-11,pid9192-19
10,5,0,5.3360769999999995,3.3760769999999996,6.616077000000001,4.536077,6.9560770000000005,5.856077,5.356077,4.596076999999999,6.636077,3.4960769999999997,5.116077,3.7960769999999995,6.636077,5.576077,6.416077,4.476077,5.856077,5.576077,4.556076999999999,4.116077,6.436077,5.596076999999999,4.856077,4.476077,5.236077,6.616077000000001,6.976077,5.516077,4.256076999999999,5.156077,5.6325400000000005,5.2960769999999995,6.316077,6.136076999999999,4.3360769999999995,6.876077,5.8760769999999996,3.7960769999999995,6.402154,4.556076999999999,3.716077,5.536077,4.976077,4.596076999999999,3.9160769999999996,6.422154,4.636076999999999,4.176076999999999,6.622153999999999,4.2960769999999995
11,5,1,5.739841,3.664921,6.999841,4.859841,7.479841,6.339841000000001,5.959841,4.959841,7.019841,3.771093,5.579841,4.164921,7.179841000000001,5.959841,6.819841,4.879841000000001,6.5598410000000005,6.119841,5.079841,4.519841,6.879841000000001,6.0598410000000005,5.259841000000001,4.839841000000001,5.5998410000000005,7.0598410000000005,7.419841,5.979841,4.579841,5.519841,6.219841000000001,5.919841,6.839841000000001,6.819841,4.659841,7.539841,6.299841000000001,4.219841000000001,6.859841,4.959841,4.034974,5.939841,5.519841,4.979841,4.279841,7.1398410000000005,4.97328,4.519841,7.079841,4.699841
12,5,2,6.169705,3.7494099999999997,7.44941,5.1572059999999995,7.989803,6.889410000000001,6.729410000000001,5.189965,7.56941,3.8431370000000005,6.10941,4.4894099999999995,7.669410000000001,6.4894099999999995,7.229410000000001,5.3727,7.169410000000001,6.669410000000001,5.589803,5.04941,7.509410000000001,6.629410000000001,5.68941,5.26941,6.119705000000001,7.44941,8.00941,6.50941,4.834853,6.0694099999999995,6.769410000000001,6.589410000000001,7.389410000000001,7.86941,4.971765,8.08941,6.773032000000001,4.636337,7.169410000000001,5.34941,4.077882,6.449409999999999,6.0694099999999995,5.339705,4.60941,7.6894100000000005,5.08941,4.86941,7.389410000000001,5.22941
13,6,0,6.803288,4.183288,8.023288,5.283288,8.563288,7.443288000000001,7.363288000000001,5.5032879999999995,8.189864,4.303287999999999,6.643288,4.803287999999999,8.243288,7.043288,7.783288000000001,5.469041000000001,7.743288000000001,7.223288,5.9846580000000005,5.483288,8.163288,7.103288,6.063288,5.683288,6.5432879999999995,7.9666440000000005,8.603288000000001,7.0832880000000005,5.167032,6.643288,7.463288,7.103288,7.983288000000001,9.043288,5.083288,8.703288,7.103322,4.808322,7.643288,5.763287999999999,4.5032879999999995,6.963288,6.566644,5.828322,5.047032,8.343288000000001,5.663288,5.3488809999999996,7.843288,5.523288
14,6,1,7.237710000000001,4.57771,8.45771,5.61771,9.097710000000001,7.9177100000000005,7.857710000000001,5.8377099999999995,8.77771,4.69771,7.077710000000001,5.17771,8.837710000000001,7.537710000000001,8.21771,5.8838550000000005,8.337710000000001,7.63771,6.31771,5.91771,8.597710000000001,7.4977100000000005,6.49771,6.05771,6.9177100000000005,8.643855,9.097710000000001,7.643855,5.49771,7.077710000000001,7.87771,7.493855,8.37771,9.61771,5.41771,9.13771,7.55771,5.213855000000001,8.13771,6.21771,4.913855,7.397710000000001,6.977710000000001,6.23771,5.3777099999999995,9.05771,6.043855000000001,5.65771,8.29771,5.91771
15,6,2,7.534172,4.802086,8.894172,5.914172,9.554172,8.354172,8.334172,6.162086,9.254172,4.914834,7.554172,5.594172,9.254172,8.014172,8.614172,6.154172,8.834172,8.034172,6.734172,6.2541720000000005,9.114172,7.934172,6.902086,6.514172,7.314172,9.054172,9.714172,8.094172,5.834172,7.494172,8.254172,7.814172,8.794172,10.014172,5.7541720000000005,9.454172,7.974172,5.474172,8.654172,6.582086,5.2141720000000005,7.874172,7.394172,6.614172,5.7941720000000005,9.534172,6.414172,5.994172,8.854172,6.474172
16,7,0,7.971497,5.0571660000000005,9.331497,6.151497,10.031497,8.731497000000001,8.771497,6.411497,9.751497,5.177166000000001,8.011497,5.911497,9.671497,8.351497,9.031497,6.451497,9.211497,8.411497,6.911497,6.611497,9.531497,8.371497,7.231497,6.851497,7.7114970000000005,9.451497,10.195986,8.571497,6.2114970000000005,7.831497,8.611497,8.191497,9.191497,10.492992999999998,5.971497,9.791497,8.331497,5.771497,9.391497,6.911497,5.371497,8.231497000000001,7.731497,6.951497,6.020748,9.931497,6.731497,6.271497,9.611497,6.832992999999999
17,7,1,8.333264999999999,5.333265,9.973265,6.413265,10.553265,9.253264999999999,9.393265,6.701633,10.213265,5.453265,8.453265,6.233265,10.121633000000001,8.913264999999999,9.393265,6.793264999999999,9.913264999999999,8.833264999999999,7.237755,7.073264999999999,9.873265,8.893265,7.573264999999999,7.213265,8.373265,10.073265,10.733265,9.153265,6.733264999999999,8.173264999999999,9.173264999999999,8.593264999999999,9.713265,11.373265,6.233265,10.353264999999999,8.813265,6.113265,9.993265,7.413264999999999,5.673265,8.573265,8.213265,7.3132649999999995,6.353265,10.553265,7.173265,6.533265,10.193265,7.193264999999999
18,7,2,8.755714,5.774596,10.515714,6.615714,10.995714,9.695714,9.935714,6.988810000000001,10.695714,5.894596,8.975714,6.600924000000001,10.590952,9.395714,9.835714,7.120260000000001,10.555714,9.315714,7.730816,7.5905190000000005,10.295714,9.455714,7.948571,7.555714,8.955714,10.575714,11.315714,9.675714,7.075714,8.715714,9.715714,9.135714,10.355714,12.332857,6.510519,10.775714,9.401428999999998,6.439814,10.675714,7.950357,5.875714,9.095714,8.735714,7.795714,6.870357,11.015714,7.692857000000001,6.790571000000001,10.875714,7.647619000000001
19,8,0,9.399365,5.899365,11.019364999999999,6.8593649999999995,11.579365,10.139365,10.699365,7.279364999999999,11.199365,5.999365,9.479365,6.919364999999999,10.959365,9.919364999999999,10.279364999999999,7.3593649999999995,10.999365,9.859364999999999,8.079365,7.844683,10.759364999999999,9.959365,8.299365,7.919364999999999,9.419364999999999,11.079365,11.939364999999999,10.219365,7.439365,9.179364999999999,10.199365,9.659365,10.879365,13.379365,6.654683,11.279364999999999,9.879365,6.679365,11.259364999999999,8.119365,6.199365,9.639365,9.179364999999999,8.279364999999999,7.039364999999999,11.479365,8.039365,7.039364999999999,11.459365,7.959364999999999
20,8,1,9.764512,6.184512000000001,11.404511999999999,7.144512,12.004512,10.424512,11.104512,7.564512,11.504512,6.284512,9.824512,7.204511999999999,11.444512,10.224511999999999,10.624512,7.684512,11.464512,10.264512,8.324512,8.124512,11.044512,10.264512,8.584512,8.124512,9.704512,11.504512,12.284512,10.564511999999999,7.684512,9.464512,10.424512,9.964512,11.184512,13.764512,6.924511999999999,11.679025,10.304511999999999,7.004511999999999,11.544512,8.444512,6.424512,9.924512,9.484511999999999,8.564511999999999,7.3245119999999995,11.904511999999999,8.344512,7.344512,11.764512,8.324512
21,8,2,10.121202,6.525601,11.781202,7.381202,12.421202000000001,10.781202,11.561202,7.9012020000000005,11.981202,6.641202000000001,10.241202000000001,7.555600999999999,11.821202,10.741202000000001,11.101202,8.041202,11.821202,10.621202,8.661202000000001,8.441202,11.492403999999999,10.701202,8.941202,8.481202,10.121202,11.861202,12.732403999999999,10.981202,8.015601,9.821202,10.781202,10.281202,11.741202000000001,14.161202,7.201202,12.041202,10.761202,7.3612020000000005,11.941202,8.821202,6.721202000000001,10.301202,9.841202000000001,8.881202,7.681202000000001,12.461202,8.721202,7.621202,12.161202000000001,8.801202
22,9,0,10.648571,6.848571000000001,12.288571000000001,7.708571000000001,12.948571000000001,11.188571000000001,12.088571,8.268571000000001,12.428571,6.968571000000001,10.668571,7.928571000000001,12.388571,11.308571,11.628571,8.608571000000001,12.228571,11.008571,9.188571000000001,8.808571,11.968571,11.108571000000001,9.308571,8.839286,10.528571000000001,12.268571000000001,13.208571,11.427143,8.368571000000001,10.228571,11.308571,10.788571000000001,12.388571,14.648570999999999,7.499286,12.448571000000001,11.228571,7.928571000000001,12.508571,9.148571,7.028571,10.708571000000001,10.208571000000001,9.268571000000001,8.088571,12.908571,9.108571000000001,7.888571000000001,12.708571000000001,9.267142999999999
23,9,1,11.11195,7.29195,12.71195,7.97195,13.79195,11.57195,12.69195,8.69195,13.09195,7.41195,11.19195,8.29195,12.99195,11.79195,12.11195,9.05195,12.59195,11.63195,9.643983,9.29195,12.55195,11.59195,9.79195,9.320975,11.09195,12.75195,13.67195,11.980975,8.81039,10.71195,11.95195,11.600975,12.99195,15.27195,7.79195,12.91195,12.110975,8.380975,12.95195,9.59195,7.43195,11.13195,10.79195,9.8339,8.43195,13.670975,9.73195,8.23195,13.15195,10.03195
24,9,2,11.735033999999999,7.73521,13.335034,8.590629,14.455034,12.195034,13.315033999999999,9.315033999999999,13.715034,7.873889999999999,11.815033999999999,8.478972,13.595034,12.415034,12.715034,9.575034,13.795034,12.255034,10.095004,9.915034,13.175034,12.215034,10.415034,9.875034,11.675034,13.255034,14.435034,12.555034,9.068128999999999,11.335034,12.575034,12.215034,13.415034,15.895033999999999,8.410167999999999,13.495034,12.715034,8.705011,13.16932,10.065002999999999,7.735683,11.588337,11.415034,10.475033999999999,8.914679,14.275034,10.355034,8.855034,13.445682999999999,10.675034
25,10,0,12.667686999999999,8.167686999999999,13.967687,8.907687,15.407687,12.722988,14.187687,9.867687,14.687687,8.387687,12.467687,9.147687,14.327687,13.507686999999999,13.447687,10.287687,15.007686999999999,13.267686999999999,10.907687,10.862561999999999,14.307687,13.307687,11.367687,11.022561999999999,12.498241,14.325373999999998,15.967687,13.447687,9.647687,12.507686999999999,13.667686999999999,13.307687,14.987687,16.787687,8.707687,14.217537,13.627687,9.607687,14.307687,10.647687,8.098844,12.607687,11.987687,11.327687,9.287687,15.327687,11.166421000000001,9.420405,14.425374,11.707687
26,10,1,13.143016000000001,8.623016,14.503016,9.223016000000001,15.943016,13.043016,14.543016,10.183016,15.123016,8.743016,13.043016,9.543016,14.923016,13.923016,13.983016000000001,10.603016,15.803016,13.583016,11.383016,11.243016,14.803016,13.523016,11.863016,11.403016000000001,12.863016,14.863016,16.423016,14.003016,10.123016,12.963016,13.983016000000001,13.576507999999999,15.576032000000001,17.303016,9.043016,14.561004999999998,14.403016000000001,9.923016,14.883016,11.003016,8.383016,12.763016,12.483016000000001,11.703016,9.643016000000001,16.163016,11.543016,9.643016000000001,15.083016,12.163016
27,10,2,13.488570999999999,8.976508,14.968570999999999,9.568571,16.428570999999998,13.448571,15.108571,10.528571000000001,15.548570999999999,9.112411,13.588571,9.988571,15.328570999999998,14.488570999999999,14.428571,10.908571,16.268570999999998,13.908570999999998,11.728571,11.628571,15.368571,14.028571,12.328571,11.768571000000001,13.208571,15.328570999999998,17.148571,14.428571,10.628571,13.428571,14.348571,13.968570999999999,16.088570999999998,17.825714,9.368571000000001,14.908570999999998,14.808570999999999,10.228571,15.348571,11.368571000000001,8.708571000000001,13.228570999999999,12.848571000000002,12.108571000000001,10.088571,16.688571,11.908571,10.064642999999998,15.548570999999999,12.608571000000001
28,11,0,13.784898000000002,9.097449000000001,15.404898000000001,9.777449,16.864898,13.864898,15.484898000000001,10.844897999999999,16.024898,9.217449,14.004898,10.327449,15.704898000000002,14.887448999999998,14.764898,11.204898,16.667448999999998,14.204898000000002,12.007449000000001,11.997449000000001,15.764898,14.504898,12.793724000000001,12.104898,13.504898,15.744898000000001,17.764898000000002,14.807448999999998,11.044898,13.844898,14.644898000000001,14.344898,16.584898000000003,18.244898000000003,9.587449000000001,15.204898000000002,15.147449,10.644898,15.764898,11.704898,8.947449,13.574966,13.101633,12.364898,10.344897999999999,17.104898000000002,12.164897999999999,10.224898,15.964898000000002,12.924897999999999
29,11,1,14.197958999999999,9.417959,16.177959,10.057959,17.477959,14.537958999999999,16.173878,11.237959,16.597959,9.537958999999999,14.657959,10.897959,16.237959,15.537958999999999,15.217959,11.697958999999999,17.197959,14.637959,12.465917999999999,12.497959,16.197959,15.257959,13.277959,12.557959,13.977959,16.437959,18.417959,15.517959,11.597959,14.497959,15.117958999999999,15.117958999999999,17.297959,19.077959,9.857959,15.757959,15.937959,11.017959,16.497958999999998,12.017959,9.297959,14.097959,13.677959,12.777959,10.777959,17.717959,12.717959,10.477959,16.697959,13.537958999999999
30,11,2,14.813426999999999,9.775229,16.737982000000002,10.332999000000001,18.097982000000002,15.114362,16.897982,11.603991,17.157982,9.895228999999999,15.219327,11.270997999999999,16.763991,16.183991,15.677982,12.076995,17.879327,15.283991,12.852798,12.952798,16.737982000000002,15.892544000000001,13.712544,12.959596000000001,14.437982,16.973997,19.177982,16.063991,12.173997,15.157982,15.597982,15.735331,18.017982,20.117982,10.153998,16.296995000000003,16.595596,11.399327,17.157982,12.374362,9.513498,14.637982000000001,14.215330999999999,13.116995000000001,11.220856,18.300998,13.315596,10.733998,17.357982,13.89114
31,12,0,15.077256,9.977256,17.237256,10.557256,18.577256,15.437256,17.497256,11.813628,17.677256,10.097256,15.637255999999999,11.617256,17.257255999999998,16.657256,16.177256,12.417256,18.177256,15.717255999999999,13.123628,13.277256,17.277256,16.197256,13.977256,13.363628,14.816814,17.277256,19.657256,16.477256,12.537256,15.637255999999999,16.057256,16.317256,18.777256,20.877256,10.357256,16.737256,16.997256,11.737256,17.597255999999998,12.637255999999999,9.777256,15.037256,14.577256,13.537256,11.477256,18.757255999999998,13.717255999999999,10.997256,17.797256,14.157256
32,12,1,15.39458,10.27458,17.59458,10.814581,19.014581,15.754581,17.894581,12.054580999999999,17.959160999999998,10.39458,15.974581,11.87458,17.683741,16.93458,16.479160999999998,12.734581,18.574581,16.15458,13.39458,13.55458,17.719161,16.53458,14.274581,13.614579999999998,15.034581,17.67458,20.054581,16.859161,12.794580999999999,15.914581,16.314581,16.594580999999998,19.234581,21.27458,10.614581,17.03458,17.519160999999997,12.01458,17.894579999999998,12.934581,10.054580999999999,15.31458,14.894581,13.794579999999998,11.814581,19.214581,13.994581,11.27458,18.09458,14.474581
33,12,2,15.748685,10.548685,17.988685,11.088685,19.468685,16.108685,18.348685,12.408685,18.368685,10.648685,16.368685,12.288685000000001,18.068685000000002,17.348685,16.868685,13.008685,18.888685,16.488685,13.668685,13.888685,18.128685,16.928685,14.628685,13.908685,15.348685000000001,18.028685,20.568685000000002,17.288685,13.108685000000001,16.268685,16.728685000000002,16.899342,19.728685000000002,21.648685,10.908685,17.379342,17.888685,12.328685,18.368685,13.268685000000001,10.308685,15.668685,15.248685,14.108685000000001,12.168685,19.688685,14.328685,11.608685000000001,18.568685000000002,14.828685
34,13,0,16.102154000000002,10.802154,18.414308,11.324019,19.902154,16.442154000000002,18.762154000000002,12.642154,18.722154,10.922153999999999,16.782154000000002,12.602153999999999,18.402154,17.702154,17.262154000000002,13.302154000000002,19.202154,16.782154000000002,13.982154000000001,14.222154000000002,18.482154,17.262154000000002,14.962154,14.162154000000001,15.602154,18.322154,20.902154,17.622154000000002,13.382154000000002,16.602154000000002,17.102154000000002,17.202154,20.222154,21.982154,11.136077,17.702154,18.222154,12.622154,18.802154,13.543039000000002,10.542154,16.002154,15.542154,14.366076999999999,12.502153999999999,20.042154,14.642154000000001,11.807385,19.002154,15.142154000000001
35,13,1,16.543332999999997,11.143333,18.863332999999997,11.683333,20.543332999999997,17.103333,19.483333,13.043333,19.183332999999998,11.263333,17.303333,13.143332999999998,18.963333,18.423333,17.803333,13.783332999999999,19.923333,17.203332999999997,14.483332999999998,14.683333,18.983333,17.823332999999998,15.443332999999999,14.583332999999998,16.043332999999997,18.763333,21.463333,18.263333,13.803332999999999,17.043332999999997,17.603333,17.843332999999998,21.003332999999998,22.683332999999998,11.483333,18.283333,18.723333,13.103333000000001,19.443333,13.943332999999999,10.923333,16.423333,16.043332999999997,14.783332999999999,13.043333,20.783333,15.103333,12.183333,19.643333,15.763333
36,13,2,16.962313,11.380463,19.402313,12.041692999999999,21.182313,17.604463,20.302313,13.295813,19.762313,11.444410000000001,17.922313,13.502313000000001,19.516156,18.862313,18.255813,14.196638,20.562313,17.702313,15.02033,15.142313,19.622313000000002,18.442313000000002,15.962313,14.976539,16.502313,19.133078,22.062313,18.732052,14.118719,17.682313,18.482313,18.482313,21.612463,23.362313,11.876278999999998,18.882313,19.236573999999997,13.375813,20.047438,14.06601,11.198865,16.922313,16.674104,15.042313,13.462313,21.403078,15.262313,12.418719,20.243078,16.240771
37,14,0,17.662472,11.733608,19.982472,12.162472,21.802472,18.142472,20.962472,13.542472,20.342472,11.862472,18.502472,13.882472,20.002472,19.562472,18.682472,14.322472,20.842472,18.120824,15.502472000000001,15.562472,20.182472,19.002472,16.394157,15.282472,16.862472,19.622472,22.642472,19.122472,14.642472,18.262472,19.222472,18.742472,21.942472,24.002472,11.936494,19.502472,19.682472,13.606235999999999,20.302472,14.522472,11.322472,17.462472,17.002472,15.462472,13.836235999999998,21.982472,15.722472,12.712494,20.502472,16.522472
38,14,1,18.182336,12.042336,20.422335999999998,12.522336,22.282335999999997,18.602335999999998,21.542336,13.922335999999998,20.742335999999998,12.162336,19.022336,14.302335999999999,20.622335999999997,20.042336,19.122335999999997,14.686167999999999,21.482336,18.682336,15.862335999999999,16.042336,20.814671,19.422335999999998,16.762335999999998,15.642335999999998,17.262335999999998,20.182336,23.022336,19.686168,14.942336,18.702336,19.682336,19.282335999999997,22.562336,24.562336,12.322336,19.902336,20.322336,14.002335999999998,20.742335999999998,14.962335999999999,11.662336,17.802335999999997,17.442335999999997,15.862335999999999,14.242335999999998,22.522336,16.162336,13.002336,20.922335999999998,16.942335999999997
39,14,2,18.433220000000002,12.261610000000001,20.85322,12.73322,22.71322,18.99322,21.933220000000002,14.193220000000002,21.17322,12.38161,19.49322,14.733220000000001,21.05322,20.42161,19.51322,14.953220000000002,21.79322,19.03322,16.118644,16.37322,21.31322,19.87322,17.14161,15.98161,17.593220000000002,20.51322,23.65322,20.073220000000003,15.273220000000002,19.093220000000002,19.970644,19.593220000000002,23.03322,24.913220000000003,12.53322,20.21322,20.71322,14.271073000000001,21.17322,15.273220000000002,11.955805,18.19322,17.777739999999998,16.180805,14.59322,22.971610000000002,16.44161,13.293220000000002,21.37322,17.39322
40,15,0,18.91551,12.550550999999999,21.31551,12.993793,23.195510000000002,19.375510000000002,22.385170000000002,14.453644,21.58517,12.670501,19.97551,15.099101999999998,21.535510000000002,20.89551,19.955102,15.316378,22.171837,19.430787,16.531102,16.83551,21.774252,20.322754999999997,17.566378,16.366378,17.975102,20.906378,24.17551,20.51551,15.77551,19.57551,20.35551,19.992755,23.532754999999998,25.35551,12.795039,20.671837,21.212754999999998,14.635102,21.65551,15.615689000000001,12.155510000000001,18.635102,18.171837,16.63551,15.075510000000001,23.422755,16.811837,13.631101999999998,21.85551,17.786378
41,15,1,19.240023,12.820022999999999,22.080023,13.240023,23.960023,19.840023000000002,23.220023,14.760023,22.160023000000002,12.920023,20.552004999999998,15.520023000000002,22.020023000000002,21.500023000000002,20.340023000000002,15.740023,22.760023,19.800023,16.900023,17.460023,22.160023000000002,21.060023,18.145011,16.900023,18.500023000000002,21.680023000000002,24.820023000000003,21.020023000000002,16.340023000000002,20.040023,20.900023,20.520023000000002,24.160023000000002,26.160023000000002,13.040023,21.120023,21.800023,15.040023000000001,22.160023000000002,15.980023000000001,12.500022999999999,19.060023,18.620023,16.880023,15.280023000000002,24.000023000000002,17.220023,13.840023,22.380023,18.280023
42,15,2,19.758367,13.175891,22.658367000000002,13.478367,24.618367000000003,20.398367,23.978367000000002,15.078367000000002,22.738367,13.282162,21.078367,15.858367000000001,22.506122,22.278367000000003,20.878367,16.179553,23.298367000000002,20.446122,17.434836999999998,18.035673000000003,22.638367000000002,21.738367,18.598367,17.478558,19.058367,22.238367,25.618367000000003,21.538367,16.718546,20.718367,21.522092,21.158367000000002,24.838367,27.058366999999997,13.298367,21.618367000000003,22.478367000000002,15.455523000000001,22.738367,16.338033,12.772578999999999,19.578367,19.257092,17.298367000000002,15.678367000000001,24.638367000000002,17.718367,14.141769,22.938367,18.698367
