,measure_number,beat_number,pid5667203-03,pid58917-01,pid610003b-11,pid9048b-11,pid9050b-07,pid9054b-07,pid9055b-07,pid9058b-07,pid9059b-11,pid9062b-10,pid9063b-11,pid9064-18,pid9065-23,pid9068-16,pid9072b-11,pid9073b-11,pid9079-06,pid9081-07,pid9085-21,pid9090-18,pid9093b-13,pid9094b-07,pid9099b-11,pid9101c-01,pid9111b-09,pid9115-09,pid9118b-11,pid9133-07,pid9138b-07,pid9139b-07,pid9149-12,pid9153b-07,pid9157-10,pid9158-09,pid9174b-07,pid917506-05,pid9179-09,pid918807-12,pid918821-09,pid918824-05,pid9192b-07
10,4,1,7.668209,7.428209,9.948209,8.748209,7.5682089999999995,5.048209,6.388209,6.908208999999999,5.828208999999999,5.908208999999999,7.228209,5.208209,8.728209,4.728209,6.688209,7.968209,7.588209,6.9882089999999994,6.008209,7.688209,6.348209,8.868209,5.728209,6.048209,5.728209,6.588209,7.768209,6.6082089999999996,5.0682089999999995,5.948208999999999,7.428209,5.708209,5.448208999999999,5.868208999999999,4.328208999999999,4.093604,5.9882089999999994,6.469104,6.248208999999999,7.808209,5.748208999999999
11,4,2,8.046772,8.180317,10.820317,9.500316999999999,8.420316999999999,5.425159,7.000317,7.460317,6.420317,6.500317,7.780317,5.900317,9.400317,5.085159,7.300317,8.820317,8.260317,7.500317,6.680317,8.205159,6.900317,9.620317,6.260317,6.605159,6.340317,7.160317,8.560317,7.240317,5.540317,6.500317,8.180317,6.2201059999999995,6.0203169999999995,6.460317,4.745158999999999,4.097171,6.5203169999999995,6.550493,6.740317,8.580316999999999,6.340317
12,5,0,8.423356,8.901119,11.563356,10.363356,9.123356,5.7833559999999995,7.483356,8.103356,7.163355999999999,7.263356,8.443356,6.403356,10.063356,5.672671,7.903356,9.541119,8.943356,8.243356,7.223356,8.803355999999999,7.463356,10.243356,6.903356,7.183356,7.123355999999999,7.703355999999999,9.343356,7.8233559999999995,6.2433559999999995,7.043356,8.743356,6.843356,6.616671000000001,7.123355999999999,5.163355999999999,4.101647,7.023356,6.552418,7.376671000000001,9.043356,6.866678
13,5,1,8.782585000000001,9.382585,12.122585,11.022585000000001,9.742585,6.148146,7.822585000000001,8.702585000000001,7.662585000000001,7.975169999999999,8.955169999999999,6.7625850000000005,10.702585000000001,6.082585,8.342585,10.142585,9.402585,8.902585,7.666293,9.342585,7.902585,10.955169999999999,7.502585000000001,7.582585000000001,7.742585000000001,8.182585000000001,9.962585,8.162585,6.742585000000001,7.67517,9.182585000000001,7.306292999999999,6.982585,7.662585000000001,5.646293,4.104654,7.428146000000001,6.553711,7.822585000000001,9.502585,7.382585000000001
14,5,2,9.135374,10.015374000000001,12.655374,11.635374,10.275374000000001,6.532687,8.235374,9.195374000000001,8.115374000000001,8.475374,9.412687,7.275374,11.175374,6.5153739999999996,8.775374000000001,10.675374,9.935374000000001,9.395374,8.095374000000001,9.795374,8.335374,11.515374000000001,8.035374000000001,8.032687,8.155374,8.615374000000001,10.435374000000001,8.615374000000001,7.335374000000001,8.135374,9.735374,7.815374,7.392687,8.035374000000001,6.155374,4.107382,7.875374000000001,6.5548839999999995,8.275374000000001,10.075374,7.895374
15,6,0,9.524942999999999,10.504942999999999,13.084942999999999,12.344942999999999,10.704943,6.856989,8.664943,9.664943,8.544943,8.904943,9.824943,7.644943,11.604942999999999,6.825824000000001,9.204943,11.104942999999999,10.364942999999998,9.804943,8.524942999999999,10.244943,8.764942999999999,12.084942999999999,8.484943,8.444942999999999,8.564943,9.004942999999999,10.864942999999998,9.024942999999999,7.744942999999999,8.564943,10.147472,8.244943,7.724943,8.447472,6.446868,4.10997,8.304943,6.5559970000000005,8.704943,10.464943,8.304943
16,6,1,9.880952,11.100952000000001,13.720951999999999,13.140951999999999,11.340952,7.2209520000000005,9.100952000000001,10.260952,9.020952000000001,9.420952,10.300952,8.080952,12.120952,7.200952,9.660952,11.760952,10.860952000000001,10.440952000000001,9.020952000000001,10.780952000000001,9.200952000000001,12.640952,8.980952,8.840952,9.020952000000001,9.445476,11.440952000000001,9.500952,8.140952,9.080952,10.620952,8.895475999999999,8.155476,8.900952,6.820952,4.1322790000000005,8.760952,6.557230000000001,9.260952,10.940952000000001,8.800952
17,6,2,10.338946,11.707891,14.467891,13.887891,12.087891,7.6878910000000005,9.567891,10.807891,9.647891,9.927891,10.827891000000001,8.707891,12.758946,7.762982000000001,10.24263,12.487891000000001,11.507891,11.167891000000001,9.473578,11.307891,9.887891,13.507891,9.447891,9.407891000000001,9.527891,9.927891,12.067891,10.055964,8.647891,9.607891,11.207891,9.487891000000001,8.712236,9.447891,7.273445,4.13635,9.198946000000001,6.558855,9.747891000000001,11.538946000000001,9.447891
18,7,0,10.625,12.18,15.08,14.48,12.72,7.96,10.16,11.28,10.24,10.38,11.26,9.085,13.206667000000001,7.9675,10.68,13.14,11.92,11.7,9.846667,11.732000000000001,10.26,14.38,9.92,9.82,9.855,10.34,12.54,10.46,8.98,10.08,11.72,10.08,9.04,10.04,7.5725,4.140194999999999,9.595,6.560389,10.2,11.932,9.865
19,7,1,10.939229,12.639228999999998,15.619229,15.299229,13.239229000000002,8.299228999999999,10.519229,11.699228999999999,10.739229,10.959228999999999,11.699228999999999,9.479229,13.699229,8.319229,11.079229,13.639229,12.339229,12.139228999999998,10.264615,12.159229,10.659229,14.948457999999999,10.319229,10.179229,10.259229,10.619228999999999,13.019229,10.839229,9.319229,10.539228999999999,12.159229,10.539228999999999,9.379228999999999,10.519229,7.939228999999999,4.1434370000000005,9.999229,6.561682000000001,10.579229,12.299228999999999,10.279228999999999
20,7,2,11.298458,13.098458,16.175373999999998,15.958457999999998,13.778457999999999,8.778458,10.834228999999999,12.178458000000001,11.238458,11.518458,12.194229,9.938458,14.198457999999999,8.678458000000001,11.518458,14.178458,12.818458,12.658458,10.658458,12.538458,11.094228999999999,15.458457999999998,10.698458,10.554229,10.638458,10.978458,13.394229000000001,11.298458,9.714229,10.971692,12.638458,11.018458,9.818458,10.958458,8.278458,4.146678,10.498458,6.562975,11.024229,12.758458000000001,10.834228999999999
21,8,0,11.65894,13.68576,16.76576,16.58576,14.40576,9.24576,11.28788,12.645760000000001,11.78576,12.117279,12.70576,10.32576,14.90576,9.045760000000001,12.10576,14.805760000000001,13.305760000000001,13.26576,11.08576,12.98576,11.50788,16.04576,11.145760000000001,10.98576,11.08576,11.305760000000001,13.82576,11.74576,10.065760000000001,11.44576,13.20576,11.465760000000001,10.24576,11.50576,8.60576,4.18576,10.955252999999999,6.564392999999999,11.52576,13.26576,11.26576
22,8,1,11.928253999999999,14.514285999999998,17.634286,17.294286,15.274285999999998,9.894286,11.794286,13.494285999999999,12.434286,12.774286,13.179481,10.794286,15.614285999999998,9.454286,12.734286,15.654285999999999,13.954285999999998,14.014285999999998,11.490476,13.518095,12.154286,16.814286,11.894286,11.634286,11.674286,11.794286,14.574285999999999,12.314286,10.634286,12.074286,13.874285999999998,12.174286,10.994286,12.194286,9.014286,4.661299,11.420714,6.566072999999999,12.354286,13.894286,11.857381
23,8,2,12.547664,15.247664000000002,18.367664,17.787664000000003,15.987664,10.473533,12.527664,14.258832,13.107664000000002,13.667664000000002,13.647664,11.338832,16.287664000000003,9.901766,13.367664000000001,16.407664,14.547664000000001,14.541095,11.967664,14.067664,12.727664,17.627664000000003,12.485329,12.147664,12.087664,12.127664,15.207664000000001,12.747664,10.906064,12.505533,14.587664000000002,12.707664,11.678832,12.729221,9.567664,4.993604,11.802555,6.567817999999999,12.967664,14.287664000000001,12.288832000000001
24,9,0,13.173243,15.953242999999999,19.296485,18.593243,16.916485,11.193242999999999,13.773242999999999,15.253243,14.013243,14.513243,14.613242999999999,11.993243,17.213243,10.333243,14.413243,17.316485,15.333243,15.373242999999999,12.453242999999999,14.873242999999999,13.733243,18.433243,13.313243,12.693242999999999,12.873242999999999,12.993243,16.413242999999998,13.313243,11.493243,13.313243,15.416485,13.673243,12.493243,13.493243,10.153243,5.613243,12.573243,6.570545,13.933243,14.933243,13.073243
25,9,1,13.552472,16.432472,19.972472,19.232472,17.612472,11.712472,14.232472,15.954943,14.512472,15.172472,15.272472,12.497415,18.012472,10.712472,15.092472,18.032472,15.962357999999998,15.952472,12.912472,15.452472,14.479887,19.292472,13.912472,13.194942999999999,13.372472,13.492472,17.112472,13.832472000000001,11.932472,13.852472,15.932472,14.254942999999999,12.952472,13.972472,10.512472,5.830535,13.152472,6.574849,14.519886999999999,15.557414999999999,13.632472
26,9,2,13.985260999999998,16.905261,20.545261,19.925261,18.225261,12.125261,14.725260999999998,16.585261,14.965260999999998,15.725260999999998,15.845260999999999,13.105261,18.645260999999998,11.11763,15.785260999999998,18.625261,16.485260999999998,16.445261,13.405261,15.905261,15.325261,19.885261,14.385260999999998,13.865260999999999,13.805260999999998,13.89763,17.925261,14.525260999999999,12.445261,14.305260999999998,16.645260999999998,14.825261,13.365260999999999,14.405261,10.925261,5.841316,13.605260999999999,6.578752000000001,15.145260999999998,16.345260999999997,14.105260999999999
27,10,0,14.378707,17.338707,21.018707,20.558707000000002,18.658707,12.518707000000001,15.178707000000001,17.178707,15.438707,16.298707,16.312177,13.538707,19.298707,11.478707,16.287415,19.058707000000002,16.918707,16.938707,14.078707000000001,16.418707,15.798707,20.418707,14.878707,14.338707000000001,14.258707000000001,14.318707,18.458707,14.998707000000001,12.838707000000001,14.778707,17.198707000000002,15.358707,13.858707,14.858707,11.258707000000001,5.913747,14.058707,6.582834,15.658707000000001,16.758707,14.578707000000001
28,10,1,14.932177,18.172176999999998,21.632177,21.256531,19.292177,13.134354,15.632176999999999,17.814354,16.032176999999997,16.992176999999998,16.892177,14.076531,20.172176999999998,12.052177,17.012176999999998,19.712177,17.492176999999998,17.592177,14.812176999999998,17.072177,16.376531,21.132177,15.692177,15.072176999999998,14.876531,14.912177,19.214354,15.663060999999999,13.474354,15.398707,17.872177,15.912177,14.552176999999999,15.472176999999999,11.612177,5.95919,14.712176999999999,6.58795,16.234354,17.394354,15.312176999999998
29,10,2,15.412358,18.892357999999998,22.212358,21.972358,19.852358,13.752358,16.192358,18.492358,16.632358,17.592357999999997,17.452358,14.852357999999999,21.032358,12.572358,17.872358,20.272357999999997,18.312358,18.252357999999997,15.372357999999998,17.712358,17.172358,21.912357999999998,16.472358,15.912358,15.412358,15.592357999999999,20.232357999999998,16.792358,14.232357999999998,16.052357999999998,18.732357999999998,16.552357999999998,15.112357999999999,16.012358,12.054472,6.130246,15.332358,6.632538,17.012358,18.492358,16.072357999999998
30,11,0,15.923356,19.663356,22.843356,22.743356,20.483356,14.523356,16.963356,19.383356,17.403356,18.183356,18.263355999999998,15.543356,21.803356,13.283356,18.923356,20.903356,19.263355999999998,19.083356,15.823356,18.363356,17.823356,22.623356,17.123356,16.743356,16.043356,16.083356,21.343356,17.443356,15.103356,16.643356,19.783356,17.323356,15.863356,16.823356,12.343356,6.138718,16.043356,6.638609,17.703356,19.283356,16.663356
31,11,1,16.397902,20.180635000000002,23.440635,23.760635,21.080635,15.020635,17.600635,20.100635,17.960635,18.740635,18.880635,16.060635,22.700635000000002,13.760635,19.600635,21.500635,19.780635,19.800635,16.340635,18.880635,18.440635,23.340635,17.720635,17.260635,16.620635,16.580635,21.980635,18.000635,15.700635,17.146878,20.49127,17.940635,16.320635,17.340635,12.900635000000001,6.144842,16.576127,6.642997,18.35127,19.800635,17.180635000000002
32,11,2,16.659864000000002,20.679864000000002,24.099864,24.259864,21.739864,15.454932000000001,18.099864,20.839864000000002,18.459864000000003,19.419864,19.439864,16.579864,23.299864000000003,14.259864000000002,20.079864,22.199864,20.379864,20.339864000000002,16.919864,19.379864,18.939864,23.919864,18.259864,17.859864,17.179864000000002,17.139864000000003,22.479864000000003,18.339864000000002,16.399864,17.679864000000002,21.159864000000002,18.439864,16.819864000000003,17.819864000000003,13.159864,6.151991000000001,17.019864000000002,6.646928,19.019864000000002,20.299864000000003,17.699864
33,12,0,17.090703,21.230703,24.870703,24.930703,22.510703,15.830703,18.950703,21.690703,18.970703,20.050703,20.230703,17.350703,24.390703,14.910703,20.610703,22.930351,21.330703,21.190703,17.630703,19.870703,19.610703,24.930703,19.130703,18.470703,18.290703,17.930703,23.450703,18.990703,17.050703,18.210703,22.010703,19.070702999999998,17.350703,18.330703,13.490703,6.199196,17.630703,6.674577,19.750703,21.010703,18.330703
34,12,1,17.755692,22.135692000000002,25.515692,25.695692,23.155692000000002,16.475692000000002,19.715692,22.635692000000002,19.655692000000002,20.901383,20.935692,18.081383,25.32415,15.555692,21.255692,23.581383,22.035692,22.015692,18.535692,20.795692000000003,20.495692000000002,26.021383,20.007075,19.335692,19.347075,18.687075,25.335692,19.695692,17.915692,18.975692000000002,22.895692,19.775692000000003,18.015692,18.995692000000002,14.075692000000002,6.353966000000001,18.501382999999997,6.697055000000001,20.495692000000002,21.635692000000002,19.312766
35,12,2,18.47551,23.215510000000002,26.595509999999997,26.615509999999997,24.25551,17.51551,20.768570999999998,23.59551,20.375510000000002,21.99551,21.67551,18.95551,27.01551,16.33551,22.13551,24.89551,22.75551,22.73551,19.35551,21.51551,21.59551,27.155509999999996,20.901020000000003,20.29551,20.83551,19.416377999999998,26.035510000000002,20.75551,18.715510000000002,19.715510000000002,23.85551,20.55551,18.75551,19.77551,14.81551,6.3647089999999995,19.35551,6.710302,21.31551,22.65551,20.29551
36,13,0,18.824308,24.144308,27.758616999999997,27.504308,25.384307999999997,17.763789000000003,22.464308,24.524307999999998,21.304308,22.924308,22.844307999999998,20.104308,28.284308000000003,17.404308,23.704307999999997,25.824308,23.764308,24.124308,20.144308,22.298617,22.524307999999998,28.138617,21.884307999999997,21.364307999999998,22.684307999999998,20.247154000000002,26.377153999999997,21.984308,19.644308,20.664308,25.204307999999997,21.584308,19.664308,21.184307999999998,15.718617000000002,6.464538,20.267154,6.713584,22.284308,23.544307999999997,21.284308
37,13,1,19.261587,24.661587,28.381587,28.221587,26.001587,17.961586999999998,22.961586999999998,25.161587,21.861587,23.501587,23.321587,20.673175,29.101587,17.901587,24.241587,26.401587,24.321587,24.681587,20.621586999999998,22.921587,22.981587,28.941587,22.541587,21.881587,23.181587,20.881587,26.961586999999998,22.401587,20.181587,21.333175,25.821587,22.161587,20.141587,21.621586999999998,16.461586999999998,6.55258,20.801586999999998,6.715553,22.921587,24.113175,21.881587
38,13,2,19.596899,25.077596,28.900384999999996,28.917596000000003,26.567982,18.397596,23.477596,25.777596,22.337595999999998,24.045192999999998,23.857596,21.217596,29.665193,18.317595999999998,24.717596,26.980385,24.837595999999998,25.177595999999998,21.037596,23.397596,23.457596,29.457596000000002,22.977596,22.357596,23.837595999999998,21.357596,27.437596000000003,22.857596,20.765193,21.837595999999998,26.497596,22.617596,20.557596,22.097596,16.937596,6.556792999999999,21.417596,6.7172350000000005,23.457596,24.617596,22.352532
39,14,0,20.021995,25.681995,29.741995000000003,29.801995,27.281995000000002,18.741995000000003,24.101995000000002,26.421995000000003,22.801995,24.721995,24.341995,21.701995,30.321995,18.715998000000003,25.241995000000003,27.821995,25.301995,25.705998,21.501995,23.861995,23.981995,30.001995,23.441995000000002,22.813998,24.441995000000002,21.821995,27.981995,23.301995,21.241995000000003,22.321995,27.221995,23.141995,21.001995,22.532999,17.441995000000002,6.560903,21.921995000000003,6.718876,24.141995,25.201995,22.781995000000002
40,14,1,20.584444,26.324444,30.384444000000002,30.645556,28.044444,19.144444,24.654444,26.987221999999996,23.324444,25.244444,24.824444,22.148889,30.973333,19.164444,25.844444,28.444444,25.824444,26.224444000000002,21.964444,24.384444000000002,24.544444,30.684444,24.024444,23.264444,24.884444000000002,22.344444,28.564444,23.804444,21.607222,22.864444,27.944444,23.644444,21.464444,23.004444,17.828611,6.565525999999999,22.644444,6.720722,24.704444,26.004444,23.224444000000002
41,14,2,21.158503,27.198503000000002,31.198503000000002,31.327007000000002,28.878503000000002,19.538503,25.258503,27.578503,23.858503,25.778503,25.278503,22.678503,31.518503000000003,19.678503,26.618503000000004,29.238503,26.358503000000002,26.778503000000004,22.498503,24.891215,25.367007,31.578503,24.558502999999998,23.798503,25.538503,22.878503,29.298503000000004,24.538503,22.114072,23.398503,28.778503000000004,24.098503,21.998503,23.598503,18.358503,6.570288000000001,23.178503,6.72261,25.358503,26.978503000000003,23.758503
42,15,0,21.836745999999998,27.883491999999997,32.183492,32.243491999999996,29.843491999999998,19.876746,26.063492,28.263492,24.543492,26.446746,25.823492,23.046746,32.403492,20.226746,27.343491999999998,30.263492,27.143492,27.683491999999998,22.943492000000003,25.403492,26.236746000000004,32.843492,25.183492,24.463492000000002,26.583492,23.623492000000002,30.003491999999998,25.316746,22.503492,23.938373000000002,29.723491999999997,24.823492,22.606745999999998,24.374497,19.006746,6.5772070000000005,23.963492000000002,6.72503,25.991927,27.663491999999998,24.386746
43,15,1,22.086222,28.351111,32.731111,32.891110999999995,30.391111,20.271110999999998,26.471110999999997,28.751110999999998,25.031111,26.931110999999998,26.271110999999998,23.511111,32.951111,20.551111,27.771110999999998,30.771110999999998,27.591110999999998,28.131110999999997,23.351111,25.811111,26.691111,33.411111,25.571111,24.871111,26.991111,24.051111,30.431110999999998,25.751110999999998,22.811111,24.371111,30.251110999999998,25.251110999999998,22.991111,24.851111,19.371111,6.5821320000000005,24.431110999999998,6.7267529999999995,26.391111,28.151111,24.751110999999998
44,15,2,22.449070000000003,28.949070000000003,33.50907,33.58907,31.18907,20.58907,26.88907,29.289070000000002,25.449070000000003,27.469070000000002,26.70907,23.98907,33.46907,20.90907,28.20907,31.609070000000003,28.04907,28.58907,23.809070000000002,26.20907,27.16907,33.96907,26.00907,25.269070000000003,27.40907,24.48907,30.86907,26.149070000000002,23.20907,24.82907,30.92907,25.72907,23.36907,25.288141,19.70907,6.586353999999999,25.02907,6.72823,26.84907,28.70907,25.22907
45,16,0,22.881735,29.513469,34.113469,34.373469,31.793469,20.953469000000002,27.431156,29.853469,25.913469,27.993469,27.293469,24.553469,34.013469,21.341735,28.713469,32.213469,28.553469,29.153469,24.273469,26.621734999999997,27.593469,34.553469,26.553469,25.733469,27.833469,24.873469,31.373469,26.593469,23.573469,25.301735,31.477822999999997,26.253469,23.753469,25.813469,20.153469,6.693469,25.533469,6.729871000000001,27.353469,29.193469,25.613469
46,16,1,23.337188,30.157188,34.817188,34.997188,32.477188,21.297188000000002,27.857188,30.337188,26.517188,28.517188,27.757188,24.937188,34.717188,21.737188,29.277188,32.897188,29.077188,29.637188000000002,24.857188,27.117188,28.053594,35.237188,27.157188,26.117188,28.297188000000002,25.337188,32.037188,27.097188,23.917188,25.837188,31.957188000000002,26.717188,24.157188,26.297188000000002,20.517188,7.557188000000001,25.937188,6.7449259999999995,27.777188,29.737188,26.137188000000002
47,16,2,23.684127,30.884127000000003,35.444127,35.784127000000005,33.104127000000005,21.664127,28.464127,30.844127,27.144127,29.144127,28.324127,25.524127,35.344127,22.084127,29.904127000000003,33.487063,29.684127,30.224127000000003,25.344127,27.604127000000002,28.564127000000003,35.884127,27.664127,26.624127,28.804127,25.784126999999998,32.604127000000005,27.764127000000002,24.344127,26.464127,32.684127000000004,27.284127,24.764127,26.804127,21.184127,8.444127,26.604127000000002,6.924127,28.264127000000002,30.484127,26.728042
48,17,0,24.014286,31.594286,35.994285999999995,36.654286,33.674285999999995,21.982143,28.834286,31.454286,27.794286,29.854286,28.854286,25.914285999999997,36.134285999999996,22.434286,30.374285999999998,34.074286,30.414285999999997,30.874285999999998,25.914285999999997,28.034285999999998,29.034285999999998,36.454285999999996,28.274286,27.174286,29.414285999999997,26.254285999999997,33.274286,28.214285999999998,24.754285999999997,27.074285999999997,33.314285999999996,27.932143,25.354286,27.394285999999997,21.634286,9.374286,27.134286,7.534286,28.858095000000002,30.874285999999998,27.134286
49,17,1,24.389615,32.009615000000004,36.689615,37.309615,34.369615,22.369615,29.289615,31.989615,28.409615000000002,30.569615000000002,29.329615000000004,26.329615000000004,36.869615,22.889615,30.769615,34.789615000000005,30.949615,31.489615,26.329615000000004,28.589615000000002,29.649615,37.109615000000005,28.909615000000002,27.589615000000002,29.949615,26.689615000000003,33.949615,28.709615000000003,25.169615,27.649615,33.809615,28.469615,25.889615,27.909615000000002,22.249615,10.129615,27.609615,8.149614999999999,29.409615000000002,31.289615,27.748844000000002
50,17,2,24.748844000000002,32.648844,37.168844,37.948844,34.848844,22.739422,29.679422,32.448844,28.908844000000002,31.268844,29.828844,26.888844,37.388844,23.328844,31.268844,35.268844,31.388844,31.988844,26.828844,29.048844,30.088844,37.608844,29.408844000000002,28.008844,30.328844,27.128844,34.448844,29.208844,25.659422,28.127686999999998,34.368844,29.068844,26.308844,28.348844,22.759422,10.548844,28.008844,8.748844,29.848844,31.768844,28.288844
51,18,0,25.135193,33.115193,37.635193,38.620385,35.295193,23.055193,30.075193,32.955193,29.315193,31.835193,30.275192999999998,27.255193,37.895193,23.655193,31.675193,35.735193,31.815193,32.455193,27.155193,29.395193,30.495193,38.135193,29.795192999999998,28.415193,30.755193,27.495193,34.855193,29.615192999999998,25.995193,28.535193,34.795193,29.515193,26.655193,28.715193,23.155193,10.895192999999999,28.395193,9.155192999999999,30.335193,32.175193,28.655193
52,18,1,25.471201999999998,33.671202,38.171202,39.291202,35.851202,23.371202,30.491202,33.451202,29.791202000000002,32.291202,30.711202,27.711202,38.371202000000004,23.991201999999998,32.151202000000005,36.271202,32.311202,33.011202000000004,27.612403999999998,29.891202000000003,30.971202,38.711202,30.251202000000003,28.831202,31.211202,27.871202,35.351202,30.071202000000003,26.351202,29.051202000000004,35.231202,29.991202,27.051202000000004,29.151202,23.451202,11.251202000000001,28.811202,9.571202,30.812403999999997,32.591202,29.131202000000002
53,18,2,25.908604999999998,34.167211,38.747211,40.007211,36.427211,23.787211,30.987211,34.021633,30.267211,32.787211,31.167210999999998,28.187210999999998,39.087210999999996,24.378605,32.595737,36.887211,32.887211,33.687211,28.047210999999997,30.347210999999998,31.587211,39.487211,30.767211,29.307211,31.807211,28.267211,35.887211,30.647211,26.767211,29.564421999999997,35.807210999999995,30.507210999999998,27.567211,29.767211,23.912868,11.607211,29.247211,10.207211000000001,31.387210999999997,33.087210999999996,29.727210999999997
