,measure_number,beat_number,pid1263-01,pid52932-01,pid9048-01,pid9050-01,pid9054-01,pid9055-01,pid9058-01,pid9059-01,pid9062-01,pid9063-01,pid9066-01,pid9067-01,pid9068-01,pid9072-01,pid9075-01,pid9088-01,pid9093-01,pid9097-09,pid9099-01,pid9101-01,pid9103-01,pid9104-01,pid9105-01,pid9118-01,pid9137-01,pid9138-01,pid9139-01,pid9150-15,pid9153-01,pid9166c-03,pid9173-06,pid9174-01,pid9186c-01,pid9192-01
10,5,0,10.015125,8.8551247,10.195125,5.691281,7.955124700000001,7.762161,10.235125,5.055125,6.115125,6.835125,6.195125,7.0870295,5.735125,7.0151247,5.255125,6.135125,6.651281,8.615125,7.095125,6.195125,8.495124699999998,9.655124699999998,8.855125,5.395125,5.7551247000000005,5.815125,6.955125,6.012562,5.3951247,4.595125,5.055125,4.762562,3.9751247000000003,6.515125
11,5,1,10.460023,9.240022699999999,10.660022999999999,6.080023000000001,8.3000227,8.140023,10.660022999999999,5.380023,6.580023,7.3000229999999995,6.620023,7.4400227,6.160023000000001,7.4200227,5.560023,6.5700449999999995,7.040023,9.040023,7.680022999999999,6.600022999999999,8.9400227,10.020023,9.520023,5.760023,6.0400227,6.140023,7.420023,6.380023,5.7200226999999995,4.940023,5.440023,5.100023,4.2400227,7.220022999999999
12,5,2,11.035125,9.635124699999999,11.235125,6.595125,8.795124699999999,8.715125,11.255125,5.855125,7.255125,7.835125,7.095125,7.875124700000001,6.695125,8.0151247,6.115125,7.295125,7.595125,9.715125,8.395125,7.175125,9.575124699999998,10.53127,10.155125,6.222562,6.3951247,6.615125,8.035624,6.795125,6.0951247,5.315125,6.0512809999999995,5.635125,4.6151247,8.035125
13,6,0,11.672676,10.192675999999999,11.952676,7.0326759999999995,9.1926757,9.392676,11.981497000000001,6.2326760000000005,7.732676,8.312676,7.555350999999999,8.352675699999999,7.272676,8.6926757,6.452676,8.012675999999999,8.092675999999999,10.332676,9.032675999999999,7.752675999999999,10.235351,10.892676,10.838027,6.532676,6.6926757,6.972676,8.692675999999999,7.252675999999999,6.552675700000001,5.832676,6.5726759999999995,6.172676,4.932675700000001,8.572676
14,6,1,12.217574,10.597574,12.437574,7.3575740000000005,9.5175737,9.937574,12.397574,6.657574,8.237574,8.757574,8.177574,8.817573699999999,7.757574000000001,9.137573699999999,6.757574000000001,8.577574,8.517574,10.777574000000001,9.657574,8.177574,10.857574000000001,11.237574,11.437574,6.837574000000001,7.037573700000001,7.297574000000001,9.277574000000001,7.637574000000001,6.917573700000001,6.137574,7.137574000000001,6.617574,5.2375737,9.077574
15,6,2,12.788186,11.088186,13.048186,7.808186,9.9681859,10.588186,12.908186,7.228186,8.668186,9.308186,8.668186,9.3881859,8.328186,9.6681859,7.168186,9.288186,8.968186,11.288186,10.368186,8.628186,11.568186,11.768186,12.068186,7.228186,7.408185899999999,7.648186,9.828186,8.148186,7.4281859,6.688186,7.768186,7.108186,5.6281859,9.728186
16,7,0,13.314307999999999,11.614308,13.794308,8.194308,10.474308,11.254308,13.314307999999999,7.574308,9.014308,9.814308,9.194308,9.8343084,9.074308,10.274308,7.494308,9.854308,9.434308,11.734308,10.854308,9.074308,12.174308,12.054308,12.674308,7.456430999999999,7.694308400000001,7.9821539999999995,10.474308,8.554308,7.8543084,7.194308,8.234308,7.450862,5.9743084,10.354308
17,7,1,13.714717000000002,12.051156,14.194717,8.454717,10.707823,11.546942999999999,13.694717,7.844906,9.254717,10.234717,9.474717,10.074717,9.534717,10.634717,7.754716999999999,10.160786,9.647453,12.054717,11.214717,9.394717,12.534717,12.364898,13.134717000000002,7.714717,7.9274603,8.214717,10.814717,8.874717,8.1147166,7.534717,8.594717,7.686942999999999,6.2347166,10.734717
18,7,2,14.368798000000002,12.528798,14.888798000000001,9.008797999999999,11.199388,12.068798,14.168798,8.389399000000001,9.728798,10.809399,10.228798,10.648798,10.108798,11.228798,8.149399,10.648798,10.188798,12.589399,11.768798,9.948798,13.328798,12.869388,13.868798000000002,8.128798,8.388798199999998,8.648798,11.388798,9.428798,8.5887982,7.9697,9.068798,8.168797999999999,6.7087982,11.568798
19,8,0,14.823288,12.943288,15.463288,9.323288,11.643288,12.423288000000001,14.603288000000001,8.663288,10.003288000000001,11.263288000000001,10.643288,10.963288,10.603288000000001,11.823152,8.443288,10.943288,10.523288,12.973322,12.089329,10.323288,13.803288,13.183288000000001,14.522744,8.309161,8.623288,8.903288,11.823288,9.763288000000001,8.846644,8.343288000000001,9.423288000000001,8.503288000000001,6.983288000000001,12.063288
20,8,1,15.283832,13.565329,15.965329,9.677066,11.961066,12.785328999999999,15.055102,9.028832000000001,10.445329,11.708442999999999,11.045328999999999,11.246485,11.125328999999999,12.259229,8.761066,11.405329,10.877066000000001,13.353832,12.507664,10.845329,14.325329,13.593832,15.245329000000002,8.605329,8.9269161,9.305328999999999,12.305328999999999,10.199221000000001,9.2044218,8.721066,9.885328999999999,8.825329,7.325034,12.565329
21,8,2,15.827370000000002,13.969569,16.635782,10.16737,12.417483,13.187370000000001,15.54737,9.549342,11.06737,12.24737,11.40737,11.655782,11.68737,12.90737,9.318685,12.048685,11.317474,13.839342000000002,13.22737,11.40737,14.947370000000001,14.074330999999999,15.787370000000001,8.967369999999999,9.410748300000002,9.611158,12.86737,10.66737,9.667369599999999,9.08737,10.44737,9.208685000000001,7.8273696,13.293474
22,9,0,16.494717,14.634717000000002,17.294717000000002,10.634717,12.974717,13.614717,16.022357999999997,10.034717,11.574717,12.834717,12.134717,12.074943,12.394717,13.594717000000001,9.734717,12.554717,11.774716999999999,14.454717,13.834717000000001,12.014717,15.594717000000001,14.614717,16.314717,9.334717,9.6947166,9.974717,13.474717000000002,11.074717,10.054717,9.674717,11.194717,9.894717,8.1747166,13.894717000000002
23,9,1,16.923696,15.263696,18.123696,11.123696,13.403696,14.183696,16.543696,10.543696,12.163696,13.483695999999998,12.483696,12.463696,12.903696,14.263696,10.263696000000001,13.143695999999998,12.363696000000001,15.183696,14.463695999999999,12.583696,16.103696,15.223695999999999,16.837392,9.803696,10.083696,10.403696,14.063695999999998,11.563696,10.603696000000001,10.183696000000001,11.823696,10.147899,8.5836961,14.543695999999999
24,9,2,17.800454000000002,15.960454,18.785238,11.737208,14.040454,14.920454000000001,17.229206,11.145227,12.980454,14.200454,13.435076,13.060159,13.560454,15.060454,11.020453999999999,14.020454,13.080454,16.020454,15.185227,13.300454,16.980454,15.865238,17.580454,10.325227,10.595079,10.894351,14.720454,12.220454,11.260454,10.653807,12.800454,10.577045,9.0804535,15.340454000000001
25,10,0,18.752971,16.732971,19.772971,12.432971,14.752970999999999,15.712971,17.792970999999998,11.895941,13.767823000000002,15.056735,14.132971,13.531474,14.332970999999999,16.132970999999998,11.812971000000001,14.872971,14.381882000000001,17.252971,15.952971,14.255941,18.192971,17.078912,18.592971,11.012971,10.932971,11.472971000000001,15.632971,12.995941,11.932971,11.192971,14.118912,11.272971,9.5529705,16.215941
26,10,1,19.562970999999997,17.655941000000002,20.575941,12.995941,15.115941000000001,16.335941000000002,18.355941,12.475941,14.615941000000001,15.895941,14.655941,14.315941,14.895941,16.995941000000002,12.435941,15.555941,15.135941,18.115941,16.835941000000002,14.915941,18.835941000000002,18.035941,19.275941,11.495941,11.335941,12.055941,16.315941,13.575941,12.575941,11.635941,14.672970999999999,11.715941,9.935941,16.895941
27,10,2,20.136848,18.356848,21.083424,13.356848000000001,15.475373999999999,16.803904,18.936848,12.854475,15.203423999999998,16.336848,15.136848,14.696848000000001,15.516848000000001,17.483424,12.836848,16.023424,15.576848000000002,18.496848,17.336848,15.325856,19.243379,18.476712,20.116848,11.883424,11.842177000000001,12.416848,16.936848,14.112282999999998,12.904785,12.177808,15.156848000000002,12.056848,10.279546,17.242407
28,11,0,20.877007,19.067483,21.717482999999998,13.844989000000002,15.839160999999999,17.244989,19.464989000000003,13.234995999999999,15.884989000000001,16.724989,15.644989,15.244989000000002,16.044989,18.004989000000002,13.334995999999999,16.584989,16.184989,19.184989,17.924989,15.807494,19.727483,19.063582999999998,20.724989,12.287494,12.146417,12.807494,17.584989,14.468329999999998,13.344989000000002,12.558747,15.624989000000001,12.344998,10.60356,17.704989
29,11,1,21.559048,19.559048,22.299048000000003,14.399048,16.199048,17.679048,20.059048,13.659048,16.459048000000003,17.259048,16.419048,15.659048,16.579048,18.539048,13.799048,17.239048,16.719048,19.999048000000002,18.639048000000003,16.359048,20.279048,19.499048000000002,21.379048,12.759048,12.519048,13.279048000000001,18.179048,14.954524,13.779048000000001,13.019048,16.074524,12.779048,11.059047999999999,18.259048
30,11,2,22.084014,20.044014,22.918027,14.938026999999998,16.644014000000002,18.264014000000003,20.504014,14.164014000000002,17.084014,17.764014000000003,17.164014,16.104014000000003,17.084014,19.044014,14.364014000000001,17.904014,17.504014,20.804014000000002,19.164014,16.964014000000002,20.978026999999997,19.958026999999998,21.944014000000003,13.164014000000002,12.844014,13.764014000000001,18.644014000000002,15.424014000000001,14.204014,13.404014000000002,16.564014,13.244014000000002,11.424014,18.864014
31,12,0,22.48449,20.482472,23.482472,15.302472,16.942472,18.762472,20.882472,14.409373,17.542472,18.242472,17.542472,16.41415,17.542472,19.422472,14.742472,18.362472,18.062472,21.782472,19.542472,17.422472,21.642472,20.342472,22.534943,13.596236,13.165714000000001,14.082472000000001,19.122472,15.802472,14.576235999999998,13.742472,17.022472,13.482472,11.782472,19.302472
32,12,1,22.939615,20.959615,24.079615,15.679872,17.259615,19.339615,21.266531,14.742802,17.939615,18.699614999999998,17.939615,16.759615,17.999615,19.859614999999998,15.008845999999998,18.833205,18.659615,22.539614999999998,19.939615,17.739615,22.239615,20.759615,23.179615,13.786538,13.514014000000001,14.479614999999999,19.704807000000002,16.199614999999998,14.899614999999999,14.139615,17.459615,13.826538000000001,12.119615,19.759615
33,12,2,23.475125,21.282562,24.535125,15.955125,17.575125,19.635125,21.655125,15.055125,18.335125,19.055125,18.375125,17.095125,18.435125,20.295125,15.395125,19.115125,19.115125,22.920249,20.355125,18.075125,22.800248999999997,21.095125,23.795125,14.175125,13.795125,14.775125,20.135125,16.615125,15.335125,14.575125,17.895125,14.095125,12.475125,20.155125
34,13,0,23.901654999999998,21.615828,24.901654999999998,16.245951,17.901654999999998,19.941654999999997,22.041655,15.461654999999999,18.861655,19.381655,18.841655,17.445828,18.861655,20.681655,15.801654999999998,19.401654999999998,19.441654999999997,23.541655,20.721655,18.401654999999998,23.361655,21.421654999999998,24.521655,14.521654999999999,14.061654999999998,15.101655,20.541655,16.941654999999997,15.741654999999998,15.001655,18.221655,14.401654999999998,12.861655,20.541655
35,13,1,24.321904999999997,21.961904999999998,25.301904999999998,16.581905,18.181905,20.301904999999998,22.501904999999997,15.781904999999998,19.241905,19.801904999999998,19.161904999999997,17.821904999999997,19.241905,21.121904999999998,16.181905,19.821904999999997,19.761905,23.981904999999998,21.141904999999998,18.781905,23.761905,21.741905,25.241905,14.95381,14.381905,15.401905,20.981904999999998,17.301904999999998,16.101905,15.381905,18.581905,14.741905,13.081905,21.021905
36,13,2,24.986960999999997,22.426961,25.866961,17.126960999999998,18.706961,20.906961,23.106961,16.426961,19.926961,20.466960999999998,19.806960999999998,18.246961,19.786960999999998,21.726961,16.846961,20.486960999999997,20.326960999999997,24.526961,21.786960999999998,19.446960999999998,24.446960999999998,22.403923000000002,25.926961,15.497392000000001,14.866960999999998,15.946960999999998,21.626960999999998,17.726961,16.646960999999997,15.906960999999999,19.066961,15.266960999999998,13.526960999999998,21.866961
37,14,0,25.779615,22.939615,26.439615000000003,17.599615,19.159615,21.579615,23.919615,16.999615,20.619615,21.279615,20.399615,18.604807,20.419615,22.399615,17.479615,21.259615,20.879615,25.139615,22.399615,20.139615,25.119615,23.079615,26.519615,15.819614999999999,15.457415,16.299615,22.279615,18.199614999999998,17.319615,16.539614999999998,19.419615,15.779615,14.014807000000001,22.439615
38,14,1,26.468594,23.488594,27.128594,18.128594,19.708594,22.208594,24.568594,17.488594,21.248594,22.148594,21.248594,19.028594000000002,21.108594,22.968594,18.008594,22.208594,21.288594,25.728594,23.088594,20.828594,25.788594,23.768594,27.368594,16.288594,15.888594,16.728594,23.048594,18.688594000000002,18.028594000000002,17.108594,19.908594,16.248594,14.389297000000001,23.208594
39,14,2,26.966960999999998,23.986960999999997,27.646960999999997,18.526961,20.086961,22.686961,25.006960999999997,17.886961,21.646960999999997,22.646960999999997,21.65212,19.414058999999998,21.606961,23.386961,18.406961,22.686961,21.706961,26.206961,23.566961,21.266961,26.326960999999997,24.134376,27.986960999999997,16.566961,16.346961,17.106961,23.566961,19.075654,18.446960999999998,17.586961,20.306960999999998,16.606961,14.686960999999998,23.746961
40,15,0,27.640839,24.624195,28.142516999999998,19.000839000000003,20.540839000000002,23.040839000000002,25.420839,18.280839,22.240839,23.140839,22.162517,19.780839,22.180839000000002,23.900839,18.920839,23.420839,22.040839000000002,26.800839,24.220839,21.740839,27.080839,24.440839,28.680839000000002,16.860839000000002,16.671927,17.540839000000002,24.000839000000003,19.420839,18.980839000000003,18.160839000000003,20.740839,16.900839,15.120839000000002,24.420839
41,15,1,28.215533,25.175532999999998,28.735533,19.535532999999997,21.055532999999997,23.635533,25.955533,18.775533,22.795533,23.655533,22.735533,20.255533,22.755533,24.395533,19.355532999999998,24.075533,22.515532999999998,27.375533,24.795533,22.275533,27.655533000000002,25.295533,29.475533000000002,17.295533,17.055532999999997,17.995533,24.535532999999997,19.975533,19.475533,18.715532999999997,21.235533,17.315533,15.535533,25.075533
42,15,2,28.802063,25.702063,29.242063,20.002063,21.562063000000002,24.122063,26.422063,19.262063,23.542063,24.182063,23.112011,20.691723,23.282063,24.882063,19.882063,24.522063,22.982063,27.837438,25.282063,22.802063,28.482063,25.742063,30.122063,17.602063,17.452925,18.402063000000002,25.062063000000002,20.342063,19.962063,19.182063,21.702063,17.682063,15.842063000000001,25.682063
43,16,0,29.578707,26.331451,29.874353999999997,20.671451,22.192902,24.691451,27.172902,19.731451,24.420158999999998,24.814354,23.611451000000002,21.271451000000003,23.971451000000002,25.631451000000002,20.631451000000002,25.071451,23.531451,28.471451000000002,26.011451,23.411451,29.212902000000003,26.294354,31.072902000000003,18.011451,17.951451000000002,18.951451000000002,25.771451000000003,20.852902,20.511451,19.871451,22.391451,18.211451,16.271451000000003,26.391451
44,16,1,30.506960999999997,27.106961,30.766961,21.366961,23.158481,25.306960999999998,28.046961,20.366961,25.306960999999998,25.666960999999997,24.666960999999997,21.986960999999997,24.686961,26.326960999999997,21.286960999999998,25.806960999999998,24.106961,29.286960999999998,26.846961,24.126960999999998,30.006960999999997,27.226961,32.226960999999996,18.666960999999997,18.406961,19.606961,26.846961,21.446960999999998,21.138481,20.726961,23.386961,18.666960999999997,16.746961,27.186961
45,16,2,31.191654999999997,27.931655,31.331654999999998,22.071655,23.751655,26.151654999999998,28.671654999999998,21.011654999999998,26.031654999999997,26.370828000000003,25.131655,22.562336,25.391655,26.871655,21.991654999999998,26.471655,24.651654999999998,30.611655,27.531654999999997,24.891655,30.651654999999998,27.691654999999997,32.931655,19.211655,18.871655,20.211655,27.551655,21.871655,21.890544000000002,21.431655,23.931655,19.171654999999998,17.131655,27.931655
46,17,0,32.030635,28.990634999999997,32.210634999999996,22.990635,24.350635,27.371270000000003,29.430635,21.890635,27.110635,27.230634999999996,26.033175,23.300317,26.270635,27.550634999999996,22.930635000000002,27.350634999999997,25.370635,32.350635,28.430635,25.830635,31.63127,28.290634999999998,33.930634999999995,19.823545000000003,19.390635,21.130635,28.380316999999998,22.350635,22.730635,22.070635,24.670635,19.810635,17.650635,28.730634999999996
47,17,1,32.852268,29.852268,32.912268,23.952268,24.892267999999998,28.292268,30.418141,22.592268,28.052267999999998,27.892267999999998,26.872268,24.044082,27.072267999999998,28.532268,23.772268,28.392267999999998,26.232267999999998,33.292268,29.232267999999998,26.672268,32.452268,29.492268,34.712268,20.592268,19.772268,21.992268,29.010756,22.841134,23.460567,22.560567000000002,25.572267999999998,20.452268,18.212267999999998,29.612268
48,17,2,33.821247,30.721246999999998,33.721247,24.901247,25.741247,29.821246999999996,31.441246999999997,23.681247,29.461246999999997,28.761246999999997,28.281246999999997,25.001247,28.361247,29.901246999999998,24.801247,29.941246999999997,27.781246999999997,35.501247,30.241246999999998,28.081246999999998,33.341246999999996,30.841246999999996,35.951607,21.441247,20.361247,23.181247,30.081246999999998,23.661247,24.301247,23.361247,26.721246999999998,21.461247,18.815624,30.851406
49,18,0,34.649932,31.349932,34.549932,25.389932,26.289932,30.429932,32.329932,24.289932,30.189932000000002,29.589932,29.049932000000002,25.429932,29.189932000000002,30.729932,25.309932,30.789932,28.309932,36.129932000000004,30.969932,28.849932,34.249728000000005,31.709932000000002,36.669932,22.089932,20.828298999999998,24.029932000000002,30.849932,24.409932,25.009932,23.649932,27.649932,21.829932,19.129932,31.449932
50,18,1,35.342358000000004,32.514717,35.494717,26.194717,26.774717,31.114717,33.214717,24.732357999999998,30.934717,30.454717,29.694716999999997,26.374716999999997,29.934717,31.714716999999997,25.770943,31.754717,28.974717,36.862358,31.814716999999998,29.554717,34.994717,33.034717,37.574717,22.574717,21.334717,24.714717,31.694716999999997,25.214717,25.702358,24.254717000000003,28.334716999999998,22.354717,19.614717000000002,32.314717
51,18,2,35.855125,32.995125,36.075125,26.535125,27.025011,31.475125,33.895125,25.048648,31.395125,30.800853999999998,30.135125,26.735125,30.515125,32.255125,25.948648000000002,32.315125,29.435125,37.215125,32.275125,29.955125,35.348753,33.475125,38.095125,22.860854,21.733878,25.075125,32.235125,25.695125,25.935125,24.660854,28.895125,22.717520999999998,19.906508,32.587875
52,19,0,36.512676,33.452676000000004,36.852676,27.052676,27.532676000000002,31.812676,34.592676000000004,25.592676,32.012676,31.332676,30.832676,27.252676,31.112676,32.872676,26.332676,32.952676000000004,29.972676,38.012676,32.892676,30.472676,35.912676,34.092676000000004,38.832676,23.212676000000002,22.092676,25.532676000000002,32.772676000000004,26.232676,26.512676000000003,25.072676,29.532676000000002,23.092676,20.34712,33.192676
53,19,1,37.110634999999995,33.870317,37.410635,27.550634999999996,27.870634999999996,32.210634999999996,35.210634999999996,25.990635,32.470634999999994,31.830634999999997,31.490634999999997,27.670634999999997,31.590635,33.430634999999995,26.690634999999997,33.730635,30.350634999999997,38.770635,33.43254,30.970634999999998,36.430634999999995,34.550635,39.530635,23.650635,22.410635,25.970635,33.270635,26.670634999999997,26.830634999999997,25.470635,29.990634999999997,23.470317,20.690317,33.750634999999996
54,19,2,37.654717,34.314717,38.154717,28.114717,28.454717,32.754717,35.802358,26.474717,33.114717,32.434717,32.354717,28.114717,32.134716999999995,33.974717,27.234717,34.394717,31.134717,39.574717,34.034717,31.614717,37.194717,35.094716999999996,40.214717,24.134717000000002,22.774717000000003,26.514716999999997,33.874717,27.274717,27.274717,25.894717,30.554717,23.934717000000003,21.114717000000002,34.354717
55,20,0,38.056915999999994,34.796915999999996,38.756916,28.556915999999998,28.836916,33.336915999999995,36.256916,26.816916,33.656915999999995,33.016915999999995,32.796915999999996,28.562245,32.716916,34.456916,27.586729,34.976915999999996,31.776915999999996,40.516915999999995,34.456916,32.097435,37.996916,35.636916,40.796915999999996,24.551153,23.036916,26.856916,34.516915999999995,27.636915999999996,27.636915999999996,26.296915999999996,30.976915999999996,24.271152999999998,21.396916,34.856916
56,20,1,38.502449,35.114875,39.234875,28.934875,29.134875,33.754875,36.614875,27.082438,33.994875,33.434875,33.154875,28.854875,33.134875,34.874875,27.786096999999998,35.374875,32.214875,41.214875,34.814875,32.394875,38.554875,36.054875,41.434875,24.794875,23.364966,27.154875,35.054875,27.994875,27.962449,26.614875,31.374875,24.492438,21.754875,35.274875
57,20,2,38.952676000000004,35.441338,39.732676,29.232676,29.481338,34.081338,37.001338,27.431338,34.392676,33.732676,33.541338,29.132676,33.532676,35.292676,28.081338,35.651338,32.532676,41.572676,35.212676,32.681338000000004,39.052676,36.364218,42.052676,25.071338,23.692676000000002,27.461338,35.492676,28.392676,28.351338000000002,27.021338,31.892676,24.771338,22.072676,35.672676
58,21,0,39.324399,35.827574,40.167574,29.627574,29.767574,34.389191,37.367574,27.727574,34.907574,34.067574,33.907574,29.438231,33.947573999999996,35.707574,28.349190999999998,35.987574,32.838786999999996,42.047574,35.627573999999996,33.027574,39.467574,36.707574,42.627573999999996,25.307574,24.009432999999998,27.767574,35.867574,28.728787,28.698797999999996,27.367573999999998,32.347574,25.007573999999998,22.367573999999998,36.105146999999995
59,21,1,39.881723,36.2739,40.781723,30.181722999999998,30.221722999999997,34.801722999999996,37.921723,28.141723,35.581723,34.621722999999996,34.401723,29.861722999999998,34.461723,36.201723,28.741722999999997,36.581723,33.301722999999996,42.601723,36.321723,33.541723,40.041723,37.201723,43.421723,25.781723,24.361723,28.161723,36.493446999999996,29.181722999999998,29.081722999999997,27.801723,32.861723,25.421723,22.801723000000003,36.941722999999996
60,21,2,40.354240000000004,36.714240000000004,41.29424,30.734240000000003,30.65424,35.354240000000004,38.47424,28.65424,36.29424,35.09424,34.83424,30.33424,34.994240000000005,36.714240000000004,29.234240000000003,37.23424,33.89424,43.25424,36.97424,34.15424,40.674240000000005,37.704739000000004,44.23424,26.133403,24.69424,28.634240000000002,37.11424,29.69424,29.454240000000002,28.234240000000003,33.494240000000005,25.834239999999998,23.17424,37.73424
61,22,0,40.937166,37.237165999999995,41.917165999999995,31.157165999999997,30.997165999999996,36.037166,39.077166,29.337165999999996,36.877165999999995,35.557165999999995,35.217166,30.777165999999998,35.577166,37.277165999999994,29.557166,37.777165999999994,34.497166,43.837165999999996,37.497166,34.637166,41.337165999999996,38.077166,44.917165999999995,26.513583,25.017166,28.957165999999997,37.737165999999995,30.137165999999997,29.937165999999998,28.717166,33.957166,26.337165999999996,23.517166,38.257166
62,22,1,41.425737,37.765737,42.385737,31.525737,31.305737,36.565737,39.665737,29.865737,37.265737,35.985737,35.845737,31.225737,36.065737,37.685736999999996,29.845737,38.405737,35.145737,44.327868,38.005736999999996,35.045737,41.925737,38.465737,45.425737,26.805737,25.325737,29.305737,38.325737,30.467868,30.345737,29.045737,34.445737,26.825737,23.805737,38.765737
63,22,2,41.947778,38.287778,42.907778,31.947778000000003,31.727778000000004,37.227778,40.127778,30.487778000000002,37.727778,36.487778000000006,36.407778,31.747778000000004,36.607778,38.167778000000006,30.287778000000003,39.287778,35.747778000000004,44.827778,38.667778000000006,35.527778000000005,42.627778,38.987778000000006,46.147778,27.187778,25.707778,29.647778000000002,38.907778,30.987778000000002,30.847778,29.587778000000004,35.067778000000004,27.127778000000003,24.167778,39.367778
