,measure_number,beat_number,pid1263-16,pid52932-09,pid9048-16,pid9054-16,pid9055-16,pid9058-16,pid9059-16,pid9061-16,pid9062-16,pid9063-16,pid9065-11,pid9066-16,pid9067-16,pid9072-16,pid9074f-16,pid9075-16,pid9078-08,pid9081-04,pid9088-11,pid9093-16,pid9094-16,pid9097-07,pid9099-16,pid9100b-12,pid9101-16,pid9104-16,pid9105-16,pid9118-16,pid9126-04,pid9128-12,pid9138-16,pid9139-16,pid9153-16,pid9166e-09,pid9170-16,pid9173-21,pid9174-16,pid9186c-16,pid9192-16
16,7,0,8.381519,8.42576,9.60576,9.36576,7.30576,7.405760000000001,7.865760000000001,9.965760000000001,9.32576,8.621519000000001,11.065760000000001,7.26576,6.829292999999999,8.28576,8.805760000000001,8.10576,8.305760000000001,7.46576,6.608586999999999,7.5857600000000005,9.86576,9.36576,9.00576,9.417278999999999,8.805760000000001,9.78576,9.461519000000001,10.341519,10.081519,7.485760000000001,7.30576,7.5857600000000005,7.325760000000001,8.68576,8.78576,7.145760000000001,7.18576,8.16576,7.985760000000001
17,7,1,9.143311,9.303311,10.083311,9.983311,8.323311,7.9833110000000005,8.623311,10.803311,10.223311,9.483311,11.803311,7.923311,7.4833110000000005,9.103311,9.663311,9.103311,9.016655,8.083311,7.303311,8.103311,10.943311,10.163311,9.723311,10.123311,9.763311,10.783311,10.223311,11.123311,10.783311,8.163311,8.063311,8.243311,8.023311,9.443311,9.643311,7.823311,7.863311,8.843311,9.003311
18,7,2,9.932789,10.635578,10.798558,12.072789,9.178367,9.052789,9.412789,11.592789,11.052789,10.272789,13.092789,8.852789,8.192789,10.192789,10.452789,9.892789,9.772789,8.612789,8.09031,8.732789,12.612789,12.192789,10.592789,10.912789,10.652789,11.752789,11.012789,12.332789,11.632789,8.952789,8.712789,9.032789,8.952789,10.172789,10.712789,8.432789,9.212789,9.792788999999999,9.872789
19,8,0,10.730658,13.830657999999998,11.650658,13.130657999999999,10.910658,9.850658000000001,10.190658,12.550658,12.130658,11.510658,14.210657999999999,9.630658,8.930658,11.370658,11.250658,10.670658,10.570329,9.310658,8.710658,9.230219,14.010658,13.090658,11.670658,11.370658,11.590658,13.250658,11.810658,13.250658,12.690658,9.530658,9.670658,10.150658,10.590658,11.150658,11.630658,9.450329,10.170658,10.610658,10.710658
20,8,1,11.232789,14.312789000000002,12.212789,13.752789000000002,11.392789,10.252789,10.692789,12.972789,12.832789,11.992789,14.852789000000001,10.052789,9.332789,12.032789,11.732789,11.192789,11.052789,9.692789,9.152789,9.612789,14.532789000000001,13.612789000000001,12.072789,11.772789,12.192789,13.812789000000002,12.352789,13.752789000000002,13.272789000000001,9.912789,10.132789,10.652789,11.012789,11.772789,12.192789,9.852789,10.732789,11.032789,11.192789
21,8,2,11.582676,14.782676,12.742676,14.122676,11.982676,10.682675999999999,11.142676,13.422676000000001,13.282676,12.382676,15.442676,10.402676,9.656338,12.422676,12.242676,11.622676,11.422676,10.142676,9.482676,9.982676,14.916338,14.062676000000002,12.456338,12.262675999999999,12.602675999999999,14.142676000000002,12.842675999999999,14.134225,13.762676,10.342675999999999,10.602675999999999,10.982676,11.336338,12.182675999999999,12.642676,10.202676,11.242676,11.482676,11.582676
22,9,0,12.00127,15.321270000000002,13.22127,14.56127,12.40127,11.06127,11.60127,13.88127,13.695635000000001,12.84127,15.96127,10.68127,10.02127,12.82127,12.615635000000001,12.06127,11.80127,10.461269999999999,9.795635,10.30127,15.275635000000001,14.521270000000001,12.84127,12.672253999999999,12.98127,14.581270000000002,13.341270000000002,14.56127,14.241270000000002,10.715635,10.961269999999999,11.295635,11.70127,12.541269999999999,13.02127,10.56127,11.595635000000001,11.90127,11.875635
23,9,1,12.376281,15.736281,13.616280999999999,14.916281,12.696280999999999,11.376281,12.096281,14.296281,14.056281,13.236281,16.436281,11.656281,10.376281,13.156281,12.916281,12.516281,12.176281,10.74657,10.096281,10.696280999999999,15.656281,14.856281,13.236281,12.976281,13.336281,14.936281,13.796281,14.996281,14.802562,11.116280999999999,11.216281,11.656281,12.016281,12.996281,13.496281,10.896281,11.956281,12.356281,12.236281
24,9,2,12.782902,16.202901999999998,14.182901999999999,15.322902,13.042902,11.682902,12.802902,14.642902,14.722902,13.782901999999998,17.162902,12.003811,10.722902000000001,13.542902,13.262901999999999,13.003226,12.489662,11.282902,10.342902,11.202902,15.982902,15.382902,13.609454000000001,13.282901999999998,13.762901999999999,15.422901999999999,14.282901999999998,15.722902,15.555805,11.522902,11.542902,11.982902000000001,12.322902000000001,13.582901999999999,13.902902,11.202902,12.362902,12.782902,12.542902
25,10,0,13.360317000000002,16.667234,14.708617000000002,15.668617000000001,13.408617000000001,12.028617,13.168617000000001,15.008617000000001,15.268617,14.448617,17.548617,12.208617,10.968617,13.987233999999999,13.609307999999999,13.348617,12.848616999999999,11.568617,10.588617,11.468617,16.448617000000002,15.88585,14.008617000000001,13.74585,14.128617000000002,16.123084,14.807234,16.208617,16.448617000000002,11.828617,11.908617,12.248617,12.668617,14.067234,14.367234,11.688617,12.668617,13.248617000000001,12.908617
26,10,1,13.907528,17.287528,15.187528,16.107528,13.967528,12.487528,13.647528,15.567528,15.947528,14.947528,18.167528,12.687528,11.387528,14.421505999999999,14.187528,13.867528,13.282509,11.987528,10.976255,11.947528,17.067528,16.567528,14.587528,14.287528,14.667527999999999,16.647528,15.547528,16.667528,17.027528,12.427528,12.407528,12.747527999999999,13.067528,14.547528,14.967528,12.207528,13.128764000000002,13.807528,13.507528
27,10,2,14.215828,17.735828,15.575828,16.455828,14.375828,12.815828,13.995828,16.015828,16.315828,15.515827999999999,18.595828,12.915828,11.815828,14.715828,14.564966,14.255828,13.575828,12.275828,11.215828,12.295828,17.595828,16.915828,14.955828,14.695828,15.055828,17.135828,15.935828,17.015828,17.395828,12.895828,12.735828,13.135828,13.415828,14.935828,15.395828,12.555828,13.475828,14.175828,13.935828
28,11,0,14.607279,18.118639,15.838639,16.778639000000002,14.618639000000002,13.098639,14.358639000000002,16.338639,16.718639000000003,15.918639,18.938639000000002,13.118639000000002,12.018639,15.038639000000002,15.014320000000001,14.618639000000002,13.898639000000001,12.518639,11.478639,12.478639,17.898639000000003,17.318639,15.258639000000002,15.078639,15.418639,17.398639000000003,16.358639,17.438639000000002,17.878639,13.258639000000002,13.038639,13.498639,13.818639000000001,15.438639000000002,15.738639000000001,12.878639,13.758639000000002,14.438639000000002,14.298639000000001
29,11,1,15.371338,18.931338,16.351338000000002,17.431338,15.591338,13.991338,15.171338,16.932676,17.471338,16.831338,19.751338,13.851338,12.691338,15.931338,15.791338,15.671338,14.691338,13.511338,12.271338,13.251338,18.911338,18.051338,16.071338,15.831338,16.351338000000002,18.631338,17.391338,18.151338,18.671338000000002,14.231338000000001,13.831338,14.211338,14.531338,16.391338,16.551338,13.651338,14.691338,15.031338,15.311338000000001
30,11,2,16.589841,20.809841,17.116614000000002,18.349841,17.029841,15.769841,15.989841,18.349841,19.029841,18.309841,21.136614,14.669841,13.569841,17.369841,16.919921,17.289841,15.909841,14.356614000000002,12.896614,14.209841,20.096614000000002,20.369841,16.749841,16.649841000000002,17.569841,20.049841,18.629841,19.969841,20.289841,15.409841,14.869841000000001,15.279921,15.549841,17.649841000000002,18.129841,14.496614000000001,16.089841,16.419921,16.609841
31,12,0,17.062908,22.421633,17.501632999999998,19.001632999999998,17.581633,16.321633,16.561633,18.801633,19.541632999999997,19.001632999999998,21.721632999999997,15.133515,14.021633,17.755816,17.195816,17.821633,16.495816,14.881632999999999,13.201633,14.821632999999999,20.635816000000002,21.181632999999998,17.421633,17.121633,18.361632999999998,21.001632999999998,19.221632999999997,20.581633,21.181632999999998,16.001632999999998,15.621633,15.861633,17.401633,18.381632999999997,18.921633,14.865816,16.801633,16.821633,17.241633
32,12,1,17.402812,22.902812,17.882812,19.602812,17.942812,16.716406,17.002812,19.182812,20.102812,19.522812,22.302812,15.422812,14.493203,18.082812,17.602812,18.282812,16.896406,15.342812,13.462812,15.182812,21.002812,21.842812,17.802812,17.462812,18.882812,21.402812,19.782812,21.042811999999998,21.762812,16.502812,16.062812,16.262812,17.822812,18.982812,19.382812,15.222812,17.282812,17.182812,17.622812
33,12,2,17.751032000000002,23.312063000000002,18.212063,19.992063,18.272063,17.057354,17.412063,19.492063,20.472063000000002,19.892063,22.752063,15.832063,14.792063,18.412063,17.952063,18.672063,17.272063,15.612063000000001,13.752063,15.492063,21.352063,22.252063,18.132063,17.712063,19.292063,21.752063,20.254127,21.452063,22.252063,16.892063,16.410688,16.612063,18.192063,19.392063,19.792063,15.572063,17.612063,17.532063,17.992063
34,13,0,18.075828,23.795828,18.615828,20.415828,18.615828,17.415828,17.835828,19.815828,20.935828,20.315828,23.195828,16.255828,15.095828,18.915828,18.275828,19.095828,17.755828,15.875828,14.115828,15.795828,21.875828,22.695828,18.435828,18.135828,19.735828,22.255828,20.795828,21.775828,22.775828,17.335828,16.795828,16.935828,18.595828,19.792914,20.175828,16.081654999999998,17.935828,17.895828,18.435828
35,13,1,18.717279,24.397279,19.131456,20.897279,19.417279,18.053639,18.477279,20.46576,21.717279,20.937279,23.837279000000002,17.771836999999998,15.751837,19.66682,19.037279,19.817279,18.497279000000002,16.393639,14.777279,16.48576,22.657279,23.417279,18.957279,18.72576,20.497279000000002,23.057279,21.597279,22.433639000000003,23.477279,18.217279,17.317279,17.543639000000002,19.21182,20.287879999999998,20.857279000000002,16.817279,18.453639000000003,18.417279,19.297279
36,13,2,19.269910999999997,25.42805,19.569025,21.469025,20.169025,18.709025,19.229025,21.349025,22.709025,21.689025,24.709025,18.787075,16.509512,20.409025,19.869025,20.569025,19.269025,17.109025,15.509025,17.46805,23.449025,24.449025,19.789025,19.289025,21.489025,24.129025,22.569025,23.169025,24.209025,19.109025,18.029025,18.289025,19.829025,20.829025,21.96805,17.449025,18.929025,19.7061,20.429025
37,14,0,19.688209,26.206417000000002,20.008209,22.028209,20.788209,19.188209,19.908209,21.948209,23.428209,22.248209,25.388209,19.128209,17.019104000000002,20.988209,20.508209,21.228209,19.888209,17.488209,16.188209,17.929403,23.949104000000002,25.188209,20.388209,19.888209,22.206417000000002,25.008209,23.284626,23.709104,25.146417,19.788209,18.488209,18.908209,20.388209,21.568209,22.688209,18.186417000000002,19.429642,20.346417000000002,20.869552
38,14,1,20.289025,26.789025,20.449512,22.629025,21.269025,19.709025,20.509025,22.329025,24.169025,22.929025,26.089025,19.709025,17.329512,21.699512,21.069025,21.829025,20.529025,17.949025,16.689025,18.629512,24.649025,26.049025,20.909025,20.429025,22.849025,25.689025,24.009025,24.289025,25.789025,20.449025,18.969025,19.489025,20.969025,22.089025,23.309025,18.729025,20.069025,20.909025,21.449025
39,14,2,20.782449,27.442449,20.882448999999998,23.102449,21.762449,20.02049,21.002449,22.902449,24.622449,23.522448999999998,26.702448999999998,20.162449,17.742449,22.122449,21.562448999999997,22.322449,20.960816,18.442449,17.162449,19.102449,25.262449,26.822449,21.382448999999998,20.942449,23.322449,26.182449,24.662449,24.902449,26.382448999999998,20.942449,19.422449,20.002449,21.462449,22.522448999999998,23.882448999999998,19.104717,20.542448999999998,21.402449,21.982449
40,15,0,21.142357999999998,27.862358,21.262358,23.362358,22.222358,20.342357999999997,21.362358,23.342357999999997,24.982357999999998,23.882358,27.142358,20.402358,18.056179,22.462358,21.916179,22.682357999999997,21.296179000000002,18.722358,17.362358,19.402358,25.662357999999998,27.522358,21.702358,21.322357999999998,23.702358,26.542358,25.142357999999998,25.302357999999998,26.822358,21.262358,19.634119000000002,20.322357999999998,21.862358,23.022357999999997,24.462358,19.422358,20.922358,21.602358,22.102358
41,15,1,21.555782,28.315782000000002,21.835782000000002,23.775782,22.715782,20.815782000000002,21.855782,23.815782000000002,25.455782,24.355782,27.781565000000004,21.015782,18.455782,22.995782000000002,22.335782000000002,23.261565,21.815782000000002,19.035782,17.855782,19.775782,26.335782000000002,28.015782,22.235782,21.795782,24.215782,27.001565000000003,25.835782000000002,25.715782,27.401565,21.995782000000002,19.995782000000002,20.775782,22.215782,23.735782,25.015782,19.935782,21.415782,21.975782000000002,22.595782
42,15,2,22.011429,28.778672999999998,22.251429,24.391429000000002,23.128571,21.260602,22.491429,24.431429,26.231429,24.910476,28.571429,21.531429,18.911429000000002,23.591429,22.971429,23.930238,22.282958999999998,19.468142999999998,18.490143,20.317245,26.794725,28.731429,22.795816000000002,22.371429,24.831429,27.771428999999998,26.371429,26.351429,28.171428999999996,22.571429000000002,20.316905,21.321531,22.631429,24.311429,25.534285999999998,20.571429000000002,22.051429000000002,22.431429,23.111429
43,16,0,22.49229,29.15229,22.67229,24.65229,23.57229,21.47229,22.91229,24.83229,26.65229,25.41229,29.172290000000004,21.89229,19.292289999999998,24.05229,23.361145,24.25229,22.612289999999998,19.792289999999998,18.73229,20.49229,27.092290000000002,29.27229,23.031145000000002,22.93229,25.25229,28.43458,26.892290000000003,26.752290000000002,28.696871,22.772289999999998,20.63229,21.57229,23.13229,24.71229,25.83229,20.89229,22.35229,22.75229,23.55229
44,16,1,22.913787,29.513787,23.093787,25.073787,23.973786999999998,21.881892999999998,23.373787,25.233787,27.373787,25.933787,29.773787,22.413787,19.613787,24.493787,23.773787,24.673787,23.073787,20.153787,19.113787,20.773787,27.553787,29.713787,23.393787,23.333787,25.693787,28.913787,27.573787,27.213787,29.233787,23.173787,20.973786999999998,21.973786999999998,23.493787,25.213787,26.293787,21.293787,22.753787,23.153787,23.993787
45,16,2,23.300454000000002,29.920454,23.560454,25.440454000000003,24.400454,22.180454,23.800454000000002,25.720454,27.700453999999997,26.320453999999998,30.280454,23.020454,19.980454,24.840454,24.200454,25.080454,23.460454000000002,20.520454,19.460454000000002,21.200454,27.913484999999998,30.150907,23.760454,23.740454,26.120454000000002,29.240453999999996,28.080454,27.580454,29.720453999999997,23.600454,21.400454,22.400454,23.840454,25.580454,26.700453999999997,21.615226999999997,23.080454,23.580454,24.380454
46,17,0,23.680204,30.420204,24.020204,25.780204,24.760204,22.520204,24.320204,26.180204,28.080204,26.740204,30.820203999999997,23.440204,20.360204,25.180204,24.560204000000002,25.480204,23.820204,20.860204,19.800204,21.500204,28.280203999999998,30.660203999999997,24.160204,24.140204,26.480203999999997,29.660203999999997,28.700204,28.000203999999997,30.210408,24.000204,21.660204,22.640204,24.220204000000003,25.940204,27.080204,21.980204,23.420204000000002,24.100204,24.660204
47,17,1,24.049569,30.749569,24.369785,26.209569000000002,25.029569,22.829569,24.749569,26.609569,28.449569,27.149569,31.269569,24.365261,20.689569,25.529569,24.869785,25.889569,24.149569,21.289569,20.149569,21.929569,28.589569,30.989569,24.628707000000002,24.569569,26.809569,29.989784999999998,29.228707,28.569569,30.789569,24.389569,21.929569,22.949569,24.529569,26.349569,27.608707,22.309569,23.769569,24.549138,24.969569
48,17,2,24.515918,31.175918,24.775918,26.801837,25.355918,23.235917999999998,25.155918,27.035918,29.075917999999998,27.615918,31.975918,24.687653,21.035918,25.935918,25.275918,26.295918,24.495918,21.735917999999998,20.335918,22.335918,28.932959000000004,31.395917999999998,25.035918,24.915917999999998,27.215918,30.395917999999998,29.675918,29.213672999999996,31.355918,24.795918,22.195918,23.292959,24.895917999999998,26.755917999999998,28.035918,22.615918,24.215918,24.955918,25.275918
49,18,0,25.120635,31.760634999999997,25.100635,27.500635,25.800635,23.740635,25.640635,27.600634999999997,29.860635,28.220634999999998,32.460634999999996,24.920635,21.320635,26.400634999999998,25.700635000000002,26.620634999999996,24.860635000000002,22.020635000000002,20.545317,22.760635,29.300634999999996,31.960634999999996,25.560635,25.420635,27.600634999999997,31.040634999999998,30.400634999999998,29.920634999999997,32.360634999999995,25.140635,22.580635,23.580635,25.260635,27.400634999999998,28.580634999999997,23.080635,24.540635,25.411270000000002,25.600635
50,18,1,25.808571,32.388571,25.548571,28.308571,26.368571000000003,24.308571,26.148571,28.308571,30.608571,28.828571000000004,33.108571000000005,25.409285999999998,21.868571,26.868571000000003,26.228571000000002,27.128571,25.328571,22.588570999999998,20.868571,23.228571,29.928571,32.648571000000004,26.248571000000002,26.148571,28.148571,31.688571000000003,31.228571000000002,30.428571,32.988571,25.808571,23.088570999999998,24.088570999999998,25.688571,27.908571000000002,29.268571,23.688571,25.048571,26.128571,26.168571
51,18,2,26.117789000000002,32.845578,25.845578,28.665578000000004,26.825578000000004,24.685578,26.505578000000003,28.705578000000003,30.965578000000004,29.385578000000002,33.561156,25.665578,22.265578,27.205578000000003,26.825578000000004,27.465578000000004,25.665578,22.897789000000003,21.165578,23.525578,30.405578000000002,33.045578000000006,26.665578000000004,26.465578000000004,28.525578000000003,32.025578,31.705578000000003,30.865578000000003,33.405578000000006,26.285578000000005,23.445578,24.485578,26.045578,28.321156,29.745578000000002,24.025578,25.405578,26.485578000000004,26.525578000000003
52,19,0,26.520975,33.145488,26.105488,28.965488,27.085488,25.005488,26.865488,29.085488,31.325488,29.765488,33.945488,25.865488,22.445488,27.545488,27.145488,27.805488,25.965488,23.125488,21.425488,23.705488,30.685488,33.485488000000004,26.985488,26.825488,28.865488,32.285488,32.165488,31.365488,33.885488,26.725488000000002,23.685488,24.805488,26.405488000000002,28.805488,30.105488,24.320975,25.685488,26.805488,26.825488
53,19,1,27.290271999999998,33.900135999999996,26.660135999999998,29.560136,28.100136,25.700135999999997,27.620136,29.720136,32.040136,30.740136,34.680136,26.820135999999998,23.020135999999997,28.360135999999997,27.880136,28.580136,26.640136,23.820135999999998,22.180135999999997,24.440136,31.560136,34.240136,27.740136,27.540135999999997,29.800136,33.260135999999996,33.060136,32.180136,34.560136,27.540135999999997,24.480135999999998,25.420136,27.100136,29.620136,30.880136,25.060136,26.420136,27.500135999999998,27.660135999999998
54,19,2,28.020363,35.660363000000004,27.380363,30.300363,29.080363000000002,26.460363,28.340363,30.440363,33.320363,31.440363,36.020363,27.540363,23.740363000000002,29.520363,28.600363,29.260363,27.320363,24.540363,22.787591,25.060363,32.440363,36.060363,28.500363,28.260363,30.840363,34.120363,33.780363,33.103265,35.275180999999996,28.260363,25.260363,26.180363,28.080363000000002,30.340363,31.980363,25.780363,27.420363000000002,28.400363,28.380363
55,20,0,29.074240000000003,37.29424,28.134240000000002,31.914240000000003,30.65424,27.414240000000003,29.254240000000003,31.074240000000003,34.37424,32.534240000000004,37.33424,28.534240000000004,24.35424,30.67424,29.35424,30.254240000000003,28.254240000000003,25.07424,23.55424,25.994239999999998,34.454240000000006,37.19424,29.714240000000004,28.65424,32.002721,35.538481,34.738481,34.27424,36.23424,28.914240000000003,26.47424,27.294240000000002,29.51424,31.35424,33.034240000000004,26.634240000000002,28.454240000000002,29.51424,29.294240000000002
56,20,1,29.582177,37.742177000000005,28.742177,32.542177,31.162177000000003,27.822177000000003,29.762177,31.482177000000004,35.082177,33.042177,38.102177000000005,28.942177,24.762176999999998,31.302177,29.822177000000003,30.822177000000003,28.782177,25.482177,24.042177,26.416088000000002,35.002177,37.782177000000004,30.142177,29.022177000000003,32.682177,36.122177,35.302177,34.802177,36.802177,29.322177000000003,26.982177000000004,27.722177000000002,29.922177,31.922177,33.602177000000005,27.082177,29.042177000000002,29.922177,29.762177
57,20,2,29.916939000000003,38.136939,29.296939000000002,32.911156,31.696939,28.296939000000002,30.256939000000003,31.956939000000002,35.476939,33.416939,38.676939000000004,29.436939000000002,25.083469,31.712313,30.216939,31.213469,29.156939,25.936939000000002,24.451735,26.756939000000003,35.373469,38.196939,30.496939,29.536939,33.076939,36.603469,35.796939,35.216939,37.276939,29.756939000000003,27.476939,28.152313,30.276939000000002,32.276939,34.056939,27.413469,29.636939,30.356939,30.136939
