,measure_number,beat_number,pid1263-07,pid52932-05,pid54293-08,pid5667249-03,pid5667249-21,pid9048-07,pid9049-07,pid9050-07,pid9051-11,pid9054-07,pid9055-07,pid9058-07,pid9059-07,pid9060-07,pid9061-07,pid9062-07,pid9063-07,pid9064-06,pid9065-04,pid9066-07,pid9067-07,pid9068-05,pid9070-15,pid9072-07,pid9074f-07,pid9075-07,pid9093-08,pid9094-07,pid9097-13,pid9098-15,pid9099-07,pid9100b-03,pid9101-07,pid9102-02,pid9104-07,pid9105-07,pid9111-07,pid9116-19,pid9118-07,pid9127-02,pid9137-04,pid9138-07,pid9139-07,pid9152-12,pid9153-07,pid915406-11,pid9165-03,pid9166c-10,pid9170-08,pid9173-12,pid9174-07,pid917509-06,pid917518-06,pid9176-03,pid9186c-07,pid918719b-03,pid918904-02,pid9192-07
10,4,1,4.494059,5.154058999999999,4.454059,7.294059,7.314058999999999,7.514059,5.554059,5.174059,5.914059,5.334059,6.3940589999999995,6.174059,4.8940589999999995,5.294059,7.454059,5.094059,6.634059,4.814058999999999,6.8940589999999995,6.3540589999999995,6.554059,5.098118,5.974059,6.034059,7.074058999999999,5.154058999999999,6.254059,6.254059,5.4340589999999995,5.754059,5.194058999999999,6.654058999999999,5.234058999999999,5.374059,5.534059,6.954059,5.8940589999999995,4.314058999999999,6.274058999999999,3.814059,6.314058999999999,4.634059,5.214059,4.9340589999999995,4.674059,5.974059,4.014059,5.674059,6.054059,4.174059,4.454059,5.614058999999999,4.334059,6.834059,6.254059,5.610295,5.034059,6.314058999999999
11,4,2,4.9271199999999995,5.58712,4.847119999999999,7.807119999999999,7.767119999999999,7.9671199999999995,5.94712,5.64712,6.347119999999999,5.86712,6.82712,6.64712,5.28712,5.70712,7.9671199999999995,5.52712,7.20712,5.3871199999999995,7.54712,7.04712,6.98712,5.64712,6.687119999999999,6.50712,7.50712,5.64712,6.767119999999999,6.727119999999999,5.767119999999999,6.16712,5.62712,7.307119999999999,5.66712,5.66712,5.94712,7.36712,6.347119999999999,4.64712,6.74712,4.16712,6.98712,4.94712,5.62712,5.307119999999999,5.02712,6.74712,4.3871199999999995,6.16712,6.847119999999999,4.56712,4.847119999999999,6.06712,4.62712,7.44712,6.62712,6.24712,5.40712,6.90712
12,5,0,5.28325,5.89795,5.099938,8.289750999999999,8.149751,8.469750999999999,6.329751,6.0097510000000005,6.869750999999999,6.269751,7.229750999999999,7.329751,5.659875,6.109751,8.469750999999999,5.849751,7.669751,5.769751,8.289750999999999,7.709751,7.3897509999999995,6.069751,7.049751,6.869875,7.821393,6.10325,7.289751,7.06325,6.096625,6.669751,6.0497510000000005,8.049750999999999,6.029751,6.0497510000000005,6.399875,7.749751,6.829751,4.989751,7.109750999999999,4.529751,7.469875,5.309751,6.0097510000000005,5.869751,5.359875,7.289751,4.749751,6.5497510000000005,7.289751,4.894969000000001,5.164937999999999,6.429751,4.889751,7.9297509999999996,7.009751,6.669751,5.749917,7.309750999999999
13,5,1,5.724943,6.324943,5.383563,8.764942999999999,8.644943,9.144943,6.764943,6.484943,7.321648,6.623736,7.624942999999999,8.044943,6.098736,6.504943,8.964943,6.197472,8.224943,6.184943,8.844942999999999,8.444942999999999,7.944942999999999,6.584942999999999,7.4849429999999995,7.5249429999999995,8.204943,6.544943,7.784942999999999,7.5249429999999995,6.4258239999999995,7.244942999999999,6.544943,8.624943,6.405824,6.460989,6.837472,8.344942999999999,7.324942999999999,5.384943,7.5649429999999995,4.964943,7.9849429999999995,5.728314,6.484943,6.204943,5.784943,7.824942999999999,5.184943,7.004942999999999,7.784942999999999,5.208736,5.539368,6.864942999999999,5.144989,8.604942999999999,7.544942999999999,7.184943,6.084943,7.744942999999999
14,5,2,5.96051,6.753061,5.713061,9.137883,9.073061000000001,9.593061,7.193061,6.913061,7.518828999999999,6.933061,8.053061,8.473061,6.453061,6.933061,9.533061,6.613061,8.713061,6.613061,9.353061,8.953061,8.573061000000001,7.013061,7.74017,7.953061,8.633061,6.993061,8.253061,7.95102,6.833061,7.693061,6.973061,9.113061,6.793061,6.833061,7.173061,8.913061,7.833061,5.833061,8.193061,5.391531,8.713061,6.067177,6.913061,6.613061,6.213061,8.313061,5.580765,7.433061,8.293061,5.633061,5.893061,7.253061,5.493915,9.093061,7.950612,7.633061,6.513061,8.293061
15,6,0,6.250907,7.0909070000000005,6.050907,9.390907,9.410907,9.930907000000001,7.470907,7.290907000000001,7.610907000000001,7.230907000000001,8.390907,8.930907000000001,6.790907000000001,7.270907000000001,9.870907,6.950907000000001,9.051814,6.950907000000001,9.690907000000001,9.290907,8.910907,7.350907,7.910907000000001,8.290907,8.910907,7.330907000000001,8.590907000000001,8.250907000000002,7.190907000000001,8.050907,7.410907000000001,9.450907,7.110907000000001,7.170907000000001,7.5109070000000004,9.610907000000001,8.190907000000001,6.190907,8.530907000000001,5.550907,9.050907,6.350907,7.250907000000001,6.870907000000001,6.310907,8.650907,5.850907,7.770907000000001,8.630907,5.890907,6.230907,7.5909070000000005,5.670907,9.590907000000001,8.210907,8.010907000000001,6.810907,8.630907
16,6,1,6.644489999999999,7.553469000000001,6.453469,9.833469000000001,9.853469,10.493469000000001,7.976939,7.733469,8.013469,7.700408,8.793469,9.413469000000001,7.233469,7.733469,10.393469,7.3934690000000005,9.553469,7.396939,10.113469,9.733469,9.393469,7.813469,8.193469,8.838694,9.333469000000001,7.813469,9.193469,8.693469,7.633469,8.513469,7.820867,9.86449,7.573469,7.573469,7.973469000000001,10.173469,8.593469,6.593469,9.013469,5.8534690000000005,9.633469,6.733469,7.693469,7.313469,6.733469,9.073469000000001,6.217823,8.191156,9.073469000000001,6.333469,6.630694,8.093469,6.113469,10.353469,8.653469,8.573469000000001,7.293469,9.073469000000001
17,6,2,7.022539999999999,7.982539999999999,6.825423,10.28254,10.302539999999999,10.94254,8.44254,8.142539999999999,8.462539999999999,8.142539999999999,9.222539999999999,9.875079,7.662539999999999,8.18254,10.84254,7.80254,10.06254,7.88254,10.56254,10.099254,9.86254,8.26254,8.642539999999999,9.26254,9.74254,8.26254,9.642539999999999,9.142539999999999,8.02254,8.90254,8.24254,10.302539999999999,8.02254,7.96254,8.40254,10.68254,9.02254,7.04254,9.382539999999999,6.26254,10.08254,7.162539999999999,8.142539999999999,7.7625399999999996,7.04254,9.52254,6.602539999999999,8.59627,9.506269999999999,6.782539999999999,6.982539999999999,8.462539999999999,6.4362699999999995,10.90254,9.06627,9.06254,7.7225399999999995,9.500847
18,7,0,7.24712,8.44712,7.12712,10.50712,10.667119999999999,11.481361,8.918481,8.56712,8.827119999999999,8.487119999999999,9.50712,10.361361,8.04712,8.60712,11.34712,8.22712,10.50712,8.167119999999999,10.94712,10.42712,10.34424,8.68712,9.00712,9.721361,10.08712,8.68712,10.167119999999999,9.56712,8.44712,9.327119999999999,8.68712,10.68712,8.42712,8.28712,8.72712,11.247119999999999,9.44712,7.267119999999999,9.78712,6.58712,10.50712,7.44712,8.56712,8.18712,7.40712,9.94712,6.9671199999999995,8.96712,9.907119999999999,7.08712,7.227119999999999,8.88712,6.727119999999999,11.572721000000001,9.487119999999999,9.46712,8.00712,9.86712
19,7,1,7.715238,8.875238000000001,7.555238,10.935238,11.095238,12.095238,9.495238,8.995238,9.255238,8.895238,9.935238,10.795238000000001,8.475238000000001,9.035238,11.795238000000001,8.595238,10.980476,8.595238,11.395238,10.835238,10.815238,9.115238,9.435238,10.195238,10.495238,9.195238,10.635238000000001,10.015238,8.805079,9.715238000000001,9.295238000000001,11.075238,8.860476,8.64631,9.075238,11.675238,9.835238,7.695238000000001,10.215238000000001,7.015238,10.995238,7.875238,8.995238,8.615238,7.835238,10.375238000000001,7.295238,9.375238000000001,10.295238000000001,7.5352380000000005,7.655238000000001,9.335238,7.095238,12.155238,9.915238,9.895238,8.435238,10.295238000000001
20,7,2,8.21805,9.33805,7.97805,11.35805,11.49805,12.55805,9.95805,9.49805,9.67805,9.35805,10.33805,11.25805,8.93805,9.45805,12.23805,9.03805,11.53805,9.05805,12.03805,11.23805,11.27805,9.63805,9.85805,10.65805,10.91805,9.71805,11.09805,10.39805,9.19805,10.17805,9.69805,11.53805,9.33805,9.03805,9.53805,12.11805,10.29805,7.97805,10.67805,7.31805,11.59805,8.29805,9.45805,8.99805,8.13805,10.81805,7.73805,9.83805,10.73805,7.99805,8.25805,9.79805,7.37805,12.95805,10.35805,10.21805,8.89805,10.71805
21,8,0,8.581224,9.741224,8.261224,11.581224,11.860408,12.981224000000001,10.241224,9.941224,9.981224000000001,9.761224,10.701224,11.681224,9.561224000000001,9.781224,12.861224,9.581224,11.941224,9.421224,12.421224,11.541224,11.821224,9.981224000000001,10.101224,11.181224,11.201224,10.121224,11.721224000000001,10.641224000000001,9.581224,10.581224,10.001224,12.161224,9.641224000000001,9.461224000000001,9.861224,12.521224,10.701224,8.277913999999999,11.103672999999999,7.721224,12.041224,8.501224,9.861224,9.301224000000001,8.481224000000001,11.301224000000001,8.141224000000001,10.221224000000001,11.141224000000001,8.401224000000001,8.661224,10.201224,7.721224,13.521223999999998,10.781224,10.621224,9.301224000000001,11.241224
22,8,1,9.201633000000001,10.481633,8.881633,12.101633,12.421633,13.641632999999999,10.941633,10.741633,10.601633,10.481633,11.361633,12.441633,10.221633,10.281633,13.581632999999998,10.241633,12.501633,10.041633000000001,13.041633000000001,12.161633,12.481633,10.701633000000001,10.701633000000001,12.001633,11.761633,11.021633,12.361633,11.181633,10.141633,11.341633,10.641633,12.841633,10.281633,10.081633,10.321633,12.961633,11.261633,8.741633,11.881633,8.281633,12.721633,9.121633000000001,10.481633,9.821633,9.101633,11.941633,8.741633,10.821633,11.761633,9.041633000000001,9.321633,10.782908,8.321633,14.521633,11.501633,11.141633,10.061633,11.981633
23,8,2,9.842041,11.122041000000001,9.522041,12.682041,12.942041,14.242041,11.562041,11.402041,11.122041000000001,11.222041,11.922041,13.162041,10.982041,10.742041,14.222041,10.942041,13.142041,10.662041,13.762041,12.702041,13.102041,11.902041,11.322041,12.622041000000001,12.262041,11.722041,13.102041,11.52801,10.642041,12.002041,11.262041,13.502041,11.002041,10.462041000000001,10.902041,13.309116,11.894082000000001,9.142041,12.502041,8.762041,13.342041,9.782041,11.102041,10.402041,9.682041,12.542041000000001,9.382041000000001,11.462041000000001,12.362041,9.642041,9.842041,11.248863,8.643203999999999,15.182041,12.027347,11.58602,10.682041,12.682041
24,9,0,11.216327,12.136327,10.476327000000001,13.596326999999999,13.934285999999998,15.207958999999999,12.556327,12.556327,11.696327,12.44898,12.716327,14.567959,12.736327000000001,11.496327,15.356326999999999,12.196327,14.336326999999999,11.722653,14.899592000000002,13.44519,14.388979999999998,13.122653,11.876327,13.648979999999998,12.996327,13.396327,14.376326999999998,12.016327,11.516327,13.096327,12.496327,14.754285999999999,12.082653,11.196327,11.816327000000001,14.076327,13.688979999999999,9.776327,13.756326999999999,9.596327,14.352245000000002,11.255306,12.016327,11.354286,10.68898,13.076327000000001,10.496327,12.467959,13.276326999999998,10.976327000000001,10.862653,11.956327,8.996327,16.700612,12.742653,12.304388000000001,11.747959,13.855306
25,9,1,11.591837,12.671837,11.071837,13.971836999999999,14.571837,15.871837,13.231836999999999,13.331837,12.311836999999999,13.011837,13.251837,15.111837,13.271837,11.871837,15.971836999999999,12.751837,14.811836999999999,12.291837,15.551836999999999,13.811836999999999,14.931837,13.511837,12.411837,14.071837,13.671837,14.171837,14.911837,12.451837,11.911837,13.711837,13.091837,15.320917999999999,12.671837,11.611837,12.871837,14.451837,14.591837,10.171837,14.331837,10.111837,15.031837,11.871837,12.391836999999999,12.171837,11.191837,13.457279000000002,10.911837,12.951837,13.851837,11.731836999999999,11.451837,12.391836999999999,9.491837,17.431836999999998,13.091837,12.711837,12.331837,14.431837
26,9,2,11.825714,12.985714,11.385714,14.265714000000001,14.865714,16.245714000000003,13.665714000000001,13.665714000000001,12.605714,13.465714000000002,13.545714000000002,15.405714000000001,13.705714000000002,12.457142999999999,16.345714,13.185714,15.261429000000001,12.601429,15.845714000000001,14.137143,15.365714,13.805714000000002,12.725714,14.445714,13.985714000000002,14.637143,15.265714000000001,12.745714,12.325714,14.185714,13.425714000000001,15.605714,13.025714,11.905714,13.365714,14.865714,15.072857,10.505714,14.625714000000002,10.685714,15.305714000000002,12.205714,12.685714,12.485714,11.485714,13.725714000000002,11.165714,13.325714000000001,14.257143,12.105714,11.845714,12.725714,9.785714,17.985714,13.385714000000002,13.065714,12.685714,14.701904999999998
27,10,0,12.092245,13.284082000000001,11.641122,14.532245000000001,15.144082000000001,16.592245000000002,13.992245,13.892245,12.872245,13.752245000000002,13.872245000000001,15.672245000000002,14.092245000000002,12.852245,16.672245,13.532245000000001,15.592245000000002,12.812244999999999,15.968520000000002,14.492245,15.712245000000001,14.112245000000001,12.892244999999999,14.772245000000002,14.272245000000002,15.032245000000001,15.581122,12.932245,12.652244999999999,14.512245000000002,13.724082000000001,15.728520000000001,13.352245000000002,12.132245,13.672245000000002,15.212245000000001,15.592245000000002,10.772245,14.892245,10.992245,15.652245,12.472245,13.012245,12.632245,11.772245,14.052245000000001,11.392244999999999,13.652245,14.592245000000002,12.392244999999999,12.132245,13.005561,10.052245,18.312245,13.652245,13.332245,13.012245,15.012245000000002
28,10,1,12.435102,13.655102,11.975102,14.855101999999999,15.475102,16.995102,14.435101999999999,14.255101999999999,13.215101999999998,14.115101999999998,14.215101999999998,15.995102,14.575102,13.275101999999999,17.095102,13.875101999999998,16.055101999999998,13.155102,16.255101999999997,14.835102,16.155102,14.435101999999999,13.235102,15.195101999999999,14.635102,15.495102,15.895102,13.275101999999999,13.015102,14.955101999999998,14.075102,16.035102,13.765305999999999,12.535102,14.055102,15.655102,16.095102,11.115102,15.275101999999999,11.295102,15.995102,12.815102,13.355101999999999,12.975102,12.115102,14.415102,11.735102000000001,14.015101999999999,15.015101999999999,12.715102,12.515102,13.335102,10.415102000000001,18.755101999999997,14.015101999999999,13.715101999999998,13.375101999999998,15.415102
29,10,2,12.740388000000001,14.013878,12.373878,15.193878,15.913878,17.493878,14.873878,14.773878,13.593878,14.553878,14.693878,16.333878,15.113878,13.853878,17.573878,14.333878,16.553878,13.733878,16.593878,15.293878,16.613878,14.793878,13.553878,15.513878,15.253878,15.953878,16.253878,13.617313000000001,13.373878,15.333878,14.553878,16.373878,14.253878,12.933878,14.533878,16.033878,16.573878,11.533878,15.593878,11.713878,16.413878,13.173878,13.813878,13.273878,12.513878,14.813878,12.053878,14.473878,15.513878,13.093878,13.033878,13.753878,10.852985,19.213878,14.233878,13.971939,13.833878,15.713878
30,11,0,13.026939,14.446939000000002,12.735646000000001,15.566939000000001,16.286939,18.106939,15.363878,15.206939000000002,13.966939000000002,15.026939000000002,15.066939000000001,16.666939000000003,15.646939000000001,14.306939000000002,18.006939000000003,14.826939000000001,17.006939000000003,14.086939000000001,16.946939,15.666939000000001,17.126939,15.166939000000001,13.906939000000001,15.886939000000002,15.686939,16.466939,16.586939,13.926939,13.806939000000002,15.746939000000001,15.066939000000001,16.706939000000002,14.726939000000002,13.386939000000002,14.886939000000002,16.426939,17.174694,11.866939,15.986939000000001,12.086939,16.806939,13.546939000000002,14.186939,13.686939,12.906939,15.146939000000001,12.486939,14.846939,16.006939000000003,13.526939000000002,13.526939000000002,14.146939000000001,11.086939,19.686939000000002,14.542313,14.326939000000001,14.326939000000001,16.066939
31,11,1,13.363265,14.843264999999999,13.083264999999999,15.963265,16.703265,18.643265,15.983265,15.683264999999999,14.343264999999999,15.503264999999999,15.503264999999999,17.083265,16.243265,15.016531,18.523265,15.403265,17.463265,14.463265,17.363265,16.343265,17.703265,15.643265,14.303265,16.303265,16.063264999999998,17.183265,16.963265,14.303265,14.283265,16.203265,15.623265,17.123265,15.323265,13.863265,15.363265,16.903265,17.883264999999998,12.223265,16.503265,12.503264999999999,17.203265,13.963265,14.563265,14.243265,13.343264999999999,15.483265,12.903265,15.303265,16.503265,14.023264999999999,13.823265,14.603264999999999,11.583264999999999,20.183265,14.863265,14.803265,14.843264999999999,16.583265
32,11,2,13.635429,15.277142999999999,13.357142999999999,16.194285999999998,16.977142999999998,18.937143,16.297143,16.052381,14.537142999999999,15.797143,15.777142999999999,17.311785999999998,16.637143,15.437142999999999,18.837142999999998,15.704285999999998,17.837142999999998,14.737143,17.603429000000002,17.057143,17.997142999999998,15.837143,14.571786,16.597143,16.477142999999998,17.577143,17.233570999999998,14.557143,14.597142999999999,16.517143,15.877142999999998,17.351020000000002,15.617142999999999,14.077143,15.673570999999999,17.217143,18.277143,12.477143,16.777143,12.877142999999998,17.437143,14.197142999999999,14.857142999999999,14.437142999999999,13.617142999999999,15.830794000000001,13.177143,15.637143,16.857143,14.277142999999999,14.097142999999999,14.863570999999999,11.957142999999999,20.617143,15.037142999999999,15.137143,15.157143,16.837142999999998
33,12,0,13.876326999999998,15.656327,13.576327,16.396327,17.236327,19.236327,16.656326999999997,16.356327,14.822332000000001,16.076327,16.136326999999998,17.556327,16.996326999999997,15.956326999999998,19.196327,16.116327,18.216327,14.936326999999999,17.796326999999998,17.515306,18.356327,16.156326999999997,14.756326999999999,16.976326999999998,16.696327,17.94898,17.483163,14.776326999999998,14.956326999999998,16.956326999999998,16.256327,17.556327,15.976327,14.396327,15.993163000000001,17.596327,18.636326999999998,12.736327000000001,17.076327,13.236327,17.796326999999998,14.521582,15.216327,14.756326999999999,13.896327,16.036327,13.493163000000001,16.022653,17.222653,14.612109,14.456326999999998,15.176326999999999,12.156327000000001,21.047959,15.333163,15.40898,15.516326999999999,17.196327
34,12,1,14.150204,15.990204,13.870204000000001,16.690204,17.490204000000002,19.540101999999997,17.050204,16.670204000000002,15.070204,16.410204,16.370204,17.830204000000002,17.370204,16.310204000000002,19.550204,16.410204,18.830204000000002,15.250204,18.090204,18.030204,18.750204,16.450204,15.010204000000002,17.290204,16.990102,18.450204,17.750204,15.090204,15.250204,17.290204,16.550204,17.850204,16.330204000000002,14.690204000000001,16.270204,17.970204000000003,19.190204,13.120102,17.370204,13.550204,18.130204,14.790204000000001,15.510204000000002,15.050204,14.210204000000001,16.350204,13.770204000000001,16.370204,17.650204000000002,14.870204000000001,14.750204,15.470204,12.450204,21.450204,15.610204000000001,15.830204,15.850204000000002,17.530204
35,12,2,14.535917999999999,16.375918,14.275917999999999,17.035918,17.875918,19.915917999999998,17.555918,17.135918,15.455917999999999,16.795918,16.855918,18.215918,17.915917999999998,16.875918,19.995918,16.935918,19.215918,15.591973000000001,18.462958999999998,18.775918,19.195918,16.815918,15.315918,17.635918,17.355918,18.995918,18.015918,15.435184,15.635917999999998,17.835918,16.955918,18.235917999999998,16.715918,15.055918,16.615918,18.315918,19.575917999999998,13.495918,17.735917999999998,13.915918,18.495918,15.115917999999999,15.895918,15.252958999999999,14.595918,16.755917999999998,14.115917999999999,16.835918,18.135918,15.255918,15.195917999999999,15.855917999999999,12.835918,21.755917999999998,15.835918,16.115918,16.275918,17.875918
36,13,0,14.862041,16.918163,14.662041,17.402041,18.282041,20.402041,18.042041,17.502041000000002,15.842041,17.222041,17.282041,18.562041,18.626122,17.506327,20.398163,17.466122,19.594082,15.882041000000001,18.762041,19.142041,19.662041000000002,17.202041,15.722041,18.002041000000002,17.782041,19.582041,18.342041000000002,15.742041,16.122041,18.222041,17.402041,18.542041,17.274082,15.442041,16.902041,18.922041,20.202041,13.762041,18.122041,14.282041,18.862041,15.462041000000001,16.262041,15.582041,14.94602,17.082041,14.462041000000001,17.242041,18.582041,15.662041,15.522041,16.322041,13.202041,22.262041,16.122041,16.482041,16.762041,18.322041
