,measure_number,beat_number,pid1263b-19,pid5667285b-10,pid9048b-22,pid9049b-19,pid9050b-21,pid9054b-21,pid9055b-19,pid9058b-19,pid9059b-23,pid9060b-17,pid9061b-16,pid9062b-22,pid9063b-25,pid9064-02,pid9066b-19,pid9067-27,pid9069-19,pid9070b-31,pid9072b-23,pid9074g-19,pid9075b-19,pid9088-25,pid9090-26,pid9094b-27,pid9097-15,pid9098-07,pid9099b-25,pid9100b-08,pid9104b-19,pid9111b-21,pid9112-11,pid9114-34,pid9118b-25,pid9137-22,pid9139b-21,pid9153b-21,pid9166b-09,pid9170b-21,pid9172-12,pid9174b-19,pid9190-11,pid9192b-21
10,4,1,7.789909,5.399955,6.749909,5.979955,6.039955,5.419955,5.919955,3.819955,4.859955,6.1799550000000005,7.379955000000001,6.619955,8.139955,6.199955,11.979955,5.279955,5.199955,4.939955,5.059955,6.439955,4.119955,6.379955000000001,7.0999550000000005,5.539955,7.559955,5.779955,5.199955,6.039955,5.939955,5.299955000000001,4.959955,5.019955,8.859955000000001,7.699955,4.684977,5.319955,6.749909,5.859955,3.759955,4.819955,4.839955000000001,4.979955
11,4,2,8.758753,5.918753,7.258753,6.378753,6.618753,5.918753,6.418753,4.258753,5.358753,6.698753,8.038753,7.1387529999999995,8.658752999999999,6.6387529999999995,13.278753,5.798753,5.698753,5.438753,5.538753,6.938753,4.422187999999999,7.158753,7.6387529999999995,6.018753,8.138753,6.318753,5.918753,6.558753,6.438753,5.878753,5.438753,5.518753,9.858753,8.198753,5.078753,5.818753,7.6387529999999995,6.358753,4.198753,5.278753,5.318753,5.278753
12,5,0,9.406803,6.426803,7.8068029999999995,6.826803,7.106803,6.2668029999999995,7.3068029999999995,4.645361,5.886803,7.3068029999999995,8.606803,7.826803,9.426803,7.086803,13.986803,6.246803,6.3468029999999995,5.826803,5.986803,7.386803,4.746803,7.946803,8.178401,6.366803,8.926803,6.7668029999999995,6.386803,7.026803,6.886803,6.326803,5.782268,5.906803,10.426803,9.226803,5.518401,6.4484010000000005,8.026803,6.8068029999999995,4.446803,5.646803,5.686803,5.726803
13,5,1,10.064898,6.847449,8.304898,7.337449,7.684898,6.647449000000001,7.864897999999999,4.964898000000001,6.398724,7.844898,9.224898,8.424897999999999,10.024898,7.624898,14.904898000000001,6.704898,6.844898,6.244898,6.462483,7.784897999999999,5.024898,8.744898,8.644898,6.8807,9.564898,7.244897999999999,6.844898,7.524897999999999,7.444897999999999,6.824897999999999,6.201633,6.3607,11.144898,9.864898,5.944898,6.904897999999999,8.584897999999999,7.284897999999999,4.786414,6.044898,6.1016330000000005,6.164898
14,5,2,10.680952,7.3009520000000006,8.760952,7.560952,8.160952,7.080952000000001,8.680952,5.400951999999999,6.7609520000000005,8.540952,9.680952,9.040952,10.600952000000001,8.060952,15.680952,7.140952,7.280952,6.700952,6.860952,8.235476,5.420952,9.220952,9.180952,7.191825,10.120952,7.7609520000000005,7.2609520000000005,8.000952,7.920952000000001,7.140952,6.595476,6.740952,11.720952,10.500952,6.360951999999999,7.320952,9.100952000000001,7.715476,5.120952,6.480951999999999,6.460952,6.620952000000001
15,6,0,11.286439999999999,7.70644,9.222147,7.88822,8.72644,7.526439999999999,9.22644,5.84644,7.148219999999999,9.06644,10.18822,9.68644,11.16644,8.42644,16.46644,7.62644,7.69822,7.12822,7.24644,8.66644,5.74822,9.66644,9.66644,7.58644,10.706439999999999,8.206439999999999,7.66644,8.44822,8.446439999999999,7.566439999999999,7.026439999999999,7.186439999999999,12.40644,11.30644,6.74644,7.78644,9.72644,8.10822,5.48644,6.9264399999999995,6.8864399999999995,7.00644
16,6,1,11.884399,8.0872,9.624399,8.28888,9.244399000000001,7.9272,9.704399,6.144399,7.524399000000001,9.584399000000001,10.664399000000001,10.304399,11.724399,8.8372,17.264398999999997,8.044399,8.144399,7.504399,7.664399,9.064399,6.0972,10.144399,10.144399,8.024399,11.304399,8.624399,8.064399,8.824399,8.964399,7.984399000000001,7.404399000000001,7.584399,13.104399,11.944399,7.124399,8.224399,10.284399,8.524399,5.8072,7.304399,7.2372,7.384399
17,6,2,12.61576,8.53576,10.12288,8.65576,9.83576,8.375760000000001,10.295760000000001,6.615760000000001,7.97576,10.25576,11.172880000000001,10.975760000000001,12.395760000000001,9.25576,18.13576,8.555760000000001,8.59576,7.995760000000001,8.135760000000001,9.57576,6.45576,10.69576,10.67576,8.53576,11.895760000000001,9.23576,8.57576,9.35576,9.475760000000001,8.475760000000001,7.8757600000000005,8.01576,13.73576,12.67576,7.5728800000000005,8.715760000000001,10.875760000000001,8.975760000000001,6.192880000000001,7.8357600000000005,7.63576,7.895760000000001
18,7,0,13.211882000000001,8.890941,10.551882,8.951882000000001,10.371882000000001,8.771882000000002,10.671882,6.931882000000001,8.340941,10.731882,11.591882,11.571882,12.931882,9.571882,18.871882,8.971882,8.971882,8.391882,8.531882000000001,9.991882,6.751882000000001,11.291882000000001,11.151882,8.931882,12.451882000000001,9.671882,8.991882,9.731882,9.951882000000001,8.851882000000002,8.211882000000001,8.391882,14.391882,13.371882000000001,7.931882000000001,9.151882,11.471882,9.331882,6.490941,8.180941,7.971882000000001,8.231882
19,7,1,13.835645999999999,9.275646,10.975646000000001,9.366412,10.855646,9.175646,11.095646,7.315646000000001,8.725214999999999,11.215646000000001,12.075646,12.215646000000001,13.535646,9.955646,19.615645999999998,9.395646000000001,9.362822999999999,8.795646000000001,8.975646000000001,10.387608,7.115646000000001,11.795646000000001,11.655646,9.335646,13.015646,10.075646,9.455646,10.115646,10.435646,9.255646,8.635646000000001,8.745215,15.115646,13.995645999999999,8.315646000000001,9.615646,11.975646000000001,9.795646000000001,6.802822999999999,8.515646,8.362822999999999,8.595646
20,7,2,14.346485000000001,9.726485,11.466485,9.746485,11.426485000000001,9.606485000000001,11.586485,7.706485000000001,9.166485,11.826485,12.586485,12.826485,14.246485,10.426485000000001,20.466485000000002,9.846485000000001,9.806485,9.206485,9.466485,10.806485,7.406485000000001,12.406485,12.226485,9.786485,13.566485,10.586485,9.906485,10.506485000000001,10.906485,9.726485,9.026485000000001,9.178243,15.706485,14.726485,8.706485,10.086485,12.726485,10.326485,7.166485000000001,8.986485,8.746485,9.066485
21,8,0,15.196054,10.176053999999999,12.036054,10.036054,12.136054,10.156054,12.176053999999999,8.156054,9.636054,12.396054,13.236054000000001,13.536054,15.016054,10.976054,21.676054,10.336053999999999,10.416053999999999,9.696054,10.056054,11.356053999999999,7.736053999999999,13.256054,12.836053999999999,10.276054,14.196054,11.016053999999999,10.536054,11.276054,11.456054,10.296054,9.496053999999999,9.696054,16.496054,15.516054,9.116054,10.596053999999999,13.416054,10.996053999999999,7.636054,9.516053999999999,9.176053999999999,9.616054
22,8,1,15.968798000000001,10.748797999999999,12.608798,10.648798,12.787596,10.708798,13.008797999999999,8.688798,10.207596,13.148798000000001,13.988798000000001,14.208798000000002,15.888798000000001,11.688798,22.828798000000003,10.928798,11.048798,10.128798,10.688798,11.908797999999999,8.128798,14.168798,13.488798000000001,10.988798,14.888798000000001,11.668797999999999,11.208798,11.988798,12.088797999999999,10.948798,9.948798,10.248797999999999,17.388798,16.448798,9.508797999999999,11.168797999999999,14.008798,11.728798,8.048798,10.048798,9.688798,10.288798
23,8,2,16.959478,11.519478,13.299478,11.094739,13.399478,11.359478,13.659478,8.923910000000001,10.958435,13.759478,14.639478,14.819478,16.959478,12.299478,23.539478,11.539477999999999,11.639478,10.654498,11.299478,12.579478,8.522078,14.979478,14.239478,11.599478,15.494739000000001,12.319478,11.879478,12.639478,12.699478,11.639478,10.519478,10.859478,18.399478,17.139478,9.939478,11.779478,14.619477999999999,12.359478,8.419023,11.099478,10.215263,10.899478
24,9,0,18.120045,12.280045,14.160045000000002,11.840045,14.200045000000001,12.180045,15.120045000000001,9.480045,11.720044999999999,15.100045000000001,15.900045,15.740045,18.060045000000002,12.940045,25.400045000000002,12.400045,12.420045,11.140044999999999,12.240045,13.380045,9.080045,16.460045,15.180045000000002,12.340045,17.100045,13.120045000000001,13.400045,13.580045000000002,13.480045,12.960045,10.840045,11.540045,19.740045000000002,18.480045,10.682511,12.800044999999999,15.640045,13.280045000000001,8.820045,11.880044999999999,10.740045,12.060045
25,9,1,18.859909,12.659908999999999,14.599909,12.379909,14.779909,12.559909,15.719909,9.939909,12.099909,15.779909,16.599909,16.459909,18.799909,13.459909,26.349637,12.959909,12.819908999999999,11.519909,12.759909,13.859909,9.559909,17.399909,15.759909,12.859909,17.679909,13.639909,13.919909,14.179909,14.059909,13.399909,11.324955000000001,12.079908999999999,20.519909,19.059909,11.179909,13.359909,16.139909,13.819908999999999,9.279909,12.499908999999999,11.179909,12.639909
26,9,2,19.333333,13.073333,15.113332999999999,12.811667,15.293332999999999,13.013333,16.113332999999997,10.333333,12.533333,16.473333,17.213333,17.073332999999998,19.313333,13.873332999999999,27.253333,13.333332999999998,13.293332999999999,11.933333,13.073333,14.453332999999999,9.810833,17.973333,16.213333,13.253333,18.313333,14.133332999999999,14.373332999999999,14.701667,14.573332999999998,13.853333,11.653333,12.593333,21.073332999999998,19.773332999999997,11.533333,13.733332999999998,16.733333,14.433333,9.513333,12.953333,11.513333,13.081667
27,10,0,20.069976999999998,13.489977,15.609976999999999,13.249977,15.849976999999999,13.449976999999999,16.889977,10.749977000000001,12.929977000000001,17.009977,17.829977,17.729976999999998,19.929976999999997,14.389976999999998,28.309977000000003,13.809976999999998,13.729976999999998,12.409977,13.529976999999999,14.969976999999998,10.169977000000001,18.509977,16.729976999999998,13.709976999999999,19.069955,14.649977,14.889976999999998,15.109976999999999,15.089977,14.329977,12.049977,13.049977,21.789932,20.489977,12.009977000000001,14.229976999999998,17.409976999999998,14.929977,9.889977,13.389976999999998,11.949977,13.589977
28,10,1,20.730476,14.050476000000002,16.250476000000003,13.870476000000002,16.450476000000002,13.910476000000001,17.550476,11.090475999999999,13.490476000000001,17.630476,18.530476,18.350476,20.490952,15.010476,29.430476000000002,14.250476,14.210476000000002,12.830475999999999,13.990476000000001,15.430952,10.610476,19.270476000000002,17.330476,14.330476,19.730952,15.230476000000001,15.530476,15.630476000000002,15.670476,14.910476000000001,12.550476,13.510476,22.710476,21.290476,12.390476,14.870476000000002,18.070476,15.670476,10.290476,13.810476000000001,12.330475999999999,14.330476
29,10,2,21.7639,14.6639,16.8239,14.4639,17.0639,14.4413,18.4439,11.524238,14.1039,18.2239,19.4839,19.1839,21.1839,15.6039,31.0839,14.7239,14.8039,13.229445000000002,14.4439,16.0439,10.984619,20.1239,18.0639,14.9239,20.8439,15.7439,16.1039,16.2239,16.2639,15.5039,12.967627,14.0439,23.3039,22.2039,12.7639,15.4639,18.8239,16.1613,10.664619,14.3639,12.8639,14.9039
30,11,0,22.279273999999997,15.119273999999999,17.259273999999998,14.759274,17.639274,14.839274,18.874637,11.894182,14.579274,18.679274,19.919273999999998,19.619274,21.819274,16.019274,31.519274,15.159274,15.159757999999998,13.659274,14.864637,16.474637,11.339274000000001,20.599273999999998,18.493091,15.439274,21.279273999999997,16.179274,16.519274,16.379274,16.699274,15.899273999999998,13.339274,14.464637,24.459274,22.639274,13.194637,15.884637,19.279273999999997,16.579273999999998,10.934637,14.584636999999999,13.292319,15.333091
31,11,1,22.945873000000002,15.545873,17.785873000000002,15.305873000000002,18.205873,15.265873000000001,19.365873,12.265873,14.985873000000002,19.285873000000002,20.485873,20.405873,22.505873,16.525873,32.585873,15.665873000000001,15.625873,14.085873000000001,15.285873,17.005873,11.745873,21.245873,19.005873,15.945873,21.905873,16.785873000000002,17.035291,16.805873000000002,17.245873,16.345873,13.685873,14.985873000000002,25.245873,23.325873,13.625873,16.385873,19.865873,17.125873000000002,11.325175,15.045873,13.625873,15.845873000000001
32,11,2,23.524172,15.984172000000001,18.264172,15.624172,18.684172,15.704172,19.884172,12.664172,15.364172,20.064172,21.098345000000002,20.944172000000002,23.064172,17.004172,33.504172,16.104172,16.084172,14.524172,15.764172,17.478345,12.064172,21.718345000000003,19.464172,16.324172,22.564172,17.204172,17.404172,17.264172,17.704172,16.764172,14.144172,15.524172,25.818345,24.078345000000002,14.044172,16.844172,20.464172,17.584172,11.684172,15.504172,14.044172,16.324172
33,12,0,24.122766,16.382766,18.722766,15.962766,19.242766,16.162766,20.542766,13.062766,15.822766,20.642766,21.642766,21.622766,23.702766,17.462766000000002,34.642765999999995,16.542766,16.566383,15.022766,16.222766,18.102766,12.442766,22.282766,20.022766,16.742766,23.262766,17.662766,17.902766,17.702766,18.222766,17.222766,14.542766,15.962766,26.602766,24.955533,14.442766,17.342766,21.122766,18.042766,12.102766,15.882766,14.482766,16.802766000000002
34,12,1,24.793605,17.013605,19.353604999999998,16.533604999999998,19.833605,16.613605,21.273605,13.413604999999999,16.473605,21.113605,22.373604999999998,22.333605,24.333605,17.933605,35.713605,17.033604999999998,17.093605,15.453605,16.653605,18.773605,12.930401,23.153605,20.533604999999998,17.353604999999998,23.933605,18.193604999999998,18.533604999999998,18.213604999999998,18.793605,17.953605,14.993604999999999,16.373604999999998,27.533604999999998,25.693604999999998,14.833604999999999,17.913605,21.953605,18.733604999999997,12.513605,16.253605,14.853604999999998,17.393604999999997
35,12,2,25.646463,17.540430999999998,19.900431,17.040430999999998,20.480431,17.140431,21.972585000000002,13.940431,17.000431,21.720431,23.100431,22.940431,25.020431,18.460431,37.240431,17.560431,17.600431,15.980431,17.180431,19.320431,13.160430999999999,23.917755,21.080431,17.880431,24.811633,18.720431,19.060431,18.740431,19.320431,18.580431,15.520431,16.760431,28.393356,26.620431,15.20681,18.593447,22.820431,19.220431,12.840431,16.660431,15.260431,17.913477
36,13,0,26.294014,18.094014,20.454014,17.354014000000003,20.994014,17.494014,22.774014,14.194014000000001,17.554014000000002,22.214014000000002,23.594014,23.614014,25.578027,18.714014000000002,37.734014,17.914014,18.091338,16.314014,17.554014000000002,19.814014,13.574014000000002,24.714014000000002,21.574014000000002,18.474014,25.594014,19.114014,19.694014000000003,19.194014000000003,19.814014,19.094014,15.834014000000002,17.254014,29.194014000000003,27.314014,15.674014000000001,19.154014,23.334014,19.694014000000003,13.154014000000002,17.054014000000002,15.734014000000002,18.254014
37,13,1,27.075509999999998,18.61551,21.09551,17.89551,21.61551,17.89551,23.63551,14.575510000000001,18.035510000000002,22.79551,24.27551,24.25551,26.255509999999997,19.29551,38.73551,18.39551,18.57551,16.787585,18.035510000000002,20.39551,13.87551,25.57551,22.13551,19.09551,26.15551,19.65551,20.25551,19.75551,20.375510000000002,19.59551,16.27551,17.77551,30.095509999999997,27.995509999999996,16.11551,19.75551,23.85551,20.27551,13.59551,17.63551,16.138503,18.85551
38,13,2,27.511837,18.936973000000002,21.491837,18.250918,22.051837,18.331837,24.271836999999998,15.031837,18.376973,23.491837,24.710918,24.831837,26.811837,19.560918,39.531837,18.811837,19.010918,17.171837,18.431836999999998,20.803946,14.311836999999999,26.011837,22.551837,19.471837,26.751837,20.051837,20.571837,20.191837,20.811837,19.931836999999998,16.620918,18.091836999999998,30.551837,28.731837,16.510918,20.091836999999998,24.471837,20.571837,13.871837,18.031837,16.531837,19.211837
39,14,0,28.327755,19.387755,21.988878,18.587754999999998,22.687755,18.827755,24.907754999999998,15.487754999999998,18.827755,24.107754999999997,25.267754999999998,25.507755,27.427754999999998,20.007755,40.447755,19.267754999999998,19.467755,17.647755,18.947754999999997,21.367755,14.687755,26.567755,23.087754999999998,20.027755,27.427754999999998,20.587754999999998,21.007755,20.707755,21.387755,20.387755,17.087754999999998,18.547755,31.307755,29.627755,16.907754999999998,20.607754999999997,25.127755,21.007755,14.267755,18.487755,16.947754999999997,19.627755
40,14,1,28.917551,19.777551000000003,22.437551000000003,18.963776,23.177551,19.197551,25.317551,15.817551000000002,19.217551,24.577551,25.677551,26.157551,27.977551000000002,20.337551,41.217551,19.737551,19.897551,17.997551,19.357551,21.777551000000003,15.037551,26.997551,23.517551,20.557551,27.977551000000002,20.997551,21.457551000000002,21.077551,21.877551,20.857551,17.477551000000002,18.977551000000002,31.977551000000002,30.297551000000002,17.297551000000002,21.057551,25.617551000000002,21.397551,14.617551,18.837551,17.337551,20.017551
41,14,2,29.517914,20.096978,22.877914,19.273957,23.717914,19.596978,25.837914,16.185971,19.532638000000002,25.217914,26.217914,26.817914000000002,28.597914000000003,20.715583,42.097914,20.193957,20.357914,18.437914000000003,19.792638,22.241978,15.332638000000001,27.437914000000003,24.097914000000003,20.963957,28.617914000000003,21.577914,21.937914000000003,21.517914,22.357914,21.337914,17.897914,19.352638,32.537914,31.017914,17.692638,21.517914,26.297914000000002,21.877914,14.971978,19.357914,17.736978,20.517914
42,15,0,30.096508,20.456508,23.316508,19.556507999999997,24.256508,20.016507999999998,26.276508000000003,16.576508,19.896507999999997,25.756508,26.676508000000002,27.403015999999997,29.216508,21.056507999999997,42.976508,20.536507999999998,20.716507999999997,18.856507999999998,20.196507999999998,22.676508,15.616507999999998,27.976508000000003,24.536507999999998,21.276508,29.263015999999997,22.036507999999998,22.409523999999998,21.936508,22.816508,21.756508,18.276508,19.716507999999997,33.296508,31.656032,18.036507999999998,21.956508,26.896508,22.216507999999997,15.316507999999999,19.696507999999998,18.076508,20.896507999999997
43,15,1,30.808661999999998,20.888662,23.768662,20.001732,24.808661999999998,20.428662,26.708662,16.968662,20.328661999999998,26.268662,27.168662,28.068662,29.848662,21.528662,43.808662,21.008662,21.228662,19.288662,20.688662,23.108662,15.929666000000001,28.528662,24.988661999999998,21.748662,29.829331,22.448662,22.968662,22.328661999999998,23.328661999999998,22.188662,18.708662,20.128662,34.008662,32.328662,18.436221,22.448662,27.468662,22.708662,15.688661999999999,20.088662,18.488661999999998,21.288662
44,15,2,31.510476,21.330476,24.370476,20.450476000000002,25.490476,20.910476,27.370476,17.430476000000002,20.750476000000003,26.990476,27.870476,28.750476000000003,30.610476000000002,22.110476000000002,44.690476000000004,21.490476,21.750476000000003,19.730476,21.230476,23.650476,16.290476,29.110476000000002,25.590476000000002,22.230476,30.570476,22.930476000000002,23.610476000000002,22.910476,23.810476,22.670476,19.150476,20.570476,34.690476000000004,33.110476,18.890476,23.030476,28.250476000000003,23.350476,16.050476,20.590476000000002,18.950476000000002,21.810476
45,16,0,32.24068,21.86068,24.98068,20.946893,26.220679999999998,21.420679999999997,28.12068,18.00068,21.30068,27.80068,28.62068,29.50068,31.44068,22.86068,45.48068,21.945339999999998,22.34068,20.186892999999998,21.84068,24.34068,16.75534,29.94068,26.34068,22.760679999999997,31.44068,23.38534,24.30068,23.420679999999997,24.400679999999998,23.260679999999997,19.560679999999998,21.00068,35.60068,33.98068,19.400679999999998,23.720679999999998,28.96068,23.96068,16.50068,21.125339999999998,19.420679999999997,22.380679999999998
46,16,1,33.104490000000006,22.48449,25.624489999999998,21.557245,27.044490000000003,22.04449,29.28449,18.36449,21.92449,28.564490000000003,29.62449,30.30449,32.70449,23.56449,46.80449,22.58449,22.90449,20.76449,22.70449,25.04449,17.14449,31.024490000000004,27.024490000000004,23.82449,33.02449,23.90449,25.18449,24.18449,25.22449,24.00449,20.08449,21.50449,36.684490000000004,35.004490000000004,19.98449,24.74449,29.604490000000002,24.964489999999998,17.124489999999998,21.804489999999998,20.157245,23.20449
47,16,2,33.751837,22.911837,26.391837,22.011837,27.451837,22.591836999999998,29.891837,18.548683999999998,22.351837,28.871837,30.451837,30.960459000000004,33.611837,24.087456,48.051837,22.863563,23.671837,21.091836999999998,23.631837,25.511837,17.83008,31.831837,27.691837,24.291837,34.053672999999996,24.268341,25.891837,24.691837,25.991837,24.771836999999998,20.331837,21.900048,37.731837,35.931837,20.751837,25.511837,30.371837,25.691837,17.771836999999998,22.231837,20.308807,23.640459
48,17,0,34.691633,23.491633,26.891633000000002,22.531633,28.391633000000002,23.111632999999998,30.831633,19.411633,22.931632999999998,29.751633,31.311633,31.471633,34.671633,25.051633,49.031633,23.371633,24.051633,21.771632999999998,24.271632999999998,26.471633,17.951632999999998,32.831633000000004,28.151633,25.211633,35.071633,24.811633,26.891633000000002,25.591632999999998,26.951633,25.651633,20.951632999999998,22.591632999999998,38.931633000000005,36.911633,21.271632999999998,26.451633,31.131633,26.631633,18.171633,23.171633,21.251632999999998,24.573265
49,17,1,35.467256,23.939543,27.507255999999998,23.024657,28.987256,23.567256,31.467256,19.967256,23.381451000000002,30.487256,31.927256,32.067256,35.287256,25.787256,49.847256,23.847255999999998,24.547256,22.155752,24.846751,27.087256,18.398628,33.527256,28.787256,25.842419,35.727256,25.447256,27.567256,26.049543,27.627256,26.207256,21.341451,23.058628,39.607256,37.527256,21.899314,27.027256,31.758628,27.247256,18.602419,23.878628,21.704314,25.247256
50,17,2,35.961315,24.325657999999997,28.061315000000004,23.421315,29.521315,23.975658,32.141315000000006,20.461315,23.761315,31.041315,32.421315,32.701315,35.881315,26.181314999999998,50.741315,24.281315,25.041315,22.601315,25.321315,27.625658,18.725658,34.041315000000004,29.281315000000003,26.213772,36.381315,25.975658,28.041315,26.621315000000003,28.121315000000003,26.701315,21.781315,23.521314999999998,40.201315,38.121315,22.361315,27.541315,32.281315,28.061315000000004,18.980438,24.361315,22.085658,25.741315
51,18,0,36.505714000000005,24.645714,28.525714,23.665714,30.005714,24.365714,32.525714,20.785714000000002,24.085714000000003,31.465714000000002,32.865714000000004,33.325714000000005,36.465714,26.465714000000002,51.445714,24.697857,25.505714,23.025714,25.785714000000002,28.045714,19.027857,34.445714,29.785714000000002,26.585714000000003,36.925714,26.445714000000002,28.465714000000002,26.965714000000002,28.605714000000003,27.105714000000003,22.165714,23.925714000000003,40.745714,38.685714000000004,22.785714000000002,27.967857000000002,32.805714,28.585714000000003,19.365714,24.765714000000003,22.447857,26.165714
52,18,1,37.050748,25.040374,28.970747999999997,24.050748000000002,30.550748,24.790748,32.990747999999996,21.150748,24.480373999999998,32.170747999999996,33.310748,33.930748,37.030747999999996,26.810747999999997,52.210747999999995,25.090748,25.950748,23.410748,26.220374,28.450747999999997,19.390748000000002,34.990747999999996,30.330748,26.970747999999997,37.510748,26.970747999999997,28.890748,27.410747999999998,29.070748,27.590747999999998,22.580374,24.390748000000002,41.290748,39.250748,23.150748,28.370748,33.310748,29.150747999999997,19.750748,25.143583,22.870373999999998,26.770747999999998
