,measure_number,beat_number,pid1263b-09,pid5667203-05,pid5667249-18,pid58917-03,pid59340-11,pid6100022-03,pid6100022-06,pid610003b-13,pid9048b-13,pid9049b-09,pid9050b-09,pid9054b-09,pid9055b-09,pid9056-14,pid9058b-09,pid9059b-13,pid9060b-07,pid9061b-06,pid9062b-12,pid9063b-13,pid9065-25,pid9066b-09,pid9068-18,pid9069-09,pid9070b-21,pid9072b-13,pid9073b-13,pid9074g-09,pid9075b-09,pid9079-08,pid9089-04,pid9093b-15,pid9094b-09,pid9097-21,pid9099b-13,pid9101c-03,pid9104b-09,pid9111b-11,pid9116-14,pid9118b-13,pid9133-09,pid9137-19,pid9138b-09,pid9139b-09,pid9149-14,pid9153b-09,pid9157-12,pid9158-15,pid9166l-03,pid9174b-09,pid917506-07,pid9179-11,pid918807-14,pid918821-11,pid918824-07,pid9192b-09
10,5,0,4.552245,3.812245,5.052245,4.652245,3.9367349999999997,4.472245,3.752245,7.572245,5.152245,5.032245,5.172244999999999,5.032245,4.8322449999999995,3.6522449999999997,3.5122449999999996,4.092245,4.4122449999999995,5.3722449999999995,4.552245,6.012245,5.492245,6.361837,5.312245,6.652245,4.032245,3.8907480000000003,5.312245,5.158980000000001,3.9367349999999997,4.532245,6.032245,4.392245,4.672244999999999,4.8322449999999995,3.9722449999999996,4.112245,5.3322449999999995,3.9522449999999996,4.312245,6.19449,4.632244999999999,4.392245,4.192245,4.392245,4.092245,4.232245,4.232245,3.752245,4.212244999999999,4.172244999999999,4.212244999999999,4.072245,4.772245,4.072245,4.552245,4.3722449999999995
11,5,1,4.861633,4.081633,5.321633,4.921633,4.241633,4.701633,4.001633,7.841633,5.401633,5.301633,5.441633,5.301633,5.1016330000000005,3.9216330000000004,3.7616330000000002,4.381633,4.681633000000001,5.641633000000001,4.821633,6.281633,5.761633,7.481633,5.621633,6.921633,4.281633,4.081633,5.621633,5.481633,4.261633,4.821633,6.301633,4.641633000000001,4.941633,5.041633,4.241633,4.381633,5.761633,4.221633,4.481633,6.5216330000000005,4.881633,4.641633000000001,4.481633,4.641633000000001,4.361633,4.501633,4.501633,3.981633,4.481633,4.441633,4.401633,4.341633,5.0216330000000005,4.341633,4.821633,4.641633000000001
12,5,2,5.196326999999999,4.376327,5.656327,5.256327,4.656327,5.023162999999999,4.336327,8.356327,5.736326999999999,5.716327,5.9363269999999995,5.676327,5.4363269999999995,4.236326999999999,4.058776,4.816326999999999,5.056327,5.996327,5.176327,6.6363270000000005,6.096327,7.976327,6.0163269999999995,7.436327,4.6031629999999994,4.323163,6.076327,5.876327,4.616327,5.156327,6.716327000000001,4.996327,5.316326999999999,5.696326999999999,4.676327,4.756327,6.176327,4.616327,4.736326999999999,6.996327000000001,5.216327,4.9763269999999995,4.816326999999999,4.9763269999999995,4.716327,4.876327,4.916327,4.316326999999999,4.816326999999999,4.796327,4.696582,4.856326999999999,5.356326999999999,4.6587760000000005,5.156327,5.076327
13,6,0,5.514694,4.6346940000000005,5.984082,5.534694,4.994694,5.334694,4.598231,8.734694000000001,6.0546940000000005,6.034694,6.314694,5.994694,5.754694000000001,4.534694,4.334694,5.1346940000000005,5.374694,6.314694,5.494694,6.954694,6.414694,8.654694000000001,6.354694,7.8791839999999995,4.834694,4.6346940000000005,6.404082,6.194694,4.934694,5.474694,7.104082000000001,5.314694,5.654694,6.014694,4.994694,5.074694,6.5546940000000005,5.0546940000000005,5.014694,7.314694,5.494694,5.2993879999999995,5.114694,5.294694,5.034694,5.194694,5.234694,4.614694,5.1346940000000005,5.114694,4.974694,5.234694,5.694694,4.914694,5.471565,5.414694
14,6,1,5.852245,4.8722449999999995,6.292244999999999,5.812245,5.272245,5.551122,4.852245,9.012245,6.3322449999999995,6.392245,6.612245,6.272245,6.032245,4.772245,4.612245,5.492245,5.692245,6.5944899999999995,5.772245,7.232245,6.692245,8.972245,6.632244999999999,8.492245,5.072245,4.812245,6.75449,6.532245,5.232245,5.792244999999999,7.4122449999999995,5.532245,5.932245,6.432245,5.312245,5.352245,6.8322449999999995,5.336735,5.192245,7.592245,5.712244999999999,5.592245,5.3722449999999995,5.552245,5.312245,5.472245,5.512245,4.852245,5.4122449999999995,5.352245,5.212244999999999,5.532245,5.992245,5.172244999999999,5.7144900000000005,5.692245
15,6,2,6.286939,5.206939,6.746939,6.166939,5.686939,5.866939,5.206939,9.546939,6.646939,6.746939,7.086939,6.686939,6.386939,5.106939,4.886939,5.926939,6.106939,6.966939,6.226939,7.646939,7.066939,9.326939,6.986939,9.146939,5.426939,5.086939,7.246939,7.046939,5.626939,6.226939,7.826939,5.886939,6.238469,6.9469389999999995,5.726939,5.786939,7.186939,5.826939,5.466939,7.926939,6.106939,5.9469389999999995,5.726939,5.886939,5.666939,5.866939,5.926939,5.166939,5.746939,5.746939,5.506939,6.046939,6.386939,5.486939,6.106939,6.126939
16,7,0,6.580816,5.440816000000001,7.080816,6.460816,6.040816,6.1608160000000005,5.480816,9.880816000000001,6.960816,7.100816,7.420816,6.980816,6.680816,5.400816000000001,5.1608160000000005,6.300816,6.400816000000001,7.260816,6.520816,7.940816000000001,7.360816000000001,9.620816,7.320816000000001,9.480816,5.666939,5.380816,7.580816,7.360816000000001,5.920816,6.500816,8.120816,6.173605,6.520816,7.320816000000001,6.080816,6.100816,7.580816,6.180816,5.680816,8.220816000000001,6.340816,6.240816000000001,6.000816,6.220816,5.960816,6.1608160000000005,6.220816,5.420816,6.040816,6.040816,5.793605,6.360816000000001,6.680816,5.760816,6.400816000000001,6.420816
17,7,1,6.874694,5.694694,7.434694,6.754694000000001,6.354694,6.454694,5.734694,10.348775999999999,7.2423470000000005,7.394694,7.774694,7.274694,6.974694,5.654694,5.414694,6.614694,6.694694,7.5546940000000005,6.854694,8.234694000000001,7.6346940000000005,9.914694,7.6346940000000005,9.814694,5.954694,5.528299,7.934694,7.654694,6.234694,6.794694,8.414694,6.434694,6.814694,7.614694,6.374694,6.414694,7.894694,6.474694,5.974694,8.482347,6.6346940000000005,6.514694,6.274694,6.514694,6.254694000000001,6.414694,6.514694,5.714694000000001,6.334694,6.339388,6.014694,6.719388,6.954694,6.034694,6.6346940000000005,6.754694000000001
18,7,2,7.285714,6.005714,7.945714,7.105714,6.925714,6.7057139999999995,6.065714,10.805714,7.585714,7.825714,8.245714,7.665714,7.325714,6.005714,5.765714,7.045714,7.085714,7.905714,7.285714,8.585714,8.045714,10.265714,7.977857000000001,10.545714,6.305714,5.865714,8.405714,8.165714,6.625714,7.225714,8.905714,6.765714,7.165714,8.085714,6.805714,6.865714,8.225714,6.845714,6.2057139999999995,8.825714,6.985714,6.845714,6.585714,6.905714,6.605714,6.785714,7.025714,5.945714,6.685714,6.725714,6.292619,7.285714,7.305714,6.385714,6.985714,7.185714
19,8,0,7.6065309999999995,6.229711,8.289422,7.429422,7.326531,7.008265,6.328265,11.168844,7.826531,8.226531,8.626531,8.086530999999999,7.726531,6.3482650000000005,6.046531,7.406531,7.3296850000000004,8.248265,7.666531,8.906531,8.486531,11.146531,8.366531,10.986531,6.548844,6.1241330000000005,8.786531,8.566531,7.0665309999999995,7.666531,9.246531,7.068264999999999,7.526530999999999,8.466531,7.206531,7.306531,8.646531,7.286531,6.486530999999999,9.266531,7.289566000000001,7.126531,6.8254660000000005,7.286531,6.837306,7.206531,7.406531,6.226531,7.126531,7.166531,6.449685,7.648264999999999,7.706531,6.628265,7.426531,7.546531
20,8,1,8.014694,6.522347,8.674694,7.754694000000001,7.734694,7.294694,6.558231,11.594694,8.114694,8.594694,9.034694,8.374694,8.134694,6.692347,6.354694,7.814694,7.684898,8.594694,8.054694,9.274694,8.874694,11.634694,8.672347,11.574694000000001,6.814694,6.392347,9.182347,8.874694,7.434694,8.094694,9.654694000000001,7.374694,7.894694,8.814694,7.674694000000001,7.834694,9.014694,7.714694000000001,6.812347,9.714694,7.734694,7.4115649999999995,7.112347,7.654694,7.114694,7.5946940000000005,7.714694000000001,6.5546940000000005,7.534694,7.574694,6.854694,8.034694,8.074694000000001,6.974694,7.774694,7.954694
21,8,2,8.422041,6.842041,9.042041000000001,8.162041,8.122041000000001,7.582041,6.922041,12.042041000000001,8.402041,9.042041000000001,9.402041,8.742041,8.562041,7.0140139999999995,6.722041,8.262041,8.042041000000001,8.962041000000001,8.462041000000001,9.642041,9.262041,12.002041,9.022041,12.302041000000001,7.122041,6.682041000000001,9.542041000000001,9.262041,7.842041,8.462041000000001,10.022041,7.762041,8.302041000000001,9.202041,8.042041000000001,8.322041,9.382041000000001,8.202041,7.162041,10.262041,8.102041,7.722041,7.4020410000000005,8.002041,7.482041000000001,8.002041,8.082041,6.8220410000000005,7.9020410000000005,7.942041000000001,7.1330100000000005,8.522041,8.462041000000001,7.302041,8.142041,8.322041
22,9,0,9.002449,7.302449,9.542449000000001,8.642449000000001,8.622449000000001,8.142449000000001,7.280816000000001,12.682449,8.902449,9.602449,9.922449,9.242449,9.162449,7.402449000000001,7.342449,8.742449,8.462449000000001,9.502449,9.142449000000001,10.062449,9.742449,12.502449,9.462449000000001,13.082449,7.582449,7.1224490000000005,10.082449,9.642449000000001,8.282449,9.062449,10.522449,8.266224000000001,8.922449,9.742449,8.562449,8.862449,9.962449000000001,8.882449000000001,7.762449,11.202449,8.622449000000001,8.256224000000001,7.886224,8.402449,7.842449,8.622449000000001,8.702449,7.396224,8.522449,8.422449,7.6224490000000005,9.202449,9.082449,7.882449,8.682449,8.922449
23,9,1,9.28,7.7,10.06,9.06,9.22,8.385,7.54,13.26,9.18,10.12,10.38,9.52,9.56,7.68,7.611667,9.26,8.875,10.02,9.42,10.52,10.26,13.06,9.88,13.86,7.86,7.42,10.54,10.12,8.84,9.4,10.8,8.54,9.16,10.18,9.1,9.46,10.68,9.24,8.04,11.98,9.04,8.42,8.16,8.84,8.12,8.92,9.04,7.66,8.8,8.92,7.9,9.74,9.46,8.16,9.16,9.2
24,9,2,9.589796,8.129796,10.529796000000001,9.509796000000001,9.689796000000001,8.588557000000002,7.921958999999999,13.749796,9.489796,10.709796,10.909796,9.889796,9.909796,8.109796000000001,7.8897960000000005,9.789796,9.209796,10.429796000000001,9.889796,10.949796000000001,10.689796000000001,13.649592000000002,10.309796,14.689796,8.349796000000001,7.909796000000001,11.069796,10.609796000000001,9.389796,9.869796000000001,11.409796,8.949796000000001,9.649796,10.649796,9.589796,9.989796,11.369591999999999,9.769796000000001,8.409796,12.689796000000001,9.429796000000001,8.809796,8.416599,9.249796,8.609796000000001,9.369796000000001,9.509796000000001,8.149796,9.289796,9.349796000000001,8.199898,10.229796,9.869796000000001,8.469796,9.609796000000001,9.629796
25,10,0,9.977959,8.417959,10.877958999999999,9.817959,10.037958999999999,8.957958999999999,8.217959,14.157959,9.837959,11.117958999999999,11.357959,10.237959,10.277959,8.437959,8.157959,10.197958999999999,9.557959,10.817959,10.297959,11.377958999999999,11.057959,14.357959,10.757959,15.137959,8.757959,8.18398,11.497959,10.957958999999999,9.797959,10.257959,11.857959,9.257959,10.077959,11.057959,9.937959,10.357959,11.877958999999999,10.237959,8.757959,13.237959,9.857959,9.157959,8.737959,9.537958999999999,8.877958999999999,9.777959,9.997959,8.517959,9.697958999999999,9.697958999999999,8.477959,10.637959,10.157959,8.797959,9.937959,9.997959
26,10,1,10.296327,8.816327000000001,11.196327,10.156327000000001,10.396327000000001,9.258776,8.536327,14.696326999999998,10.156327000000001,11.496327,11.916327,10.556327,10.596327,8.756327,8.476327000000001,10.616327,9.976327000000001,11.276327,10.792109,11.756327,11.436327,14.996326999999999,11.196327,15.936326999999999,9.256327,8.496327,12.076327000000001,11.336327,10.216327,10.571054,12.356327,9.556327,10.496327,11.556327,10.256327,10.676327,12.536327,10.556327,9.045442,13.736327,10.296327,9.476327000000001,9.073163000000001,9.873163,9.196327,10.096327,10.396327000000001,8.856327,10.016327,10.096327,8.876327,11.176327,10.476327000000001,9.116327,10.416327,10.376327
27,10,2,10.632653,9.061327,11.532653,10.492653,10.812653,9.532653,8.812653,15.057551,10.532653,11.812653,12.332653,10.890884,10.912653,9.051327,8.743775999999999,10.972653,10.271327000000001,11.612653,11.152652999999999,12.092653,11.732652999999999,15.632653,11.572653,16.412653,9.592653,8.792653,12.492653,11.652652999999999,10.612653,10.872653,12.752653,9.832653,10.841327,11.972653,10.632653,11.052653,12.952653,10.892653,9.332653,14.152652999999999,10.641808000000001,9.752653,9.312653,10.172653,9.530884,10.452653,10.701327000000001,9.212653,10.432653,10.391327,9.121327,11.532653,10.790884,9.391327,10.792653,10.652652999999999
28,11,0,10.97102,9.247628,11.75102,10.81102,11.071019999999999,9.79102,9.03102,15.351020000000002,10.85102,12.09102,12.59102,11.11102,11.19102,9.33102,8.97102,11.25102,10.571019999999999,11.93102,11.452041,12.34051,12.01102,15.977143,11.89102,16.851020000000002,9.81102,9.01102,12.73102,11.97102,10.87102,11.151019999999999,13.071019999999999,10.09102,11.13102,12.29102,10.911019999999999,11.29102,13.351020000000002,11.21102,9.563673,14.471020000000001,10.85102,10.05102,9.61102,10.411019999999999,9.79102,10.73102,10.991019999999999,9.491019999999999,10.75102,10.69102,9.363673,11.83102,11.01102,9.63102,11.03102,10.911019999999999
29,11,1,11.240408,9.480408,11.980408,11.020408,11.380408000000001,10.060408,9.300408000000001,15.620408,11.120408,12.360408,12.940408,11.380408000000001,11.460408000000001,9.540408,9.240408,11.520408,10.840408,12.240408,11.740408,12.620408,12.240408,16.640407999999997,12.260408,17.280407999999998,10.040408,9.280408,13.100408,12.340408,11.160408,11.460408000000001,13.420407999999998,10.320408,11.460408000000001,12.540408,11.200408,11.560408,13.700408,11.480408,9.820408,14.780408,11.120408,10.320408,9.820408,10.680408,10.060408,11.000408,11.260408,9.680408,11.020408,10.940408,9.600408,12.100408,11.280408,9.900408,11.300408000000001,11.240408
30,11,2,11.595918,9.835918,12.355917999999999,11.395918,11.815918,10.435918,9.635917999999998,16.035918,11.575918,12.775917999999999,13.475918,11.755918,11.875917999999999,9.915918,9.575918,11.975918,11.255918,12.615917999999999,12.195917999999999,12.995918,12.655918,17.015918,12.735918,17.775918,10.395918,9.535917999999999,13.635917999999998,12.855917999999999,11.635917999999998,11.955917999999999,13.795917999999999,10.675918,11.895918,13.061836999999999,11.595918,11.995918,14.195917999999999,11.915918,10.135917999999998,15.415918,11.515918,10.675918,10.215917999999999,11.075918,10.395918,11.395918,11.635917999999998,9.975918,11.395918,11.315918,9.995918,12.515918,11.655918,10.235918,11.735918,11.655918
31,12,0,11.897959,10.09199,12.692653,11.697958999999999,12.197958999999999,10.737959,9.917959,16.337958999999998,11.897959,13.097959,13.817959,12.057959,12.197958999999999,10.217959,9.877958999999999,12.377958999999999,11.597959,12.917959,12.517959,13.297959,12.977959,17.377959,13.097959,18.257959,10.633980000000001,9.797959,13.957958999999999,13.237959,11.997959,12.277959,14.197958999999999,10.977959,12.197958999999999,13.417959,11.957958999999999,12.297959,14.557959,12.277959,10.379592,15.917959,11.797959,10.977959,10.497959,11.337959,10.697958999999999,11.697958999999999,11.937959,10.257959,11.697958999999999,11.637959,10.29398,12.817959,11.957958999999999,10.517959,12.00199,11.977959
32,12,1,12.155510000000001,10.29551,12.93551,11.89551,12.47551,11.01551,10.175510000000001,16.61551,12.155510000000001,13.37551,14.13551,12.31551,12.47551,10.47551,10.155510000000001,12.69551,11.87551,13.21551,12.81551,13.55551,13.272041,17.83551,13.415510000000001,18.63551,10.81551,10.03551,14.34102,13.63551,12.29551,12.61551,14.53551,11.21551,12.47551,13.69551,12.235510000000001,12.59551,14.87551,12.55551,10.61551,16.23551,12.03551,11.235510000000001,10.755510000000001,11.61551,10.972755000000001,11.95551,12.21551,10.53551,11.97551,11.946531,10.51551,13.09551,12.235510000000001,10.755510000000001,12.255510000000001,12.27551
33,12,2,12.522857,10.602857,13.302857000000001,12.262857,12.842857,11.342857,10.482857000000001,17.042857,12.482857000000001,13.742857,14.622857000000002,12.682857,12.802857000000001,10.782857,10.462857000000001,13.062857000000001,12.242857,13.562857000000001,13.142857000000001,13.882857000000001,13.682857,18.248571,13.782857,19.202857,11.142857000000001,10.266428999999999,14.822857,14.002857,12.662857,13.002857,14.922857,11.562857000000001,12.842857,14.142857000000001,12.662857,12.962857000000001,15.282857,12.902857000000001,10.866429,16.682857000000002,12.402857000000001,11.542857000000001,11.042857000000001,11.982857000000001,11.322857,12.322857,12.502857,10.78898,12.342857,12.342857,10.822857,13.522857,12.602857,11.042857000000001,12.662857,12.642857000000001
34,13,0,12.841224,10.901224000000001,13.661223999999999,12.541224,13.161223999999999,11.661224,10.801224000000001,17.361224,12.801224000000001,14.021223999999998,14.961224,12.981224000000001,13.141224,11.101224,10.781224,13.381224,12.561224000000001,13.881224,13.461224,14.201224,14.001223999999999,18.581224,14.101223999999998,19.61102,11.361224,10.561224000000001,15.141224,14.321223999999999,12.981224000000001,13.321223999999999,15.241223999999999,11.801224000000001,13.161223999999999,14.461224,12.981224000000001,13.281224,15.641224,13.221224,11.161224,17.023673000000002,12.681224,11.861224,11.321224,12.301224000000001,11.641224000000001,12.641224000000001,12.821224,11.101224,12.661224,12.661224,11.125612,13.841223999999999,12.921224,11.341224,12.981224000000001,12.941224
35,13,1,13.218776,11.178776,13.938776,12.818776,13.498776000000001,11.918776,11.024388,17.738776,13.078776,14.298776,15.358776,13.238776000000001,13.418776000000001,11.458776,11.058776,13.758776000000001,12.858775999999999,14.218776,13.758776000000001,14.498776000000001,14.298776,19.187551000000003,14.438776,20.198776000000002,11.618775999999999,10.784388,15.458776,14.698776,13.298776,13.638776000000002,15.558776000000002,12.058776,13.458776,14.758776000000001,13.358776,13.578776000000001,15.978776000000002,13.498776000000001,11.458776,17.418776,12.938775999999999,12.138776,11.579592,12.618775999999999,11.918776,12.898776,13.118776,11.318776,12.938775999999999,12.958776,11.378776,14.218776,13.238776000000001,11.658776,13.278776,13.278776
36,13,2,13.614898,11.542449000000001,14.302449,13.202449,13.902448999999999,12.322449,11.402449,18.262449,13.422448999999999,14.682448999999998,15.762448999999998,13.662448999999999,13.862449,11.942449,11.582449,14.222449,13.262448999999998,14.582448999999999,14.262448999999998,14.862449,14.782449,19.802449,14.842448999999998,20.662449,11.922449,11.102449,15.922448999999999,15.142449,13.722449,14.142449,16.142449,12.442449,13.942449,15.222449,13.822448999999999,13.982448999999999,16.362448999999998,13.962449,11.842449,17.842449,13.322448999999999,12.602449,11.942449,13.074898,12.402449,13.322448999999999,13.562448999999999,11.702449,13.322448999999999,13.442449,11.742449,14.742448999999999,13.662448999999999,12.142449000000001,13.742448999999999,13.722449
37,14,0,13.957142999999999,11.777142999999999,14.637143,13.537142999999999,14.237143,12.617142999999999,11.657143,18.704286,13.797143,15.037142999999999,16.097143,14.037142999999999,14.277142999999999,12.337143,11.977143,14.637143,13.597142999999999,14.897143,14.657143,15.157143,15.257143,20.097143,15.197142999999999,21.297143,12.197142999999999,11.397143,16.257143,15.477143,14.037142999999999,14.477143,16.477142999999998,12.777142999999999,14.397143,15.557143,14.197142999999999,14.317143,16.697143,14.337143,12.157143,18.157142999999998,13.577143,12.937142999999999,12.217143,13.497143,12.717143,13.657143,13.897143,12.037142999999999,13.657143,13.897143,12.057143,15.171429000000002,14.077143,12.577143,14.037142999999999,14.097142999999999
38,14,1,14.394694,12.054694,15.094694,13.954694,14.856939,12.954694,11.934694,19.119388,14.094694,15.494694,16.614694,14.374694,14.754694,12.754694,12.274694,15.028776,13.894694,15.179388000000001,15.074694000000001,15.494694,15.754694,20.654694,15.594694,21.854694,12.474694,11.674694,16.754694,15.839388,14.388776000000002,14.844082,16.874694,13.054694,14.859388000000001,16.044082,14.694694,14.734694000000001,17.054694,14.794694,12.434694,18.494694,13.874694,13.254694,12.494694,13.834694,13.118163000000001,13.954694,14.214694,12.394694,13.934694,14.414694,12.379388,15.574694000000001,14.614694,12.894694,14.414694,14.574694000000001
