,measure_number,beat_number,pid1263b-10,pid52932-22,pid58917-04,pid610003b-14,pid9048b-14,pid9049b-10,pid9049b-25,pid9050b-10,pid9054b-10,pid9055b-10,pid9056-16,pid9057j-06,pid9058b-10,pid9059b-14,pid9060b-08,pid9061b-07,pid9062b-13,pid9063b-14,pid9066b-10,pid9069-10,pid9070b-22,pid9072b-14,pid9073b-14,pid9074g-10,pid9075b-10,pid9088-20,pid9089-05,pid9093b-16,pid9094b-10,pid9099b-14,pid9101c-04,pid9104b-10,pid9111b-12,pid9114-32,pid9118b-14,pid9138b-10,pid9139b-10,pid9153b-10,pid9166l-08,pid9170b-10,pid9174b-10,pid9192b-10
10,4,1,4.9506120000000005,4.110612000000001,4.930612,5.850612,5.330612,4.790612,5.590612,4.010612,4.290612,4.9506120000000005,3.490612,3.570612,3.570612,4.4506120000000005,4.250612,4.970612,5.593061,6.190612000000001,6.570612,5.650612000000001,5.811837000000001,3.7906120000000003,4.270612,5.350612,4.090612,3.9106120000000004,5.770612,4.636735,4.850612,4.5306120000000005,4.650612000000001,4.5912239999999995,4.150612000000001,3.740306,6.4506120000000005,3.8506120000000004,4.370612,4.110612000000001,4.790612,4.9506120000000005,4.270612,4.650612000000001
11,4,2,5.285305999999999,4.425306,5.265306,6.2006120000000005,5.645306,5.085306,5.9053059999999995,4.360612000000001,4.665306,5.440612000000001,3.825306,3.905306,3.865306,4.9053059999999995,4.645306,5.305306,6.045306,6.525306,6.885306,6.045306,6.265306,4.125306,4.605306,5.685306,4.4053059999999995,4.245305999999999,6.105306,4.8653059999999995,5.205306,4.9453059999999995,5.045306,4.9453059999999995,4.525306,3.9653059999999996,6.925306,4.165306,4.805306,4.4453059999999995,5.125306,5.4053059999999995,4.625306,5.045306
12,5,0,5.7681629999999995,4.7681629999999995,5.608162999999999,6.628163000000001,5.988163,5.408163,6.2681629999999995,4.8081629999999995,5.068162999999999,5.988163,4.168163,4.366327,4.208163,5.348163,5.046327,5.7681629999999995,6.448163,6.908163,7.208163000000001,6.648163,6.748163000000001,4.468163,5.028163,6.068162999999999,4.828163,4.688162999999999,6.488163,5.188162999999999,5.528163,5.448163,5.468163,5.288163,4.888163,4.248163,7.528163,4.528163,5.188162999999999,4.8081629999999995,5.488163,5.908163,4.968163,5.428163
13,5,1,6.225306,5.145306,6.065306,7.005306,6.4453059999999995,5.749061,6.613827000000001,5.185306,5.525306,6.425306,4.565306,4.825305999999999,4.665306,5.920612,5.425306,6.205306,6.925306,7.3653059999999995,7.680611999999999,7.105306,7.465306,4.885306,5.443827,6.525306,5.225306,5.085306,7.145306,5.745305999999999,5.965306,5.985306,5.985306,5.851224,5.345306,4.605306,8.085306,4.9453059999999995,5.645306,5.223827,5.825305999999999,6.425306,5.425306,5.8653059999999995
14,5,2,6.56,5.48,6.4,7.34,6.74,6.075,6.9,5.505,5.8225,6.8,4.866667,5.16,4.96,6.32,5.76,6.5,7.3,7.7,8.2,7.8,8.07,5.22,5.76,6.9,5.54,5.42,7.465,6.08,6.2466669999999995,6.32,6.4,6.26,5.68,4.914286,8.46,5.24,6.06,5.52,6.16,6.96,5.86,6.2
15,6,0,6.8620410000000005,5.772007,6.702041,7.562041000000001,7.007347,6.3620410000000005,7.162041,5.70068,6.022041000000001,7.087347,5.036408,5.38068,5.1815050000000005,6.596019999999999,6.062041000000001,6.802041,7.622041,8.002041,8.482041,8.102041,8.362041,5.482041000000001,6.002041,7.202041,5.842041,5.722041,7.682041000000001,6.342041,6.542041,6.622041,6.6780100000000004,6.562041000000001,5.982041000000001,5.04534,8.822041,5.542041,6.3620410000000005,5.802041,6.462041,7.3220410000000005,6.162041,6.502041
16,6,1,7.315510000000001,6.032755,7.175510000000001,7.91551,7.45551,6.7355100000000006,7.53551,6.09551,6.455509999999999,7.49551,5.372755000000001,5.73551,5.55551,7.055510000000001,6.4955099999999995,7.1555100000000005,8.08102,8.401019999999999,8.89551,8.59551,8.835510000000001,5.79551,6.33551,7.57551,6.226531,6.082755000000001,8.155510000000001,6.715510000000001,7.015510000000001,7.095510000000001,7.055510000000001,7.015510000000001,6.50102,5.455509999999999,9.27551,5.87551,6.79551,6.13551,6.935510000000001,7.775510000000001,6.51551,6.95551
17,6,2,7.679183999999999,6.399184,7.559183999999999,8.299184,7.779184,7.119184,7.919184,6.459184,6.8391839999999995,7.899184,5.739184,6.119184,5.899184,7.499184,6.8791839999999995,7.619184,8.619183999999999,8.819184,9.279183999999999,9.199183999999999,9.219184,6.179183999999999,6.719183999999999,7.959184,6.639183999999999,6.459184,8.539183999999999,7.159184,7.399184,7.499184,7.459184,7.399184,7.199184,5.664592,9.739184,6.239184,7.199184,6.479184,7.279184,8.219184,6.899184,7.419184
18,7,0,8.166530999999999,6.766531,7.926531,8.686531,8.106531,7.446530999999999,8.226531,6.826531,7.206531,8.406531,6.086531,6.546531,6.258265,7.886531,7.306531,8.026531,9.046531,9.186531,9.686531,9.786531,9.726531,6.526530999999999,7.1065309999999995,8.366531,7.006531,6.846531,8.906531,7.5665309999999995,7.766531,7.966531,7.926531,7.806531,7.666531,5.7086190000000006,10.306531,6.508265,7.6065309999999995,6.906531,7.618264999999999,8.586530999999999,7.266531,7.846531
19,7,1,8.523672999999999,7.103673,8.383673,9.103672999999999,8.476837,7.823672999999999,8.643673,7.266837,7.4868369999999995,8.843672999999999,6.403673,7.003672999999999,6.583672999999999,8.383673,7.703672999999999,8.443673,9.423672999999999,9.566837,10.143673,10.483673,10.303673,6.8636729999999995,7.5268369999999996,8.803673,7.3636729999999995,7.303673,9.363673,8.023672999999999,8.195611999999999,8.403673,8.443673,8.303673,8.143673,5.966837,10.803673,6.963673,8.026836999999999,7.206836999999999,8.003673,8.983673,7.803673,8.227891
20,7,2,8.880327000000001,7.498605,8.881633,9.460148,8.815816,8.166454,8.835816000000001,7.600148,7.825272,9.275816,6.745272,7.461633,6.94309,8.873878,8.161453999999999,8.873515,9.820233,9.921633,10.545948,11.041633000000001,10.915816,7.201633,7.858776,9.181633,7.683089999999999,7.645816,9.721633,8.421939,8.601939,8.841633,8.821633,8.764327,8.575816,6.361633,11.381633,7.221633,8.455816,7.6043270000000005,8.458605,9.441633,8.261633,8.563953999999999
21,8,0,9.255918,7.7959179999999995,9.395918,9.775917999999999,9.235918,8.615917999999999,9.315918,7.935917999999999,8.195917999999999,9.895918,7.075918,8.035917999999999,7.315917999999999,9.355917999999999,8.595918,9.215917999999999,10.295917999999999,10.275917999999999,11.015918,11.855917999999999,11.295917999999999,7.555917999999999,8.235918,9.675918,8.115917999999999,8.155918,10.115917999999999,8.915918,9.175918,9.381836999999999,9.335918,9.235918,9.033673,6.8359179999999995,11.975918,7.775917999999999,8.875917999999999,7.955918,8.935918,9.955917999999999,8.795917999999999,8.935918
22,8,1,9.513469,8.073469000000001,9.673469,10.173469,9.513469,8.913469000000001,9.553469,8.333469000000001,8.553469,10.273469,7.3534690000000005,8.273469,7.613469,9.753469,8.861735000000001,9.573469000000001,10.633469,10.593469,11.293469,12.273469,11.513469,7.833469,8.573469000000001,10.073469000000001,8.413469000000001,8.413469000000001,10.413469000000001,9.213469,9.453469,9.693469,9.613469,9.533469,9.413469000000001,7.081735000000001,12.453469,8.041735000000001,9.173469,8.233469,9.213469,10.473469,9.073469000000001,9.273469
23,8,2,10.087551,8.389694,10.269388000000001,10.749388,9.879694,9.409388,9.949388,8.909388,9.009388000000001,10.709388,7.819694,8.749388,8.029388,10.349388000000001,9.349388000000001,10.029388,11.149388,11.039694,11.789388,12.869388,12.109388000000001,8.279694000000001,9.169388,10.669388,8.909388,8.849388000000001,10.829694,9.599694,9.849694,10.149388,10.029388,9.989388,9.909388,7.349694,13.049388,8.439694,9.609388000000001,8.589388,9.709388,11.129388,9.509388000000001,9.849388000000001
24,9,0,10.532313,8.752313000000001,10.712313,11.372313,10.232313000000001,9.852313,10.392313,9.532313,9.492313000000001,11.112313,8.232313000000001,9.132313,8.432313,10.952313,9.752313000000001,10.472313,11.672313,11.332313000000001,12.132313,13.472313,12.652313000000001,8.701156,9.772313,11.112313,9.392313,9.292313,11.272313,9.972313,10.292313,10.592313,10.472313,10.512313,10.352313,7.692313,13.772313,8.832313000000001,10.132313,9.032313,10.132313,11.712313,9.992313000000001,10.292313
25,9,1,11.077959,9.197958999999999,11.297959,11.85932,10.657959,10.332653,10.817959,10.01932,9.957958999999999,11.597959,8.577959,9.617958999999999,8.797959,11.497959,10.257959,10.977959,12.257959,11.837959,12.677959,14.137959,13.397959,9.117958999999999,10.257959,11.697958999999999,9.877958999999999,9.777959,11.737959,10.377958999999999,10.677959,11.117958999999999,11.017959,11.057959,10.737959,8.077959,14.357959,9.277959,10.745918,9.455592,10.599592,12.217959,10.557959,10.837959
26,9,2,11.319184,9.479184,11.559184,12.099184,10.919184,10.499184,11.019184,10.259184,10.204592,11.819184,8.859183999999999,9.719184,9.059184,11.779183999999999,10.519184,11.239184,12.539183999999999,12.099184,12.999184,14.659184,13.839184,9.379184,10.519184,12.119183999999999,10.139184,10.044592,11.999184,10.639184,10.939184,11.399184,11.299184,11.319184,10.979184,8.374592,14.659184,9.519184,11.059184,9.659184,10.819184,12.559184,10.899184,11.139184
27,10,0,11.708827000000001,9.865306,12.065306,12.505306,11.245306,10.905306,11.385306,10.705306,10.545306,12.285306,9.285306,10.105306,9.425305999999999,12.225306,10.965306,11.665306,13.045306,12.545306,13.485306,15.165306,14.245306,9.689061,10.925305999999999,12.625306,10.605306,10.505306,12.505306,11.009061,11.325306,11.765305999999999,11.705306,11.765305999999999,11.385306,8.569218,15.145306,9.885306,11.465306,9.985306,11.247653,12.985306,11.345305999999999,11.645306
28,10,1,11.974694,10.094694,12.334694,12.794694,11.514694,11.174694,11.634694,10.954694,10.814694,12.534694,9.474694,10.374694,9.694694,12.534694,11.234694000000001,11.994694,13.314694,12.814694,14.074694000000001,15.694694,14.574694000000001,9.954694,11.234694000000001,12.974694,10.934694,10.854694,12.754694,11.254694,11.614694,12.074694000000001,11.974694,12.134694,11.654694000000001,8.772347,15.414694,10.114694,11.774694,10.254694,11.514694,13.374694,11.634694,11.934694
29,10,2,12.425714,10.445714,12.685714,13.225714000000002,11.825714,11.565714,11.985714,11.385714,11.165714,12.865714,9.825714,10.765714,10.065714,12.945714,11.585714,12.345714,13.665714000000001,13.145714000000002,14.425714000000001,16.185714,14.945714,10.305714,11.645714,13.345714000000001,11.285714,11.305714,13.085714,11.545714,11.965714,12.505714,12.405714,12.505714,12.065714,9.045714,15.765714000000001,10.445714,12.145714,10.565714,11.865714,13.745714000000001,12.005714,12.381428999999999
30,11,0,13.048163,10.888163,13.208163,13.728163,12.248163,12.008163,12.428163,11.868163000000001,11.596053999999999,13.448163000000001,10.168163,11.208163,10.559082,13.468163,12.028163000000001,12.788163,14.128163,13.568163,14.936054,16.788163,15.568163,10.708163,12.128163,13.848163000000001,11.768163000000001,11.808163,13.628163,11.888163,12.228163,13.048163,12.988163,13.028163000000001,12.608163000000001,9.339082000000001,16.328163,10.868163000000001,12.588163,10.948163000000001,12.348163000000001,14.288163,12.508163,12.868163000000001
31,11,1,13.417060000000001,11.310131,13.671179,14.071179,12.515295,12.46059,12.871179,12.211179,11.90059,13.931179,10.47706,11.535295,10.86059,13.951179000000002,12.49059,13.191179,14.571179,14.014235999999999,15.371179000000001,17.511179000000002,16.251179,11.080589999999999,12.491178999999999,14.21059,12.231179,12.171178999999999,14.071179,12.231179,12.691179,13.471179000000001,13.511179,13.451179000000002,13.091178999999999,9.591513,16.831179000000002,11.331178999999999,13.031179,11.237060000000001,12.691179,14.991179,12.971179,13.291179000000001
32,11,2,13.809795999999999,11.569796,14.089796,14.389795999999999,12.869796000000001,12.733299,13.149898,12.569796,12.209796,14.309795999999999,10.744257000000001,11.849796000000001,11.229796,14.369796,12.829898,13.569795999999998,15.089796,14.249796,15.989795999999998,18.109796,16.789796,11.469796,12.829796,14.609796,12.609796000000001,12.589796,14.569795999999998,12.749796,13.029898,13.854973999999999,14.069795999999998,13.766632999999999,13.569795999999998,9.769796000000001,17.489796,11.689796000000001,13.389795999999999,11.509796000000001,13.063299,15.429796,13.369898000000001,13.709795999999999
33,12,0,14.092653,11.932653,14.432653,14.732652999999999,13.212653,12.932653,13.432653,12.892653,12.532653,14.772653,11.052653,12.192653,11.572653,14.712653,13.152652999999999,13.912653,15.532653,14.612653,16.472653,18.572653,17.112652999999998,11.792653,13.152652999999999,14.972653,12.912653,12.972653,14.915306,13.115306,13.372653,14.092653,14.452653,14.092653,14.072653,10.092653,17.972653,11.972653,13.712653,11.812653,13.372653,15.812653,13.712653,14.012653
34,12,1,14.41102,12.197007000000001,14.75102,15.111020000000002,13.531020000000002,13.25102,13.75102,13.271020000000002,12.85102,15.08051,11.37102,12.47102,11.89102,15.131020000000001,13.471020000000001,14.231020000000001,15.931020000000002,14.931020000000002,16.811020000000003,19.03102,17.491020000000002,12.09102,13.531020000000002,15.260254999999999,13.25102,13.291020000000001,15.25102,13.451020000000002,13.691020000000002,14.49102,14.791020000000001,14.41102,14.431020000000002,10.323503,18.29102,12.29102,14.07102,12.11102,13.691020000000002,16.19102,14.011020000000002,14.33102
35,12,2,14.808163,12.508163,15.208163,15.548163,13.849082000000001,13.648163,14.068163,13.688163000000001,13.248163,15.488163,11.708163,12.868163000000001,12.169082000000001,15.528163000000001,13.868163000000001,14.669082000000001,16.368163,15.269082000000001,17.268163,19.488163,17.928163,12.428163,13.968163,15.668163,13.568163,13.568163,15.669082000000001,13.848163000000001,14.008163,14.888163,15.208163,14.868163000000001,14.848163000000001,10.599082000000001,18.748163,12.628163,14.448163000000001,12.428163,14.068163,16.628163,14.348163000000001,14.828163
36,13,0,15.342857,12.862857,15.542857000000001,16.002857000000002,14.182857,14.002857,14.402857000000001,14.162857,13.602857,15.922857,12.042857000000001,13.302857000000001,12.502857,15.942857,14.242857,15.122857000000002,16.742857,15.622857000000002,17.602857,20.022857000000002,18.422857,12.802857000000001,14.422857,16.062857,13.982857000000001,13.922857,16.102857,14.182857,14.322857,15.362857,15.662857,15.262857,15.222857000000001,10.902857000000001,19.202857,12.982857000000001,14.842857,12.782857,14.422857,17.062857,14.722857000000001,15.202857
37,13,1,15.75102,13.211848999999999,15.951020000000002,16.410145999999997,14.57102,14.394204,14.731020000000001,14.552628,13.891020000000001,16.331020000000002,12.39102,13.600085,12.81102,16.351020000000002,14.631020000000001,15.531020000000002,17.151020000000003,16.03102,18.03102,20.55102,19.011020000000002,13.111020000000002,14.812628,16.41102,14.391020000000001,14.285255,16.511020000000002,14.551020000000001,14.600073000000002,15.771020000000002,16.151020000000003,15.771020000000002,15.631020000000001,11.31102,19.651020000000003,13.391020000000001,15.25102,13.131020000000001,14.76051,17.491020000000002,15.09102,15.533503
38,13,2,16.13551,13.224712,16.375510000000002,16.715510000000002,14.93551,14.63551,14.93551,14.85551,14.09551,16.77551,12.71551,13.915510000000001,13.13551,16.65551,14.995510000000001,15.93551,17.67551,16.35551,18.46102,20.97551,19.43551,13.45551,15.11551,16.83551,14.79551,14.675510000000001,16.93551,14.97551,14.89551,16.195510000000002,16.581020000000002,16.15551,16.01551,11.596614,20.15551,13.755510000000001,15.675510000000001,13.47551,15.175510000000001,18.01551,15.55551,15.835510000000001
39,14,0,16.447347,13.447347,16.767347,17.107347,15.327347,14.919336999999999,15.327347,15.247347,14.487347,17.287347,13.087347,14.267347000000001,13.507347,17.007347,15.367347,16.327347,18.167347,16.747347,18.987347,21.807347,19.987347,13.847347000000001,15.507347,17.267347,15.058673,15.028673000000001,17.307347,15.367347,15.275782000000001,16.627347,17.107347,16.547347,16.407347,11.707347,20.667347,14.147347,16.107347,13.847347000000001,15.567347,18.427347,15.907347,16.244694
40,14,1,16.716735,13.956735,17.036735,17.456735000000002,15.596735,15.156735000000001,15.596735,15.516735,14.756735,17.556735,13.343367,14.536735,13.776735,17.276735000000002,15.696735,16.596735,18.456735000000002,17.053367,19.336735,22.436735000000002,20.256735,14.076735000000001,15.776735,17.616735000000002,15.316735000000001,15.283367000000002,17.573367,15.643367000000001,15.516735,16.916735,17.416735,16.816735,16.656735,11.976735000000001,20.936735000000002,14.416735000000001,16.372245,14.116735,15.836735000000001,18.776735000000002,16.156735,16.596735
41,14,2,17.212653,14.552653,17.632653,17.997551,15.972653,15.752653,15.972653,16.112652999999998,15.172653,18.152653,13.752653,14.972653,14.182666000000001,17.772653,16.172653,17.052653,19.052653,17.412653,19.752653,23.012653,20.772653,14.452653,16.352653,18.035306,15.792653,15.672653,18.092653,16.100189999999998,15.992653,17.352653,17.832653,17.332653,17.175306,12.272653,21.432653,14.812653,16.812653,14.577551000000001,16.292653,19.232653,16.512653,17.052653
42,15,0,17.571837,14.865459,17.991837,18.331837,16.285459,16.091836999999998,16.271836999999998,16.471837,15.531837,18.531837,14.070917999999999,15.331837,14.371837,18.111837,16.511837,17.411837,19.433673000000002,17.771836999999998,20.051837,23.47551,21.271836999999998,14.791837,16.711837,18.451837,16.131837,16.011837,18.451837,16.331837,16.351837,17.690918,18.191837,17.691837,17.571837,12.511837,21.813673,15.171837,17.170612,14.811836999999999,16.651837,19.591836999999998,16.871837,17.350611999999998
43,15,1,18.193506,15.208571,18.628571,18.896548000000003,16.808571,16.562857,16.760659,17.054880999999998,16.084643,19.308571,14.543175,15.976189999999999,14.863175,18.628571,17.208571,17.988571,20.108570999999998,18.238469,20.648571,24.448570999999998,21.928570999999998,15.242320999999999,17.229286,19.036507999999998,16.664642999999998,16.388571,18.956044,16.809286,16.749796,18.241224,18.808571,18.299286,18.188571,12.908571,22.409285999999998,15.716429000000002,17.668571,15.299238,17.248571,20.108570999999998,17.388571,17.768570999999998
44,15,2,18.34763,15.539183999999999,19.159184,19.179184,17.158776,16.868798,17.038288,17.339184,16.505598000000003,19.679837,14.875765,16.028767000000002,15.059184,18.919184,17.515837,18.407837,20.559184,18.559184,20.936066,25.079183999999998,22.479184,15.519184,17.599184,19.459184,16.806824,16.879184,19.259184,17.159184,17.119184,18.525598000000002,19.139184,18.659184,18.704592,13.199183999999999,22.744592,16.099837,18.099184,15.499184,17.637852,20.699184,17.779184,18.105598
45,16,0,18.732653,15.981326999999999,19.632653,19.592653,17.357332,17.218760999999997,17.312653,17.752653,16.671259,20.032653,15.152652999999999,16.392653,15.432653,19.392653,17.755904,18.712653,21.112652999999998,18.972653,21.155663,25.612652999999998,22.854132999999997,15.892653,18.012653,20.032653,17.212653,17.301327,19.65237,17.552653,17.452653,18.952653,19.592653,18.993281,19.152653,13.641326999999999,23.272653,16.592653,18.472653,15.892653,17.881327,21.133047,18.132653,18.392653
46,16,1,19.075917999999998,16.115918,20.595918,20.055918,17.815918,18.035918,17.875918,18.205306,16.935918,20.915917999999998,15.655918,16.715918,15.955917999999999,20.015918,18.435918,19.315918,21.895917999999998,19.515918,21.815918,26.535918,23.355918,16.495918,18.495918,20.775918,18.035918,17.855918,20.015918,18.095918,18.155918,19.695918,20.175918,19.635918,20.055918,14.075918,23.875918,17.207183999999998,19.115918,16.415917999999998,18.315918,21.835918,18.735917999999998,18.995918
47,16,2,19.522448999999998,16.702448999999998,21.322449,20.486939000000003,18.162449,18.462449,18.416224,18.582449,17.422449,21.846224,15.982448999999999,16.882448999999998,16.422449,20.562448999999997,18.812075,19.906223999999998,22.622449,20.062448999999997,22.482449,27.182449,23.802449,17.102449,18.842449,21.516223999999998,18.702448999999998,18.342449,20.442449,18.762449,18.702448999999998,20.322449,20.602449,20.282449,20.792075,15.062448999999999,24.362448999999998,17.716224,19.862448999999998,16.762449,18.822449,22.462449,19.133605,19.362448999999998
48,17,0,19.944082,17.104082000000002,21.804082,20.747041,18.484082,18.764082000000002,18.624082,18.904082,17.824082,22.224082,16.284082,17.284082,16.904082,21.004082,19.197041,20.164082,22.964082,20.504082,22.828816,27.644082,24.144082,17.464082,19.16852,22.004082,19.044082,18.704082,20.944082,19.124082,19.024082,20.818163000000002,21.004082,20.688026999999998,21.064082,15.225185999999999,24.668816,18.127041000000002,20.43449,17.184082,19.184082,22.904082,19.484082,19.704082
49,17,1,20.290612,17.290612,22.130612,21.090612,18.810612,19.090612,18.863537,19.250612,18.150612,22.570612,16.610612,17.610612,17.310612,21.331224,19.450612,20.470612,23.310612,20.850611999999998,23.210612,28.190611999999998,24.630612,17.750612,19.510612,22.450612,19.490612,19.010612,21.331837,19.470612,19.350611999999998,21.330612,21.330612,21.090612,21.411224,15.450612,25.010612,18.550612,20.830612,17.530611999999998,19.530611999999998,23.290612,19.930612,20.030611999999998
50,17,2,20.592653,17.572653,22.432653,21.392653,19.112652999999998,19.352653,19.152653,19.552653,18.452653,22.832653,16.892653,17.892653,17.612652999999998,21.652653,19.732653,20.732653,23.632653,21.172653,23.472653,28.532653000000003,24.932653,18.052653,19.832653,22.752653,19.792653,19.252653,21.672653,19.772653,19.652653,21.692653,21.632653,21.392653,21.752653,15.732652999999999,25.312653,18.852653,21.152653,17.832653,19.832653,23.652653,20.232653,20.332653
51,18,0,20.93102,17.89102,22.75102,21.75102,19.43102,19.651020000000003,19.41102,19.89102,18.79102,23.151020000000003,17.21102,18.21102,17.91102,22.05102,20.05102,21.05102,23.952041,21.59102,23.89102,29.05102,25.25102,18.37102,20.151020000000003,23.23102,20.11102,19.55102,22.07102,20.07102,19.991020000000002,22.09102,21.991020000000002,21.773061,22.094082,16.05102,25.61102,19.171020000000002,21.55102,18.171020000000002,20.193061,24.032041,20.55102,20.651020000000003
