,measure_number,beat_number,pid1263-10,pid5667267b-07,pid9048-10,pid9049-10,pid9054-10,pid9055-10,pid9058-10,pid9059-10,pid9060-10,pid9061-10,pid9062-10,pid9063-10,pid9066-10,pid9067-10,pid9070-18,pid9072-10,pid9074f-10,pid9075-10,pid9077-08,pid9087-04,pid9088-05,pid9094-10,pid9099-10,pid9100b-14,pid9101-10,pid9103-05,pid9104-10,pid9105-10,pid9111-10,pid9114-29,pid9118-10,pid9137-06,pid9138-10,pid9139-10,pid9153-10,pid9166d-17,pid9167-10,pid9170-10,pid9173-15,pid9174-10,pid917803b-05,pid917807-05,pid9186c-10,pid918805-03,pid9192-10
14,6,1,7.1459410000000005,7.765941000000001,7.885941000000001,6.705941,6.725941000000001,7.6059410000000005,5.625941,6.405941,5.925941000000001,7.405941,7.905941,7.485646000000001,7.205941,6.505941,7.1459410000000005,6.885941000000001,7.6059410000000005,6.365941,6.005941,6.345941000000001,6.625941,6.325941,6.765941000000001,7.505941,6.501882,6.485941,7.025941,7.965941,7.445941,5.925941000000001,9.505941,5.985941,6.785941,7.025941,6.825941,7.1059410000000005,7.725941000000001,6.385941000000001,7.6059410000000005,5.865941,7.285941,6.445941,5.347971,7.301882000000001,7.225941000000001
15,6,2,7.509955000000001,8.149955,8.229955,7.053991000000001,7.169955,8.029955000000001,5.969955000000001,6.769955,6.329955,7.769955,8.569955,7.8899550000000005,7.609955,6.804278999999999,7.489955,7.269955,7.989955,6.709955,6.287136,6.654989,6.969955000000001,6.629955000000001,7.1599770000000005,7.869955,6.9499770000000005,6.809955,7.449955,8.429955,7.8899550000000005,6.243318,9.949955000000001,6.249955,7.169955,7.409955,7.149955,7.489955,8.369955000000001,6.769955,7.969955000000001,6.189955,7.629955000000001,6.829955,5.649955,7.749955,7.609955
16,7,0,7.887506,8.627506,8.687505999999999,7.407506,7.547505999999999,8.407506,6.287506,7.147506,6.7075059999999995,8.167506,9.027505999999999,8.267506,8.107505999999999,7.227506,8.107505999999999,7.6675059999999995,8.467506,7.007505999999999,6.647506,7.007505999999999,7.347506,6.967506,7.507505999999999,8.278753,7.287506,7.2075059999999995,7.807506,8.867506,8.207506,6.6275059999999995,10.427506,6.6675059999999995,7.467506,7.907506,7.467506,7.927506,8.727506,7.247506,8.367506,6.487506,7.987506,7.1675059999999995,5.927506,8.207506,7.987506
17,7,1,8.24424,9.06424,9.04424,7.724239999999999,7.924239999999999,8.76424,6.584239999999999,7.544239999999999,6.964239999999999,8.50424,9.538480999999999,8.624239999999999,8.54424,7.604239999999999,8.604239999999999,8.024239999999999,8.90424,7.40424,6.90424,7.32424,7.684239999999999,7.344239999999999,7.924239999999999,8.50424,7.6242399999999995,7.684239999999999,8.22712,9.30424,8.64424,6.79712,10.864239999999999,6.954747,7.78712,8.32424,7.764239999999999,8.24424,9.06424,7.584239999999999,8.76424,6.764239999999999,8.34424,7.494747,6.20424,8.64424,8.54424
18,7,2,8.696485000000001,9.476485,9.476485,8.136485,8.376485,9.136485,6.936485,8.036485,7.456485000000001,8.936485000000001,10.016485000000001,9.082971,9.096485000000001,8.102971,8.976485,8.436485000000001,9.316485,7.816485000000001,7.276485000000001,7.696485000000001,8.116485,7.7164850000000005,8.396485,9.016485000000001,8.076485,8.276485000000001,8.616485,9.836485,9.356485000000001,7.113242999999999,11.396485,7.316485000000001,8.216485,8.776485000000001,8.196485000000001,8.636485,9.376485,8.056485,9.256485000000001,7.143242999999999,8.702971,7.876485000000001,6.516484999999999,9.082971,9.016485000000001
19,8,0,9.193991,9.831995,10.091994999999999,8.431995,8.771995,9.551995,7.291995,8.471995,7.831995,9.411995,10.451995,9.571995,9.491995,8.511994999999999,9.291995,8.791995,9.671994999999999,8.231995,7.651994999999999,8.031995,8.591994999999999,8.131995,8.871995,9.431995,8.451995,8.691995,9.031995,10.391995,9.711995,7.431995,11.951995,7.6919949999999995,8.591994999999999,9.251994999999999,8.611995,9.053991,9.711995,8.453991,9.731995,7.431995,9.071995,8.251994999999999,6.811995,9.553991,9.451995
20,8,1,9.615669,10.215669,10.675669000000001,8.815669,9.215669,10.195669,7.6556690000000005,8.995669,8.255669000000001,9.855669,11.075669,10.075669,10.035669,8.895669,9.623134,9.175669000000001,10.055669,8.795669,8.035669,8.362834,8.975669,8.595669000000001,9.275669,9.815669,8.895669,9.075669,9.655669,10.955669,10.115669,7.812834,12.395669,8.075669,9.015669,9.795669,9.055669,9.715669,10.115669,8.855669,10.295669,7.795669,9.475669,8.635669,7.102834,10.135669,9.855669
21,8,2,9.986281,10.546281,11.306281,9.066281,9.606281,10.666281,7.9662809999999995,9.366280999999999,8.626281,10.246281,11.506281,10.466281,10.486281,9.226281,9.886281,9.586281,10.386281,9.126281,8.366280999999999,8.686281,9.286280999999999,9.066281,9.626281,10.126281,9.226281,9.426281,10.066281,11.406281,10.546281,8.126281,12.926281,8.406281,9.338141,10.226281,9.406281,10.186281,10.546281,9.206281,10.926281,8.126281,9.846281,9.006281,7.406281,10.606281,10.286280999999999
22,9,0,10.30424,10.864239999999999,11.624239999999999,9.38424,10.00424,11.00424,8.284239999999999,9.704239999999999,8.944239999999999,10.58424,11.878480999999999,10.82424,10.82424,9.54424,10.204239999999999,9.944239999999999,10.704239999999999,9.40424,8.66424,9.00424,9.604239999999999,9.38424,10.012721,10.444239999999999,9.58424,9.76424,10.398481,11.84424,10.96424,8.40424,13.372720999999999,8.74424,9.64424,10.64424,9.72424,10.604239999999999,10.96424,9.54424,11.364239999999999,8.38424,10.26424,9.364239999999999,7.684239999999999,10.96424,10.624239999999999
23,9,1,10.679342,11.219342,11.979341999999999,9.699342,10.379342,11.359342,8.592336,10.099342,9.299342,10.979341999999999,12.379342,11.219342,11.239342,9.864671000000001,10.559342,10.359342,11.059342,9.759342,8.994671,9.339342,9.979341999999999,9.719342,10.399341999999999,10.799342,9.959342,10.119342,10.859342,12.379342,11.439342,8.739342,13.899342,8.999342,9.979341999999999,11.099342,10.059342,10.959342,11.479341999999999,9.919342,11.719342,8.639342,10.699342,9.719342,7.9993419999999995,11.359342,11.119342
24,9,2,11.119048,11.659048,12.468095,10.159048,10.819048,11.799047999999999,8.979047999999999,10.559047999999999,9.739048,11.499048,12.979047999999999,11.659048,11.679048,10.279048,10.919048,10.859048,11.499048,10.248095,9.379048,9.779048,10.419048,10.119048,10.879048,11.257143,10.519048,10.599048,11.299047999999999,12.899047999999999,12.039048,9.034524000000001,14.419048000000002,9.439048,10.408095,11.539048,10.499048,11.399047999999999,11.939048,10.399047999999999,12.188095,8.979047999999999,11.139047999999999,10.079048,8.339048,11.799047999999999,11.608095
25,10,0,11.751111,12.091111,13.071111,10.611111,11.240556,12.231111,9.337036999999999,11.091111,10.070556,12.011111,13.651110999999998,12.231111,12.191111,10.710158999999999,11.291111,11.391111,11.931111,10.731111,9.791111,10.251111,11.051111,10.551111,11.531111,11.771111,11.011111,11.111111,11.831111,13.571110999999998,12.554444,9.371111,14.852222,9.911111,10.851111,12.071111,11.071111,11.791111,12.351111,10.891111,12.731111,9.451111000000001,11.691111,10.511111,8.691111,12.211111,12.231111
26,10,1,12.529886999999999,12.589887,13.709887,11.249887,11.709887,12.769886999999999,9.749887,11.789887,10.529886999999999,12.609886999999999,14.149887,12.749887,12.709887,11.089887,11.769886999999999,11.869887,12.429886999999999,11.269886999999999,10.229942999999999,10.809887,11.689886999999999,11.049887,12.029886999999999,12.349886999999999,11.609886999999999,11.569887,12.329887,14.129887,13.289887,9.869887,15.409887,10.409887,11.409887,12.609886999999999,11.529886999999999,12.189886999999999,12.929886999999999,11.409887,13.449887,10.069887,12.209887,10.999943,9.069942999999999,12.709887,12.909887
27,10,2,13.055488,13.015488000000001,14.195488000000001,11.675488,12.146463,13.255488,10.215488,12.215488,10.915488,13.060975,14.575488,13.275488000000001,13.255488,11.455488,12.135488,12.295488,12.855488000000001,11.695488000000001,10.655488,11.235488,12.115488000000001,11.435488000000001,12.495488,12.795488,12.035488,11.995488,12.755488,14.615488000000001,13.720975,10.295488,15.975488,10.815488,11.835488,13.135488,11.955488,12.615488000000001,13.475488,11.835488,14.035488,10.515488000000001,12.655488,11.415488,9.418496000000001,13.135488,13.386463000000001
28,11,0,13.466689,13.386689000000002,14.566689000000002,11.926689,12.600067999999998,13.646689000000002,10.566689,12.666689,11.206689,13.406689000000002,14.963379000000002,13.646689000000002,13.663379,11.726689,12.506689,12.626689,13.226689000000002,11.946689,10.966689,11.566689,12.586689,11.806689,12.866689,13.166689000000002,12.446689,12.286688999999999,13.303379000000001,15.020067999999998,14.206689,10.626689,16.446689000000003,11.186689,12.106689,13.563379000000001,12.306689,13.006689,13.886689000000002,12.186689,14.426689000000001,10.906689,13.046689,11.786688999999999,9.586689,13.523379,13.860068
29,11,1,13.842404,13.742404,14.942404000000002,12.242403999999999,12.962404,14.002404,10.922404,13.022404,11.562403999999999,13.742404,15.322404,13.982404,14.042404000000001,12.062403999999999,12.822403999999999,12.962404,13.582404,12.302404,11.302404,11.862404,12.942404,12.182404,13.182404,13.502404,12.822403999999999,12.642403999999999,13.662404,15.422404,14.562404,10.962404,16.882404,11.522404,12.462404,13.962404000000001,12.642403999999999,13.362404000000002,14.462404000000001,12.582403999999999,14.822404,11.222404,13.402404,12.142403999999999,9.902403999999999,13.882404000000001,14.242404
30,11,2,14.245873000000001,14.145873000000002,15.385873000000002,12.705873,13.421745999999999,14.405873000000001,11.285872999999999,13.445873,11.985873,14.165873000000001,15.785873,14.405873000000001,14.505873000000001,12.425873,13.185873,13.401746,13.985873000000002,12.665873,11.685872999999999,12.265873,13.405873000000001,12.585873,13.621746,13.905873000000001,13.245873000000001,13.185873,14.065873000000002,15.937619,14.981746,11.305873,17.285873000000002,11.945872999999999,12.861746,14.529364999999999,13.005873,13.785873,14.905873000000001,12.985873,15.289365,11.625873,13.821746,12.581746,10.225873,14.305873000000002,14.765873000000001
31,12,0,14.633628,14.533628,15.853628,13.100883999999999,13.933628,14.793628,11.633628,13.893628,12.373628,14.553628,16.213628,14.873628,14.893628,12.757271000000001,13.533628,13.793628,14.373628,13.053628,12.033628,12.713628,13.793628,13.073628,14.133628,14.413628,13.697256,13.693628,14.473628,16.353628,15.513628,11.693628,17.753628,12.373628,13.273628,14.957256,13.361814,14.173627999999999,15.293628,13.373628,15.693628,12.057256,14.233628,13.113628,10.553628,14.733628,15.233628
32,12,1,15.110363000000001,14.970363,16.350363,13.630363000000001,14.370363000000001,15.370363000000001,12.030363000000001,14.490363,12.810363,15.010363,16.650363,15.350363,15.350363,13.130363000000001,13.970363,14.230363,14.810363,13.463454,12.470363,13.310363,14.230363,13.530363000000001,14.650363,14.830363,14.310363,14.130363000000001,14.910363,16.870363,15.970363,12.070363,18.390363,12.810363,13.750363,15.490363,13.790363000000001,14.630363000000001,15.890363,13.830181,16.330363000000002,12.530363000000001,14.710363000000001,13.650363,10.910363,15.210363000000001,15.830363
33,12,2,15.519909,15.379909,16.799727999999998,13.999908999999999,14.859909,15.939909,12.359909,14.899909,13.194954999999998,15.399909,17.079909,15.759909,15.799909,13.498318,14.399909,14.639909,15.219909,13.851982000000001,12.879909,13.711651999999999,14.659908999999999,13.939909,15.119909,15.239908999999999,14.719909,14.539909,15.319908999999999,17.379909,16.379909,12.479909,18.879909,13.214954999999998,14.151982,15.899909,14.194954999999998,15.129819,16.439909,14.139909,16.759909,12.939909,15.119909,14.119909,11.148991,15.619909,16.259909
34,13,0,15.934853,15.794853,17.234853,14.294853,15.274853,16.354853,12.714853,15.454853,13.474853,15.774853,17.474853,16.154853,16.254853,13.754853,14.834853,14.994852999999999,15.634853,14.170809,13.254853,13.934853,15.074853,14.251617999999999,15.474853,15.514853,15.134853,14.934853,15.694853,17.834853,16.894853,12.754853,19.454853,13.514853,14.414852999999999,16.414853,14.552426,15.594853,16.994853,14.494852999999999,17.254853,13.251617999999999,15.474853,14.554853,11.394853,16.034853,16.694853
35,13,1,16.235985999999997,16.135986,17.575986,14.595985999999998,15.695985999999998,16.695985999999998,13.035986,15.795986,13.815985999999999,16.115986,17.855985999999998,16.515985999999998,16.655986,14.075985999999999,15.115986,15.315985999999999,15.975985999999999,14.395985999999999,13.595985999999998,14.215986,15.415985999999998,14.555985999999999,15.815985999999999,15.835985999999998,15.475985999999999,15.315985999999999,16.035985999999998,18.315986,17.241973,13.075986,19.895985999999997,13.855985999999998,14.725329,16.815986,14.835985999999998,15.975985999999999,17.435986,14.855985999999998,17.655986,13.515985999999998,15.775985999999998,14.915985999999998,11.695986,16.481973,17.115986
36,13,2,16.649955,16.549954999999997,18.009954999999998,15.009955,16.149955,17.109955,13.376651999999998,16.209954999999997,14.269955,16.589955,18.469955,16.949955,17.069955,14.383318,15.469954999999999,15.709976999999999,16.389955,14.809954999999999,13.969954999999999,14.629954999999999,15.749954999999998,14.969954999999999,16.249955,16.249955,15.889954999999999,15.809954999999999,16.429955,18.749955,17.909955,13.409954999999998,20.349954999999998,14.189955,15.109955,17.309955,15.189955,16.389955,17.829954999999998,15.289954999999999,18.069955,13.869955,16.189954999999998,15.369955,12.029955000000001,16.949955,17.549954999999997
37,14,0,17.081791,16.941791000000002,18.441791000000002,15.361791,16.581791,17.501791,13.741791000000001,16.601791,14.653929999999999,17.001791,18.941791000000002,17.401791,17.461791,14.745895999999998,15.861791,16.141791,16.781791000000002,15.201791,14.341791,15.001791,16.141791,15.421791,16.821791,16.641791,16.313582999999998,16.321791,16.821791,19.181791,18.341791,13.741791000000001,20.761791,14.581791,15.561791,17.821791,15.541791,16.781791000000002,18.221791,15.701791,18.501791,14.241791000000001,16.621791,15.821791000000001,12.321791000000001,17.381791,18.021791
38,14,1,17.788322,17.468322,18.928322,15.848322,17.028322,18.128322,14.148322,17.168322,15.088322,17.528322,19.508322,17.908322000000002,17.948322,15.108322,16.348322,16.568322,17.308322,15.708322,14.788322,15.448322000000001,16.668322,16.028322,17.308322,17.288322,16.868322,16.768322,17.348322,19.688322,18.808322,14.148322,21.428322,15.148322,16.108322,18.348322,15.988322,17.229160999999998,18.888322,16.188322,19.168322,14.768322,17.168322,16.348322,12.679161,17.948322,18.648322
39,14,2,18.175532999999998,17.855532999999998,19.335532999999998,16.175532999999998,17.415533,18.515532999999998,14.495532999999998,17.595533,15.335532999999998,17.915533,19.875532999999997,18.295533,18.315533,15.436383,16.595533,16.955533,17.695532999999998,15.955532999999999,15.156382999999998,15.735532999999998,17.015532999999998,16.342219,17.615533,17.675532999999998,17.255533,17.055532999999997,17.755533,20.075533,19.195532999999998,14.501382999999999,21.861066,15.495532999999998,16.375532999999997,18.755533,16.295533,17.596383,19.275533,16.535532999999997,19.555532999999997,15.052766,17.535532999999997,16.695532999999998,12.90617,18.335532999999998,19.035532999999997
40,15,0,18.531179,18.411179,19.891179,16.531179,17.951179,19.011179000000002,14.910393,18.111179,15.751179,18.311179,20.431179,18.771179,18.851179000000002,15.671179,17.151179,17.371179,18.251179,16.271179,15.503726,16.171179000000002,17.451179,16.791179,18.171179000000002,18.071179,17.691179,17.531179,18.371179,20.731179,19.771179,14.831179,22.451179,15.991179,16.791179,19.311179,16.810236,18.011179000000002,19.951179,16.891179,20.111179,15.470197,18.091179,17.151179,13.150197,18.891179,19.591179
41,15,1,18.903423999999998,18.823424,20.283424,16.856711999999998,18.343424,19.363424,15.243424,18.496712,16.103424,18.663424,20.903423999999998,19.183424,19.263424,16.023424,17.514475,17.703424,18.663424,16.603424,15.876712,16.503424,17.816712,17.183424,18.443424,18.423424,18.063423999999998,17.903423999999998,18.843424,21.163424,20.103424,15.203423999999998,22.943424,16.303424,17.143424,19.743423999999997,17.143424,18.403423999999998,20.403423999999998,17.296712,20.523424,15.683423999999999,18.503424,17.543423999999998,13.463424,19.363424,20.043423999999998
42,15,2,19.299342000000003,19.219342,20.679342000000002,17.219342,18.839342000000002,19.759342,15.579342,18.879342,16.559342,19.059342,21.339342000000002,19.564671,19.659342000000002,16.299781,17.819342000000002,18.119342,19.059342,16.959342000000003,16.259342,16.879342,18.199342,17.554671,18.859342,18.819342000000002,18.459342000000003,18.439342,19.199342,21.739342,20.579342,15.559342000000001,23.279342,16.659342000000002,17.499342000000002,20.179342000000002,17.499342000000002,18.819342000000002,20.779342,17.679342000000002,20.899342,16.039342,18.859342,18.039342,13.759342000000002,19.819342000000002,20.548685
43,16,0,19.679342000000002,19.619342,21.259342,17.559342,19.279342,20.159342000000002,15.919342000000002,19.548685,16.899342,19.414671,21.759342,19.959342000000003,19.999342000000002,16.613114000000003,18.159342000000002,18.579342,19.459342000000003,17.339342000000002,16.659342000000002,17.199342,18.839342000000002,17.854671,19.339342000000002,19.179342000000002,18.814671,18.999342000000002,19.599342,22.319342000000002,21.079342,15.919342000000002,23.719342,16.973114000000002,17.839342000000002,20.639342000000003,17.919342,19.219342,21.159342000000002,18.079342,21.319342000000002,16.439342,19.239342,18.539342,14.099342000000002,20.259342,20.999342000000002
44,16,1,20.116485,20.076485,21.916485,18.016485,19.756485,20.622971,16.256485,20.156485,17.316485,19.816485,22.296485,20.456485,20.416485,17.036485,18.556485000000002,18.996485,19.916485,17.816485,17.076485,17.556485000000002,19.376485,18.256485,19.976485,19.596485,19.276485,19.502971,20.156485,22.876485,21.576485,16.316485,24.216485000000002,17.356485,18.236485000000002,21.156485,18.396485000000002,19.762971,21.636485,18.556485000000002,21.756485,16.816485,19.716485000000002,18.956485,14.416485,20.796485,21.636485
45,16,2,20.540975,20.500975,22.380975,18.340975,20.200975,21.220975,16.620975,20.560975,17.840975,20.280975,22.685488,20.980975,20.920975,17.460975,18.927744,19.460975,20.340975,18.140975,17.476195,17.960975,19.700975,18.600975,20.400975,20.000975,19.720975,19.980975,20.520975,23.300975,22.240975,16.740975,24.540975,17.720975,18.580975,21.580975,18.800975,20.240975,21.995488,19.060975,22.180975,17.240975,20.080975,19.340975,14.720975,21.260975,22.19195
46,17,0,20.881383,20.921383,22.881383,18.701383,20.621382999999998,21.841383,16.941383,20.901383,18.201383,20.641382999999998,23.081383,21.361383,21.321382999999997,17.861383,19.341383,19.861383,20.761383,18.461382999999998,17.841383,18.281382999999998,20.041383,18.941383,20.821382999999997,20.421383,20.101383,20.581383,20.861383,23.681383,22.621382999999998,17.001382999999997,24.961382999999998,18.025692000000003,18.901383,22.001382999999997,19.181383,20.621382999999998,22.321382999999997,19.421383,22.612766,17.581383,20.461382999999998,19.781382999999998,15.001382999999999,21.701383,22.681383
47,17,1,21.355669,21.435669,23.375669,19.315669,21.078556,22.335669,17.295669,21.412834,18.575669,21.155669,23.635669,21.815669,21.852834,18.575669,19.755669,20.335669,21.275669,18.955669,18.246417,18.715669000000002,20.515669,19.355669,21.395669,20.935669,20.535669,21.115669,21.315669,24.135669,23.135669,17.395669,25.515669,18.435669,19.335669,22.475669,19.655669,21.095669,22.815669,19.975669,23.135669,17.995669,20.995669,20.255669,15.335669000000001,22.215669000000002,23.215669000000002
